Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,10.757,10.928,10.686,10.757,1290128
2005-01-04,10.719,10.757,10.548,10.585,2777394
2005-01-05,10.173,10.173,9.933,10.038,5748760
2005-01-06,9.933,9.933,9.59,9.761,3683054
2005-01-07,9.761,10.038,9.557,9.9,1999325
2005-01-10,10.003,10.003,9.4549,9.659,2019464
2005-01-11,9.696,9.798,9.59,9.59,1913179
2005-01-12,9.659,9.761,9.59,9.728,1895038
2005-01-13,9.9,9.968,9.867,9.933,2962956
2005-01-14,9.9,9.933,9.696,9.83,1253527
2005-01-17,9.9,9.9,9.761,9.83,804386
2005-01-18,9.798,9.933,9.626,9.696,1722209
2005-01-19,9.728,9.728,9.525,9.525,1718422
2005-01-20,9.4549,9.557,9.2474,9.557,2034710
2005-01-21,9.59,9.696,9.525,9.659,947045
2005-01-24,9.525,9.761,9.525,9.761,1074440
2005-01-25,9.83,10.003,9.83,9.933,3700039
2005-01-26,9.968,9.968,9.761,9.798,1887804
2005-01-27,9.83,9.933,9.728,9.867,2088472
2005-01-28,9.9,9.9,9.4173,9.4549,4694332
2005-01-31,9.59,9.59,9.4549,9.4549,1919850
2005-02-01,9.4876,9.696,9.4549,9.659,3559992
2005-02-02,9.659,9.798,9.525,9.557,4857238
2005-02-03,9.59,9.798,9.59,9.728,3470582
2005-02-04,9.728,9.798,9.659,9.728,2575301
2005-02-07,9.798,9.83,9.659,9.83,2375329
2005-02-08,9.9,9.933,9.798,9.798,2305849
2005-02-09,9.867,9.867,9.761,9.798,2086689
2005-02-10,9.83,10.102,9.761,10.038,3108189
2005-02-11,10.102,10.141,9.867,10.003,1274862
2005-02-14,10.038,10.07,9.9,9.933,1928787
2005-02-15,9.867,10.141,9.798,10.102,4092397
2005-02-16,10.173,10.654,10.102,10.515,5993779
2005-02-17,10.686,11.063,10.686,10.928,8254043
2005-02-18,10.997,11.302,10.89,11.063,9256851
2005-02-21,11.098,11.372,11.098,11.169,2872624
2005-02-22,11.234,11.234,10.96,10.96,3423928
2005-02-23,10.89,10.928,10.719,10.89,1622821
2005-02-24,10.96,11.098,10.928,11.063,1682244
2005-02-25,11.234,11.405,11.169,11.271,7507943
2005-02-28,11.372,11.405,11.132,11.302,4209971
2005-03-01,11.132,11.169,10.928,11.098,4438681
2005-03-02,10.96,10.997,10.483,10.619,2992896
2005-03-03,10.548,10.719,10.483,10.654,2224212
2005-03-04,10.686,10.789,10.585,10.686,1319247
2005-03-07,10.789,10.826,10.483,10.548,1278833
2005-03-08,10.548,10.654,10.445,10.483,1326012
2005-03-09,10.619,10.997,10.619,10.789,4314759
2005-03-10,10.789,10.89,10.548,10.719,1304010
2005-03-11,10.789,10.789,10.619,10.619,3952572
2005-03-14,10.585,10.585,10.275,10.344,1458198
