Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,17.353,17.874,17.284,17.414,5575
2005-01-04,17.681,17.681,17.222,17.353,15666
2005-01-05,17.153,17.284,16.632,16.961,13779
2005-01-06,16.961,17.153,16.694,17.153,2642
2005-01-07,16.961,17.024,16.824,17.024,383
2005-01-10,16.893,17.024,16.501,17.024,2933
2005-01-11,16.961,16.961,16.563,16.694,464
2005-01-12,16.694,16.694,16.501,16.694,1145
2005-01-13,16.433,16.563,15.973,16.501,2957
2005-01-14,16.694,16.694,16.111,16.501,1461
2005-01-17,16.372,16.694,16.372,16.372,2555
2005-01-18,16.372,16.694,16.372,16.372,3583
2005-01-19,15.973,16.372,15.973,16.303,1460
2005-01-20,16.042,16.042,15.843,16.042,1948
2005-01-21,15.782,16.111,15.782,16.111,2638
2005-01-24,15.843,16.372,15.843,16.372,781
2005-01-25,15.973,15.973,15.843,15.973,15324
2005-01-26,16.241,16.241,15.252,15.65,5684
2005-01-27,16.172,16.172,16.042,16.042,1556
2005-01-28,15.973,16.172,15.712,16.172,1229
2005-01-31,16.042,16.433,16.042,16.433,5118
2005-02-01,16.501,16.501,16.303,16.501,3456
2005-02-02,16.111,16.563,16.111,16.563,6692
2005-02-03,16.372,16.694,16.303,16.433,18232
2005-02-04,16.372,17.092,16.372,16.761,9068
2005-02-07,17.222,17.681,17.024,17.222,8600
2005-02-08,17.483,17.483,17.024,17.353,12890
2005-02-09,17.024,17.613,17.024,17.483,5597
2005-02-10,17.874,18.203,17.483,17.874,12041
2005-02-11,18.005,18.005,17.414,17.613,4489
2005-02-14,17.545,17.545,17.092,17.092,2479
2005-02-15,17.024,17.414,16.761,16.961,4375
2005-02-16,17.024,17.414,17.024,17.092,1324
2005-02-17,17.092,17.153,16.961,17.153,1506
2005-02-18,17.024,17.414,17.024,17.153,6566
2005-02-21,17.483,17.483,17.024,17.222,776
2005-02-22,17.092,17.353,17.024,17.153,1310
2005-02-23,17.222,17.222,17.153,17.153,1924
2005-02-24,17.222,17.942,17.222,17.813,59362
2005-02-25,18.005,18.073,17.681,17.874,8817
2005-02-28,17.743,17.942,17.681,17.942,4250
2005-03-01,17.874,18.005,17.681,17.813,2734
2005-03-02,17.681,18.005,17.681,17.743,14962
2005-03-03,17.681,17.743,17.681,17.681,4583
2005-03-04,17.681,17.874,17.681,17.874,1058
2005-03-07,17.681,17.681,17.092,17.545,4434
