Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,2.0984,2.0984,2.0202,2.0724,9445
2005-01-04,2.0267,2.0463,1.9616,2.0137,24476
2005-01-05,2.0006,2.0267,1.9029,1.955,54509
2005-01-06,1.9811,2.1506,1.9746,2.0788,126135
2005-01-07,2.0788,2.118,2.0333,2.0397,23434
2005-01-10,2.1245,2.1245,2.0333,2.0724,12345
2005-01-11,2.0463,2.0854,2.0463,2.0724,7050
2005-01-12,2.0724,2.1049,2.0333,2.0788,16382
2005-01-13,2.1115,2.1115,2.0397,2.0463,2288
2005-01-14,2.0528,2.1049,2.0397,2.0984,17526
2005-01-17,2.0854,2.2809,2.0658,2.2744,163575
2005-01-18,2.2744,2.2939,2.1376,2.1376,59370
2005-01-19,2.2092,2.2353,2.0919,2.2353,54195
2005-01-20,2.2809,2.2809,2.2157,2.2483,20326
2005-01-21,2.2483,2.2483,2.1701,2.2157,21650
2005-01-24,2.2483,2.4764,2.2483,2.4112,235308
2005-01-25,2.4764,2.5677,2.4112,2.509,135285
2005-01-26,2.5416,2.5611,2.4764,2.4959,52493
2005-01-27,2.5025,2.5025,2.4307,2.4438,18111
2005-01-28,2.4438,2.5025,2.4112,2.4764,32740
2005-01-31,2.5286,2.5286,2.3982,2.5286,35013
2005-02-01,2.4634,2.8674,2.4634,2.7371,151290
2005-02-02,2.7045,2.8674,2.6784,2.8022,69012
2005-02-03,2.8022,2.9652,2.8022,2.8805,89300
2005-02-04,2.9326,3.1672,2.8414,3.1672,116092
2005-02-07,3.2584,3.5191,3.1933,3.4539,216788
2005-02-08,3.4865,3.6168,3.291,3.4865,172798
2005-02-09,3.4539,3.4539,3.291,3.3236,64489
2005-02-10,3.2258,3.2258,3.0955,3.0955,66937
2005-02-11,3.0498,3.1086,2.8869,2.9977,64737
2005-02-14,2.9977,3.1477,2.9,3.0629,43070
2005-02-15,3.1216,3.2584,3.1216,3.1933,41827
2005-02-16,3.1997,3.2519,3.0303,3.1281,29869
2005-02-17,3.102,3.1086,2.9977,3.0043,22144
2005-02-18,2.9,3.0238,2.8218,3.0238,46909
2005-02-21,2.8805,2.9977,2.8739,2.9587,16932
2005-02-22,2.9326,2.9847,2.9,2.9782,32347
2005-02-23,2.9326,2.9587,2.8022,2.926,20113
2005-02-24,2.9326,2.9326,2.8414,2.9326,12578
2005-02-25,2.9,3.0434,2.8674,2.9716,30971
2005-02-28,2.9782,2.9782,2.8674,2.9196,13928
2005-03-01,2.8674,2.9196,2.8674,2.9,1771
2005-03-02,2.8087,2.8935,2.7371,2.8348,19233
2005-03-03,2.8544,2.8674,2.7696,2.8348,2274
2005-03-04,2.7436,2.8348,2.7436,2.8348,5122
2005-03-07,2.8348,2.8609,2.7176,2.7957,7792
2005-03-08,2.7371,2.7957,2.6002,2.6915,35003
2005-03-09,2.6719,2.7696,2.6458,2.7306,45894
2005-03-10,2.7371,2.7567,2.6719,2.7371,11640
2005-03-11,2.6784,2.7371,2.6784,2.7371,1844
2005-03-14,2.6784,2.724,2.5937,2.5937,9632
2005-03-15,2.5546,2.6719,2.4503,2.6002,43827
2005-03-16,2.6393,2.6458,2.509,2.5806,16929
2005-03-17,2.5286,2.5937,2.4764,2.509,6718
2005-03-18,2.4438,2.5416,2.3526,2.5416,23452
2005-03-21,2.5741,2.5741,2.4503,2.5677,9187
