Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-07-09,39.434,40.935,35.64,39.315,735623
2007-07-10,39.197,40.144,38.998,39.512,199272
2007-07-11,39.355,41.013,37.932,41.013,43937
2007-07-12,41.132,42.673,41.132,42.515,30216
2007-07-13,43.701,48.205,43.701,47.849,46760
2007-07-16,45.834,48.205,41.488,47.296,36919
2007-07-17,46.506,46.506,44.293,44.412,37323
2007-07-18,44.253,44.253,41.409,41.882,46830
2007-07-19,41.092,42.95,41.092,42.001,7580
2007-07-20,43.463,43.463,42.08,42.673,4337
2007-07-23,42.673,42.91,40.618,41.092,18451
2007-07-24,39.63,41.053,37.932,39.512,59019
2007-07-25,39.504,39.504,37.142,38.707,6367
2007-07-26,38.485,39.907,38.485,39.512,17858
2007-07-27,38.73,39.512,38.722,39.512,80439
2007-07-30,39.67,41.092,39.67,40.618,5382
2007-07-31,41.092,41.882,40.302,41.488,3347
2007-08-01,41.092,41.092,39.235,40.302,81495
2007-08-02,41.409,41.409,39.591,41.092,1776
2007-08-03,40.302,41.882,39.749,41.013,8185
2007-08-06,40.302,40.302,38.998,38.998,4950
2007-08-07,40.698,40.698,37.545,38.248,2808
2007-08-08,38.248,39.11,36.865,37.536,3366
2007-08-09,37.496,37.496,36.51,36.51,1073
2007-08-10,36.193,36.51,33.981,34.612,1496
2007-08-13,34.218,35.876,32.795,34.77,2861
2007-08-14,35.514,35.514,33.981,34.06,2455
2007-08-16,32.4,32.4,27.737,30.424,9141
2007-08-17,30.819,31.926,29.175,31.926,11196
2007-08-20,33.427,33.521,32.321,33.182,3063
2007-08-21,32.4,33.103,30.899,33.095,5665
2007-08-22,33.095,33.111,31.609,32.708,21653
2007-08-23,33.688,33.688,31.846,33.19,21832
2007-08-24,33.111,33.111,32.447,32.716,4307
2007-08-27,32.708,32.795,31.215,32.795,9933
2007-08-28,32.913,34.763,32.4,34.763,9911
2007-08-29,32.795,34.691,32.795,34.691,3514
2007-08-30,34.731,34.929,33.981,34.139,5749
2007-08-31,35.008,35.142,34.265,35.118,5932
2007-09-03,35.166,35.561,34.407,35.482,1366
2007-09-04,35.008,35.987,35.008,35.987,3982
2007-09-05,35.561,35.561,35.015,35.015,1019
2007-09-06,34.77,36.272,33.988,35.798,7854
2007-09-07,35.798,35.876,34.494,35.774,6595
2007-09-10,35.166,35.955,34.612,35.955,4260
2007-09-11,35.955,37.457,35.955,37.457,30816
2007-09-12,36.074,37.536,36.074,37.536,1278
2007-09-13,37.449,37.536,36.352,37.536,1951
2007-09-14,37.536,37.536,36.359,37.457,1564
2007-09-17,36.746,37.758,36.746,37.457,5730
2007-09-18,37.142,37.457,36.825,37.457,678
2007-09-19,38.248,38.722,37.221,38.327,2635
2007-09-20,38.327,39.512,37.181,39.434,7380
2007-09-21,39.448,39.512,37.536,39.473,3544
2007-09-24,39.116,40.302,38.462,40.302,1015
2007-09-25,39.551,40.302,38.587,40.302,1933
2007-09-26,39.907,40.144,39.156,39.868,1129
2007-09-27,39.276,39.512,38.879,39.512,777
2007-09-28,38.801,38.809,37.536,37.536,2973
2007-10-01,37.142,37.853,36.746,37.853,1842
2007-10-02,37.893,37.932,36.825,37.528,1177
2007-10-03,37.457,37.773,37.196,37.575,1285
2007-10-04,37.608,37.608,36.352,37.3,9812
2007-10-05,37.814,37.814,36.004,37.046,8653
2007-10-08,36.746,39.11,36.352,38.327,2410
2007-10-09,38.722,39.11,37.536,38.634,1430
2007-10-10,38.643,38.643,36.825,37.908,8487
2007-10-11,36.755,38.327,36.755,37.932,10598
2007-10-12,38.248,38.248,37.932,38.24,7074
2007-10-15,37.853,38.248,37.221,38.169,9648
2007-10-16,37.536,38.287,37.142,37.142,953
2007-10-17,37.142,37.932,37.142,37.932,841
2007-10-18,37.142,38.643,36.865,38.31,11722
2007-10-19,38.327,39.101,37.189,39.101,4776
2007-10-22,39.037,39.11,38.722,39.101,12228
2007-10-23,38.485,38.722,38.098,38.722,2347
2007-10-24,38.722,39.355,37.932,39.355,1949
2007-10-25,39.434,39.907,38.413,39.512,7227
2007-10-26,39.473,40.263,38.524,39.037,5710
2007-10-29,39.591,40.302,39.512,40.302,2622
2007-10-30,39.907,40.302,39.512,39.512,894
2007-10-31,39.907,40.224,38.722,40.144,2204
2007-11-02,38.564,40.144,38.564,40.144,4450
2007-11-05,39.276,39.67,38.564,39.67,2919
2007-11-06,39.67,39.67,37.932,39.512,1507
2007-11-07,38.05,39.434,37.702,38.722,9740
2007-11-08,36.352,37.932,35.955,36.422,26617
2007-11-09,35.948,36.746,35.324,36.343,9473
2007-11-12,37.142,37.142,34.494,35.166,4457
2007-11-13,34.77,35.561,34.139,35.166,1757
2007-11-14,36.51,37.853,34.77,35.442,1341
2007-11-15,34.691,34.77,31.618,33.19,1829
2007-11-16,32.795,33.19,32.005,32.4,5780
2007-11-19,33.19,33.981,32.005,32.858,1228
2007-11-20,32.005,33.577,31.926,33.167,456
2007-11-21,32.4,32.4,31.609,31.609,407
2007-11-22,30.464,32.4,30.464,32.4,4350
2007-11-23,32.4,32.795,31.294,32.795,1757
2007-11-26,32.4,33.182,31.807,32.321,1514
2007-11-27,30.819,32.321,30.819,32.321,729
2007-11-28,31.609,32.321,31.609,32.005,826
2007-11-29,31.254,33.19,31.215,32.005,4207
2007-11-30,32.795,32.795,31.618,32.005,1536
2007-12-03,31.609,32.787,31.53,32.787,975
2007-12-04,32.242,32.242,31.381,31.381,1113
2007-12-05,31.609,32.234,31.609,32.234,361
2007-12-06,31.957,31.965,31.688,31.688,278
2007-12-07,31.926,32.123,30.029,30.503,6158
2007-12-10,31.957,31.957,30.819,31.609,936
2007-12-11,30.978,31.767,30.827,31.767,185
2007-12-12,31.609,31.926,29.634,31.926,1301
2007-12-13,31.926,31.981,31.23,31.981,381
