Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-05,18.373,18.421,18.13,18.13,413
2005-01-06,18.227,18.227,18.227,18.227,120
2005-01-11,18.13,18.421,18.13,18.421,192
2005-01-12,17.597,17.597,17.597,17.597,114
2005-01-13,17.597,18.082,17.597,18.082,1032
2005-01-14,17.355,18.082,17.355,18.082,89
2005-01-17,17.452,17.452,16.773,16.773,1253
2005-01-18,16.482,17.84,16.482,17.84,5
2005-01-19,16.967,17.646,16.967,17.646,104
2005-01-20,17.646,17.646,17.646,17.646,103
2005-01-21,17.161,17.646,17.064,17.646,1136
2005-01-24,17.064,17.064,16.482,16.482,2063
2005-01-25,16.385,17.403,16.385,17.403,981
2005-01-26,16.385,16.385,16.385,16.385,206
2005-01-27,16.482,17.403,16.482,17.403,228
2005-01-28,15.997,16.482,15.852,16.482,871
2005-01-31,15.852,17.306,15.61,17.306,1294
2005-02-01,16.094,16.773,15.61,16.773,1032
2005-02-02,16.482,16.482,16.482,16.482,516
2005-02-03,15.804,16.482,15.707,16.482,1032
2005-02-04,16.385,16.482,16.385,16.482,156
2005-02-09,16.143,17.161,15.997,15.997,689
2005-02-14,17.161,17.355,17.161,17.355,309
2005-02-15,16.385,17.306,16.046,17.306,317
2005-02-17,16.87,17.355,16.87,17.355,632
2005-02-18,17.355,17.452,17.355,17.452,503
2005-02-21,18.082,18.082,18.082,18.082,1
2005-02-22,17.355,17.985,17.355,17.985,36
2005-02-23,17.452,17.985,17.452,17.985,187
2005-02-24,17.355,18.082,17.258,18.082,590
2005-02-25,17.355,17.355,17.355,17.355,206
2005-02-28,17.937,17.937,17.937,17.937,1
2005-03-03,17.888,18.615,17.888,18.615,1217
2005-03-04,16.967,17.743,16.967,17.646,1022
2005-03-07,17.452,17.452,17.452,17.452,103
2005-03-08,16.967,18.615,16.967,18.615,225
2005-03-11,16.967,17.452,16.967,17.452,104
2005-03-14,16.676,17.937,16.676,17.937,110
2005-03-15,16.725,16.725,16.676,16.676,289
2005-03-16,16.676,17.452,16.482,17.452,372
2005-03-17,17.452,17.888,17.452,17.888,1288
2005-03-18,17.452,17.937,17.258,17.646,1024
2005-03-21,17.646,17.646,17.452,17.452,415
2005-03-22,17.452,17.937,16.87,17.937,268
2005-03-23,17.937,18.324,17.937,18.324,517
2005-03-24,17.743,18.227,17.646,18.227,775
2005-03-29,17.452,18.276,17.452,18.276,517
2005-03-30,17.937,17.937,17.258,17.937,919
2005-03-31,17.161,17.84,16.967,17.84,1455
2005-04-01,17.064,17.937,17.064,17.937,1032
2005-04-04,17.452,18.906,17.452,18.906,4093
2005-04-05,17.549,18.421,17.452,18.421,399
2005-04-06,18.421,18.615,17.452,18.615,2167
2005-04-07,17.452,18.421,17.452,18.421,909
2005-04-12,17.597,18.373,17.597,18.373,1585
2005-04-13,17.597,18.227,17.549,18.227,1600
2005-04-14,17.452,18.227,17.452,18.227,517
2005-04-18,17.452,17.452,17.355,17.355,1898
2005-04-19,17.452,17.452,16.967,16.967,2416
2005-04-20,17.015,17.015,16.482,16.967,3062
2005-04-21,17.84,18.082,17.452,17.937,1748
2005-04-22,17.646,17.743,17.646,17.743,618
2005-04-25,16.482,16.482,16.482,16.482,206
2005-04-26,16.579,17.743,16.579,17.743,1010
2005-04-27,16.773,17.258,16.579,17.258,1023
2005-05-04,16.191,17.452,16.191,17.452,393
2005-05-06,16.482,17.355,16.482,17.355,1245
2005-05-09,17.258,17.355,16.531,16.531,3999
2005-05-10,17.452,17.452,17.452,17.452,6
2005-05-11,16.725,17.403,16.482,17.403,599
2005-05-12,16.579,17.403,16.482,17.403,843
2005-05-13,16.482,17.403,16.482,17.403,156
2005-05-18,16.482,16.482,16.482,16.482,611
2005-05-19,16.482,16.482,16.482,16.482,1378
2005-05-20,16.385,16.385,16.385,16.385,271
