Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-06-11,13.264,13.264,11.681,11.681,466061
2007-06-12,11.937,12.335,11.725,11.982,54928
2007-06-13,11.973,12.433,11.866,12.388,51763
2007-06-14,12.574,12.698,12.388,12.645,72602
2007-06-15,12.831,14.503,12.698,14.141,106012
2007-06-18,14.689,15.928,14.247,14.388,124289
2007-06-19,14.654,15.264,14.654,14.778,27822
2007-06-20,15.043,15.043,14.609,14.689,30119
2007-06-21,14.91,14.955,13.804,14.946,17104
2007-06-22,14.601,14.601,14.335,14.388,28053
2007-06-25,14.928,14.928,13.716,14.132,32543
2007-06-26,13.406,14.158,13.406,13.884,31424
2007-06-27,13.627,13.636,13.415,13.539,7489
2007-06-28,13.362,13.893,13.362,13.415,12227
2007-06-29,13.424,13.689,12.875,12.875,4851
2007-07-02,12.831,13.141,12.831,12.875,3942
2007-07-03,12.831,13.141,12.707,12.742,5634
2007-07-04,13.141,13.273,12.99,13.061,10694
2007-07-05,13.273,13.273,12.831,13.061,1424
2007-07-06,12.787,13.008,12.698,12.742,8309
2007-07-09,13.362,15.353,13.273,14.158,19504
2007-07-10,14.273,14.273,13.105,13.318,18052
2007-07-11,13.707,14.247,12.742,13.318,7573
2007-07-12,13.273,13.273,12.742,13.211,5080
2007-07-13,13.008,13.247,12.388,12.919,24064
2007-07-16,12.919,13.096,12.22,12.477,83242
2007-07-17,12.512,12.866,12.371,12.778,21460
2007-07-18,12.866,13.362,12.477,13.362,3132
2007-07-19,13.061,13.061,12.565,12.565,6490
2007-07-20,12.565,13.256,12.167,12.397,3796
2007-07-23,12.61,13.052,12.052,13.043,4429
2007-07-24,13.008,13.008,12.123,12.742,3611
2007-07-25,12.734,12.734,12.141,12.141,3827
2007-07-26,12.919,13.008,12.388,12.433,8201
2007-07-27,12.123,12.831,12.123,12.512,4904
2007-07-30,12.141,12.831,12.141,12.831,194
2007-07-31,12.831,12.919,12.654,12.787,25091
2007-08-01,12.38,12.742,12.38,12.742,3826
2007-08-02,12.742,12.742,12.601,12.601,65
2007-08-03,12.742,12.787,12.565,12.565,6290
2007-08-06,12.132,12.725,12.132,12.141,1495
2007-08-07,12.388,12.388,11.769,11.769,2696
2007-08-08,12.344,12.344,12.211,12.211,1276
2007-08-09,12.3,12.3,11.061,11.592,8324
2007-08-10,12.114,12.123,10.822,12.123,24328
2007-08-13,12.123,12.61,11.521,12.548,4386
2007-08-14,11.955,12.3,11.424,11.424,5224
2007-08-16,10.822,11.504,9.734,9.734,5940
2007-08-17,9.725,10.973,9.725,10.265,5249
2007-08-20,11.061,11.105,10.707,10.796,6288
2007-08-21,10.353,10.619,10.238,10.256,3126
2007-08-22,9.663,10.619,9.3797,10.619,23881
2007-08-23,10.619,11.406,10.619,10.796,7515
2007-08-24,10.114,10.751,10.114,10.751,7700
2007-08-27,10.707,10.707,10.274,10.619,6008
2007-08-28,10.574,10.619,10.353,10.442,88850
2007-08-29,10.265,10.796,10.265,10.442,1805
2007-08-30,10.619,10.743,10.008,10.61,13422
2007-08-31,10.53,10.796,10.53,10.707,4863
2007-09-03,10.796,11.061,10.796,10.796,3384
2007-09-04,10.796,10.796,10.796,10.796,266
2007-09-05,10.194,11.061,10.132,10.92,21000
2007-09-06,11.017,11.105,10.53,10.973,20616
2007-09-07,11.371,11.371,10.707,11.052,1872
2007-09-10,11.052,11.504,10.442,11.194,27869
2007-09-11,11.194,11.194,10.451,11.15,20437
2007-09-12,11.194,11.194,10.981,11.176,2759
2007-09-13,10.981,11.229,10.796,11.105,3172
2007-09-14,10.884,11.415,10.884,11.203,11189
2007-09-17,11.486,12.557,11.486,12.291,13080
2007-09-18,12.397,13.636,12.397,13.264,45681
2007-09-19,14.07,15.025,13.45,13.716,66420
2007-09-20,14.025,14.025,12.76,12.778,10933
2007-09-21,13.627,13.627,13.229,13.264,1218
2007-09-24,13.264,13.273,12.654,12.831,7864
2007-09-25,13.362,13.716,13.008,13.273,7292
2007-09-26,13.689,13.716,12.884,13.114,15192
2007-09-27,13.45,14.574,12.964,14.149,33471
2007-09-28,14.565,14.565,13.716,14.512,23922
2007-10-01,14.512,14.512,14.017,14.158,9224
2007-10-02,14.158,14.592,13.672,13.716,28357
2007-10-03,13.716,13.893,13.362,13.716,4674
2007-10-04,13.362,13.539,12.964,12.964,15648
2007-10-05,13.105,13.627,13.105,13.141,3714
2007-10-08,13.096,13.645,13.052,13.406,12517
2007-10-09,13.716,13.716,12.893,13.433,26308
2007-10-10,13.539,13.716,13.096,13.672,3666
2007-10-11,13.185,13.45,13.141,13.273,5633
2007-10-12,13.141,13.521,12.831,13.512,16350
2007-10-15,13.105,13.627,13.105,13.185,4077
2007-10-16,13.185,13.185,12.654,12.698,20562
2007-10-17,12.751,12.751,12.698,12.698,1131
2007-10-18,12.751,12.751,12.548,12.565,13452
2007-10-19,12.548,13.096,12.034,12.831,6288
2007-10-22,12.433,13.22,12.309,13.043,4917
2007-10-23,13.211,13.211,12.397,12.406,4730
2007-10-24,12.327,12.565,12.327,12.565,11017
2007-10-25,12.362,12.477,12.309,12.388,2306
2007-10-26,12.353,12.353,11.689,12.344,23614
2007-10-29,12.034,12.787,11.99,12.787,2834
2007-10-30,12.132,12.565,12.132,12.397,3181
2007-10-31,12.397,12.698,12.211,12.388,3803
2007-11-02,12.3,12.3,12.203,12.211,2214
2007-11-05,12.335,12.335,12.034,12.123,20793
2007-11-06,12.123,12.123,11.955,11.955,1123
2007-11-07,11.955,11.955,11.371,11.654,10976
2007-11-08,11.335,12.176,10.619,11.937,1525
2007-11-09,11.946,11.946,11.238,11.238,3155
2007-11-12,11.238,11.406,11.238,11.238,3127
2007-11-13,12.238,12.238,11.061,11.061,1481
2007-11-14,11.088,11.15,11.088,11.15,2376
2007-11-15,11.15,11.15,11.105,11.105,5275
2007-11-16,11.105,11.15,10.619,10.707,5482
2007-11-19,10.619,11.229,10.442,10.451,1995
2007-11-20,10.451,10.619,10.176,10.619,3831
2007-11-21,10.22,11.096,9.964,10.751,27075
2007-11-22,10.265,10.707,9.999,10.663,17973
2007-11-23,10.229,10.619,10.22,10.619,22054
2007-11-26,10.645,11.504,10.645,11.327,5811
2007-11-27,11.504,11.504,10.619,10.619,2221
2007-11-28,10.796,10.796,10.442,10.442,12195
2007-11-29,10.707,11.061,10.707,10.778,1634
2007-11-30,10.751,11.15,10.619,10.973,1099
2007-12-03,11.327,11.327,11.327,11.327,1
2007-12-04,10.619,11.318,10.619,11.061,3035
2007-12-05,11.061,11.22,10.751,10.804,4369
2007-12-06,10.84,11.22,10.84,11.15,3435
2007-12-07,11.327,12.034,11.282,11.592,7828
2007-12-10,12.034,12.388,11.371,11.433,5223
2007-12-11,11.504,12.388,11.433,12.335,9649
2007-12-12,12.371,13.273,11.601,12.831,45694
2007-12-13,11.477,13.052,11.477,12.893,1409
2007-12-14,12.831,12.831,11.946,12.433,10496
2007-12-17,11.946,12.211,11.946,12.203,5982
2007-12-18,11.946,12.477,11.946,12.477,4674
2007-12-19,12.557,12.734,12.123,12.734,1695
2007-12-20,12.742,12.875,12.265,12.831,1967
2007-12-21,12.512,13.273,11.946,12.388,10791
2007-12-27,12.229,12.229,12.211,12.211,787
2007-12-28,12.742,12.742,12.734,12.742,2169
2008-01-02,12.849,13.318,12.742,12.999,1355
2008-01-03,12.751,13.627,12.654,13.583,13867
2008-01-04,12.68,13.495,12.68,12.857,1878
2008-01-07,12.601,13.318,12.388,12.601,21974
2008-01-08,12.654,13.362,12.441,12.441,12659
2008-01-09,12.45,12.742,11.99,12.388,23745
2008-01-10,11.99,12.034,11.937,11.946,6043
2008-01-11,11.636,12.645,11.158,11.911,14541
2008-01-14,11.636,12.742,11.636,12.619,3418
2008-01-15,11.636,12.787,11.636,11.813,4179
2008-01-16,12.079,12.079,11.15,11.849,6984
2008-01-17,11.937,12.601,11.504,12.601,3128
2008-01-18,12.592,12.592,12.592,12.592,12
2008-01-21,12.034,12.362,12.026,12.362,955
2008-01-22,12.362,12.362,11.468,12.3,1068
2008-01-23,12.388,12.388,12.3,12.3,267
2008-01-24,11.681,12.388,11.681,12.388,744
2008-01-28,11.477,11.477,11.477,11.477,1244
2008-01-29,11.645,12.211,11.504,11.504,12765
2008-01-30,12.167,12.371,11.256,12.371,645
2008-01-31,11.592,12.3,11.592,11.681,3135
2008-02-01,11.858,12.353,11.592,12.335,2198
2008-02-04,11.698,11.698,11.636,11.681,6240
2008-02-05,11.406,12.22,11.397,11.946,12941
2008-02-06,12.017,12.017,12.017,12.017,282
2008-02-07,11.928,12.079,11.928,11.946,2944
2008-02-08,11.946,11.99,11.256,11.99,1322
2008-02-11,11.459,11.946,11.459,11.937,3446
2008-02-12,11.99,11.99,11.433,11.937,8466
2008-02-13,11.53,11.919,11.53,11.919,1809
2008-02-14,11.504,11.884,11.504,11.884,1903
2008-02-15,11.725,12.123,11.725,12.123,736
2008-02-18,12.211,12.211,11.636,11.76,8548
2008-02-19,11.512,11.813,11.504,11.521,2650
2008-02-20,11.813,11.858,11.521,11.858,1322
2008-02-21,11.53,11.858,11.53,11.858,449
2008-02-22,11.521,11.521,11.061,11.141,11791
2008-02-25,11.495,11.725,11.486,11.486,1131
2008-02-26,11.937,11.937,11.061,11.061,2128
2008-02-27,11.902,11.902,11.114,11.114,599
2008-02-28,11.804,11.804,10.451,11.495,1877
2008-02-29,11.495,11.495,11.061,11.459,384
2008-03-03,11.371,11.45,11.371,11.45,383
2008-03-04,10.707,11.45,10.707,11.45,114
2008-03-05,10.84,11.362,10.84,11.362,237
2008-03-06,10.831,11.309,10.831,11.309,395
2008-03-07,10.645,10.663,10.424,10.424,2842
2008-03-10,9.84,10.796,9.84,10.663,680
2008-03-11,10.619,10.619,10.61,10.619,1866
2008-03-12,11.459,11.459,10.044,10.176,10647
2008-03-13,10.176,11.061,10.176,10.973,5874
2008-03-17,11.327,11.858,11.327,11.504,689
2008-03-18,11.849,11.849,11.849,11.849,340
2008-03-19,11.813,11.813,10.796,11.495,6558
2008-03-20,10.804,11.504,10.804,10.804,511
2008-03-25,11.397,11.397,10.619,10.619,626
2008-03-27,11.477,11.477,10.619,11.459,7843
2008-03-28,10.672,11.389,10.672,11.389,656
2008-03-31,11.486,11.486,11.486,11.486,1131
2008-04-01,10.84,11.504,10.822,11.504,11894
2008-04-02,10.99,11.495,10.99,11.495,1017
2008-04-03,10.893,11.459,10.884,11.043,2395
2008-04-04,11.035,11.344,10.813,11.344,3250
2008-04-07,11.592,11.858,11.079,11.504,1097
2008-04-08,11.15,11.504,11.15,11.504,1628
2008-04-09,11.486,11.486,11.486,11.486,3
2008-04-10,11.079,11.663,11.017,11.663,5625
2008-04-11,11.114,11.663,11.061,11.061,10580
2008-04-14,11.389,11.389,11.389,11.389,282
2008-04-15,11.026,11.309,11.017,11.309,1674
2008-04-17,11.477,11.486,11.07,11.07,735
2008-04-18,11.459,11.504,11.459,11.504,3812
2008-04-21,11.238,11.238,11.238,11.238,453
2008-04-22,11.504,11.504,11.415,11.504,4366
2008-04-23,11.548,11.548,11.105,11.548,4060
2008-04-24,11.504,11.937,11.504,11.902,5672
2008-04-25,11.504,12.034,11.504,12.034,735
2008-04-28,11.636,11.902,11.105,11.902,2055
2008-04-29,11.76,11.76,11.76,11.76,233
2008-04-30,11.548,11.902,11.247,11.902,5700
2008-05-05,11.893,11.902,11.504,11.902,1751
2008-05-07,11.858,12.742,11.858,12.371,3407
2008-05-08,12.344,12.344,12.123,12.344,1686
2008-05-09,12.38,12.38,11.734,12.38,3051
