Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,109.01,109.01,109.01,109.01,6450
2005-01-04,110.13,110.13,110.13,110.13,8382
2005-01-05,112.28,112.28,112.28,112.28,4218
2005-01-06,112.43,112.43,112.43,112.43,15450
2005-01-07,112.18,112.18,112.18,112.18,16672
2005-01-10,110.33,110.33,110.33,110.33,28417
2005-01-11,109.98,109.98,109.98,109.98,21768
2005-01-12,110.8,110.8,110.8,110.8,60840
2005-01-13,111.07,111.07,111.07,111.07,10156
2005-01-14,110.51,110.51,110.51,110.51,11103
2005-01-17,110.84,110.84,110.84,110.84,9197
2005-01-18,111.08,111.08,111.08,111.08,7015
2005-01-19,111.41,111.41,111.41,111.41,19893
2005-01-20,111.99,111.99,111.99,111.99,12338
2005-01-21,111.41,111.41,111.41,111.41,20508
2005-01-24,110.96,110.96,110.96,110.96,17735
2005-01-25,110.61,110.61,110.61,110.61,17895
2005-01-26,110.52,110.52,110.52,110.52,10051
2005-01-27,110.62,110.62,110.62,110.62,9552
2005-01-28,110.71,110.71,110.71,110.71,27143
2005-01-31,110.89,110.89,110.89,110.89,9197
2005-02-01,111.27,111.27,111.27,111.27,17079
2005-02-02,110.68,110.68,110.68,110.68,12468
2005-02-03,107.53,107.53,107.53,107.53,32898
2005-02-04,105.7,105.7,105.7,105.7,21455
2005-02-07,104.49,104.49,104.49,104.49,27170
2005-02-09,105.85,105.85,105.85,105.85,12231
2005-02-10,106.47,106.47,106.47,106.47,13295
2005-02-11,108.18,108.18,108.18,108.18,7764
2005-02-14,108.07,108.07,108.07,108.07,17749
2005-02-15,107.4,107.4,107.4,107.4,6636
2005-02-16,107.21,107.21,107.21,107.21,15858
2005-02-17,107.64,107.64,107.64,107.64,8725
2005-02-18,107.61,107.61,107.61,107.61,13823
2005-02-21,107.51,107.51,107.51,107.51,12509
2005-02-22,107.02,107.02,107.02,107.02,7831
2005-02-23,106.81,106.81,106.81,106.81,34620
2005-02-24,106.42,106.42,106.42,106.42,26144
2005-02-25,105.39,105.39,105.39,105.39,13138
2005-02-28,104.99,104.99,104.99,104.99,10024
2005-03-01,104.57,104.57,104.57,104.57,5204
2005-03-02,104.46,104.46,104.46,104.46,10694
2005-03-03,104.96,104.96,104.96,104.96,16396
2005-03-04,104.97,104.97,104.97,104.97,3257
2005-03-07,103.8,103.8,103.8,103.8,5979
2005-03-08,103.64,103.64,103.64,103.64,7528
2005-03-09,103.65,103.65,103.65,103.65,8920
2005-03-10,105.7,105.7,105.7,105.7,15661
2005-03-11,104.46,104.46,104.46,104.46,21269
2005-03-14,103.58,103.58,103.58,103.58,44616
2005-03-15,102.16,102.16,102.16,102.16,25501
2005-03-16,104.56,104.56,104.56,104.56,19615
2005-03-17,106,106,106,106,11955
2005-03-18,103.3,103.3,103.3,103.3,12101
2005-03-21,102.24,102.24,102.24,102.24,28233
2005-03-22,101.9,101.9,101.9,101.9,37601
2005-03-23,102.57,102.57,102.57,102.57,15502
2005-03-24,102.78,102.78,102.78,102.78,17447
2005-03-25,103.06,103.06,103.06,103.06,10682
2005-03-29,104.67,104.67,104.67,104.67,16947
2005-03-30,104.38,104.38,104.38,104.38,43776
2005-03-31,103.69,103.69,103.69,103.69,33083
2005-04-01,103.75,103.75,103.75,103.75,19208
2005-04-04,102.86,102.86,102.86,102.86,10182
2005-04-05,103.29,103.29,103.29,103.29,18143
2005-04-06,102.96,102.96,102.96,102.96,12231
2005-04-07,102.99,102.99,102.99,102.99,4783
2005-04-08,102.96,102.96,102.96,102.96,5334
2005-04-11,102.1,102.1,102.1,102.1,3586
2005-04-12,101.84,101.84,101.84,101.84,5073
2005-04-13,101.56,101.56,101.56,101.56,5924
2005-04-14,102,102,102,102,9893
2005-04-15,102.11,102.11,102.11,102.11,15463
2005-04-18,101.87,101.87,101.87,101.87,11614
