Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,17.79,18.402,17.79,18.402,258
2005-01-04,17.839,18.243,17.79,18.243,1990
2005-01-05,17.887,17.887,17.689,17.689,2440
2005-01-06,17.434,17.434,17.434,17.434,360
2005-01-07,17.483,17.79,17.434,17.434,1028
2005-01-10,16.873,17.736,16.77,17.537,1527
2005-01-11,17.277,17.537,17.277,17.537,1839
2005-01-12,17.586,17.586,17.586,17.586,143
2005-01-13,17.331,17.586,17.277,17.586,612
2005-01-14,17.277,17.586,17.277,17.586,1169
2005-01-17,17.537,17.537,17.38,17.483,397
2005-01-18,17.586,17.736,17.434,17.736,1206
2005-01-19,17.79,17.79,17.79,17.79,492
2005-01-20,17.537,17.736,17.537,17.537,980
2005-01-21,17.537,17.689,17.537,17.689,2578
2005-01-24,17.537,17.689,17.38,17.689,700
2005-01-25,17.537,17.736,17.537,17.736,1208
2005-01-26,17.537,17.736,17.537,17.736,1063
2005-01-27,17.689,17.736,17.537,17.736,777
2005-01-28,17.434,17.434,17.277,17.277,727
2005-01-31,17.277,17.736,17.277,17.736,808
2005-02-01,17.277,17.38,17.277,17.38,3635
2005-02-02,17.331,17.537,17.331,17.434,660
2005-02-03,17.483,17.483,17.483,17.483,813
2005-02-04,17.586,17.586,17.483,17.483,397
2005-02-07,17.277,17.537,17.277,17.537,1011
2005-02-08,17.736,17.736,17.537,17.537,343
2005-02-09,17.537,17.689,17.537,17.633,13044
2005-02-10,17.586,17.79,17.537,17.736,6576
2005-02-11,17.79,17.79,17.125,17.79,2558
2005-02-14,17.125,17.989,17.125,17.483,1245
2005-02-15,17.483,17.633,17.277,17.633,13126
2005-02-16,17.125,17.79,17.125,17.736,1154
2005-02-17,17.18,17.483,17.023,17.077,1604
2005-02-18,16.414,17.023,16.414,17.023,3176
2005-02-21,16.667,16.975,16.161,16.77,15941
2005-02-22,16.317,16.317,16.112,16.216,1670
2005-02-23,16.112,16.161,16.112,16.161,629
2005-02-24,16.161,16.77,16.161,16.722,13942
2005-02-25,16.975,16.975,16.216,16.722,2321
2005-02-28,16.722,16.722,16.161,16.619,1351
2005-03-01,16.667,16.667,16.667,16.667,1
2005-03-02,16.057,16.057,15.961,16.057,614
2005-03-03,16.057,16.516,15.804,16.516,730
2005-03-04,15.858,16.468,15.399,16.161,1830
2005-03-07,16.263,16.263,16.263,16.263,1
2005-03-08,16.161,16.263,15.756,16.216,9675
2005-03-09,16.008,16.516,15.653,16.414,1813
2005-03-10,15.906,16.619,15.653,15.906,9650
2005-03-11,15.804,16.414,15.756,15.756,679
2005-03-14,15.756,15.804,15.653,15.756,3635
2005-03-15,15.756,16.216,15.756,15.804,741
2005-03-16,15.708,15.708,14.891,15.248,5665
2005-03-17,14.687,15.145,14.487,14.487,5796
2005-03-18,14.433,14.74,14.433,14.433,25311
2005-03-21,14.74,14.74,14.233,14.64,1479
2005-03-22,14.233,14.584,14.233,14.584,4249
2005-03-23,14.282,14.282,14.233,14.233,396
2005-03-24,14.384,14.384,14.233,14.233,2016
2005-03-29,14.282,14.282,13.877,14.233,851
2005-03-30,13.925,14.64,13.57,14.384,1196
2005-03-31,14.33,14.687,14.233,14.64,9042
2005-04-01,14.384,14.843,14.384,14.843,2212
2005-04-04,14.843,15.042,14.843,14.994,3227
2005-04-05,14.994,15.194,14.994,14.994,614
2005-04-06,14.994,14.994,14.891,14.994,3599
2005-04-07,14.891,14.994,14.891,14.994,2145
2005-04-11,15.097,15.097,14.994,15.042,2203
2005-04-12,14.994,15.248,14.994,15.248,2835
2005-04-13,15.55,15.756,15.296,15.756,1862
2005-04-14,15.756,15.756,15.248,15.248,21429
2005-04-15,15.248,15.653,15.248,15.653,6578
2005-04-18,15.55,15.55,14.891,15.248,1025
2005-04-19,15.097,15.55,15.097,15.501,431
2005-04-20,14.994,15.55,14.994,15.55,374
2005-04-21,15.756,15.756,14.789,15.042,698
2005-04-22,14.994,15.501,14.994,15.501,607
2005-04-25,14.994,15.042,14.994,15.042,504
2005-04-26,15.042,15.042,15.042,15.042,125
2005-04-27,14.74,15.194,14.536,15.194,1107
2005-04-28,14.891,15.194,14.891,15.194,982
2005-04-29,15.194,15.248,15.194,15.248,246
2005-05-02,15.501,15.501,15.042,15.501,808
2005-05-04,15.756,15.756,14.687,15.296,1779
2005-05-05,14.994,15.35,14.536,14.891,2124
2005-05-06,15.501,15.501,14.584,14.74,7338
2005-05-09,15.145,15.194,14.789,15.042,3480
2005-05-10,14.994,15.042,14.64,14.64,2685
2005-05-11,14.487,14.584,14.487,14.584,546
2005-05-12,14.487,14.487,14.487,14.487,264
2005-05-13,14.233,14.584,14.233,14.584,425
2005-05-16,14.233,14.233,14.027,14.027,425
2005-05-17,14.027,14.487,14.027,14.487,417
2005-05-18,13.974,14.536,13.974,14.536,350
2005-05-19,14.487,14.74,14.18,14.74,505
2005-05-20,14.384,14.891,14.384,14.843,504
2005-05-23,14.789,14.994,14.789,14.994,1021
2005-05-24,14.789,14.789,14.33,14.384,881
2005-05-25,14.433,14.433,14.233,14.384,3905
2005-05-27,14.384,14.384,14.384,14.384,80
2005-05-30,14.233,14.433,14.027,14.433,851
2005-06-01,14.282,14.64,14.282,14.64,163
2005-06-02,14.64,14.687,14.64,14.64,1199
2005-06-03,14.384,14.487,14.282,14.487,510
2005-06-06,14.487,14.843,14.487,14.487,827
2005-06-07,14.536,14.584,14.536,14.584,665
2005-06-08,14.433,14.74,14.384,14.74,1369
2005-06-09,14.536,14.74,14.536,14.74,709
2005-06-10,15.042,15.906,15.042,15.55,15627
2005-06-13,16.216,16.216,15.35,15.756,9053
2005-06-14,15.756,15.961,15.604,15.604,1006
2005-06-15,15.55,15.756,15.55,15.756,1351
2005-06-16,15.961,15.961,15.756,15.756,1844
2005-06-17,15.501,15.708,15.501,15.55,7212
2005-06-20,15.501,15.756,15.501,15.756,1904
2005-06-21,16.161,16.317,15.804,16.216,18839
2005-06-22,16.216,16.414,16.008,16.365,5821
2005-06-23,16.161,16.516,16.161,16.263,2043
2005-06-24,16.008,16.365,16.008,16.365,1352
2005-06-27,16.057,16.161,15.804,15.906,1090
2005-06-28,15.961,16.263,15.961,15.961,3593
2005-06-29,16.112,16.161,15.858,16.161,276
2005-06-30,16.161,16.216,16.112,16.161,4205
2005-07-01,15.858,15.858,15.399,15.756,4595
2005-07-04,15.55,15.756,15.55,15.756,886
2005-07-05,15.604,15.756,15.55,15.756,2415
2005-07-06,15.55,15.756,15.55,15.756,307
2005-07-07,15.501,15.501,15.399,15.501,2609
2005-07-08,15.501,15.858,15.501,15.858,1231
2005-07-11,15.858,16.216,15.858,16.161,1397
2005-07-12,16.112,16.112,16.008,16.008,465
2005-07-13,16.057,16.057,15.858,15.858,1710
2005-07-14,15.653,15.756,15.604,15.756,2136
2005-07-15,15.604,16.161,15.604,16.112,251
2005-07-18,16.057,16.263,15.653,15.708,3228
2005-07-19,15.708,15.756,15.708,15.756,590
2005-07-20,15.961,16.824,15.961,16.77,10180
2005-07-21,16.927,16.927,16.365,16.619,1376
2005-07-22,16.317,16.365,16.263,16.317,453
2005-07-25,16.317,16.317,16.057,16.263,3377
2005-07-26,16.263,16.263,16.216,16.216,1801
2005-07-27,16.216,16.414,16.057,16.365,1863
2005-07-28,16.414,16.516,16.414,16.516,764
2005-07-29,16.516,16.619,16.516,16.571,11126
2005-08-01,16.263,16.619,16.161,16.619,2750
2005-08-02,16.516,17.228,16.516,17.228,19535
2005-08-03,17.18,17.18,16.722,16.722,21048
2005-08-04,16.571,17.18,16.516,17.18,4773
2005-08-05,16.516,16.516,16.263,16.263,31380
2005-08-08,15.858,15.858,15.604,15.653,7269
2005-08-09,15.708,16.008,15.708,15.906,25504
2005-08-10,15.906,15.961,15.756,15.961,5714
2005-08-11,15.961,16.008,15.961,16.008,1439
2005-08-12,15.804,16.161,15.804,15.961,24915
2005-08-16,15.961,15.961,15.858,15.858,1231
2005-08-17,15.858,15.906,15.501,15.756,17092
2005-08-18,15.804,16.008,15.604,15.604,3672
2005-08-19,15.756,15.906,15.604,15.604,1850
2005-08-22,16.112,16.112,15.756,16.008,3723
2005-08-23,16.008,16.057,15.961,16.008,20377
2005-08-24,16.008,16.008,16.008,16.008,2016
2005-08-25,16.008,16.008,15.804,15.804,554
2005-08-26,15.858,15.961,15.501,15.961,1529
2005-08-29,15.756,15.906,15.55,15.906,1888
2005-08-30,15.961,16.161,15.906,16.112,14264
2005-08-31,16.008,16.112,15.906,16.112,2126
2005-09-01,15.906,16.161,15.906,15.961,6117
2005-09-02,16.161,16.161,15.756,16.161,2224
2005-09-05,16.008,16.008,15.858,16.008,2303
2005-09-06,16.112,16.112,16.112,16.112,154
2005-09-07,15.961,15.961,15.756,15.858,7754
2005-09-08,15.858,15.858,15.756,15.756,1433
2005-09-09,15.756,15.858,15.756,15.756,21967
2005-09-12,15.804,16.057,15.804,16.057,6155
2005-09-13,16.057,16.057,15.756,15.756,15596
2005-09-14,15.804,15.804,15.653,15.756,2263
2005-09-15,15.804,15.804,15.604,15.708,4198
2005-09-16,15.708,15.756,15.55,15.708,5956
2005-09-19,15.756,15.756,15.708,15.756,15745
2005-09-20,15.756,15.756,15.653,15.756,5214
2005-09-21,15.653,15.756,15.653,15.756,7090
2005-09-22,15.756,15.756,15.653,15.756,14107
2005-09-23,15.804,16.008,15.756,16.008,30033
2005-09-26,16.057,16.057,15.708,15.858,36880
2005-09-27,16.184,16.184,15.804,15.858,16046
2005-09-28,15.858,15.966,15.587,15.749,21686
2005-09-29,16.021,16.074,15.749,15.912,5791
2005-09-30,15.694,15.694,15.37,15.422,4754
2005-10-03,15.477,15.477,15.152,15.37,2853
2005-10-04,15.37,15.37,14.661,14.987,44534
2005-10-05,15.097,15.858,15.097,15.858,88899
2005-10-06,15.749,16.021,15.477,15.966,78491
2005-10-07,16.074,16.074,15.749,15.749,783
2005-10-10,16.021,16.074,15.749,16.021,1481
2005-10-11,15.804,15.804,15.694,15.749,35775
2005-10-12,16.021,16.074,15.749,16.074,31152
2005-10-13,16.021,16.074,15.804,16.021,16020
2005-10-14,15.804,15.966,15.749,15.804,9628
2005-10-17,16.021,16.074,15.858,16.074,1611
2005-10-18,15.804,16.074,15.749,16.074,125814
2005-10-19,15.912,15.966,15.749,15.912,6916
2005-10-20,16.021,16.13,15.966,16.13,16688
