Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,75.152,76.306,74.87,75.152,7464
2005-01-04,75.725,75.725,74.578,74.578,1150
2005-01-05,73.726,73.726,73.152,73.152,13427
2005-01-06,72.862,72.862,70.852,71.426,44049
2005-01-07,71.716,73.152,71.716,71.999,79269
2005-01-10,72.289,73.152,71.999,72.289,57743
2005-01-11,72.862,73.435,72.289,73.435,35166
2005-01-12,73.435,74.008,73.152,74.008,136497
2005-01-13,74.578,74.578,74.008,74.008,13154
2005-01-14,73.726,75.152,73.726,75.152,16435
2005-01-17,75.442,76.016,74.578,76.016,12461
2005-01-18,76.016,76.016,73.726,73.726,53163
2005-01-19,73.435,75.442,73.152,73.435,15515
2005-01-20,72.572,74.578,71.999,74.008,6746
2005-01-21,74.578,74.578,73.435,74.296,863
2005-01-24,74.87,74.87,73.435,74.578,4479
2005-01-25,74.578,75.442,73.726,75.152,34258
2005-01-26,75.725,75.725,75.152,75.442,9344
2005-01-27,75.725,76.306,75.152,75.725,11336
2005-01-28,75.725,77.163,75.725,76.88,46585
2005-01-31,76.88,78.888,76.88,78.888,38897
2005-02-01,78.023,83.188,77.735,83.188,62207
2005-02-02,83.188,83.474,81.473,82.616,57200
2005-02-03,82.616,82.616,80.039,82.616,6917
2005-02-04,82.616,82.616,80.895,82.037,12346
2005-02-07,81.751,83.76,81.473,83.76,69803
2005-02-08,83.188,83.76,82.331,83.188,52553
2005-02-09,83.188,84.332,82.331,83.76,33662
2005-02-10,83.76,84.332,83.188,83.188,9366
2005-02-11,84.332,84.911,82.616,83.474,8504
2005-02-14,83.188,84.626,82.331,82.616,11100
2005-02-15,82.616,84.332,82.037,83.474,77206
2005-02-16,83.76,87.204,83.76,85.476,17587
2005-02-17,86.055,86.055,84.332,84.332,18542
2005-02-18,86.625,86.625,79.463,79.743,9459
2005-02-21,80.32,83.188,80.32,82.037,19623
2005-02-22,83.76,83.76,80.039,80.895,25595
2005-02-23,80.895,81.175,80.32,80.32,55398
2005-02-24,80.608,81.751,80.32,80.895,10029
2005-02-25,80.895,81.751,80.608,80.895,429660
2005-02-28,81.175,82.331,80.895,82.037,49262
2005-03-01,82.037,82.037,81.175,81.751,20187
2005-03-02,81.473,81.473,77.735,78.599,10796
2005-03-03,78.599,80.32,78.023,79.463,15553
2005-03-04,80.32,80.32,79.176,79.176,24487
2005-03-07,80.895,80.895,78.599,80.32,117834
2005-03-08,80.32,80.32,78.888,79.176,10795
2005-03-09,80.039,80.895,78.888,79.743,24892
2005-03-10,79.743,80.039,78.023,78.023,8017
2005-03-11,78.023,78.311,76.88,78.023,49023
2005-03-14,77.456,77.456,76.016,76.59,3146
2005-03-15,76.59,78.599,75.725,77.163,17384
2005-03-16,76.59,77.456,75.442,76.88,11639
2005-03-17,76.88,76.88,76.016,76.016,5390
2005-03-18,76.306,77.163,76.016,77.163,14800
2005-03-21,76.306,76.88,76.016,76.306,25382
2005-03-22,76.59,77.163,76.016,76.016,75478
2005-03-23,74.296,74.578,71.143,71.143,42288
2005-03-24,71.999,72.289,69.707,70.571,17873
2005-03-29,70.571,70.571,68.845,68.845,5706
2005-03-30,67.698,68.271,64.832,64.832,24006
2005-03-31,66.262,68.845,66.262,67.986,79123
2005-04-01,68.845,71.426,68.271,68.271,33532
2005-04-04,68.845,68.845,67.698,67.698,3624
2005-04-05,67.698,68.845,67.409,67.409,2582
2005-04-06,67.409,67.986,66.551,67.409,6005
2005-04-07,68.271,69.418,65.979,65.979,27653
2005-04-11,66.836,66.836,65.979,66.262,8019
2005-04-12,66.836,66.836,66.262,66.262,2079
2005-04-13,66.262,66.836,65.979,66.262,1337
2005-04-14,66.551,67.125,63.68,64.832,12746
2005-04-15,65.406,65.406,64.254,65.406,1053
2005-04-18,65.689,65.689,63.397,63.68,6938
2005-04-19,63.68,63.68,62.824,63.68,5263
2005-04-20,63.397,63.397,59.67,60.815,236561
2005-04-21,60.815,60.815,58.806,60.242,29509
2005-04-22,61.389,63.97,60.242,62.824,59772
