Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.46,1.52,1.46,1.5,33755
2005-01-04,1.48,1.5,1.48,1.5,20187
2005-01-05,1.48,1.49,1.46,1.49,90406
2005-01-06,1.48,1.5,1.48,1.49,20831
2005-01-07,1.5,1.55,1.5,1.52,98250
2005-01-10,1.53,1.55,1.52,1.54,50495
2005-01-11,1.53,1.55,1.53,1.54,136241
2005-01-12,1.54,1.57,1.54,1.55,44724
2005-01-13,1.57,1.59,1.54,1.59,66493
2005-01-14,1.57,1.58,1.57,1.57,13737
2005-01-17,1.58,1.6,1.55,1.58,51881
2005-01-18,1.58,1.59,1.57,1.58,85562
2005-01-19,1.57,1.57,1.53,1.57,61488
2005-01-20,1.53,1.53,1.53,1.53,38407
2005-01-21,1.53,1.57,1.49,1.54,49278
2005-01-24,1.53,1.57,1.53,1.53,6933
2005-01-25,1.53,1.55,1.53,1.55,13313
2005-01-26,1.54,1.58,1.5,1.58,54841
2005-01-27,1.59,1.6,1.55,1.59,40641
2005-01-28,1.57,1.6,1.54,1.59,53726
2005-01-31,1.59,1.73,1.59,1.71,139885
2005-02-01,1.66,1.73,1.66,1.71,101685
2005-02-02,1.68,1.73,1.68,1.73,127612
2005-02-03,1.73,1.73,1.67,1.72,27595
2005-02-04,1.72,1.73,1.68,1.72,76261
2005-02-07,1.72,1.72,1.69,1.69,34638
2005-02-08,1.69,1.71,1.68,1.68,54190
2005-02-09,1.68,1.68,1.66,1.67,16155
2005-02-10,1.66,1.66,1.6,1.63,37720
2005-02-11,1.62,1.64,1.62,1.64,19386
2005-02-14,1.64,1.67,1.62,1.66,28180
2005-02-15,1.62,1.71,1.62,1.68,34485
2005-02-16,1.64,1.71,1.63,1.68,24957
2005-02-17,1.68,1.76,1.68,1.73,49380
2005-02-18,1.73,1.76,1.72,1.72,33932
2005-02-21,1.72,1.76,1.69,1.69,29751
2005-02-22,1.71,1.72,1.69,1.69,6333
2005-02-23,1.69,1.74,1.67,1.72,60145
2005-02-24,1.72,1.73,1.67,1.69,53514
