Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,0.3757,0.3757,0.3757,0.3757,14605
2005-01-04,0.3757,0.3757,0.3661,0.3757,98378
2005-01-05,0.3661,0.3757,0.3661,0.3757,20398
2005-01-06,0.3757,0.3757,0.3661,0.3757,62004
2005-01-07,0.3757,0.3757,0.3757,0.3757,14014
2005-01-10,0.3757,0.3854,0.3757,0.3854,163186
2005-01-11,0.3757,0.3757,0.3757,0.3757,127683
2005-01-12,0.3757,0.3757,0.3757,0.3757,311
2005-01-13,0.3757,0.3757,0.3757,0.3757,107440
2005-01-14,0.3757,0.3757,0.3661,0.3757,309057
2005-01-17,0.3661,0.3757,0.3661,0.3661,131265
2005-01-18,0.3661,0.3661,0.3468,0.3468,211892
2005-01-19,0.3468,0.3468,0.3468,0.3468,39581
2005-01-20,0.3468,0.3468,0.3276,0.3372,264865
2005-01-21,0.3372,0.3372,0.3372,0.3372,112485
2005-01-24,0.3276,0.3372,0.3276,0.3372,11180
2005-01-25,0.3372,0.3372,0.3276,0.3372,63218
2005-01-26,0.3372,0.3372,0.3276,0.3372,19339
2005-01-27,0.3372,0.3372,0.3372,0.3372,58267
2005-01-28,0.3276,0.3372,0.3276,0.3372,32108
2005-01-31,0.3372,0.3468,0.3372,0.3372,20460
2005-02-01,0.3372,0.3468,0.3372,0.3468,42198
2005-02-02,0.3468,0.3565,0.3468,0.3468,55526
2005-02-03,0.3468,0.3565,0.3468,0.3565,73496
2005-02-04,0.3565,0.3661,0.3565,0.3565,365518
2005-02-07,0.3661,0.3661,0.3565,0.3565,21269
2005-02-08,0.3565,0.3565,0.3468,0.3565,79817
2005-02-09,0.3468,0.3661,0.3372,0.3661,373553
2005-02-10,0.3757,0.3854,0.3757,0.3757,528984
2005-02-11,0.3757,0.3757,0.3565,0.3661,83773
2005-02-14,0.3565,0.3661,0.3468,0.3661,43973
2005-02-15,0.3565,0.3661,0.3565,0.3565,71098
2005-02-16,0.3661,0.3661,0.3468,0.3565,121672
2005-02-17,0.3565,0.3565,0.3565,0.3565,109434
2005-02-18,0.3468,0.3468,0.3468,0.3468,13360
2005-02-21,0.3468,0.3468,0.3276,0.3468,137991
2005-02-22,0.3468,0.3468,0.3372,0.3468,54063
2005-02-23,0.3468,0.3468,0.3372,0.3468,70256
2005-02-24,0.3372,0.3468,0.3372,0.3468,97195
2005-02-25,0.3565,0.3661,0.3468,0.3468,239391
2005-02-28,0.3372,0.3468,0.3372,0.3468,92554
2005-03-01,0.3468,0.3468,0.3468,0.3468,62627
2005-03-02,0.3372,0.3468,0.3372,0.3372,143847
2005-03-03,0.3372,0.3468,0.3276,0.3372,81312
2005-03-04,0.3372,0.3372,0.3276,0.3372,48613
2005-03-07,0.3372,0.3372,0.3276,0.3372,90344
2005-03-08,0.3276,0.3276,0.3179,0.3276,312358
2005-03-09,0.3179,0.3276,0.3179,0.3179,276233
2005-03-10,0.3179,0.3179,0.2987,0.3083,624653
2005-03-11,0.2987,0.3083,0.2987,0.3083,36965
2005-03-14,0.2987,0.3083,0.2987,0.2987,103080
2005-03-15,0.289,0.2987,0.289,0.2987,44004
2005-03-16,0.2987,0.2987,0.289,0.2987,190622
2005-03-17,0.289,0.289,0.289,0.289,26502
2005-03-18,0.2794,0.289,0.2794,0.289,48706
2005-03-21,0.289,0.2987,0.289,0.2987,56803
2005-03-22,0.289,0.289,0.289,0.289,43537
2005-03-23,0.289,0.2987,0.289,0.2987,62284
2005-03-24,0.2987,0.2987,0.289,0.2987,53315
2005-03-29,0.289,0.2987,0.289,0.2987,76734
2005-03-30,0.3083,0.3083,0.289,0.2987,191369
2005-03-31,0.2987,0.2987,0.289,0.289,211363
2005-04-01,0.289,0.289,0.289,0.289,53719
2005-04-04,0.289,0.2987,0.289,0.289,49579
2005-04-05,0.289,0.289,0.289,0.289,13421
2005-04-06,0.289,0.289,0.289,0.289,74710
2005-04-07,0.289,0.2987,0.289,0.2987,46744
2005-04-11,0.289,0.2987,0.289,0.2987,1837
2005-04-12,0.2987,0.2987,0.289,0.2987,76298
2005-04-13,0.2987,0.2987,0.2987,0.2987,9031
2005-04-14,0.289,0.2987,0.289,0.289,87977
2005-04-15,0.289,0.289,0.289,0.289,60166
2005-04-18,0.2794,0.289,0.2794,0.289,68980
2005-04-19,0.2794,0.289,0.2794,0.289,28183
2005-04-20,0.2794,0.289,0.2794,0.289,6259
2005-04-21,0.2794,0.289,0.2794,0.2794,78260
2005-04-22,0.2794,0.289,0.2794,0.289,25131
2005-04-25,0.2794,0.289,0.2794,0.289,30675
2005-04-26,0.289,0.289,0.289,0.289,46713
2005-04-27,0.289,0.289,0.289,0.289,9779
2005-04-28,0.289,0.289,0.2794,0.2794,35221
2005-04-29,0.2794,0.2794,0.2601,0.2698,188503
2005-05-02,0.2601,0.2601,0.2505,0.2505,220861
2005-05-04,0.2505,0.2601,0.2505,0.2601,244903
2005-05-05,0.2601,0.2698,0.2601,0.2698,151290
2005-05-06,0.2601,0.2698,0.2601,0.2698,7505
2005-05-09,0.2698,0.2698,0.2601,0.2698,26533
2005-05-10,0.2698,0.2698,0.2601,0.2601,69914
2005-05-11,0.2505,0.2698,0.2505,0.2601,111707
2005-05-12,0.2505,0.2601,0.2505,0.2601,13733
2005-05-13,0.2601,0.2601,0.2601,0.2601,34287
2005-05-16,0.2505,0.2601,0.2312,0.2312,519548
2005-05-17,0.2312,0.2312,0.1927,0.2023,1731329
2005-05-18,0.2023,0.212,0.2023,0.212,547670
2005-05-19,0.2216,0.2312,0.2216,0.2312,785005
2005-05-20,0.2312,0.2312,0.2216,0.2216,79599
2005-05-23,0.2216,0.2312,0.2216,0.2312,376604
2005-05-24,0.2312,0.2409,0.2312,0.2312,252190
2005-05-25,0.2409,0.2505,0.2409,0.2505,548043
2005-05-27,0.2409,0.2505,0.2409,0.2505,101867
2005-05-30,0.2505,0.2505,0.2409,0.2409,159448
2005-05-31,0.2409,0.2505,0.2409,0.2505,108998
2005-06-01,0.2409,0.2505,0.2409,0.2505,45312
2005-06-02,0.2409,0.2505,0.2409,0.2505,194078
2005-06-03,0.2505,0.2601,0.2505,0.2601,673827
2005-06-06,0.2601,0.289,0.2601,0.2794,1199697
2005-06-07,0.289,0.3372,0.289,0.3179,2481674
2005-06-08,0.3372,0.3661,0.3276,0.3468,4529160
2005-06-09,0.3468,0.3468,0.3276,0.3276,1251985
2005-06-10,0.3276,0.3372,0.3276,0.3276,428425
2005-06-13,0.3276,0.3276,0.3083,0.3083,565389
2005-06-14,0.2987,0.3083,0.289,0.3083,919074
2005-06-15,0.3083,0.3179,0.3083,0.3083,212889
2005-06-16,0.3179,0.3276,0.3179,0.3276,450723
2005-06-17,0.3276,0.3276,0.3276,0.3276,158639
2005-06-20,0.3372,0.3468,0.3372,0.3468,604909
2005-06-21,0.3468,0.3565,0.3468,0.3468,1395209
2005-06-22,0.3468,0.3565,0.3179,0.3468,726365
2005-06-23,0.3468,0.3468,0.3372,0.3468,201148
2005-06-24,0.3372,0.3468,0.3372,0.3372,355926
2005-06-27,0.3372,0.3372,0.3179,0.3179,495879
2005-06-28,0.3083,0.3083,0.2987,0.3083,449353
2005-06-29,0.3083,0.3276,0.3083,0.3179,2300113
2005-06-30,0.3179,0.3179,0.3083,0.3083,561154
2005-07-01,0.3083,0.3179,0.3083,0.3179,58018
2005-07-04,0.3083,0.3276,0.3083,0.3276,345586
2005-07-05,0.3179,0.3179,0.3179,0.3179,265053
2005-07-06,0.3179,0.3179,0.3179,0.3179,354649
2005-07-07,0.3179,0.3179,0.3179,0.3179,232883
2005-07-08,0.3179,0.3179,0.3179,0.3179,88880
2005-07-11,0.3179,0.3179,0.3179,0.3179,37028
2005-07-12,0.3179,0.3276,0.3179,0.3179,189906
2005-07-13,0.3179,0.3276,0.3179,0.3179,441505
2005-07-14,0.3179,0.3179,0.3179,0.3179,67454
2005-07-15,0.3179,0.3179,0.2987,0.3083,298780
2005-07-18,0.3083,0.3179,0.3083,0.3083,212702
2005-07-19,0.3083,0.3083,0.3083,0.3083,31329
2005-07-20,0.3083,0.3083,0.3083,0.3083,3207
2005-07-21,0.3083,0.3083,0.3083,0.3083,104762
2005-07-22,0.3083,0.3083,0.3083,0.3083,42820
2005-07-25,0.3083,0.3083,0.3083,0.3083,122700
2005-07-26,0.3083,0.3083,0.2987,0.3083,146992
2005-07-27,0.3083,0.3372,0.3083,0.3372,721537
2005-07-28,0.3372,0.3661,0.3372,0.3661,2267041
2005-07-29,0.3565,0.3661,0.3565,0.3565,638760
2005-08-01,0.3565,0.3661,0.3565,0.3661,104513
2005-08-02,0.3661,0.3661,0.3661,0.3661,63032
2005-08-03,0.3565,0.3661,0.3565,0.3661,753521
2005-08-04,0.3661,0.3757,0.3661,0.3757,719450
2005-08-05,0.3757,0.3757,0.3757,0.3757,314942
2005-08-08,0.3757,0.3757,0.3757,0.3757,719513
2005-08-09,0.3757,0.3854,0.3661,0.3854,307841
2005-08-10,0.3854,0.3854,0.3661,0.3757,68481
2005-08-11,0.3661,0.3661,0.3468,0.3468,724278
2005-08-12,0.3468,0.3468,0.3179,0.3179,1126887
2005-08-16,0.3179,0.3372,0.3179,0.3372,140764
2005-08-17,0.3372,0.3372,0.3276,0.3372,41418
2005-08-18,0.3276,0.3372,0.3276,0.3372,104357
2005-08-19,0.3276,0.3372,0.3276,0.3372,124725
2005-08-22,0.3276,0.3372,0.3276,0.3372,218837
2005-08-23,0.3372,0.3372,0.3372,0.3372,92212
