Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-06-29,5.2841,5.4282,4.8517,4.8517,15291994
2007-07-02,4.9318,4.9318,4.3554,4.6676,6251834
2007-07-03,4.8037,4.9158,4.7636,4.8197,5112728
2007-07-04,4.8838,4.9799,4.8277,4.8838,1963413
2007-07-05,4.9399,4.9399,4.7636,4.8517,1566771
2007-07-06,4.8677,4.8758,4.7877,4.7957,583774
2007-07-09,4.8117,4.8117,4.6036,4.6355,970678
2007-07-10,4.6196,4.6435,4.4274,4.4675,1921011
2007-07-11,4.4835,4.4835,4.2433,4.3313,1405242
2007-07-12,4.2753,4.3874,4.2433,4.3153,913903
2007-07-13,4.3153,4.4675,4.2753,4.4434,942771
2007-07-16,4.4595,4.5475,4.0911,4.3233,513101
2007-07-17,4.2914,4.2914,4.1152,4.2192,696069
2007-07-18,4.2433,4.2433,4.1232,4.1472,969362
2007-07-19,4.1632,4.5795,4.1632,4.4995,1664841
2007-07-20,4.5636,4.5636,4.3634,4.3794,700420
2007-07-23,4.3794,4.4675,4.2433,4.3233,429134
2007-07-24,4.4194,4.4194,4.1392,4.1552,1114698
2007-07-25,4.0031,4.1472,3.8269,4.1232,1835762
2007-07-26,4.1232,4.1472,3.9871,3.9871,1090327
2007-07-27,3.8509,4.0432,3.835,3.843,1443738
2007-07-30,3.883,4.0031,3.883,3.923,513689
2007-07-31,3.995,4.1232,3.995,4.0432,863424
2007-08-01,4.0031,4.0031,3.907,3.9391,501920
2007-08-02,4.0511,4.0751,3.875,3.875,1505448
2007-08-03,3.9471,3.9471,3.8269,3.843,280645
2007-08-06,3.7629,3.7789,3.6028,3.6828,743545
2007-08-07,3.7629,3.795,3.3866,3.3866,1207390
2007-08-08,3.4506,3.5868,3.3866,3.4027,1675103
2007-08-09,3.4427,3.4427,3.1304,3.2185,3131522
2007-08-10,3.0904,3.1064,2.8742,2.9223,2785197
2007-08-13,2.9223,3.3146,2.9223,3.2425,2730413
2007-08-14,3.2425,3.3466,3.1944,3.1944,2705637
2007-08-16,3.0343,3.0343,2.7381,2.8822,1940791
2007-08-17,2.8742,3.1944,2.8342,3.1225,3013134
2007-08-20,3.2425,3.3225,3.1225,3.1785,910532
2007-08-21,3.2105,3.2105,3.0343,3.1624,814558
2007-08-22,3.2024,3.3225,3.1304,3.2665,2504168
2007-08-23,3.3146,3.4106,3.2505,3.2746,2391896
2007-08-24,3.2825,3.4186,3.2185,3.3306,1716540
2007-08-27,3.4027,3.5227,3.4027,3.4347,1234304
2007-08-28,3.4347,3.4988,3.3786,3.4506,752084
2007-08-29,3.2505,3.4587,3.2425,3.4347,886330
2007-08-30,3.5227,3.5708,3.1865,3.2746,1678478
2007-08-31,3.3386,3.4427,3.3386,3.3626,497674
2007-09-03,3.3786,3.4027,3.2825,3.3626,326905
2007-09-04,3.3626,3.3626,3.2585,3.2985,526385
2007-09-05,3.3065,3.3146,3.1064,3.1064,950041
2007-09-06,3.1465,3.1624,3.0263,3.1064,532955
2007-09-07,3.0743,3.1384,2.9543,2.9943,748093
2007-09-10,2.9223,2.9943,2.8342,2.9143,654984
2007-09-11,2.9383,3.0184,2.9302,3.0023,708903
2007-09-12,3.0343,3.0504,2.9623,2.9783,291649
2007-09-13,2.9543,3.2185,2.9223,3.1944,1171380
