Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-01,4.0381,4.0381,3.7808,3.8581,349732
2005-06-02,4.0381,4.2953,4.0125,4.2439,170546
2005-06-03,4.3467,4.3467,3.9867,4.1411,98605
2005-06-06,4.1667,4.1667,4.0639,4.1411,47351
2005-06-07,4.1152,4.1152,4.0896,4.1152,8427
2005-06-08,4.1667,4.1924,4.1152,4.1667,32328
2005-06-09,4.1152,4.2953,4.0896,4.2953,52610
2005-06-10,4.2953,4.6811,4.2953,4.4754,119716
2005-06-13,4.5011,4.5011,4.3981,4.4754,34541
2005-06-14,4.424,4.4496,4.3211,4.3211,31780
2005-06-15,4.3211,4.424,4.2697,4.3981,35653
2005-06-16,4.3981,4.4496,4.2697,4.3725,91012
2005-06-17,4.3211,4.3981,4.3211,4.3981,6942
2005-06-20,4.2953,4.3725,4.2953,4.3725,132
2005-06-21,4.2953,4.3211,4.2439,4.3211,5575
2005-06-22,4.1667,4.3211,4.0896,4.2953,43427
2005-06-23,4.1411,4.2953,4.1152,4.2953,43344
2005-06-27,4.1924,4.2697,4.1924,4.2697,8489
2005-06-28,4.2439,4.2439,4.2439,4.2439,679
2005-06-29,4.1411,4.1667,4.1152,4.1667,8061
2005-06-30,4.1924,4.2182,4.1924,4.2182,3090
2005-07-01,4.1667,4.1924,4.1667,4.1924,9722
2005-07-04,4.2182,4.2182,4.2182,4.2182,583
2005-07-06,4.1667,4.1924,4.1667,4.1924,4821
2005-07-07,4.1924,4.2182,4.1152,4.2182,23816
2005-07-08,4.1152,4.2182,4.1152,4.2182,18508
2005-07-11,4.2182,4.2182,4.2182,4.2182,1734
2005-07-12,4.1411,4.1411,4.1411,4.1411,955
2005-07-13,4.1667,4.1667,4.1411,4.1667,13630
2005-07-14,4.1667,4.1667,4.1667,4.1667,193
2005-07-15,4.1667,4.1667,4.1667,4.1667,1003
2005-07-18,4.1924,4.2182,4.1667,4.1667,8078
2005-07-19,4.1667,4.1924,4.1667,4.1924,11252
2005-07-20,4.2182,4.3725,4.2182,4.3725,82778
2005-07-21,4.3211,4.3725,4.2953,4.3725,3443
2005-07-22,4.3467,4.3467,4.3211,4.3467,10430
2005-07-25,4.3981,4.3981,4.3981,4.3981,7582
2005-07-26,4.3981,4.3981,4.3211,4.3211,8884
2005-07-27,4.3211,4.3211,4.2953,4.3211,6824
2005-07-28,4.3467,4.3467,4.2439,4.2439,3161
2005-07-29,4.2439,4.2697,4.2439,4.2697,243
2005-08-01,4.3725,4.5011,4.2439,4.4754,46424
2005-08-02,4.4754,4.4754,4.4754,4.4754,1263
2005-08-03,4.4754,4.4754,4.3725,4.424,6304
2005-08-04,4.3211,4.604,4.3211,4.604,40973
2005-08-05,4.5011,4.604,4.4754,4.5526,31123
2005-08-08,4.5526,4.7068,4.5526,4.5526,13496
2005-08-10,4.5782,4.5782,4.5269,4.5269,836
2005-08-12,4.2953,4.4496,4.2953,4.3467,3888
2005-08-16,4.2439,4.2439,4.2439,4.2439,922
2005-08-17,4.3211,4.3725,4.2439,4.3725,4763
2005-08-18,4.3725,4.3725,4.3725,4.3725,1127
2005-08-19,4.3467,4.3725,4.2182,4.3211,4587
2005-08-22,4.2439,4.2439,4.2439,4.2439,486
2005-08-23,4.2439,4.2439,4.2439,4.2439,206156
2005-08-24,4.2182,4.2439,4.2182,4.2439,48253
2005-08-25,4.2439,4.2439,4.2439,4.2439,6900
2005-08-26,4.2182,4.2182,4.2182,4.2182,42
2005-08-29,4.2182,4.2182,4.1152,4.1411,10236
2005-08-30,4.2182,4.4496,4.2182,4.4496,12636
2005-08-31,4.4754,4.4754,4.3981,4.4496,7467
2005-09-01,4.3211,4.3725,4.3211,4.3725,323
2005-09-02,4.3467,4.3467,4.3467,4.3467,290
2005-09-06,4.3725,4.3725,4.3725,4.3725,2664
2005-09-07,4.2439,4.3725,4.2182,4.3211,1415
2005-09-08,4.3211,4.3725,4.2697,4.3725,601285
2005-09-09,4.2953,4.2953,4.1152,4.1152,3759
2005-09-12,4.2697,4.2697,4.1152,4.1152,1397
2005-09-13,4.1411,4.1411,4.1411,4.1411,968
2005-09-16,4.1411,4.1411,4.1152,4.1152,3013
2005-09-19,4.1152,4.1411,4.1152,4.1411,2934
2005-09-20,4.1411,4.1411,3.8838,4.0896,28596
2005-09-21,4.1152,4.1152,4.1152,4.1152,2558
2005-09-23,3.9353,4.1152,3.9095,4.1152,4278
2005-09-26,4.1667,4.1667,4.1667,4.1667,391
2005-09-27,4.1411,4.5269,4.1411,4.2953,15968
2005-09-28,4.5011,4.5011,4.4496,4.4496,2285
2005-09-29,4.1924,4.2697,4.1152,4.1924,12699
2005-09-30,4.2439,4.3725,4.2182,4.3725,10111
2005-10-03,4.2182,4.2182,4.1924,4.2182,5728
2005-10-04,4.2182,4.2182,4.1667,4.2182,2155
2005-10-05,4.1411,4.1924,4.1411,4.1924,1153
2005-10-06,4.1411,4.1411,4.0639,4.0896,8795
2005-10-07,4.0381,4.0381,4.0381,4.0381,973
2005-10-10,4.0125,4.0896,4.0125,4.0896,493
2005-10-11,4.0125,4.0125,4.0125,4.0125,8127
2005-10-12,3.961,4.1152,3.9095,4.0125,395909
2005-10-13,3.961,3.961,3.8838,3.8838,8134
2005-10-14,3.8323,3.9867,3.8323,3.9867,1194
2005-10-17,3.9867,3.9867,3.9867,3.9867,310
2005-10-19,4.0639,4.0896,3.8581,3.8581,29180
2005-10-20,3.8581,3.9867,3.8581,3.9867,116436
2005-10-21,4.0896,4.1152,4.0381,4.0381,15123
2005-10-25,4.1152,4.1152,4.0896,4.0896,7934
2005-10-26,3.9353,4.1152,3.8581,4.1152,3464
2005-10-27,3.9353,4.1152,3.9353,4.1152,139
2005-10-28,3.961,3.961,3.961,3.961,2
2005-10-31,4.0896,4.0896,4.0125,4.0125,1062
2005-11-02,4.0896,4.2697,4.0896,4.2182,4422
2005-11-03,4.1667,4.1667,4.0639,4.1667,1300
2005-11-04,4.1152,4.2439,4.1152,4.2439,8984
2005-11-07,4.0125,4.0125,3.8581,3.9353,11605
2005-11-08,3.9353,4.0125,3.9353,4.0125,3260
2005-11-14,3.8838,3.9867,3.8838,3.9867,3928
2005-11-15,3.9353,3.9353,3.8838,3.8838,2430
2005-11-16,3.8838,3.8838,3.8838,3.8838,973
2005-11-17,3.8581,3.8581,3.8065,3.8581,3318
