Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,459.29,464.54,458.43,458.43,268
2005-01-04,459.73,463.22,458.86,458.86,3312
2005-01-05,458.86,463.22,457.1,458.86,1204
2005-01-06,464.54,471.09,464.54,471.09,162
2005-01-07,471.09,471.97,467.6,467.6,1302
2005-01-10,471.97,471.97,471.97,471.97,12
2005-01-11,471.97,471.97,464.54,464.54,405
2005-01-12,464.54,464.54,464.54,464.54,92
2005-01-13,479.4,503.43,471.97,495.57,5212
2005-01-14,498.17,505.17,498.17,505.17,96
2005-01-17,506.06,510.42,506.06,506.93,2246
2005-01-18,506.06,506.06,477.23,477.23,187
2005-01-19,478.52,505.17,478.52,505.17,6
2005-01-20,505.17,506.5,491.19,506.5,137
2005-01-21,506.5,506.5,506.06,506.06,4
2005-01-24,505.17,505.17,490.33,494.7,73
2005-01-25,494.7,494.7,489.44,490.33,41
2005-01-26,491.62,498.17,489.44,493.81,294
2005-01-27,498.62,503.43,489.89,503.43,289
2005-01-28,504.31,504.31,494.7,504.31,37
2005-01-31,515.67,515.67,506.06,510.42,179
2005-02-01,511.29,511.29,505.17,511.29,131
2005-02-02,511.29,524.41,511.29,524.41,756
2005-02-03,524.41,524.41,520.03,524.41,36
2005-02-04,515.67,541.9,511.29,541.9,473
2005-02-07,546.26,546.26,541.9,543.65,699
2005-02-08,559.37,559.37,543.65,550.63,883
2005-02-09,559.37,581.23,555.01,565.47,744
2005-02-10,559.37,563.73,555.01,555.01,370
2005-02-11,551.06,557.18,550.63,551.49,331
2005-02-14,553.25,564.18,550.63,550.63,694
2005-02-15,555.01,559.37,550.63,550.63,258
2005-02-16,562.86,563.73,550.63,550.63,491
2005-02-17,555.01,563.73,555.01,563.73,194
2005-02-18,563.73,563.73,555.87,555.87,186
2005-02-21,554.13,563.73,554.13,561.11,378
2005-02-22,561.11,563.73,558.48,559.81,250
2005-02-23,559.37,570.73,559.37,563.73,954
2005-02-24,581.23,636.28,581.23,601.32,642
2005-02-25,611.8,612.68,601.32,607.43,152
2005-02-28,605.7,605.7,595.2,595.2,33
2005-03-01,603.07,611.37,595.2,611.37,37
2005-03-02,611.37,611.37,585.59,601.78,161
2005-03-03,594.33,601.78,590.83,601.78,67
2005-03-04,602.18,610.93,599.57,606.98,38
2005-03-07,610.93,616.17,610.06,616.17,481
2005-03-08,615.75,629.28,611.8,622.3,432
2005-03-09,622.3,622.3,612.68,618.79,155
2005-03-10,612.68,618.79,612.68,616.17,99
2005-03-11,616.17,616.17,611.8,611.8,555
2005-03-14,611.8,612.68,603.95,609.18,208
2005-03-15,611.8,612.68,611.8,612.68,195
2005-03-16,616.17,616.17,616.17,616.17,99
2005-03-17,610.93,610.93,609.18,609.18,321
2005-03-18,609.18,620.56,609.18,609.18,25
2005-03-21,605.7,616.17,603.07,616.17,3720
2005-03-22,607.88,619.69,604.81,607.88,1362
2005-03-23,604.81,610.93,604.81,610.06,58
2005-03-24,620.11,620.56,618.79,618.79,156
2005-03-29,620.56,624.92,616.17,616.17,106
2005-03-30,617.93,633.66,617.93,633.66,131
2005-03-31,638.03,668.63,638.03,646.77,350
2005-04-01,662.49,699.21,662.49,674.74,482
2005-04-04,686.54,742.03,681.73,723.69,184
2005-04-05,726.3,780.48,726.3,751.66,308
2005-04-06,756.46,760.39,707.96,733.29,504
2005-04-07,734.17,742.03,723.69,742.03,372
2005-04-11,734.17,750.77,716.69,750.77,168
2005-04-12,751.21,751.21,731.55,734.17,51
2005-04-13,734.17,734.17,707.96,709.71,118
2005-04-14,700.96,700.96,651.13,659.88,610
2005-04-15,638.03,668.63,638.03,646.77,364
2005-04-18,646.77,646.77,638.03,646.77,175
