Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-09,27.632,27.632,25.91,25.91,1733514
2005-06-10,25.997,26.345,25.476,25.476,655557
2005-06-13,25.91,25.997,25.476,25.65,206547
2005-06-14,25.823,25.823,25.65,25.65,175138
2005-06-15,25.65,25.736,25.476,25.65,154810
2005-06-16,25.65,25.65,25.223,25.223,165542
2005-06-17,25.388,25.388,25.049,25.137,276380
2005-06-20,25.049,25.137,24.874,25.049,222068
2005-06-21,25.049,25.137,24.874,25.049,316699
2005-06-22,25.137,25.823,25.137,25.736,289267
2005-06-23,25.91,26.172,25.562,25.562,213930
2005-06-24,25.65,25.823,25.388,25.388,41184
2005-06-27,25.388,25.736,25.301,25.65,21762
2005-06-28,25.736,25.736,25.388,25.65,20800
2005-06-29,25.823,25.823,25.476,25.562,33744
2005-06-30,25.65,25.65,25.301,25.562,54110
2005-07-01,25.65,25.65,25.388,25.476,38779
2005-07-04,25.476,25.823,25.476,25.65,46639
2005-07-05,25.736,26.085,25.65,25.91,91339
2005-07-06,25.91,25.91,25.736,25.823,22435
2005-07-07,25.91,25.91,25.476,25.823,85520
2005-07-08,25.91,27.033,25.91,26.772,1098229
2005-07-11,27.119,27.468,26.684,26.859,661218
2005-07-12,26.946,26.946,26.772,26.859,237457
2005-07-13,26.859,27.207,26.859,27.207,460940
2005-07-14,27.293,27.381,27.119,27.207,370571
2005-07-15,27.119,27.119,26.946,27.033,225325
2005-07-18,26.946,27.033,26.433,26.511,217786
2005-07-19,26.433,26.598,26.172,26.511,191790
2005-07-20,26.511,26.772,26.172,26.258,190546
2005-07-21,26.345,26.511,25.91,25.91,270494
2005-07-22,25.823,25.91,25.562,25.65,248751
2005-07-25,25.823,26.598,25.823,26.598,280687
2005-07-26,26.598,27.033,26.598,27.033,583926
2005-07-27,27.033,27.119,26.859,27.119,375271
2005-07-28,27.119,27.293,27.033,27.293,773594
2005-07-29,27.293,27.293,27.033,27.119,270454
2005-08-01,27.033,27.119,26.772,26.946,206476
2005-08-02,27.033,27.381,27.033,27.207,1136320
2005-08-03,27.207,27.468,26.946,27.381,714334
2005-08-04,27.293,27.381,27.119,27.293,251853
2005-08-05,27.293,27.293,27.033,27.119,156159
2005-08-08,27.207,28.155,27.207,28.155,1281444
2005-08-09,28.155,28.59,28.155,28.416,914250
2005-08-10,28.503,29.538,28.503,29.278,1847485
2005-08-11,29.451,30.139,29.365,30.051,1879257
2005-08-12,29.974,29.974,29.365,29.451,1141233
2005-08-16,29.451,29.8,29.278,29.365,1202950
2005-08-17,29.451,29.451,29.191,29.365,505846
2005-08-18,29.278,29.365,28.677,28.764,448243
2005-08-19,28.59,29.016,28.155,28.93,429855
2005-08-22,29.103,29.451,29.103,29.278,416565
2005-08-23,29.278,29.278,29.103,29.191,152107
2005-08-24,29.191,29.365,29.103,29.278,450377
2005-08-25,29.191,29.278,29.016,29.016,111314
2005-08-26,28.93,29.191,28.843,29.191,189630
2005-08-29,29.191,29.626,29.016,29.538,354481
2005-08-30,29.626,30.051,29.626,29.712,734820
2005-08-31,29.712,30.139,29.712,30.051,818482
2005-09-01,30.399,31.522,30.399,31.262,2210177
2005-09-02,31.435,32.384,31.435,32.045,2548574
2005-09-05,31.87,31.87,31.435,31.61,509053
2005-09-06,31.522,31.87,31.262,31.87,395854
2005-09-07,31.958,32.045,31.348,31.435,367197
2005-09-08,31.348,31.435,31.009,31.348,361051
2005-09-09,31.522,31.958,31.522,31.87,286940
2005-09-12,32.045,32.558,32.045,32.384,413797
2005-09-13,32.906,33.767,32.558,32.558,992761
2005-09-14,32.384,33.166,32.045,33.166,331995
2005-09-15,33.254,34.377,33.254,33.68,1266163
2005-09-16,34.115,34.377,33.854,34.289,646904
2005-09-19,34.289,35.499,33.941,35.499,866658
2005-09-20,35.847,36.708,34.377,35.325,1105948
2005-09-21,34.803,35.151,34.716,34.803,689732
2005-09-22,35.237,36.36,35.151,35.412,983070
2005-09-23,35.673,35.847,34.464,35.151,1233441
2005-09-26,34.55,35.412,34.377,35.325,620938
2005-09-27,35.412,36.447,34.977,36.36,950476
2005-09-28,36.621,37.135,35.325,35.412,1070339
2005-09-29,35.412,36.012,35.063,35.847,482978
2005-09-30,36.273,36.796,36.186,36.708,1255372
2005-10-03,36.796,38.179,36.796,37.744,1679819
2005-10-04,38.179,39.04,38.179,39.04,868717
2005-10-05,38.518,38.778,38.004,38.004,1599355
2005-10-06,37.047,37.047,35.151,35.847,1894732
2005-10-07,35.063,36.36,34.55,36.186,942717
2005-10-10,36.447,37.135,35.585,36.012,482810
2005-10-11,36.099,36.881,36.099,36.796,357726
2005-10-12,36.708,36.796,36.012,36.621,426330
2005-10-13,36.273,36.273,34.637,34.716,614364
2005-10-14,34.464,34.889,33.341,34.55,981395
2005-10-17,34.716,35.76,34.716,34.803,307015
2005-10-18,35.412,35.76,34.889,35.063,285317
2005-10-19,34.55,34.889,33.854,34.637,637700
2005-10-20,35.063,35.412,34.977,35.237,157988
2005-10-21,34.977,35.325,34.637,35.151,302025
2005-10-24,34.716,35.585,34.716,35.412,235556
2005-10-25,35.151,35.925,35.151,35.499,328012
2005-10-26,35.76,35.925,34.716,35.063,411476
2005-10-27,34.55,34.55,33.68,34.55,407692
2005-10-28,34.202,34.55,33.767,34.55,246280
2005-10-31,34.55,35.063,34.55,34.977,187828
2005-11-02,35.063,35.76,35.063,35.76,231212
2005-11-03,36.012,36.186,35.585,35.925,309041
2005-11-04,35.925,36.012,35.76,35.925,521206
2005-11-07,35.673,35.673,35.063,35.151,128200
2005-11-08,35.151,35.499,35.063,35.063,67528
2005-11-09,35.237,35.237,34.889,34.889,117820
2005-11-10,34.977,35.237,34.377,34.977,238998
2005-11-14,35.76,36.447,35.76,36.012,611569
2005-11-15,36.273,36.534,36.099,36.447,333577
2005-11-16,36.621,37.222,36.534,37.222,492108
2005-11-17,37.395,39.04,37.309,38.778,951572
