Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,2.033,2.0414,2.0032,2.0032,117173
2005-01-04,2.0175,2.0175,1.9492,1.9564,189654
2005-01-05,1.9336,1.9564,1.9109,1.9564,116254
2005-01-06,1.965,2.0414,1.9265,2.0414,752191
2005-01-07,2.033,2.1025,2.033,2.0642,693816
2005-01-10,2.0642,2.0713,2.0259,2.0414,210478
2005-01-11,2.033,2.0414,2.0103,2.033,79278
2005-01-12,2.0259,2.033,2.0175,2.0259,86714
2005-01-13,2.033,2.0414,2.0259,2.0414,64687
2005-01-14,2.033,2.033,1.9876,2.0103,161974
2005-01-17,2.0032,2.0032,1.965,1.9719,71505
2005-01-18,2.0032,2.0032,1.9564,1.9564,94420
2005-01-19,1.9492,2.0175,1.9109,2.0103,281398
2005-01-20,2.0103,2.0259,1.9876,2.0032,129931
2005-01-21,1.979,1.9876,1.979,1.9876,8921
2005-01-24,1.9564,1.9876,1.9564,1.9876,91162
2005-01-25,1.9876,1.9876,1.965,1.965,105377
2005-01-26,1.979,1.979,1.965,1.965,58102
2005-01-27,1.9876,1.9876,1.965,1.9876,83008
2005-01-28,1.979,1.979,1.9492,1.9564,36122
2005-01-31,1.965,1.9719,1.9492,1.9719,65788
2005-02-01,1.965,1.979,1.9564,1.9719,28083
2005-02-02,1.9719,1.9719,1.9492,1.9564,19751
2005-02-03,1.9422,1.9564,1.9265,1.9492,43706
2005-02-04,1.9265,1.965,1.9181,1.965,26765
2005-02-07,1.9181,1.9564,1.9181,1.9564,376887
2005-02-08,1.9422,1.9492,1.9181,1.9492,24776
2005-02-09,1.9492,1.9492,1.9181,1.9422,132605
2005-02-10,1.9109,1.9336,1.8953,1.9109,87574
2005-02-11,1.8953,1.9109,1.8727,1.8953,72317
2005-02-14,1.8797,1.8953,1.85,1.8655,70660
2005-02-15,1.8572,1.8572,1.8117,1.8344,253217
2005-02-16,1.8344,1.8727,1.8344,1.8572,63960
2005-02-17,1.8414,1.8727,1.8271,1.8271,118250
2005-02-18,1.85,1.8727,1.8344,1.8414,90558
2005-02-21,1.8655,1.8727,1.8414,1.8655,91242
2005-02-22,1.8727,1.8883,1.8655,1.8727,175009
2005-02-23,1.8797,1.8797,1.8187,1.8572,68120
2005-02-24,1.8572,1.8727,1.8572,1.8655,135695
2005-02-25,1.8414,1.8655,1.8187,1.8271,129730
2005-02-28,1.8344,1.85,1.7662,1.7662,123892
2005-03-01,1.7733,1.8047,1.7578,1.8047,56235
2005-03-02,1.789,1.789,1.6585,1.674,348647
2005-03-03,1.6513,1.6513,1.5748,1.5974,446417
2005-03-04,1.6046,1.6585,1.5904,1.6046,383390
2005-03-07,1.6046,1.6046,1.5138,1.5293,272619
2005-03-08,1.5293,1.5293,1.4526,1.4598,656588
2005-03-09,1.4598,1.4826,1.4598,1.4797,131072
2005-03-10,1.4826,1.5024,1.4598,1.4712,232460
2005-03-11,1.4598,1.4668,1.3534,1.3719,1347194
2005-03-14,1.3676,1.4058,1.3108,1.3946,1076093
2005-03-15,1.4214,1.4414,1.3804,1.3917,453175
2005-03-16,1.3917,1.4144,1.3491,1.4144,1243858
2005-03-17,1.4101,1.4144,1.3761,1.4058,124160
2005-03-18,1.3987,1.4058,1.3917,1.3987,493282
2005-03-21,1.4031,1.4101,1.3761,1.3761,97321
2005-03-22,1.3719,1.3719,1.3563,1.3676,168116
2005-03-23,1.3676,1.4031,1.3563,1.3946,514799
2005-03-24,1.3946,1.4257,1.3946,1.4144,313403
2005-03-29,1.4301,1.4443,1.4144,1.4414,131206
2005-03-30,1.4557,1.4797,1.4526,1.4754,301793
2005-03-31,1.4938,1.4938,1.4443,1.4598,387360
2005-04-01,1.4371,1.4443,1.4301,1.4329,47375
2005-04-04,1.4329,1.4329,1.3946,1.4058,91384
2005-04-05,1.3876,1.4031,1.3832,1.3876,283051
2005-04-06,1.3832,1.3917,1.3761,1.3804,61106
2005-04-07,1.3832,1.3876,1.3719,1.3876,248932
2005-04-11,1.3761,1.4214,1.3761,1.4214,100144
2005-04-12,1.4214,1.4329,1.4144,1.4301,71391
2005-04-13,1.4301,1.464,1.4144,1.4301,204935
2005-04-14,1.4172,1.4329,1.4101,1.4257,46965
2005-04-15,1.4144,1.4214,1.3917,1.4058,82388
2005-04-18,1.3832,1.3876,1.3761,1.3761,69858
2005-04-19,1.3761,1.3876,1.3563,1.3563,139719
2005-04-20,1.3606,1.3676,1.3379,1.3379,196849
2005-04-21,1.3379,1.3491,1.2924,1.3151,223404
2005-04-22,1.3151,1.3151,1.2684,1.2684,247663
2005-04-25,1.2541,1.2541,1.2073,1.2272,287949
2005-04-26,1.2229,1.2427,1.2159,1.2186,236706
2005-04-27,1.2186,1.2186,1.1619,1.1619,294520
2005-04-28,1.1619,1.1846,1.1577,1.1846,766646
2005-04-29,1.1931,1.2073,1.1619,1.1619,156863
2005-05-02,1.1733,1.1889,1.1733,1.1889,35027
2005-05-04,1.1889,1.2684,1.1661,1.2684,3609926
2005-05-05,1.2796,1.2796,1.2498,1.2612,155378
2005-05-06,1.2612,1.2612,1.2385,1.2541,118034
2005-05-09,1.2456,1.2456,1.2159,1.2159,94635
2005-05-10,1.2343,1.2427,1.2073,1.2385,289931
2005-05-11,1.23,1.2498,1.23,1.2498,151911
2005-05-12,1.2498,1.2541,1.2385,1.2385,158993
2005-05-13,1.2385,1.2456,1.2229,1.2456,81547
2005-05-16,1.2003,1.2003,1.0896,1.1165,493456
2005-05-17,1.1165,1.1165,1.0086,1.0313,283662
2005-05-18,1.047,1.0966,1.0426,1.0782,397632
2005-05-19,1.0782,1.1008,1.0782,1.0896,165085
2005-05-20,1.074,1.0852,1.0697,1.081,65189
2005-05-23,1.0896,1.1279,1.0896,1.1194,509862
2005-05-24,1.1236,1.1463,1.1165,1.1279,380554
2005-05-25,1.1307,1.1307,1.1194,1.1279,207885
2005-05-27,1.1391,1.1505,1.1123,1.1307,106573
2005-05-30,1.1349,1.1391,1.1307,1.1391,30983
2005-05-31,1.1307,1.1349,1.1307,1.1307,20079
2005-06-01,1.1165,1.1349,1.1165,1.1307,106303
2005-06-02,1.1463,1.1931,1.1463,1.1846,629662
2005-06-03,1.1846,1.1931,1.169,1.169,772161
2005-06-06,1.1776,1.2003,1.169,1.1931,263294
2005-06-07,1.1931,1.3038,1.1889,1.2881,612276
2005-06-08,1.2881,1.2881,1.2541,1.284,227045
2005-06-09,1.2994,1.2994,1.2768,1.2924,115366
2005-06-10,1.2725,1.284,1.2612,1.2684,43156
2005-06-13,1.2654,1.2684,1.2385,1.2569,169338
2005-06-14,1.2768,1.3761,1.2768,1.3491,1109755
2005-06-15,1.3719,1.3761,1.3336,1.3449,255791
2005-06-16,1.3534,1.3832,1.3379,1.3761,166276
2005-06-17,1.3876,1.4301,1.3761,1.3946,325488
2005-06-20,1.4214,1.4668,1.3987,1.4598,320282
2005-06-21,1.4668,1.491,1.4485,1.4526,385231
2005-06-22,1.4443,1.4526,1.4172,1.4301,75361
2005-06-23,1.4214,1.4371,1.4144,1.4144,134613
2005-06-24,1.4443,1.4443,1.3876,1.3987,91349
2005-06-27,1.4101,1.4101,1.3307,1.3534,190103
2005-06-28,1.3379,1.3379,1.284,1.3222,468701
2005-06-29,1.318,1.3563,1.2924,1.3379,257392
2005-06-30,1.318,1.3534,1.3151,1.3336,116447
2005-07-01,1.318,1.3336,1.284,1.284,158434
2005-07-04,1.2924,1.2924,1.2159,1.2456,693389
2005-07-05,1.2684,1.2684,1.2385,1.2456,116428
2005-07-06,1.2698,1.2768,1.2541,1.2612,307217
2005-07-07,1.2541,1.2541,1.2144,1.2343,100633
