Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-04-18,9.3784,9.3784,7.3997,7.5429,1552074
2007-04-19,7.5588,8.1865,7.4712,7.972,361981
2007-04-20,8.1071,8.218,7.8608,8.1865,141701
2007-04-23,8.4252,8.4252,7.869,7.9558,57980
2007-04-24,7.9084,7.9084,7.7496,7.7889,26164
2007-04-25,7.7889,8.0278,7.6303,8.0196,36712
2007-04-26,8.0278,8.0278,7.8134,7.8927,23218
2007-04-27,7.869,7.9958,7.7733,7.9484,55807
2007-04-30,8.1472,8.2654,8.0359,8.1865,49491
2007-05-02,8.1865,8.2586,8.1154,8.1227,16453
2007-05-04,8.1154,8.3458,8.0278,8.3458,57160
2007-05-07,8.3458,8.3458,8.1071,8.2818,31655
2007-05-08,8.1947,8.1947,7.9484,7.9484,33523
2007-05-09,7.9484,8.0597,7.8927,7.9484,11428
2007-05-10,8.0278,8.0278,7.7889,7.9321,21470
2007-05-11,7.9321,7.9321,7.4395,7.9321,72637
2007-05-14,7.9403,7.9484,7.7889,7.869,6923
2007-05-15,7.9001,7.9484,7.7889,7.9321,22259
2007-05-16,7.9403,7.9403,7.7889,7.9165,3299
2007-05-17,7.8372,7.8372,7.6462,7.7098,20741
2007-05-18,7.829,7.829,7.5746,7.6303,6583
2007-05-21,7.6541,7.7496,7.6462,7.6462,8471
2007-05-22,7.7176,7.7176,7.6064,7.6621,28765
2007-05-23,7.6541,7.6541,7.5985,7.6303,10063
2007-05-24,7.5507,7.67,7.5349,7.6303,13533
2007-05-25,7.5985,7.8527,7.5985,7.8527,3270
2007-05-28,7.829,8.1472,7.829,8.067,27154
2007-05-29,8.067,8.067,7.9084,7.9484,39783
2007-05-30,7.869,7.9484,7.6541,7.9484,16115
2007-05-31,7.797,8.1071,7.7496,8.067,56288
2007-06-01,7.9484,8.1227,7.9484,8.0434,30739
2007-06-04,7.9484,8.1783,7.9484,8.1472,25387
2007-06-05,8.2267,8.2654,8.1071,8.1472,15773
2007-06-06,8.1865,8.4252,8.1071,8.25,62102
2007-06-08,8.1472,8.1472,7.972,8.0114,29036
2007-06-11,8.0278,8.1865,8.0278,8.1472,32579
2007-06-12,8.1472,8.1472,8.0916,8.1071,66412
2007-06-13,8.1947,8.274,8.0752,8.1865,41381
2007-06-14,8.2267,8.2267,8.1472,8.1865,24052
2007-06-15,8.2421,8.2421,7.9484,8.1071,23681
2007-06-18,8.171,8.1783,8.0752,8.1071,48921
2007-06-19,8.1071,8.7033,8.0752,8.6637,98383
2007-06-20,8.625,8.7429,8.2102,8.3458,82821
2007-06-21,8.2586,8.3458,8.1472,8.218,57216
2007-06-22,8.2267,8.3294,8.2267,8.2654,64801
2007-06-25,8.3535,8.3535,8.2267,8.338,49091
2007-06-26,8.2654,8.4088,8.2654,8.4088,12464
2007-06-27,8.4571,8.4571,8.25,8.25,21231
2007-06-28,8.25,8.5443,8.25,8.2654,42207
2007-06-29,8.2654,8.2654,8.1865,8.2024,18152
2007-07-02,8.1547,8.1547,8.1227,8.1227,13282
2007-07-03,8.1071,8.5046,8.1071,8.4813,125685
2007-07-04,8.4649,8.4649,8.3458,8.4252,14416
2007-07-05,8.4649,8.4649,8.3458,8.3613,20795
2007-07-06,8.4252,8.4252,8.3855,8.4174,10279
2007-07-09,8.4649,8.4649,8.3458,8.3855,30794
2007-07-10,8.3458,8.3855,8.2654,8.2818,14746
2007-07-11,8.2654,8.2654,7.9558,8.2267,7740
2007-07-12,8.3061,8.3613,8.218,8.2897,16671
2007-07-13,8.2024,8.3061,8.2024,8.3061,13014
2007-07-16,8.218,8.218,8.0278,8.1472,12550
2007-07-17,8.0597,8.2267,8.0359,8.2267,6607
2007-07-18,8.1472,8.2024,8.1071,8.2024,8298
2007-07-19,8.1227,8.338,8.1227,8.338,9586
2007-07-20,8.3458,8.3458,8.004,8.004,14388
2007-07-23,8.0916,8.0916,7.9804,7.9877,59821
2007-07-24,8.0752,8.0916,8.0752,8.0752,6606
2007-07-25,7.9877,7.9877,7.5507,7.9484,14403
2007-07-26,7.869,7.869,7.4712,7.511,122744
2007-07-27,7.1534,7.3521,7.0739,7.3521,48170
2007-07-30,7.4315,7.6303,7.3601,7.4315,15416
2007-07-31,7.4395,7.5507,7.3124,7.4315,24728
2007-08-01,7.3521,7.3521,7.1534,7.1534,16166
2007-08-02,7.1773,7.3283,7.1534,7.3283,6907
2007-08-03,7.3997,7.3997,7.2567,7.3124,4001
2007-08-06,7.3839,7.4712,7.2488,7.3759,16209
2007-08-07,7.4237,7.7889,7.4237,7.6303,31049
2007-08-08,7.7098,7.8527,7.6383,7.6383,9831
2007-08-09,7.7176,7.7176,7.5905,7.5905,10299
2007-08-10,7.1534,7.2328,7.1534,7.1931,27550
2007-08-13,7.1851,7.3044,7.1851,7.2249,17044
2007-08-14,7.1851,7.3124,7.1534,7.2328,19683
2007-08-16,6.9546,7.1534,6.7561,7.1534,38966
2007-08-17,6.7561,7.1534,6.7004,7.1534,10249
2007-08-20,7.1534,7.3681,6.7719,7.1773,24044
2007-08-21,7.1534,7.1534,6.8354,7.0422,9008
2007-08-22,6.9546,7.1851,6.9546,7.1851,26069
2007-08-23,7.2328,7.4872,7.1931,7.3044,25019
2007-08-24,7.3442,7.3442,7.1057,7.217,9063
2007-08-27,7.2567,7.2567,7.1294,7.1693,7687
2007-08-28,7.2249,7.2249,6.9944,6.9944,32821
2007-08-29,6.9148,7.0342,6.9148,7.0342,8401
2007-08-30,7.1057,7.1057,6.9546,6.9546,12524
2007-08-31,7.0102,7.0102,6.8832,7.0102,3384
2007-09-03,6.9388,7.0102,6.9388,6.9944,23642
2007-09-04,6.9627,6.9865,6.8752,6.9865,13474
2007-09-05,6.9148,6.9786,6.8832,6.8832,2895
2007-09-06,6.8116,6.9148,6.7163,6.7163,9641
2007-09-07,6.7561,6.7561,6.5175,6.7082,12866
2007-09-10,6.6367,6.6685,6.3984,6.3984,5282
2007-09-11,6.4699,6.5254,6.4381,6.4539,4680
2007-09-12,6.3825,6.4381,6.1997,6.1997,12228
2007-09-13,6.2711,6.2791,6.1997,6.1997,1664
2007-09-14,6.2632,6.2791,6.1439,6.1439,9069
2007-09-17,6.1997,6.1997,6.0406,6.1917,4772
2007-09-18,6.1836,6.1917,6.0406,6.1917,3806
2007-09-19,6.136,6.2394,6.136,6.1997,13808
2007-09-20,6.1599,6.1599,5.9612,6.1202,11854
2007-09-21,6.0406,6.1997,6.0406,6.1997,8738
2007-09-24,6.1439,6.1917,5.9612,6.1519,3697
2007-09-25,6.0009,6.1519,5.9612,6.0009,5623
2007-09-26,5.9612,6.0009,5.9214,6.0009,5398
2007-09-27,6.0406,6.0645,5.9612,6.0645,14065
2007-09-28,6.0645,6.0645,5.9612,5.985,13408
2007-10-01,5.985,6.3585,5.9612,6.3585,54523
2007-10-02,6.5175,6.6287,6.3585,6.3984,39416
2007-10-03,6.5175,6.5175,6.2791,6.3984,6389
2007-10-04,6.2791,6.3506,6.2553,6.3506,2132
2007-10-05,6.2791,6.5732,6.2791,6.5652,38209
2007-10-08,6.764,6.764,6.6766,6.764,23814
2007-10-09,6.6367,6.7958,6.5971,6.6845,64294
2007-10-10,6.7163,6.74,6.6685,6.6845,38198
2007-10-11,6.7163,6.7242,6.6607,6.7163,7173
2007-10-12,6.6845,6.7004,6.6845,6.7004,7961
2007-10-15,6.7163,6.7163,6.446,6.5812,12460
2007-10-16,6.446,6.446,5.9612,6.0406,71383
2007-10-17,5.9612,5.9612,5.6432,5.6432,128529
2007-10-18,5.7227,5.7227,5.5956,5.675,23563
2007-10-19,5.8022,5.9532,5.683,5.9214,21254
2007-10-22,5.8419,5.8419,5.6432,5.7943,6626
2007-10-23,5.9136,5.9136,5.7623,5.7784,15433
2007-10-24,5.8022,5.8022,5.7943,5.7943,1263
2007-10-25,5.7227,5.7623,5.5956,5.5956,11363
2007-10-26,5.6035,5.6035,5.5637,5.5956,7282
2007-10-29,5.5637,5.6035,5.5637,5.5717,6069
2007-10-30,5.6511,5.6511,5.6432,5.6511,4125
2007-10-31,5.5717,5.683,5.5717,5.683,228949
2007-11-02,5.5717,5.6432,5.4445,5.6432,5934
2007-11-05,5.5241,5.5637,5.3253,5.3492,7734
2007-11-06,5.3333,5.5241,5.3333,5.373,3079
2007-11-07,5.373,5.4047,5.3333,5.3572,5102
2007-11-08,5.3333,5.3333,5.1663,5.3174,9900
2007-11-09,5.2299,5.2458,4.761,4.769,15807
2007-11-12,4.6101,4.761,4.5305,4.5384,14413
2007-11-13,4.4113,4.7531,4.4113,4.6894,3242
2007-11-14,4.769,5.0472,4.7053,4.7053,7895
2007-11-15,4.8246,4.8246,4.6101,4.761,1106
2007-11-16,4.5305,4.6894,4.4589,4.6497,7789
2007-11-19,4.6894,4.6894,4.4511,4.5225,3083
2007-11-20,4.4907,4.4907,4.2523,4.2603,8167
2007-11-21,4.3398,4.3398,3.9105,3.9343,110657
2007-11-22,3.8788,3.9264,3.5766,3.9105,30026
2007-11-23,3.9662,3.9662,3.7834,3.839,16130
2007-11-26,3.9185,3.9979,3.8549,3.9503,11319
2007-11-27,3.9583,3.9662,3.8549,3.9343,9832
2007-11-28,3.9741,4.1966,3.9343,4.1966,25147
2007-11-29,4.2523,4.4511,3.9741,4.0774,32544
2007-11-30,4.1649,4.1649,4.133,4.133,1501
2007-12-03,4.1966,4.1966,4.133,4.141,11161
2007-12-04,4.133,4.1728,4.0139,4.133,6179
2007-12-05,4.1728,4.1728,4.0298,4.0456,8906
