Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,2.26,2.26,2.22,2.25,46381
2005-01-04,2.24,2.25,2.22,2.25,27523
2005-01-05,2.23,2.23,2.18,2.2,48767
2005-01-06,2.19,2.21,2.15,2.21,82491
2005-01-07,2.21,2.21,2.16,2.19,46111
2005-01-10,2.17,2.17,2.13,2.14,66801
2005-01-11,2.12,2.17,2.09,2.11,113376
2005-01-12,2.11,2.17,2.11,2.14,125298
2005-01-13,2.15,2.16,2.12,2.14,54488
2005-01-14,2.13,2.19,2.13,2.19,168299
2005-01-17,2.2,2.25,2.2,2.23,150736
2005-01-18,2.24,2.24,2.12,2.14,62506
2005-01-19,2.11,2.16,2.11,2.15,79759
2005-01-20,2.11,2.11,2.07,2.1,143470
2005-01-21,2.1,2.1,2.07,2.08,40582
2005-01-24,2.08,2.08,2.04,2.07,34381
2005-01-25,2.07,2.1,2.04,2.07,57490
2005-01-26,2.1,2.15,2.1,2.12,133412
2005-01-27,2.1,2.13,2.08,2.09,60316
2005-01-28,2.1,2.11,2.08,2.08,72338
2005-01-31,2.08,2.24,2.08,2.22,610167
2005-02-01,2.25,2.35,2.25,2.29,596901
2005-02-02,2.33,2.34,2.25,2.27,148694
2005-02-03,2.25,2.25,2.2,2.2,77818
2005-02-04,2.21,2.26,2.2,2.25,128404
2005-02-07,2.27,2.29,2.26,2.27,152062
2005-02-08,2.27,2.28,2.19,2.21,63874
2005-02-09,2.2,2.2,2.11,2.17,138682
2005-02-10,2.16,2.3,2.15,2.26,239912
2005-02-11,2.26,2.29,2.19,2.26,145326
2005-02-14,2.25,2.26,2.22,2.26,22880
2005-02-15,2.27,2.34,2.25,2.29,284686
2005-02-16,2.34,2.39,2.31,2.33,556471
2005-02-17,2.35,2.37,2.28,2.3,189104
2005-02-18,2.31,2.32,2.26,2.3,105499
2005-02-21,2.35,2.42,2.35,2.38,337666
2005-02-22,2.41,2.41,2.35,2.4,167248
2005-02-23,2.38,2.4,2.35,2.39,154560
2005-02-24,2.36,2.39,2.3,2.32,309860
2005-02-25,2.33,2.38,2.32,2.36,293354
2005-02-28,2.36,2.36,2.23,2.27,205357
2005-03-01,2.27,2.28,2.22,2.27,80423
2005-03-02,2.26,2.26,2.19,2.2,129290
2005-03-03,2.21,2.21,2.15,2.19,124634
2005-03-04,2.19,2.19,2.16,2.19,43235
2005-03-07,2.19,2.22,2.17,2.22,49982
2005-03-08,2.24,2.24,2.2,2.22,37157
2005-03-09,2.25,2.31,2.25,2.25,203611
2005-03-10,2.28,2.47,2.28,2.41,1132833
2005-03-11,2.44,2.45,2.34,2.36,337462
2005-03-14,2.36,2.36,2.22,2.26,221035
2005-03-15,2.3,2.3,2.26,2.27,106506
2005-03-16,2.27,2.29,2.17,2.21,149859
2005-03-17,2.2,2.24,2.15,2.18,144968
2005-03-18,2.2,2.28,2.2,2.26,87356
2005-03-21,2.29,2.29,2.23,2.23,91281
2005-03-22,2.21,2.26,2.21,2.25,39752
2005-03-23,2.22,2.23,2.2,2.22,57719
2005-03-24,2.2,2.24,2.2,2.24,31492
2005-03-29,2.24,2.25,2.24,2.24,15858
2005-03-30,2.25,2.28,2.25,2.26,33602
2005-03-31,2.26,2.26,2.23,2.25,49509
2005-04-01,2.26,2.26,2.24,2.24,15109
2005-04-04,2.22,2.24,2.21,2.21,25931
2005-04-05,2.21,2.22,2.2,2.21,36115
2005-04-06,2.23,2.27,2.2,2.24,60883
2005-04-07,2.23,2.3,2.23,2.29,48522
2005-04-11,2.29,2.37,2.29,2.34,169452
2005-04-12,2.35,2.36,2.33,2.34,72364
2005-04-13,2.35,2.36,2.32,2.34,30598
2005-04-14,2.33,2.33,2.25,2.26,70890
2005-04-15,2.28,2.28,2.21,2.25,100719
