Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,2.4432,2.4679,2.4021,2.4432,315674
2005-01-04,2.4186,2.4186,2.3199,2.3362,1145904
2005-01-05,2.3199,2.3199,2.2539,2.2705,872177
2005-01-06,2.2539,2.2622,2.1799,2.2622,764695
2005-01-07,2.2539,2.2705,2.2047,2.2705,260820
2005-01-10,2.2539,2.2622,2.1799,2.2374,345607
2005-01-11,2.2458,2.3034,2.221,2.2786,560243
2005-01-12,2.2869,2.3199,2.2786,2.3199,486949
2005-01-13,2.3199,2.3362,2.2951,2.3362,348117
2005-01-14,2.3362,2.3526,2.3199,2.3526,279604
2005-01-17,2.3609,2.3855,2.3199,2.3199,385980
2005-01-18,2.3199,2.3199,2.2951,2.3115,1136397
2005-01-19,2.2951,2.3609,2.2951,2.3609,487066
2005-01-20,2.3855,2.4267,2.3855,2.4021,467841
2005-01-21,2.4102,2.4514,2.3855,2.3938,459371
2005-01-24,2.3855,2.4021,2.3855,2.3855,202021
2005-01-25,2.3855,2.3855,2.3609,2.3609,148670
2005-01-26,2.3526,2.3526,2.2951,2.3199,201166
2005-01-27,2.3199,2.3446,2.3199,2.3199,120441
2005-01-28,2.3199,2.3281,2.3034,2.3199,138372
2005-01-31,2.3115,2.3362,2.3034,2.3281,381623
2005-02-01,2.3281,2.3446,2.3199,2.3446,124473
2005-02-02,2.3526,2.3691,2.3362,2.3526,168326
2005-02-03,2.3362,2.3526,2.2539,2.2786,1080803
2005-02-04,2.2622,2.3199,2.2622,2.2786,461250
2005-02-07,2.2786,2.3446,2.2539,2.2786,1606756
2005-02-08,2.2951,2.2951,2.2622,2.2786,138082
2005-02-09,2.2786,2.2951,2.2539,2.2622,198377
2005-02-10,2.2951,2.2951,2.2539,2.2539,288594
2005-02-11,2.2539,2.3199,2.2539,2.2869,802952
2005-02-14,2.3115,2.3199,2.3034,2.3115,421033
2005-02-15,2.3115,2.3199,2.2951,2.3034,139599
2005-02-16,2.3115,2.3938,2.2951,2.3855,1001426
2005-02-17,2.4021,2.4597,2.3691,2.3855,8061867
2005-02-18,2.3855,2.4349,2.3855,2.3855,856848
2005-02-21,2.3855,2.4267,2.3362,2.3855,285890
2005-02-22,2.4021,2.4102,2.3362,2.3526,365517
2005-02-23,2.3609,2.4102,2.3362,2.3855,497834
2005-02-24,2.4021,2.4597,2.3938,2.4432,3037213
2005-02-25,2.4597,2.5254,2.4597,2.5089,2004818
2005-02-28,2.5254,2.5749,2.5173,2.5254,2165138
