Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,4.9878,5.0485,4.9878,5.0485,1506
2005-01-04,5.0828,5.0828,4.9537,5.0214,3330
2005-01-05,4.9537,4.9537,4.7975,4.7975,1377
2005-01-06,4.7975,4.9337,4.7639,4.8789,7090
2005-01-07,4.8722,4.8722,4.8722,4.8722,1546
2005-01-10,4.6821,4.8722,4.6821,4.7227,603
2005-01-11,4.6821,4.8517,4.6485,4.8382,3186
2005-01-12,4.8182,4.8182,4.8182,4.8182,432
2005-01-13,4.7912,4.7912,4.6686,4.7912,5205
2005-01-14,4.6956,4.6956,4.6686,4.6686,11945
2005-01-17,4.5602,4.7432,4.3769,4.7432,5415
2005-01-18,4.6686,4.6686,4.4853,4.5059,5243
2005-01-19,4.4787,4.7091,4.4787,4.7091,2792
2005-01-20,4.7162,4.7504,4.7162,4.7504,13254
2005-01-21,4.7162,4.7504,4.7162,4.7504,2045
2005-01-25,4.8046,4.9472,4.8046,4.9472,12456
2005-01-26,4.9402,5.0214,4.8859,4.8859,12979
2005-01-27,4.8859,4.8859,4.6549,4.7298,4995
2005-01-31,4.7162,4.8182,4.7162,4.7162,8705
2005-02-01,4.7776,4.8182,4.7504,4.7839,11406
2005-02-02,4.7839,4.8859,4.7839,4.8859,23115
2005-02-03,4.8859,4.8859,4.8182,4.8182,3134
2005-02-04,4.8182,4.8859,4.8182,4.8859,5676
2005-02-07,4.9537,4.9537,4.8517,4.92,79058
2005-02-08,4.7504,4.7504,4.7227,4.7432,16152
2005-02-09,4.7227,4.8588,4.7227,4.8588,5008
2005-02-10,4.7912,4.8859,4.7912,4.8859,9112
2005-02-11,4.7504,4.9266,4.7504,4.9266,29395
2005-02-14,4.9537,4.9537,4.9266,4.9266,3827
2005-02-15,4.9266,4.9266,4.9266,4.9266,1783
2005-02-16,4.913,4.92,4.7912,4.913,3292
2005-02-17,4.8859,4.9807,4.8046,4.9743,94870
2005-02-18,4.9537,4.9537,4.8922,4.8922,23378
2005-02-21,4.8859,4.9266,4.8182,4.9266,14895
2005-02-22,4.8859,4.9743,4.8859,4.9743,13283
2005-02-23,4.9672,5.0214,4.8182,5.0214,29132
2005-02-24,5.0284,5.0284,5.0077,5.0214,9178
2005-02-25,5.0077,5.0284,4.9402,5.0284,41494
2005-02-28,5.0485,5.069,4.9537,5.0485,28909
2005-03-01,5.0214,5.0485,4.9608,5.0485,4523
2005-03-02,5.0421,5.0421,5.0214,5.0421,16127
2005-03-03,5.0214,5.0421,5.0214,5.0421,787
2005-03-04,5.0214,5.0421,5.0214,5.0421,15536
2005-03-07,5.0555,5.0555,5.0555,5.0555,211
2005-03-08,5.0214,5.0421,4.92,5.0421,7211
2005-03-09,5.0555,5.0555,5.0214,5.0214,111704
2005-03-10,5.0485,5.0485,4.8995,5.0214,71127
2005-03-11,5.0485,5.0485,4.9337,5.0149,71913
2005-03-14,5.0214,5.0214,4.9807,5.0077,60702
2005-03-15,5.0077,5.0077,4.8859,4.9878,73840
2005-03-16,4.7839,4.9537,4.7839,4.8859,97243
2005-03-17,4.8859,4.9878,4.8789,4.9878,51867
