Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-06-13,6.4278,6.8943,6.1573,6.633,1961178
2007-06-14,6.8196,6.9502,6.5304,6.5304,550827
2007-06-15,6.5771,7.0901,6.4837,6.9502,374996
2007-06-18,7.0995,8.079,7.0995,8.0231,744822
2007-06-19,8.275,8.275,7.6499,8.0231,382415
2007-06-20,8.1163,8.6761,8.0231,8.4056,301112
2007-06-21,8.5361,8.9559,8.4429,8.6761,222291
2007-06-22,8.6761,9.2078,8.3122,9.0493,291330
2007-06-25,8.9746,9.0959,8.6761,9.0212,109086
2007-06-26,9.0026,9.0026,8.6761,8.8254,110192
2007-06-27,8.6294,8.6294,8.2189,8.3962,325028
2007-06-28,8.4988,8.6761,8.3029,8.4242,77816
2007-06-29,8.5735,8.5828,8.0323,8.1163,118138
2007-07-02,8.107,8.107,7.37,7.7805,104271
2007-07-03,7.8365,7.8365,7.3887,7.6125,115652
2007-07-04,7.5286,7.7151,6.9035,7.3887,254992
2007-07-05,7.3327,7.6033,7.2861,7.4633,81441
2007-07-06,7.37,7.4633,7.2767,7.454,33721
2007-07-09,7.4167,7.5006,7.2488,7.2488,105522
2007-07-10,7.2488,7.2953,7.0248,7.0901,66646
2007-07-11,7.0434,7.0901,6.9129,6.9222,50798
2007-07-12,7.0061,7.398,6.9969,7.2301,60989
2007-07-13,7.2301,7.2488,7.0434,7.1181,35622
2007-07-16,7.1648,7.1648,6.8103,6.9689,67152
2007-07-17,6.9875,7.2394,6.8103,7.2301,30562
2007-07-18,7.1834,7.1834,6.9969,7.0995,11346
2007-07-19,7.2488,7.2488,7.0434,7.2114,19810
2007-07-20,7.2301,7.3047,7.0901,7.2114,18568
2007-07-23,7.0995,7.4353,7.0901,7.4353,52127
2007-07-24,7.4633,7.4633,7.2301,7.2301,25575
2007-07-25,7.1648,7.1741,7.0155,7.1648,17521
2007-07-26,7.0528,7.2301,7.0248,7.0248,26628
2007-07-27,6.9502,6.9502,6.717,6.9502,23425
2007-07-30,6.8103,7.0901,6.8103,6.8196,22718
2007-07-31,6.8382,6.9875,6.8103,6.9782,9802
2007-08-01,6.8943,6.8943,6.7263,6.8943,7794
2007-08-02,6.9408,7.0901,6.8103,6.9408,12563
2007-08-03,6.9222,6.9222,6.6797,6.7076,20342
2007-08-06,6.5584,6.6797,6.0639,6.5771,16719
2007-08-07,6.5771,6.5771,6.1573,6.1573,43968
2007-08-08,6.1106,6.3345,6.1106,6.2505,10275
2007-08-09,6.2972,6.2972,5.9707,5.98,22985
2007-08-10,5.9519,5.9519,5.2243,5.4109,39425
2007-08-13,5.7188,5.7747,5.4109,5.7747,30023
2007-08-14,5.7654,5.7654,5.5601,5.5974,11920
2007-08-16,5.5042,5.5042,4.4406,4.7578,44386
2007-08-17,5.1311,5.1311,4.5712,5.1311,31037
2007-08-20,5.0284,5.6628,5.0284,5.4389,12750
2007-08-21,5.3642,5.3642,5.1311,5.299,5656
2007-08-22,5.1311,5.3083,5.1311,5.3083,5947
2007-08-23,5.2616,5.3083,5.0844,5.1776,33282
2007-08-24,5.1311,5.1963,4.9911,5.0097,14518
2007-08-27,5.1776,5.5695,4.9911,5.299,83531
2007-08-28,5.0937,5.3642,4.9444,4.9444,55679
2007-08-29,4.8512,4.8978,4.6459,4.6646,129724
2007-08-30,4.7765,4.8978,4.5712,4.6646,78146
