Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,19.514,19.65,19.195,19.286,252973
2005-01-04,19.013,19.013,18.786,18.922,13452
2005-01-05,18.786,18.83,18.649,18.83,31439
2005-01-06,18.604,18.604,17.649,17.694,64406
2005-01-07,17.649,17.649,17.329,17.604,37067
2005-01-10,17.514,17.514,16.921,16.921,33543
2005-01-11,16.921,17.557,16.921,17.421,38044
2005-01-12,17.557,17.877,17.557,17.785,19348
2005-01-13,17.739,17.921,17.739,17.739,24199
2005-01-14,17.785,18.103,17.785,18.103,17661
2005-01-17,18.513,18.604,18.24,18.558,15440
2005-01-18,18.466,18.649,18.377,18.422,16726
2005-01-19,18.24,18.377,18.24,18.377,7691
2005-01-20,18.331,18.83,18.331,18.83,26262
2005-01-21,18.877,18.922,18.558,18.558,36992
2005-01-24,18.422,18.466,18.194,18.287,35422
2005-01-25,18.422,18.649,18.422,18.604,493
2005-01-26,18.558,18.558,18.377,18.377,2639
2005-01-27,18.466,18.649,18.466,18.558,511490
2005-01-28,18.74,18.786,18.558,18.786,118366
2005-01-31,18.558,18.83,18.558,18.83,200975
2005-02-01,18.83,18.922,18.649,18.83,144118
2005-02-02,18.74,18.83,18.649,18.74,314489
2005-02-03,18.83,19.104,18.786,19.104,418375
2005-02-04,19.286,19.469,19.286,19.469,58076
2005-02-07,19.469,19.924,19.379,19.786,70310
2005-02-08,19.971,19.971,19.786,19.924,49334
2005-02-09,19.924,20.24,19.786,20.105,155975
2005-02-10,20.29,20.469,20.197,20.425,198487
2005-02-11,20.105,20.469,19.786,20.378,106283
2005-02-14,20.197,20.29,20.061,20.105,6463
2005-02-15,20.105,20.378,20.105,20.332,365301
2005-02-16,20.425,21.652,20.425,21.379,151558
2005-02-17,21.379,21.834,21.379,21.47,71295
2005-02-18,20.97,21.47,20.97,21.379,205752
2005-02-21,21.561,21.788,21.561,21.561,51104
2005-02-22,21.652,22.015,21.379,22.015,58210
2005-02-23,22.015,22.379,21.834,22.015,42144
2005-02-24,22.379,22.561,22.379,22.471,55246
2005-02-25,22.696,23.38,22.652,23.38,34637
2005-02-28,23.563,24.563,23.061,23.061,584655
2005-03-01,23.061,23.654,23.061,23.563,38453
2005-03-02,23.654,23.697,22.926,22.926,133388
2005-03-03,22.88,23.199,22.652,23.199,8233
2005-03-04,23.061,23.199,22.516,23.107,53935
2005-03-07,23.425,23.835,23.425,23.835,27222
2005-03-08,23.882,24.517,23.607,23.607,39188
2005-03-09,23.971,24.244,23.926,24.244,37810
2005-03-10,24.288,24.472,24.017,24.472,11331
2005-03-11,24.426,24.426,23.563,23.926,9093
2005-03-14,23.563,23.835,23.471,23.471,743
2005-03-15,22.015,23.199,22.015,22.379,32508
2005-03-16,22.289,22.926,22.015,22.198,269907
2005-03-17,21.924,22.926,21.834,22.379,118282
2005-03-18,22.835,22.835,22.471,22.835,389892
2005-03-21,22.652,22.652,22.289,22.379,36716
2005-03-22,22.379,23.014,22.379,22.926,14580
2005-03-23,22.696,23.014,22.608,23.014,76364
2005-03-24,23.154,23.654,23.154,23.243,48749
2005-03-29,23.243,23.243,22.744,22.744,551
2005-03-30,22.744,22.744,22.471,22.471,74351
2005-03-31,22.471,22.788,22.471,22.652,450349
2005-04-01,23.199,24.38,23.199,23.835,143675
2005-04-04,24.108,24.744,24.108,24.744,42670
2005-04-05,25.154,26.383,25.154,25.655,143183
2005-04-06,25.519,25.745,25.427,25.563,88747
2005-04-07,25.563,25.837,25.291,25.291,95444
2005-04-11,25.018,25.018,24.563,24.563,62360
2005-04-12,24.607,24.972,24.607,24.927,960
2005-04-13,24.744,24.836,24.563,24.836,74151
2005-04-14,24.836,24.836,24.244,24.244,1737
2005-04-15,24.017,24.199,23.789,24.017,178479
2005-04-18,23.516,24.336,23.516,24.108,152109
2005-04-19,24.108,24.336,24.108,24.108,2555
2005-04-20,24.288,24.744,24.244,24.744,7332
2005-04-21,24.38,24.744,24.38,24.563,132027
2005-04-22,24.79,25.018,24.744,24.744,21869
2005-04-25,25.473,25.927,25.246,25.927,18604
2005-04-26,25.927,26.154,25.927,26.02,22579
2005-04-27,26.064,26.064,25.291,25.381,14947
2005-04-28,25.018,25.018,24.744,24.744,1278
2005-04-29,24.836,24.927,24.654,24.654,12634
2005-05-02,24.699,24.744,24.699,24.699,1369
2005-05-04,24.654,24.654,24.108,24.151,7716
2005-05-05,24.108,24.244,23.971,24.244,2037
2005-05-06,24.199,24.199,24.151,24.151,22304
2005-05-09,24.017,25.927,23.882,25.927,12943
2005-05-10,24.563,24.563,23.654,23.926,26596
2005-05-11,23.926,23.926,23.471,23.471,7808
2005-05-12,23.471,23.697,23.289,23.425,57099
2005-05-13,23.199,23.289,22.926,22.926,2881
2005-05-16,23.154,23.471,23.154,23.471,2255
2005-05-17,22.926,22.926,22.289,22.835,98325
2005-05-18,22.926,23.289,22.926,23.061,287701
2005-05-19,23.061,23.061,22.972,22.972,3282
2005-05-20,23.014,23.014,22.926,22.972,24358
2005-05-23,22.88,22.926,22.744,22.926,4476
2005-05-24,22.926,23.425,22.926,23.425,23656
2005-05-25,23.654,23.654,23.563,23.607,1762
2005-05-27,23.926,24.472,23.926,24.151,26788
2005-05-30,23.926,24.017,23.654,23.654,6939
2005-05-31,23.654,23.654,23.014,23.107,64197
2005-06-01,23.061,23.199,22.88,23.107,82351
2005-06-02,23.289,24.108,23.289,24.062,31205
2005-06-03,23.654,24.017,23.654,24.017,593
2005-06-06,24.017,24.288,24.017,24.288,4776
2005-06-07,24.426,24.426,24.199,24.288,31205
2005-06-08,23.926,25.018,23.926,25.018,10187
2005-06-09,24.927,24.927,24.017,24.108,96563
2005-06-10,24.199,24.744,24.199,24.472,7741
2005-06-13,24.744,24.744,24.563,24.563,22546
2005-06-14,24.654,25.427,24.654,25.246,137747
2005-06-15,25.154,25.927,25.154,25.837,38629
2005-06-16,25.655,25.927,25.655,25.927,9895
2005-06-17,25.837,25.837,25.427,25.473,23773
2005-06-20,25.337,25.655,25.337,25.473,4484
2005-06-21,26.02,26.609,26.02,26.111,114959
2005-06-22,26.202,26.519,25.655,25.882,551454
2005-06-23,25.563,25.563,25.018,25.064,178463
2005-06-24,25.11,25.291,24.836,25.11,209050
2005-06-27,25.11,25.199,25.11,25.154,2447
2005-06-28,25.473,25.745,25.246,25.473,21928
2005-06-29,25.11,25.381,25.018,25.018,40223
2005-06-30,25.11,25.473,25.11,25.11,22429
2005-07-01,25.381,25.61,25.064,25.064,2121
2005-07-04,25.7,26.111,25.655,26.111,10830
2005-07-05,26.111,26.383,25.927,26.111,24775
2005-07-06,26.202,26.701,26.202,26.701,12450
2005-07-07,26.927,27.2,26.064,26.519,24132
2005-07-08,26.927,27.703,26.927,27.383,17636
2005-07-11,27.655,27.746,27.338,27.383,7741
2005-07-12,27.429,27.746,27.429,27.564,1929
2005-07-13,27.746,29.113,27.746,28.475,287150
2005-07-14,28.565,28.885,28.475,28.565,3123
2005-07-15,28.793,28.793,28.565,28.565,181093
2005-07-18,28.201,28.702,28.201,28.702,7106
2005-07-19,28.793,28.793,28.201,28.611,269456
2005-07-20,28.656,28.976,28.656,28.702,3524
2005-07-21,28.929,28.976,28.383,28.429,72631
2005-07-22,28.565,28.565,28.111,28.201,118700
2005-07-25,28.521,28.885,28.201,28.793,9820
2005-07-26,28.838,29.248,28.838,28.929,4192
2005-07-27,29.293,30.294,29.113,29.976,13177
2005-07-28,30.476,30.658,30.294,30.658,8718
2005-07-29,30.705,30.749,30.021,30.065,5862
2005-08-01,30.522,31.342,30.43,31.251,13436
2005-08-02,31.568,32.204,31.521,31.75,56465
2005-08-03,31.841,31.933,31.477,31.568,15465
2005-08-04,31.841,32.432,31.16,31.75,73374
2005-08-05,32.613,32.613,30.932,31.568,50286
