Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,7.667,7.9423,7.6316,7.9423,781
2005-01-04,8.267,8.3095,7.5188,7.8576,11324
2005-01-05,7.8223,7.8435,7.6316,7.7729,5654
2005-01-06,7.9423,7.9423,7.547,7.7164,5701
2005-01-07,7.5823,7.667,7.547,7.667,3230
2005-01-10,7.4975,7.6316,7.4975,7.5823,4343
2005-01-11,7.6528,7.6528,7.4975,7.6316,713
2005-01-12,7.6528,7.6528,7.6316,7.6316,1645
2005-01-13,7.4975,7.7376,7.4975,7.7376,6295
2005-01-14,7.7376,7.9705,7.7376,7.9705,1262
2005-01-17,7.8858,7.8858,7.8858,7.8858,232
2005-01-18,7.8435,7.8435,7.8435,7.8435,3
2005-01-19,7.8858,7.8858,7.547,7.7517,6176
2005-01-20,7.7164,7.7164,7.547,7.7164,2467
2005-01-21,7.4975,7.7164,7.4975,7.7164,473
2005-01-24,7.5823,7.7376,7.5823,7.7376,3050
2005-01-25,7.7376,7.7376,7.4975,7.4975,2350
2005-01-26,7.4975,7.8858,7.4975,7.8858,4420
2005-01-27,7.907,7.907,7.7517,7.8576,826
2005-01-28,7.907,8.3095,7.8223,8.3095,73540
2005-01-31,8.4365,8.8599,8.4365,8.4789,6039
2005-02-01,8.7754,8.7754,8.4789,8.4789,9962
2005-02-02,8.6907,8.6907,8.3942,8.3942,123
2005-02-03,8.3942,8.3942,8.267,8.267,4565
2005-02-04,8.4789,8.4789,8.4789,8.4789,3
2005-02-07,8.4789,8.5213,8.14,8.5213,64415
2005-02-08,8.5213,8.5213,8.1823,8.5213,751
2005-02-09,8.5213,8.5213,8.5213,8.5213,65
2005-02-10,8.4365,8.5213,8.4365,8.5213,28447
2005-02-11,8.6907,8.7329,8.5213,8.6907,1778
2005-02-14,8.7329,8.7329,8.6059,8.6483,3099
2005-02-15,9.0363,9.502,9.0363,9.3334,44793
2005-02-16,9.545,10.145,9.545,9.757,13758
2005-02-17,9.841,10.145,9.841,9.841,8748
2005-02-18,9.976,9.976,9.3752,9.714,7932
2005-02-21,9.757,9.806,9.4607,9.757,1070
2005-02-22,9.545,9.976,9.502,9.757,1733
2005-02-23,9.757,9.757,9.4179,9.714,984
2005-02-24,9.4607,9.545,9.248,9.248,2869
2005-02-25,9.1635,9.1635,9.079,9.1635,2581
2005-02-28,10.011,10.314,9.806,10.145,43134
2005-03-01,10.441,10.611,10.096,10.18,37698
2005-03-02,10.23,10.23,9.806,9.926,18105
2005-03-03,9.926,10.011,9.806,9.926,12576
2005-03-04,10.096,10.23,10.011,10.23,22776
2005-03-07,10.18,10.738,10.145,10.738,47757
2005-03-08,10.992,11.466,10.872,11.38,65268
2005-03-09,11.423,11.423,10.788,10.907,48372
2005-03-10,10.992,10.992,10.653,10.823,18590
2005-03-11,10.872,10.872,10.23,10.653,24768
2005-03-14,10.653,10.653,10.441,10.653,2697
2005-03-15,10.653,10.872,10.441,10.823,7603
2005-03-16,10.653,10.653,10.314,10.399,11486
2005-03-17,10.145,10.399,10.145,10.399,12413
2005-03-18,10.441,10.484,10.357,10.399,6971
2005-03-21,10.314,10.357,9.891,10.23,7559
2005-03-22,10.23,10.441,10.23,10.441,5423
2005-03-23,10.23,10.484,10.061,10.484,1178
2005-03-24,10.484,10.484,10.23,10.441,746
2005-03-29,10.314,10.527,10.314,10.441,2124
2005-03-30,10.357,10.441,10.357,10.441,608
2005-03-31,10.399,10.568,10.399,10.568,5832
