Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,6.9714,7.4041,6.8752,7.4041,41327
2005-01-04,7.4041,7.4522,7.2599,7.2599,21793
2005-01-05,7.3079,7.4522,7.1156,7.3079,33472
2005-01-06,7.1637,7.4041,7.1637,7.4041,12679
2005-01-07,7.2599,7.5003,7.2599,7.4041,11330
2005-01-10,7.5003,7.5003,7.1156,7.2599,15487
2005-01-11,7.1637,7.2599,6.9714,7.0675,19481
2005-01-12,7.0195,7.0195,6.8752,7.0195,15043
2005-01-13,7.0195,7.1637,6.9714,7.1637,8392
2005-01-14,7.0195,7.2118,6.9714,7.1156,12531
2005-01-17,7.1637,7.1637,7.0675,7.1156,11760
2005-01-18,7.0195,7.0195,6.8752,6.8752,10669
2005-01-19,6.8752,6.8752,6.779,6.8271,4044
2005-01-20,6.731,6.9233,6.5867,6.5867,10356
2005-01-21,6.5387,6.5387,6.2502,6.2502,15847
2005-01-24,6.2502,6.4906,5.9617,6.3464,29779
2005-01-25,6.4426,6.731,6.4426,6.4906,18201
2005-01-26,6.731,6.731,6.5387,6.5387,12480
2005-01-27,6.731,6.731,6.4426,6.5387,8872
2005-01-28,6.3945,6.6348,6.3464,6.3464,247
2005-01-31,6.6348,6.9714,6.4906,6.8752,31316
2005-02-01,7.0675,7.1156,6.8271,6.9233,9601
2005-02-02,7.0675,7.0675,6.8752,6.8752,7331
2005-02-03,6.9233,6.9233,6.731,6.8271,11330
2005-02-04,6.6829,6.779,6.6829,6.6829,9764
2005-02-07,6.8271,7.0195,6.731,6.8752,35058
2005-02-08,6.8752,7.0195,6.731,6.8752,13136
2005-02-09,6.8752,6.8752,6.731,6.8752,19333
2005-02-10,6.9233,7.4522,6.779,7.2599,79842
2005-02-11,7.4041,7.4041,6.8752,7.1156,16641
2005-02-14,7.1156,7.3079,7.1156,7.2118,24352
2005-02-15,6.5387,6.6829,6.2502,6.4906,134731
2005-02-16,6.4426,6.4906,6.2502,6.4906,35552
2005-02-17,6.2983,6.6348,6.2983,6.4906,25235
2005-02-18,6.3945,6.4906,6.3945,6.3945,6011
2005-02-21,6.3464,6.5387,6.2983,6.2983,36869
2005-02-22,6.4426,6.4426,6.2983,6.3464,7867
2005-02-23,6.3464,6.3464,6.2021,6.2502,19905
2005-02-24,6.1541,6.2502,5.7694,6.1541,31483
2005-02-25,6.0579,6.2983,5.9137,6.1541,10174
2005-02-28,6.2021,6.2502,6.0579,6.2502,6029
2005-03-01,6.2983,6.4426,6.106,6.2983,69573
2005-03-02,6.2502,6.2502,5.9137,5.9617,130847
2005-03-03,6.0098,6.0098,5.8175,5.8656,13808
2005-03-04,5.9137,5.9137,5.7213,5.7213,34169
2005-03-07,5.7213,5.7694,5.6252,5.7213,23034
