Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,0.7083,0.7083,0.6988,0.7083,58143
2005-01-04,0.7083,0.7083,0.6988,0.6988,36327
2005-01-05,0.7083,0.7083,0.6892,0.6892,144195
2005-01-06,0.6797,0.6988,0.6701,0.6892,119061
2005-01-07,0.6414,0.6797,0.6222,0.6797,229029
2005-01-10,0.6797,0.6797,0.6318,0.6606,235970
2005-01-11,0.6414,0.6509,0.6318,0.6509,89301
2005-01-12,0.6127,0.6414,0.6127,0.6318,142050
2005-01-13,0.6318,0.6509,0.6127,0.6318,121842
2005-01-14,0.6318,0.6414,0.6222,0.6414,18496
2005-01-17,0.6318,0.6318,0.6222,0.6222,58149
2005-01-18,0.6222,0.6222,0.603,0.603,62105
2005-01-19,0.603,0.6127,0.5839,0.6127,58787
2005-01-20,0.603,0.6222,0.5935,0.6222,152451
2005-01-21,0.6222,0.6222,0.5744,0.6127,60160
2005-01-24,0.603,0.6127,0.5935,0.6127,40552
2005-01-25,0.6127,0.6509,0.603,0.6127,260914
2005-01-26,0.6127,0.6222,0.6127,0.6222,79529
2005-01-27,0.6222,0.6222,0.6127,0.6222,37329
2005-01-28,0.6222,0.6222,0.6127,0.6222,49965
2005-01-31,0.6318,0.6701,0.6222,0.6414,340365
2005-02-01,0.6414,0.6797,0.6318,0.6701,269387
2005-02-02,0.6797,0.6797,0.6414,0.6414,207528
2005-02-03,0.6509,0.6509,0.6222,0.6509,128557
2005-02-04,0.6509,0.6606,0.6414,0.6414,92379
2005-02-07,0.6414,0.6606,0.6318,0.6509,47775
2005-02-08,0.6606,0.7562,0.6606,0.6988,1313059
2005-02-09,0.6892,0.6988,0.6701,0.6701,413196
2005-02-10,0.6701,0.718,0.6701,0.7083,338944
2005-02-11,0.7083,0.7083,0.6701,0.6892,157195
2005-02-14,0.6701,0.6988,0.6701,0.6701,71257
2005-02-15,0.6701,0.6797,0.6606,0.6797,68762
2005-02-16,0.6606,0.6701,0.6509,0.6606,138148
2005-02-17,0.6414,0.6509,0.6318,0.6414,125276
2005-02-18,0.6414,0.6701,0.6318,0.6606,76440
2005-02-21,0.7083,0.7083,0.6892,0.6892,459515
2005-02-22,0.6797,0.6892,0.6701,0.6701,136320
2005-02-23,0.6606,0.6892,0.6606,0.6797,72367
2005-02-24,0.6892,0.6988,0.6701,0.6797,100904
2005-02-25,0.6701,0.6892,0.6701,0.6892,131664
2005-02-28,0.6701,0.6797,0.6606,0.6797,104231
2005-03-01,0.6701,0.6701,0.6606,0.6701,36618
2005-03-02,0.6892,0.6892,0.6606,0.6701,93752
2005-03-03,0.6701,0.6701,0.6509,0.6509,80257
