Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,24.78,25.37,24.682,24.976,2265
2005-01-04,24.976,24.976,24.583,24.878,1077
2005-01-05,24.78,24.78,24.485,24.583,3250
2005-01-06,24.583,24.583,23.108,24.386,1512
2005-01-07,24.386,24.878,24.091,24.583,2005
2005-01-10,24.682,25.566,24.485,25.566,2680
2005-01-11,25.764,28.025,25.764,27.828,16579
2005-01-12,28.025,28.516,27.14,27.73,14719
2005-01-13,28.516,28.516,27.73,28.32,2455
2005-01-14,28.516,28.516,27.336,27.926,2385
2005-01-17,28.32,28.32,26.353,27.73,4787
2005-01-18,27.534,28.32,26.059,26.059,3697
2005-01-19,26.059,26.746,26.059,26.746,798
2005-01-20,25.862,27.73,25.862,27.73,5120
2005-01-21,28.123,29.008,27.73,29.008,8031
2005-01-24,29.402,30.385,28.714,29.5,8415
2005-01-25,29.5,30.975,29.008,30.484,9945
2005-01-26,30.484,30.778,29.696,30.484,4237
2005-01-27,29.992,30.582,29.205,30.286,3242
2005-01-28,30.385,30.385,28.615,28.615,13243
2005-01-31,29.598,29.598,27.632,29.5,4647
2005-02-01,29.992,29.992,28.812,29.303,2339
2005-02-02,29.008,29.106,27.632,27.632,497
2005-02-03,28.222,29.205,27.435,27.435,6291
2005-02-04,27.828,27.828,27.336,27.336,459
2005-02-07,27.926,29.303,27.041,28.714,5289
2005-02-08,28.516,28.812,28.123,28.418,3016
2005-02-09,28.516,28.714,28.418,28.615,4035
2005-02-10,28.516,28.516,28.32,28.32,3120
2005-02-11,28.32,28.615,28.32,28.516,3591
2005-02-14,33.925,33.925,30.582,32.45,32571
2005-02-15,32.646,33.138,29.795,29.795,14324
2005-02-16,30.484,30.876,29.795,29.894,4288
2005-02-17,30.484,30.484,28.714,28.714,5329
2005-02-18,29.008,29.008,28.32,28.32,1660
2005-02-21,28.123,29.303,28.025,28.714,4009
2005-02-22,28.714,28.714,28.516,28.516,341
2005-02-23,28.32,29.5,28.32,29.5,1985
2005-02-24,29.5,29.5,28.91,29.5,944
2005-02-25,28.91,29.303,28.615,28.812,1251
2005-02-28,28.516,28.91,28.025,28.91,5988
2005-03-01,28.32,28.714,27.926,28.714,1504
2005-03-02,28.123,28.32,25.862,27.632,6047
2005-03-03,27.534,28.516,27.14,27.14,1215
2005-03-04,26.944,27.926,26.944,27.926,228
2005-03-07,27.336,27.926,26.55,27.14,1011
