Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,5.3,5.3,5.3,5.3,790
2005-01-04,5,5.25,5,5.25,24
2005-01-05,5.2,5.2,5.2,5.2,465
2005-01-06,5,5.15,5,5.15,6
2005-01-07,5,5.15,5,5.15,117
2005-01-10,5.1,5.1,5.1,5.1,300
2005-01-11,5,5,5,5,1640
2005-01-12,5,5,5,5,2361
2005-01-13,5,5,5,5,729
2005-01-14,4.57,4.75,4.57,4.75,2450
2005-01-17,4.8,4.94,4.8,4.94,651
2005-01-18,4.74,4.74,4.74,4.74,100
2005-01-19,4.86,4.86,4.79,4.79,350
2005-01-20,4.78,4.78,4.78,4.78,1410
2005-01-21,4.87,4.87,4.83,4.83,355
2005-01-24,4.5,4.5,4.5,4.5,228
2005-01-26,4.57,4.57,4.57,4.57,350
2005-01-27,4.78,4.78,4.78,4.78,130
2005-01-28,4.95,4.95,4.95,4.95,15
2005-02-01,4.99,4.99,4.99,4.99,90
2005-02-02,4.95,5,4.95,5,1070
2005-02-03,5,5,5,5,1800
2005-02-04,4.88,4.88,4.88,4.88,1001
2005-02-07,4.84,4.84,4.84,4.84,1019
2005-02-08,5,5,5,5,139
2005-02-09,4.97,4.97,4.97,4.97,800
2005-02-10,5,5,5,5,3651
2005-02-11,4.95,4.95,4.95,4.95,3170
2005-02-16,4.84,4.84,4.84,4.84,310
2005-02-17,5,5,5,5,175
2005-02-18,4.84,4.84,4.6,4.6,1931
2005-02-21,4.63,4.63,4.63,4.63,300
2005-02-22,4.79,4.79,4.79,4.79,426
2005-02-23,4.9,4.9,4.9,4.9,65
2005-02-25,4.7,4.7,4.7,4.7,1
2005-02-28,4.8,4.8,4.8,4.8,450
2005-03-01,4.8,4.8,4.8,4.8,10
2005-03-02,4.81,4.81,4.81,4.81,2481
2005-03-03,4.6,4.6,4.6,4.6,1
2005-03-04,4.6,4.6,4.6,4.6,1
2005-03-07,4.8,4.8,4.8,4.8,820
2005-03-08,4.6,4.6,4.6,4.6,1
2005-03-09,4.89,4.89,4.83,4.83,321
2005-03-10,4.6,4.6,4.6,4.6,1
2005-03-11,4.74,4.74,4.74,4.74,100
2005-03-14,4.6,4.6,4.6,4.6,1814
2005-03-15,4.6,4.6,4.6,4.6,1
2005-03-16,4.74,4.74,4.74,4.74,201
2005-03-17,4.6,4.6,4.6,4.6,1
2005-03-18,4.6,4.6,4.5,4.5,440
2005-03-21,4.5,4.5,4.5,4.5,308
2005-03-22,4.47,4.47,4.47,4.47,477
2005-03-23,4.35,4.35,4.35,4.35,1
2005-03-24,4.35,4.35,4.35,4.35,1
2005-03-29,4.25,4.25,4.25,4.25,900
2005-03-30,4.05,4.05,4.05,4.05,1
