Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-04-10,33.884,39.999,33.29,37.705,400070
2006-04-11,39.15,43.311,34.904,35.498,354435
2006-04-12,36.432,37.961,34.733,35.922,62424
2006-04-13,36.517,36.602,33.884,34.394,44692
2006-04-18,33.715,34.309,33.205,34.309,37629
2006-04-19,35.243,35.328,34.309,34.479,27189
2006-04-20,34.733,34.733,33.884,34.309,12175
2006-04-21,34.14,35.073,33.546,34.819,22135
2006-04-24,34.819,34.988,34.054,34.225,13126
2006-04-25,34.309,34.479,33.884,34.394,15948
2006-04-26,34.733,34.733,33.884,34.394,10555
2006-04-27,34.309,34.394,34.054,34.309,8089
2006-04-28,34.309,34.733,34.14,34.564,4279
2006-05-02,34.309,34.733,34.225,34.309,11077
2006-05-04,34.309,35.922,34.309,35.922,16775
2006-05-05,36.602,37.536,36.262,36.517,31999
2006-05-08,34.479,35.073,34.309,34.564,29160
2006-05-09,34.14,34.649,34.054,34.309,13120
2006-05-10,34.054,34.479,34.054,34.309,12593
2006-05-11,34.309,34.649,34.14,34.394,13145
2006-05-12,34.309,34.564,34.309,34.309,12195
2006-05-15,34.309,34.479,34.054,34.309,11389
2006-05-16,34.394,34.649,34.225,34.394,7689
2006-05-17,34.733,35.583,34.394,34.733,15539
2006-05-18,34.819,36.262,34.819,36.262,14725
2006-05-19,36.262,37.367,36.009,36.773,11220
2006-05-22,37.451,37.451,34.733,34.988,9672
2006-05-23,34.733,34.733,31.421,33.8,27721
2006-05-24,33.8,33.884,32.016,32.611,7031
2006-05-25,32.27,32.611,29.468,32.525,12301
2006-05-26,33.205,33.29,31.847,33.12,2963
2006-05-29,33.29,33.884,31.931,32.525,3354
2006-05-30,32.356,32.525,31.167,31.337,2900
2006-05-31,30.657,31.761,29.893,31.421,3903
2006-06-01,32.186,32.27,31.507,32.27,3782
2006-06-02,32.27,33.46,32.186,32.611,4128
2006-06-05,32.696,33.12,31.676,32.27,3793
2006-06-06,32.611,32.611,31.507,31.507,1647
2006-06-07,32.27,32.27,31.252,31.761,1312
2006-06-08,31.167,31.167,29.979,30.996,14559
2006-06-09,31.167,31.421,30.996,31.337,6672
2006-06-12,31.421,31.421,30.233,31.337,13658
2006-06-13,29.214,29.807,28.789,29.384,21826
2006-06-14,28.195,29.807,28.195,29.723,14167
2006-06-16,30.233,31.083,29.384,29.384,2447
2006-06-19,29.299,30.148,29.214,30.148,2822
2006-06-20,30.063,30.148,29.384,30.148,3569
2006-06-21,30.233,30.488,29.893,30.488,11757
