Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,3.084,3.091,3.0487,3.0698,2633995
2005-01-04,3.0698,3.0698,3.0417,3.0698,1894973
2005-01-05,3.0275,3.0417,2.9993,3.0134,1461970
2005-01-06,2.9923,3.0417,2.9851,3.0275,1444531
2005-01-07,3.0346,3.0558,3.0134,3.0487,1255714
2005-01-10,3.0487,3.0769,3.0275,3.0698,1127880
2005-01-11,3.0698,3.0698,3.0275,3.0698,1310065
2005-01-12,3.0698,3.1405,3.0698,3.1122,4522794
2005-01-13,3.1475,3.1545,3.1122,3.1264,3380438
2005-01-14,3.1334,3.1334,3.0628,3.0769,736603
2005-01-17,3.084,3.084,3.0487,3.0769,884702
2005-01-18,3.0487,3.0558,2.9499,2.9782,699425
2005-01-19,2.9429,2.9711,2.8652,2.9004,2139048
2005-01-20,2.8793,2.8934,2.844,2.8934,2782355
2005-01-21,2.8793,2.8934,2.8723,2.8864,708975
2005-01-24,2.8793,2.8864,2.844,2.8793,988117
2005-01-25,2.8864,2.9358,2.8793,2.8793,668415
2005-01-26,2.8864,2.964,2.8864,2.9429,1442313
2005-01-27,2.9851,3.0064,2.9004,2.9146,1761847
2005-01-28,2.9429,2.9429,2.9146,2.9146,628964
2005-01-31,2.9429,2.9499,2.9075,2.9429,1213645
2005-02-01,2.9571,2.9851,2.9429,2.9782,4779888
2005-02-02,2.9782,2.9923,2.9358,2.9429,2091350
2005-02-03,2.9429,2.964,2.9287,2.964,1702769
2005-02-04,2.9782,3.0205,2.9571,3.0064,3043511
2005-02-07,3.0134,3.0275,2.9923,3.0134,1567213
2005-02-08,3.0346,3.0769,3.0275,3.0487,3336497
2005-02-09,3.0487,3.0628,3.0134,3.0628,1007101
2005-02-10,3.0346,3.0558,3.0205,3.0275,1511181
2005-02-11,3.0417,3.0417,2.9993,3.0275,1048183
2005-02-14,3.0134,3.0205,2.9851,2.9851,2340105
2005-02-15,2.9782,2.9782,2.9287,2.9429,1714974
2005-02-16,2.9358,3.0417,2.9358,3.0134,2222515
2005-02-17,3.0275,3.0346,2.9923,2.9993,1461138
2005-02-18,2.9923,2.9923,2.9429,2.9782,480081
2005-02-21,2.9851,3.0346,2.9782,3.0134,2574855
2005-02-22,3.0205,3.0487,2.9851,3.0417,2199265
2005-02-23,3.0346,3.0558,3.0064,3.0064,2104959
2005-02-24,3.0275,3.0346,2.9923,3.0275,1504068
2005-02-25,3.0417,3.0769,3.0346,3.0769,4840798
2005-02-28,3.0981,3.1052,3.0417,3.0628,2473614
2005-03-01,3.0628,3.1122,3.0134,3.0417,2641559
2005-03-02,3.0417,3.0487,2.8793,2.8864,4830005
2005-03-03,2.8934,2.9711,2.8934,2.9429,2900419
2005-03-04,2.964,2.9923,2.9358,2.9429,4027757
2005-03-07,2.9782,2.9782,2.9287,2.9429,567039
2005-03-08,2.9429,2.9429,2.9075,2.9287,1078438
2005-03-09,2.9429,2.9782,2.9287,2.9571,2191116
2005-03-10,2.9711,2.9711,2.9499,2.9571,2133269
2005-03-11,2.9571,2.964,2.9216,2.9429,302917
