Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-04-12,18.202,18.325,15.292,15.628,2509098
2007-04-13,16.242,16.762,15.628,15.659,590508
2007-04-16,15.903,15.903,15.352,15.475,159699
2007-04-17,15.475,15.475,14.985,15.077,124825
2007-04-18,14.954,14.954,14.128,14.435,215232
2007-04-19,14.096,14.525,13.943,14.403,68741
2007-04-20,14.373,14.679,14.066,14.096,70544
2007-04-23,14.341,14.341,13.27,13.392,130379
2007-04-24,13.331,13.423,12.779,13.208,83026
2007-04-25,13.331,13.699,13.147,13.637,36247
2007-04-26,13.637,14.679,13.637,14.463,124250
2007-04-27,14.71,14.985,14.128,14.463,50203
2007-04-30,14.495,14.679,14.188,14.341,24752
2007-05-02,14.403,14.587,14.28,14.587,17232
2007-05-04,14.587,14.587,14.341,14.495,14630
2007-05-07,14.556,14.556,14.128,14.28,22045
2007-05-08,14.157,14.28,13.728,13.79,35547
2007-05-09,13.79,14.034,13.728,14.034,23891
2007-05-10,14.096,14.096,13.728,13.728,21866
2007-05-11,13.453,13.637,13.176,13.605,27953
2007-05-14,13.821,14.25,13.576,14.096,48563
2007-05-15,14.128,14.128,13.821,13.943,26287
2007-05-16,13.912,13.912,13.637,13.79,34933
2007-05-17,13.79,13.821,13.423,13.483,32283
2007-05-18,13.361,13.483,13.176,13.483,24905
2007-05-21,13.699,13.699,13.27,13.331,31405
2007-05-22,13.483,13.483,13.208,13.423,22005
2007-05-23,13.483,14.341,13.483,13.943,75377
2007-05-24,14.066,14.25,13.483,14.096,47199
2007-05-25,13.79,14.435,13.759,14.373,66304
2007-05-28,15.168,15.628,15.016,15.2,116553
2007-05-29,15.261,16.088,14.954,15.843,235318
2007-05-30,15.781,16.395,15.322,15.628,114185
2007-05-31,15.781,16.242,15.721,15.874,59910
2007-06-01,15.935,15.935,15.077,15.322,34263
2007-06-04,15.231,15.292,14.863,14.924,40346
2007-06-05,14.924,15.168,14.463,14.617,27700
2007-06-06,14.556,15.016,14.556,14.924,34100
2007-06-08,14.924,14.924,14.587,14.802,13755
2007-06-11,15.016,15.231,14.832,15.016,28756
2007-06-12,15.016,15.016,14.771,14.893,19592
2007-06-13,14.863,14.924,14.679,14.863,15983
2007-06-14,14.985,15.168,14.863,15.139,35259
2007-06-15,15.016,15.139,14.739,15.139,32536
2007-06-18,15.077,15.139,14.863,15.016,16617
2007-06-19,15.016,15.139,14.802,15.107,28413
2007-06-20,15.139,16.242,15.139,15.935,186819
2007-06-21,15.628,16.088,15.628,15.781,40479
2007-06-22,15.903,15.997,15.659,15.903,45829
2007-06-25,15.874,15.997,15.352,15.903,42394
2007-06-26,15.781,16.057,15.781,15.935,31631
2007-06-27,15.843,16.762,15.843,16.395,169461
2007-06-28,16.67,16.762,16.242,16.486,50862
2007-06-29,16.548,16.548,15.843,16.088,19900
2007-07-02,15.69,16.027,15.322,15.903,25468
2007-07-03,15.935,15.997,15.475,15.628,35622
2007-07-04,15.475,15.874,15.475,15.813,25938
2007-07-05,15.781,15.903,15.628,15.781,16899
2007-07-06,15.781,15.903,15.659,15.659,13260
2007-07-09,15.781,16.027,15.781,15.965,23014
2007-07-10,15.965,16.088,15.69,15.843,15756
2007-07-11,15.721,15.843,15.628,15.721,25310
2007-07-12,15.874,15.874,15.536,15.721,14312
2007-07-13,15.903,15.903,15.568,15.69,11334
2007-07-16,15.751,15.781,15.016,15.475,32357
2007-07-17,15.475,15.751,15.077,15.751,20676
2007-07-18,15.751,15.751,15.506,15.628,5763
2007-07-19,16.548,16.548,15.781,15.781,12367
2007-07-20,15.935,15.935,15.69,15.781,9125
2007-07-23,15.874,15.935,15.628,15.69,14256
2007-07-24,15.69,15.781,15.506,15.659,13703
2007-07-25,15.352,15.568,14.863,15.414,18273
2007-07-26,15.414,15.414,14.771,15.016,12245
2007-07-27,14.556,15.107,14.435,15.016,18505
2007-07-30,15.231,15.322,14.403,15.016,5620
2007-07-31,15.077,15.445,14.771,15.292,8910
2007-08-01,15.261,15.261,14.71,14.985,6827
