Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-07-20,42.337,45.751,39.746,39.746,1013300
2007-07-23,40.513,40.513,37.153,40.177,129750
2007-07-24,40.177,40.177,38.88,39.746,94838
2007-07-25,37.325,39.746,37.325,39.746,14406
2007-07-26,39.746,39.746,38.449,38.89,12264
2007-07-27,37.24,37.749,37.153,37.586,7996
2007-07-30,36.858,37.153,35.425,35.511,10793
2007-07-31,35.425,36.756,35.425,36.652,2716
2007-08-01,36.072,37.525,34.994,37.162,7860
2007-08-02,37.586,39.746,37.586,38.88,4999
2007-08-03,38.88,40.609,37.499,38.925,8624
2007-08-06,37.325,38.925,36.722,38.873,7982
2007-08-07,38.061,38.88,38.017,38.017,996
2007-08-08,36.893,38.873,35.943,38.699,824
2007-08-09,38.846,38.846,36.98,38.017,3018
2007-08-10,35.425,37.144,35.425,37.144,3168
2007-08-13,38.846,38.846,35.425,38.008,6835
2007-08-14,36.722,37.586,36.288,36.722,3531
2007-08-16,34.561,34.561,33.696,34.561,6639
2007-08-17,34.561,37.153,32.833,37.153,5442
2007-08-20,37.153,38.846,37.153,37.93,3559
2007-08-21,38.008,38.008,37.05,37.05,30
2007-08-22,37.93,37.93,36.288,37.144,264
2007-08-23,35.658,36.288,35.658,35.856,2958
2007-08-24,35.856,35.856,35.425,35.856,1168
2007-08-27,35.856,36.288,34.561,36.288,3716
2007-08-28,36.98,36.98,36.288,36.288,2684
2007-08-29,35.425,36.288,35.425,36.288,6059
2007-08-30,36.288,36.98,36.288,36.722,3339
2007-08-31,36.635,36.712,36.288,36.712,815
2007-09-03,37.153,37.153,35.425,36.937,852
2007-09-04,37.586,37.586,36.288,36.288,972
2007-09-05,36.722,36.764,36.635,36.722,6597
2007-09-06,36.722,36.893,35.943,36.722,7084
2007-09-07,36.514,37.153,36.514,36.722,14005
2007-09-10,35.615,36.712,34.656,35.425,5094
2007-09-11,35.425,36.288,35.425,35.425,1413
2007-09-12,35.425,36.505,35.425,36.505,262
2007-09-13,34.994,36.712,34.994,36.712,2491
2007-09-14,35.089,36.288,35.089,36.288,94
2007-09-17,35.856,35.856,34.994,34.994,91
2007-09-18,34.994,35.425,34.984,34.984,1374
2007-09-19,35.856,35.856,34.898,35.252,3727
2007-09-20,33.785,35.425,33.785,35.425,6315
2007-09-21,34.129,35.417,34.129,35.417,374
2007-09-24,34.258,35.079,34.258,35.036,1909
2007-09-25,33.696,34.994,33.696,34.994,1574
2007-09-26,34.994,34.994,34.475,34.475,24314
2007-09-27,34.475,34.561,33.921,34.561,1434
2007-09-28,34.475,34.475,33.541,33.696,742
2007-10-01,32.012,34.457,32.012,33.36,668
2007-10-02,32.833,34.457,32.833,32.877,4740
2007-10-03,32.833,33.689,32.833,32.833,5657
2007-10-04,33.265,33.265,32.401,32.401,9333
2007-10-05,32.401,33.351,32.401,33.351,10548
2007-10-08,33.696,34.035,33.696,33.696,9790
2007-10-09,33.696,33.785,33.696,33.696,24825
2007-10-10,34.553,34.553,33.956,34.457,5404
2007-10-11,34.042,34.042,34.042,34.042,1872
2007-10-12,34.388,34.553,34.042,34.553,3675
2007-10-15,34.553,35.425,33.351,35.425,3832
2007-10-16,33.705,35.425,33.705,35.425,245
2007-10-17,34.994,34.994,33.696,34.95,26549
2007-10-18,34.907,35.519,34.907,34.994,1575
2007-10-19,35.849,36.549,35.849,36.496,5399
2007-10-22,36.419,36.462,36.419,36.462,150
2007-10-23,36.288,36.462,36.288,36.462,109
2007-10-24,36.1,36.375,35.856,36.375,623
2007-10-25,36.375,36.375,36.288,36.288,251
2007-10-26,35.599,36.288,34.716,36.031,2306
2007-10-29,35.425,37.153,35.425,37.153,2164
2007-10-30,37.153,37.153,36.722,36.773,58
2007-10-31,36.773,36.773,36.4,36.722,615
2007-11-02,33.265,36.116,33.265,36.116,106
2007-11-05,36.116,36.116,34.994,34.994,95088
2007-11-07,34.129,34.553,33.696,34.129,3128
2007-11-08,33.696,34.129,33.007,34.042,8934
2007-11-09,34.129,34.129,34.129,34.129,3470
2007-11-12,33.265,33.265,33.265,33.265,6
2007-11-13,33.265,33.265,33.265,33.265,2848
2007-11-14,33.74,33.74,32.919,32.919,123
2007-11-15,32.85,32.919,32.85,32.919,50001
2007-11-16,33.265,33.265,33.265,33.265,724
2007-11-19,33.265,34.553,33.265,34.553,922
2007-11-20,32.141,34.561,32.141,34.561,1575
2007-11-21,34.129,34.129,34.129,34.129,867
2007-11-22,34.129,34.561,34.129,34.561,1329
2007-11-23,34.561,34.994,34.561,34.994,3508
2007-11-26,32.151,34.638,32.141,34.638,117
2007-11-28,34.119,36.28,34.119,36.28,855
2007-11-29,34.561,36.893,34.561,36.246,4215
2007-11-30,36.893,37.067,36.893,37.067,579
2007-12-03,36.954,36.954,36.954,36.954,66
2007-12-04,36.211,36.288,35.338,35.425,4365
2007-12-05,34.224,34.561,34.224,34.561,405
2007-12-06,34.561,35.849,34.561,35.425,4200
2007-12-07,35.779,36.722,35.779,36.722,351
2007-12-10,36.462,36.462,36.462,36.462,108
2007-12-11,36.288,36.722,36.288,36.333,782
2007-12-12,36.288,36.722,36.288,36.722,3594
2007-12-13,35.917,36.937,35.599,36.722,1277
2007-12-14,36.722,36.722,36.288,36.722,706
2007-12-17,35.599,36.333,35.599,36.333,696
2007-12-18,35.856,36.288,35.856,36.288,1223
2007-12-20,35.425,35.856,35.425,35.425,1203
2007-12-21,34.561,36.116,34.561,36.031,18156
2007-12-27,36.288,36.722,35.425,35.425,8495
2007-12-28,36.712,36.712,36.712,36.712,35
2008-01-02,36.712,36.722,36.712,36.722,105
2008-01-03,36.722,36.722,36.722,36.722,15
2008-01-09,36.288,36.288,34.388,36.116,725
2008-01-10,34.042,36.16,34.042,36.16,33
2008-01-14,35.856,35.856,35.856,35.856,5
2008-01-15,35.856,35.856,34.561,35.684,34733
2008-01-16,30.5,33.265,30.5,32.833,21592
2008-01-17,31.969,32.79,31.969,32.79,5295
2008-01-18,35.425,35.425,32.461,32.833,5424
2008-01-21,35.425,35.425,35.425,35.425,25
2008-01-23,32.833,35.599,32.833,35.564,1139
2008-01-24,35.554,35.554,35.157,35.451,160
2008-01-25,34.561,35.554,34.561,35.451,1856
2008-01-28,35.096,35.425,35.096,35.425,39
2008-01-29,35.425,35.684,34.561,35.425,1290
2008-01-30,35.856,35.856,34.561,34.561,1758
2008-01-31,34.561,35.814,32.833,32.833,341
2008-02-01,34.907,35.165,34.561,35.165,953
2008-02-04,35.856,35.856,35.856,35.856,41
2008-02-06,35.425,35.856,34.561,35.425,1356
2008-02-07,35.772,35.772,35.772,35.772,69
2008-02-11,35.599,35.599,35.599,35.599,35
2008-02-12,35.59,36.288,35.425,36.272,11389
2008-02-13,33.87,36.072,33.696,36.031,2459
2008-02-14,33.835,36.031,33.826,35.425,1015
2008-02-15,35.9,35.9,35.9,35.9,1
2008-02-18,33.853,35.599,33.853,35.599,636
2008-02-19,33.887,35.64,33.887,35.64,1319
2008-02-20,35.684,35.684,35.684,35.684,48
2008-02-22,33.696,35.425,33.696,35.382,48667
2008-02-25,33.696,35.417,33.696,35.417,2326
2008-02-27,35.33,35.338,34.561,34.994,1772
2008-02-28,34.561,34.561,34.561,34.561,1157
2008-02-29,34.561,34.561,32.833,34.561,902
2008-03-03,33.696,34.129,32.877,34.129,6050
2008-03-04,34.301,34.301,34.301,34.301,13
2008-03-05,34.561,35.382,34.561,35.382,232
2008-03-06,34.561,34.561,34.561,34.561,363
2008-03-07,34.388,34.388,34.388,34.388,14
2008-03-10,34.38,34.475,34.38,34.38,96
2008-03-11,34.475,34.475,34.475,34.475,54
2008-03-12,34.561,34.561,34.561,34.561,29
2008-03-14,34.388,34.388,34.388,34.388,40
2008-03-27,32.237,34.475,32.237,34.475,157
2008-03-28,34.553,34.553,34.38,34.475,88
2008-04-01,33.696,34.517,32.833,34.517,706
2008-04-02,34.553,34.553,34.553,34.553,47
2008-04-03,33.696,33.696,33.696,33.696,150
2008-04-04,33.36,34.553,33.36,34.553,235
2008-04-10,31.278,34.388,31.278,34.388,405
2008-04-11,33.696,34.388,32.185,34.129,865
2008-04-14,32.833,34.536,32.833,34.536,358
2008-04-15,32.833,33.265,32.833,32.877,5548
2008-04-16,32.22,33.265,32.22,33.265,520
2008-04-17,32.928,33.654,32.928,33.654,347
2008-04-18,31.969,33.654,31.969,33.611,743
2008-04-21,33.611,33.611,33.611,33.611,153
2008-04-22,33.274,33.437,33.274,33.437,114
2008-04-23,33.101,33.437,33.101,33.437,38
2008-04-29,33.43,33.43,33.43,33.43,810
2008-04-30,31.762,33.326,31.762,33.326,1198
2008-05-05,33.093,33.437,31.623,33.437,888
2008-05-06,33.446,33.524,32.833,32.833,7557
2008-05-08,33.437,33.437,33.437,33.437,347
2008-05-12,32.444,33.223,32.151,33.223,2159
2008-05-13,32.227,33.153,32.227,32.426,486
2008-05-14,32.167,33.093,32.098,33.093,331
2008-05-15,32.763,32.928,32.763,32.928,25
2008-05-16,33.093,33.093,33.093,33.093,347
2008-05-23,31.969,32.124,31.96,31.969,4065
2008-05-26,31.969,31.969,31.389,31.389,527
2008-05-27,31.951,31.951,31.389,31.389,457
2008-05-28,31.217,31.769,31.105,31.769,1397
2008-05-29,31.831,31.831,31.831,31.831,47
2008-05-30,31.51,31.769,31.51,31.769,434
2008-06-02,31.788,31.788,31.788,31.788,2
2008-06-11,30.198,31.709,29.473,30.24,6182
2008-06-12,28.815,29.782,28.064,28.064,4451
2008-06-13,27.225,30.198,26.871,28.927,26433
2008-06-16,28.927,30.31,28.927,30.31,598
2008-06-18,30.976,30.976,27.554,30.24,1614
2008-06-19,30.095,30.984,30.095,30.984,586
2008-06-20,28.815,30.5,28.815,30.5,696
