Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,6.5274,6.7101,6.5274,6.6578,4280
2005-01-04,6.5795,6.684,6.5795,6.684,864
2005-01-05,6.5274,6.5274,6.5274,6.5274,2926
2005-01-06,6.5274,6.5274,6.2923,6.2923,318
2005-01-07,6.4489,6.4489,6.3185,6.3185,811
2005-01-10,6.4489,6.4489,6.2141,6.2141,3079
2005-01-11,6.2662,6.2923,6.1618,6.1618,3624
2005-01-12,6.1618,6.1618,6.1618,6.1618,137
2005-01-13,6.0574,6.1095,5.9529,5.9529,7787
2005-01-14,6.0051,6.188,5.9529,5.9529,3551
2005-01-17,6.0051,6.1095,6.0051,6.1095,1183
2005-01-19,6.0051,6.1357,5.9529,6.1357,3246
2005-01-20,5.9529,6.0311,5.9007,5.9007,1285
2005-01-21,6.0574,6.1095,6.0574,6.1095,3816
2005-01-24,6.1095,6.1095,5.9529,5.9529,1018
2005-01-25,5.8485,6.1095,5.8485,6.1095,1050
2005-01-26,5.979,5.979,5.979,5.979,60
2005-01-31,6.1095,6.3185,6.1095,6.2141,6849
2005-02-01,6.3706,6.684,6.3706,6.684,8384
2005-02-02,6.7101,6.7101,6.4229,6.5535,4131
2005-02-03,6.6057,6.6578,6.6057,6.6318,2618
2005-02-04,6.5274,6.6578,6.3185,6.6578,4942
2005-02-07,6.7623,7.2062,6.7101,6.8668,40787
2005-02-08,6.9973,6.9973,6.5795,6.8146,4738
2005-02-09,6.6578,6.7623,6.5795,6.7101,3311
2005-02-10,6.5535,6.5535,6.3706,6.3968,7543
2005-02-11,6.3446,6.4752,6.1357,6.4752,5091
2005-02-14,6.4752,6.7361,6.4752,6.6057,2209
2005-02-15,6.4752,6.4752,6.4489,6.4489,918
2005-02-16,6.5535,6.5535,5.9007,6.0574,31718
2005-02-17,6.188,6.2141,6.0051,6.1618,6510
2005-02-18,6.2141,6.2141,6.0835,6.1357,1304
2005-02-21,6.1618,6.2141,6.0311,6.1618,3351
2005-02-22,6.1618,6.1618,6.0311,6.1095,134
2005-02-23,6.2141,6.2141,6.0051,6.1618,1496
2005-02-24,6.1618,6.1618,5.9269,6.1095,1058
2005-02-25,5.979,6.1095,5.9529,6.0574,5541
2005-02-28,6.0835,6.0835,5.7702,6.0574,5149
2005-03-01,5.8485,6.0311,5.7962,6.0051,2550
2005-03-02,5.979,5.979,5.8224,5.8224,325
2005-03-03,5.9007,5.979,5.6659,5.8224,3882
2005-03-04,5.8485,5.8485,5.8224,5.8224,12436
2005-03-07,5.9007,5.9007,5.7179,5.7179,193
2005-03-08,5.8485,5.8485,5.5874,5.7179,8848
2005-03-09,5.6918,5.7962,5.6136,5.744,2874
2005-03-10,5.7179,5.7179,5.0653,5.1957,30183
2005-03-11,5.0131,5.1696,5.0131,5.1173,9282
2005-03-14,5.274,5.274,4.8041,4.9608,13491
2005-03-15,4.8824,5.0653,4.5691,4.8041,21085
2005-03-16,4.9608,4.9608,4.6474,4.8041,1323
2005-03-17,4.8563,4.8563,4.6474,4.8563,3402
2005-03-18,4.9347,5.0653,4.8563,5.0653,8331
