Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,3.4646,3.545,3.3932,3.5272,22444
2005-01-04,3.5093,3.5093,3.4557,3.4557,2699
2005-01-05,3.4378,3.4825,3.4378,3.4468,1064
2005-01-06,3.411,3.4378,3.3396,3.42,9214
2005-01-07,3.411,3.411,3.3307,3.3396,3512
2005-01-10,3.3218,3.3307,3.3218,3.3218,2817
2005-01-11,3.3128,3.3128,3.2771,3.3039,2458
2005-01-12,3.2592,3.2592,3.1253,3.1253,4816
2005-01-13,3.2057,3.2057,3.1253,3.17,9885
2005-01-14,3.161,3.161,3.161,3.161,33
2005-01-17,3.17,3.2057,3.0361,3.1074,7290
2005-01-18,2.9646,3.1164,2.9467,3.0271,10447
2005-01-19,2.9914,2.9914,2.9914,2.9914,40
2005-01-20,3.0361,3.1074,3.0361,3.0628,3061
2005-01-21,3.0539,3.0539,2.9467,3.0003,1200
2005-01-24,2.9199,3.4468,2.9199,3.2682,19960
2005-01-25,3.2682,3.3039,3.0806,3.2592,7445
2005-01-26,3.2147,3.2414,3.0806,3.1432,31217
2005-01-27,3.1342,3.1342,3.0539,3.0539,16707
2005-01-28,3.1879,3.1879,3.0628,3.0806,7461
2005-01-31,3.0361,3.0717,2.9467,3.0182,43007
2005-02-01,3.0361,3.1074,3.0361,3.1074,26224
2005-02-02,3.1253,3.2147,3.1074,3.1521,28636
2005-02-03,3.1521,3.2147,3.1521,3.2057,39972
2005-02-04,3.1968,3.1968,3.1253,3.17,17140
2005-02-07,3.1789,3.1968,3.1253,3.1432,24183
2005-02-08,3.1342,3.1789,3.1074,3.1432,9831
2005-02-09,3.0628,3.1521,3.0628,3.1521,3238
2005-02-10,3.1253,3.161,3.0896,3.1074,15959
2005-02-11,3.1521,3.1879,3.1253,3.1789,24996
2005-02-14,3.17,3.17,3.1074,3.1074,18182
2005-02-15,3.045,3.0628,3.0093,3.0628,27565
2005-02-16,3.0361,3.0361,2.9467,3.0361,22779
2005-02-17,2.9914,3.0003,2.9378,2.9735,18127
2005-02-18,2.9735,3.0539,2.9735,3.0003,35674
2005-02-21,3.0271,3.0271,2.9735,2.9735,2236
2005-02-22,2.9646,3.1074,2.9646,3.0985,25882
2005-02-23,3.1164,3.1164,3.0806,3.0806,11102
2005-02-24,3.1253,3.411,3.1253,3.3932,208843
2005-02-25,3.3932,3.3932,3.3039,3.3396,68115
2005-02-28,3.3486,3.3754,3.2236,3.2771,39164
2005-03-01,3.2682,3.2682,3.17,3.2147,20702
2005-03-02,3.2414,3.3575,3.2057,3.3039,60175
2005-03-03,3.3039,3.3575,3.2592,3.3486,42229
2005-03-04,3.3486,3.3486,3.2682,3.3039,14459
2005-03-07,3.2592,3.295,3.2147,3.286,12413
2005-03-08,3.286,3.295,3.286,3.286,9785
2005-03-09,3.286,3.286,3.2147,3.2325,2817
2005-03-10,3.1968,3.1968,3.1789,3.1789,3136
2005-03-11,3.1253,3.1253,3.0361,3.0806,13417
2005-03-14,3.0182,3.0896,3.0182,3.0896,1811
2005-03-15,3.0985,3.0985,3.0271,3.0717,1970
2005-03-16,3.0361,3.0361,2.8128,2.9467,52590
2005-03-17,2.8843,2.911,2.8396,2.8753,14941
2005-03-18,2.8307,3.0093,2.8128,2.911,39373
2005-03-21,2.9199,2.9735,2.911,2.9288,6608
2005-03-22,2.9378,2.9467,2.8932,2.8932,4143
2005-03-23,2.9021,2.9735,2.8664,2.9556,11529
2005-03-24,2.8843,2.9825,2.8843,2.9467,2744
2005-03-29,3.0003,3.0003,2.9825,3.0003,5944
2005-03-30,3.0003,3.0182,2.9556,3.0182,2576
2005-03-31,3.045,3.0717,2.9467,3.0539,14417
2005-04-01,3.0182,3.0182,2.9467,2.9825,13514
2005-04-04,2.9735,3.0271,2.9467,3.0271,3418
2005-04-05,3.0271,3.0271,2.9825,3.0182,6558
2005-04-06,3.0182,3.0182,2.9735,2.9735,1008
2005-04-07,2.9825,3.0003,2.9825,3.0003,787
2005-04-11,2.9914,3.0003,2.9378,2.9556,14491
2005-04-12,3.0182,3.0271,2.9467,3.0271,2031
2005-04-13,3.0271,3.0271,2.9914,2.9914,495
2005-04-14,3.0003,3.0003,3.0003,3.0003,1
