Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,142.93,143.95,142.52,142.52,5900
2005-01-04,143.03,143.03,142.09,142.29,5800
2005-01-05,144.5,144.63,144.26,144.46,3000
2005-01-06,144.23,145.05,143.69,145.05,15600
2005-01-07,144.52,151.17,143.78,150.92,61500
2005-01-10,149.74,149.78,146.69,146.69,15800
2005-01-11,146.47,146.47,144.84,146.39,9500
2005-01-12,146.46,148.49,146.46,147.35,3800
2005-01-13,149.27,150.13,149.27,149.93,1500
2005-01-14,149.18,153.25,148.97,152.84,12900
2005-01-17,153.06,154.85,153.06,154.04,6000
2005-01-18,154.26,159.16,153.85,157.94,29500
2005-01-19,158.94,160.94,158.25,159.35,36900
2005-01-20,161.59,161.59,156.95,158.14,14700
2005-01-21,155.32,158.18,154.5,155.73,40700
2005-01-24,155.06,157.63,154.78,154.78,12100
2005-01-25,154.47,159.96,154.47,155.69,29600
2005-01-26,156.04,160.35,156.04,160.35,25500
2005-01-27,159.23,168.97,159.23,168.57,92100
2005-01-28,169.07,169.89,155.26,163.59,40200
2005-01-31,163.84,165.62,161.2,165.62,37000
2005-02-01,167.03,175.13,167.03,170.23,123200
2005-02-02,172.28,177.75,171.59,176.13,90800
2005-02-03,172.09,174.08,171.65,172.17,38300
2005-02-04,175.38,175.42,163.19,164.19,95000
2005-02-07,162.74,168.68,162.74,166.9,42700
2005-02-08,166.69,170.46,165.9,167.96,60300
2005-02-09,175.87,177.88,172.47,175.87,58800
2005-02-10,177.22,178.02,176.02,177.22,23000
2005-02-11,178.76,180.53,178.36,178.76,19000
2005-02-14,179.6,183.46,178.04,183.46,25400
2005-02-15,182.86,187.37,182.02,187.37,46500
2005-02-16,186.5,186.5,181.73,181.73,96100
2005-02-17,182.87,183.43,182.67,182.87,73700
2005-02-18,183.66,184.45,180.86,180.86,15100
2005-02-21,180.31,182.7,180.31,181.71,47400
2005-02-22,180.98,181.73,179.99,180.58,93300
2005-02-23,179.11,180.45,179.11,180.14,68500
2005-02-24,178.41,179.4,178.41,178.53,25100
2005-02-25,177.15,179.38,177.15,178.21,14100
2005-02-28,179.16,182.49,179.16,182.49,16100
2005-03-01,183.04,184.6,182.46,182.46,16600
2005-03-02,184.85,185.83,184.07,184.66,31000
2005-03-03,185.14,185.14,181.06,185.1,34400
2005-03-04,184.96,186.96,183.82,186.57,29200
2005-03-07,184.68,188.37,183.71,187.2,48500
2005-03-08,188.55,192.36,188.55,191.24,74600
2005-03-09,191.2,191.2,187.59,188.68,18300
2005-03-10,192.62,192.62,189.84,190.24,9700
2005-03-11,189.88,190.87,186.32,186.88,11200
2005-03-14,186.27,188.06,185.88,188.06,38700
2005-03-15,188.09,188.09,183.09,183.09,8100
