Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-09-12,7.6247,8.318,7.3289,7.3289,513317
2007-09-13,7.3013,7.5786,7.3013,7.5786,75499
2007-09-14,7.5786,7.5786,7.3474,7.366,26494
2007-09-17,7.4491,7.5322,7.2919,7.3474,18594
2007-09-18,7.2088,7.4399,7.1162,7.3938,13475
2007-09-19,7.5692,7.7634,7.3566,7.7634,66053
2007-09-20,7.8003,7.8003,7.4491,7.6708,69197
2007-09-21,7.5786,7.6247,7.4768,7.4768,11082
2007-09-24,7.6986,7.6986,7.5322,7.5786,8001
2007-09-25,7.5878,7.5878,7.3938,7.5322,19178
2007-09-26,7.5139,7.6708,7.5139,7.6708,78305
2007-09-27,7.6708,8.318,7.6247,8.133,160652
2007-09-28,8.0407,8.0407,7.7172,7.9481,69207
2007-10-01,8.0314,8.1145,7.7078,7.9297,29883
2007-10-02,7.9297,8.318,7.8373,7.9574,39194
2007-10-03,8.0867,8.0867,7.5508,7.8003,29935
2007-10-04,7.8003,7.8096,7.4951,7.7356,23538
2007-10-05,7.7172,7.9481,7.6708,7.9481,12969
2007-10-08,7.8557,8.0222,7.8557,7.9481,13930
2007-10-09,7.9851,7.9851,7.9112,7.9481,7938
2007-10-10,7.865,7.8834,7.7726,7.8279,6379
2007-10-11,7.9389,7.9481,7.8373,7.9481,2971
2007-10-12,7.9666,8.0407,7.8557,8.0314,5296
2007-10-15,8.1054,8.1237,8.0036,8.1054,14802
2007-10-16,8.0129,8.1054,7.9574,8.0314,8454
2007-10-17,8.0407,8.1145,7.8557,8.1145,8652
2007-10-18,8.1145,8.133,7.9851,8.1054,5693
2007-10-19,8.0498,8.1792,7.9481,8.1792,5831
2007-10-22,8.1609,8.1609,7.8741,8.096,11359
2007-10-23,8.096,8.133,7.8557,8.133,19052
2007-10-24,8.096,8.096,7.902,7.9851,8790
2007-10-25,7.9481,8.133,7.9481,8.1054,8859
2007-10-26,7.865,8.2162,7.865,8.2162,25859
2007-10-29,8.2162,8.4103,8.0407,8.4012,21937
2007-10-30,8.4843,9.1033,8.4843,8.8262,44983
2007-10-31,9.0941,9.149,8.9001,8.9648,15360
2007-11-02,8.9555,9.778,8.6043,9.4264,27325
2007-11-05,9.693,9.703,8.318,8.4195,69161
2007-11-06,8.6876,8.6876,8.4195,8.5674,3975
2007-11-07,8.78,8.78,8.2439,8.4103,14380
2007-11-08,8.2993,8.8539,7.902,8.2993,35061
2007-11-09,8.7614,8.7614,7.9203,8.2162,20126
2007-11-12,8.586,8.6782,7.9481,8.2902,10478
2007-11-13,8.4103,8.4103,7.9666,8.318,286
2007-11-14,8.8539,8.8539,8.4103,8.4103,36391
2007-11-15,8.5767,8.5767,7.8557,8.133,34739
2007-11-16,7.976,8.595,7.976,8.595,10077
2007-11-19,8.7061,8.7061,8.133,8.133,11677
2007-11-20,8.133,8.3085,7.9481,8.3085,4191
2007-11-21,8.2346,8.2346,7.7634,7.9481,14923
2007-11-22,8.1145,8.2256,7.8557,8.2256,7364
2007-11-23,8.133,8.4012,8.133,8.4012,3171
2007-11-26,8.5489,8.6413,8.2256,8.3918,9237
2007-11-27,8.5489,8.5489,8.133,8.318,5272
2007-11-28,8.133,8.3918,8.133,8.318,1374
2007-11-29,8.318,8.3642,8.318,8.318,11604
2007-11-30,8.4843,9.011,8.4843,9.011,11335
2007-12-03,8.9648,8.9648,8.78,8.9648,2000
2007-12-04,8.9555,8.9555,8.9464,8.9464,456
2007-12-05,9.0479,9.612,8.9371,9.2425,2141
2007-12-06,9.2144,9.2425,9.1403,9.2425,13847
2007-12-07,9.2327,9.2425,9.0664,9.2425,6095
2007-12-10,9.2425,9.501,8.9648,9.195,14668
2007-12-11,9.1862,9.1862,9.1766,9.1766,2983
2007-12-12,8.9926,8.9926,8.5117,8.8169,16285
2007-12-13,8.8539,8.8539,8.318,8.5397,7670
2007-12-14,8.318,8.318,7.9574,8.1515,22778
2007-12-17,8.1515,8.1515,7.4584,7.9203,28313
2007-12-18,7.754,7.754,7.3938,7.5139,39785
2007-12-19,7.5139,7.5786,6.9777,7.5786,74369
2007-12-20,7.7078,7.9203,7.5878,7.9203,11441
2007-12-21,7.8928,8.1145,7.6708,7.8557,26871
2007-12-27,7.8557,7.8557,7.8557,7.8557,1797
2007-12-28,7.7448,7.8557,7.7448,7.8557,56552
2008-01-02,7.8557,8.1237,7.8557,8.0407,3881
2008-01-03,7.8741,8.0407,7.6708,8.0407,10133
2008-01-04,8.0407,8.0407,7.6708,7.7634,5149
2008-01-07,7.7634,7.8928,7.218,7.754,4120
2008-01-08,7.7356,7.902,7.4216,7.902,8277
2008-01-09,7.5878,7.8557,7.5786,7.8373,9248
2008-01-10,7.7634,7.7634,7.4951,7.7448,6859
