Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,19.602,19.836,19.522,19.764,32838
2005-01-04,19.764,20,19.522,19.917,54376
2005-01-05,20,20,19.602,19.917,40026
2005-01-06,19.683,20,19.441,19.764,21502
2005-01-07,19.764,19.764,19.206,19.367,53501
2005-01-10,19.367,19.764,19.367,19.602,108162
2005-01-11,19.522,19.602,19.367,19.522,305266
2005-01-12,19.602,19.602,18.972,19.125,10418
2005-01-13,19.125,19.288,18.34,18.494,185749
2005-01-14,18.413,18.575,18.1,18.1,80159
2005-01-17,18.1,18.575,18.1,18.494,60729
2005-01-18,18.413,18.413,18.025,18.025,84901
2005-01-19,17.945,18.178,17.549,17.63,64794
2005-01-20,17.387,18.1,17.314,17.945,8600
2005-01-21,18.025,18.025,17.549,17.783,150298
2005-01-24,17.467,17.783,17.314,17.783,44761
2005-01-25,17.783,17.783,17.549,17.702,86022
2005-01-26,17.63,18.26,17.63,18.178,71023
2005-01-27,18.26,18.26,18.025,18.1,51755
2005-01-28,17.945,18.1,17.783,18.1,14318
2005-01-31,18.178,18.26,18.025,18.26,9645
2005-02-01,18.178,18.656,18.025,18.494,91995
2005-02-02,18.656,18.728,18.34,18.494,22663
2005-02-03,18.575,18.575,18.178,18.494,11634
2005-02-04,18.575,18.575,18.34,18.494,28601
2005-02-07,18.26,18.494,18.1,18.26,52383
2005-02-08,18.26,18.413,17.945,18.025,8760
2005-02-09,18.1,18.178,18.025,18.025,24195
2005-02-10,18.34,18.34,17.63,17.63,24358
2005-02-11,18.1,18.1,17.63,17.702,10537
2005-02-14,18.025,18.025,17.63,17.702,14604
2005-02-15,17.783,17.783,17.549,17.783,94730
2005-02-16,17.863,17.945,17.702,17.945,14681
2005-02-17,17.945,17.945,17.63,17.945,37423
2005-02-18,17.945,18.025,17.863,17.945,10599
2005-02-21,17.863,18.025,17.783,17.783,4126
2005-02-22,17.863,18.26,17.783,18.025,33733
2005-02-23,17.945,18.025,17.549,17.549,28393
2005-02-24,17.63,17.945,17.63,17.863,46651
2005-02-25,17.945,18.34,17.702,17.783,234554
2005-02-28,17.783,18.025,17.783,18.025,18553
2005-03-01,17.783,17.945,17.63,17.783,97715
2005-03-02,17.702,17.945,17.314,17.314,67318
2005-03-03,17.63,17.63,16.991,17.151,271566
2005-03-04,17.233,17.467,16.916,17.467,6454
2005-03-07,17.467,17.549,17.233,17.467,16797
2005-03-08,17.467,17.945,17.151,17.783,69293
2005-03-09,17.863,18.811,17.863,18.728,202137
2005-03-10,18.728,18.811,18.34,18.575,7491
2005-03-11,18.656,18.728,18.494,18.728,184626
2005-03-14,18.728,18.728,18.26,18.413,21623
2005-03-15,18.413,18.891,18.413,18.891,283739
2005-03-16,18.656,19.053,18.656,18.972,75458
2005-03-17,18.972,19.053,18.575,18.728,60002
2005-03-18,18.575,18.891,18.575,18.728,54677
2005-03-21,18.811,19.288,18.728,19.125,221521
2005-03-22,18.972,19.125,18.656,18.656,43033
2005-03-23,18.656,18.972,18.656,18.972,71413
2005-03-24,19.053,19.125,18.972,19.053,84904
2005-03-29,18.891,19.288,18.891,19.206,65878
2005-03-30,19.125,19.522,18.972,19.522,26233
2005-03-31,19.602,19.683,19.053,19.206,30431
2005-04-01,18.972,19.367,18.972,19.125,78642
2005-04-04,18.972,19.367,18.972,18.972,43501
2005-04-05,18.972,19.288,18.972,18.972,12204
2005-04-06,18.972,19.441,18.891,18.972,29080
2005-04-07,18.972,19.288,18.728,18.728,51593
2005-04-11,18.26,18.972,18.26,18.972,5232
2005-04-12,18.972,19.288,18.972,19.288,5108
2005-04-13,19.053,19.367,18.972,19.288,41968
2005-04-14,19.288,19.288,18.972,19.288,5580
2005-04-15,18.972,19.053,18.728,19.053,3153
2005-04-18,18.972,19.053,18.26,18.972,58117
2005-04-19,18.972,18.972,18.494,18.811,5628
2005-04-20,18.575,18.891,18.575,18.811,139900
2005-04-21,18.811,18.811,18.575,18.575,246897
2005-04-22,18.728,18.972,18.494,18.972,516775
2005-04-25,18.656,18.972,18.26,18.972,595870
2005-04-26,18.811,19.053,18.728,18.972,1056394
2005-04-27,18.728,19.053,18.728,18.811,72958
2005-04-28,18.728,18.972,18.728,18.811,6072
2005-04-29,18.811,18.811,18.575,18.811,105449
2005-05-02,18.656,18.656,18.34,18.413,15511
2005-05-04,18.575,18.811,18.34,18.811,90980
2005-05-05,18.575,18.656,18.494,18.494,5426
2005-05-06,18.575,18.656,18.413,18.575,66090
2005-05-09,18.728,18.811,18.575,18.811,8900
2005-05-10,18.972,18.972,18.575,18.656,19265
2005-05-11,18.891,18.891,18.494,18.575,28175
2005-05-12,18.575,18.811,18.575,18.575,5463
2005-05-13,18.811,18.811,18.575,18.575,133997
2005-05-16,18.728,18.728,18.34,18.575,2601
2005-05-17,18.34,18.34,18.178,18.26,81014
2005-05-18,18.178,18.575,17.945,18.34,316465
2005-05-19,18.575,18.891,18.26,18.728,49313
2005-05-20,18.811,18.811,18.494,18.656,56754
2005-05-23,18.575,18.728,18.26,18.575,32007
2005-05-24,18.178,18.575,18.1,18.494,3474
2005-05-25,18.178,18.575,18.178,18.26,436
2005-05-27,18.413,18.494,18.26,18.494,1599
2005-05-30,18.26,18.728,18.26,18.34,2624
2005-05-31,18.26,18.494,18.1,18.1,81643
2005-06-01,18.1,18.26,18.025,18.025,79454
2005-06-02,18.025,18.413,18.025,18.178,66896
2005-06-03,18.178,18.178,17.63,17.945,8036
2005-06-06,18.1,18.26,18.025,18.178,12990
2005-06-07,18.178,18.34,18.1,18.178,130150
2005-06-08,18.025,18.178,17.783,18.178,4059
2005-06-09,18.178,18.178,18.025,18.1,1795
2005-06-10,18.178,18.178,18.025,18.1,34033
2005-06-13,18.1,18.34,17.945,18.26,56868
2005-06-14,18.34,18.494,18.178,18.34,35475
2005-06-15,18.26,18.494,18.26,18.494,10795
2005-06-16,18.26,18.494,18.025,18.413,2152
2005-06-17,18.413,18.494,18.178,18.494,6717
2005-06-20,18.178,18.413,18.1,18.34,68512
2005-06-21,18.178,18.34,18.178,18.178,18045
2005-06-22,18.178,18.494,18.178,18.494,70035
2005-06-23,18.26,18.494,18.26,18.26,108958
2005-06-24,18.494,18.494,18.26,18.26,9872
2005-06-27,18.178,18.34,18.178,18.178,35338
2005-06-28,18.178,18.575,18.178,18.178,85684
2005-06-29,18.178,18.413,18.178,18.178,7097
2005-06-30,18.26,18.413,18.178,18.26,16665
2005-07-01,18.494,18.656,18.26,18.34,178088
2005-07-04,18.34,18.656,18.34,18.494,12911
2005-07-05,18.728,18.728,18.494,18.575,10304
2005-07-06,18.575,18.811,18.575,18.656,11821
2005-07-07,18.575,18.728,17.945,18.494,68021
2005-07-08,18.728,18.811,18.178,18.34,1001
2005-07-11,18.34,18.656,18.26,18.34,5562
2005-07-12,18.26,18.728,18.26,18.728,19386
2005-07-13,18.728,18.972,18.494,18.972,17811
2005-07-14,18.656,19.206,18.656,19.206,8349
2005-07-15,19.206,19.441,19.125,19.288,18869
2005-07-18,19.449,19.846,19.288,19.288,8870
2005-07-19,19.288,19.528,19.288,19.528,133775
2005-07-20,19.528,19.926,19.528,19.926,107872
2005-07-21,19.846,20.646,19.764,20.646,53358
2005-07-22,20.646,20.646,20.088,20.088,27257
2005-07-25,20.007,20.483,19.764,20.007,15073
2005-07-26,19.764,20.007,19.764,19.846,9500
2005-07-27,19.926,20.169,19.61,20.169,13057
2005-07-28,20.007,20.169,19.683,20.007,21515
2005-07-29,19.846,20.169,19.846,20.169,16541
2005-08-01,19.846,20.403,19.846,20.403,24921
2005-08-02,20.169,20.565,20.169,20.403,64124
2005-08-03,20.088,20.403,20.007,20.331,45751
2005-08-04,20.007,20.483,20.007,20.331,38434
2005-08-05,20.483,20.483,20.331,20.403,13753
2005-08-08,20.403,20.808,20.403,20.727,61139
2005-08-09,20.808,20.968,20.646,20.646,32007
2005-08-10,20.646,21.13,20.646,20.968,24265
2005-08-11,20.808,20.808,20.727,20.808,60233
2005-08-12,20.249,20.808,20.249,20.565,2745
2005-08-16,20.808,21.366,20.808,21.13,77022
2005-08-17,20.565,21.284,20.565,21.284,8639
2005-08-18,21.051,21.284,20.968,21.204,33059
2005-08-19,20.968,21.608,20.808,21.608,25759
2005-08-22,21.608,21.608,21.284,21.366,98390
2005-08-23,21.446,21.689,21.446,21.608,84186
2005-08-24,21.284,21.771,21.284,21.689,15501
2005-08-25,21.608,21.924,21.527,21.771,9561
2005-08-26,21.446,22.489,21.446,22.248,63310
2005-08-29,22.248,22.409,21.85,22.327,17866
2005-08-30,22.327,22.489,22.166,22.248,51511
2005-08-31,21.924,22.248,21.924,22.085,96116
2005-09-01,21.924,22.248,21.924,22.248,28937
2005-09-02,22.248,22.724,22.248,22.409,58197
2005-09-05,22.489,22.967,22.409,22.571,74647
2005-09-06,22.409,22.967,22.248,22.805,60525
2005-09-07,22.885,22.885,22.409,22.651,26692
2005-09-08,21.924,22.805,21.924,22.489,15010
2005-09-09,22.651,23.209,22.651,22.967,72969
2005-09-12,22.967,23.606,22.967,23.525,76174
2005-09-13,23.767,23.767,23.209,23.371,50047
2005-09-14,23.209,23.525,23.209,23.29,13490
2005-09-15,22.967,23.767,22.967,23.525,17703
2005-09-16,23.371,24.81,23.29,24.325,176022
2005-09-19,24.325,24.81,23.847,24.81,281719
2005-09-20,24.81,25.288,24.648,24.973,158219
2005-09-21,24.973,25.368,24.973,24.973,59319
2005-09-22,24.81,24.81,24.487,24.729,116176
2005-09-23,24.091,24.729,24.091,24.172,125067
2005-09-26,23.847,24.091,23.209,23.686,26475
2005-09-27,23.686,24.729,23.686,24.244,258887
2005-09-28,24.729,24.891,24.01,24.729,136392
2005-09-29,24.325,24.891,24.325,24.81,33756
2005-09-30,24.81,25.692,24.487,25.692,80027
2005-10-03,25.127,26.331,25.127,26.088,12805
2005-10-04,26.008,26.646,25.611,26.168,230640
2005-10-05,25.764,26.411,25.764,26.168,3990
2005-10-06,25.692,26.088,25.611,25.926,196676
2005-10-07,24.81,25.692,24.81,25.611,24087
2005-10-10,25.611,25.846,25.127,25.692,42783
2005-10-11,25.368,25.846,25.288,25.692,8668
2005-10-12,25.692,26.331,25.368,25.764,75844
2005-10-13,25.449,26.008,25.368,25.368,72267
2005-10-14,25.288,25.368,25.127,25.127,10383
2005-10-17,24.891,25.449,24.891,24.973,212865
2005-10-18,25.046,25.206,24.568,24.973,29741
2005-10-19,24.406,24.729,24.091,24.406,24334
2005-10-20,24.091,24.091,23.606,23.686,22402
2005-10-21,23.525,24.01,23.525,24.01,49756
2005-10-24,23.29,24.172,23.29,24.01,64981
2005-10-25,24.01,24.244,23.452,23.452,101810
2005-10-26,23.686,24.81,23.606,23.847,63739
2005-10-27,23.606,24.244,23.606,23.847,7048
2005-10-28,23.29,24.01,23.047,23.847,14759
2005-10-31,24.091,24.172,23.847,24.01,80196
2005-11-02,24.01,24.091,23.847,24.01,20688
2005-11-03,24.01,24.172,23.929,24.01,55067
2005-11-04,23.929,24.244,23.686,24.172,118281
2005-11-07,24.01,24.172,23.452,23.452,56719
2005-11-08,23.686,24.325,23.686,24.244,26770
2005-11-09,24.406,24.487,24.01,24.172,23717
2005-11-10,24.01,24.487,23.847,24.487,83125
2005-11-14,24.091,24.568,24.091,24.406,79846
2005-11-15,24.325,24.487,24.325,24.487,5858
2005-11-16,24.568,24.568,24.244,24.325,9343
2005-11-17,24.244,25.206,24.244,24.973,90565
2005-11-18,25.046,25.611,25.046,25.611,226369
2005-11-21,25.692,26.411,25.692,25.764,26930
2005-11-22,25.692,26.331,24.81,24.81,14733
2005-11-23,25.206,25.531,25.206,25.288,11566
2005-11-24,25.288,25.764,25.288,25.611,29890
2005-11-25,24.891,25.692,24.891,25.531,50222
2005-11-28,25.288,25.926,25.288,25.531,103863
2005-11-29,25.611,25.846,25.206,25.692,1400
2005-11-30,25.368,26.008,25.368,25.531,116111
2005-12-01,26.008,26.008,25.206,25.531,102908
2005-12-02,25.368,25.692,25.368,25.611,99730
2005-12-05,24.891,26.008,24.891,25.368,105098
2005-12-06,24.973,25.368,24.891,25.368,2522
2005-12-07,25.368,25.531,24.81,25.368,41876
2005-12-08,25.206,25.611,25.206,25.531,114524
2005-12-09,24.891,25.449,24.891,25.206,3390
2005-12-12,25.206,25.611,24.891,25.127,35153
2005-12-13,25.206,25.611,24.648,25.046,86242
2005-12-14,25.206,25.611,24.81,25.611,245195
2005-12-15,25.206,26.008,24.891,25.846,120769
2005-12-16,25.368,26.411,25.368,26.411,168508
2005-12-19,26.411,26.807,26.168,26.493,5894
2005-12-20,26.411,26.411,26.008,26.168,22928
2005-12-21,26.088,26.411,25.692,26.008,92815
2005-12-22,26.008,26.411,25.846,26.249,27824
2005-12-23,26.008,26.331,25.926,26.331,69804
2005-12-27,26.249,26.411,26.088,26.411,71994
2005-12-28,26.088,26.411,26.008,26.411,8641
2005-12-29,26.411,26.411,25.926,26.249,96813
2005-12-30,25.926,26.493,25.926,26.411,26547
2006-01-02,26.646,26.807,25.692,26.331,45925
2006-01-03,26.565,27.609,26.088,26.807,11641
2006-01-04,27.131,28.012,26.728,26.97,18664
2006-01-05,26.646,27.609,26.646,27.609,88150
2006-01-06,27.609,28.57,27.285,28.086,29646
2006-01-09,28.012,28.652,27.285,27.771,60129
2006-01-10,27.689,27.851,27.05,27.212,12845
2006-01-11,27.448,27.931,26.89,27.212,152922
2006-01-12,27.212,27.527,27.212,27.527,41108
2006-01-13,27.366,27.931,27.285,27.609,7853
2006-01-16,27.527,28.012,26.807,28.012,80930
2006-01-17,27.771,28.409,27.366,27.448,91780
2006-01-18,27.366,27.931,27.212,27.366,16540
2006-01-19,27.609,28.012,27.212,27.771,24430
2006-01-20,27.771,27.771,27.212,27.212,6846
2006-01-23,27.366,28.328,27.366,27.609,25256
2006-01-24,27.448,28.409,27.212,28.012,29437
2006-01-25,27.771,28.57,27.771,28.489,15657
2006-01-26,28.489,29.606,27.285,27.285,129266
2006-01-27,27.609,29.532,27.609,28.489,31075
2006-01-30,28.409,29.291,28.409,28.652,26603
2006-01-31,28.652,28.967,28.086,28.086,114880
2006-02-01,28.086,28.732,28.086,28.409,33716
2006-02-02,28.489,28.813,28.328,28.409,17034
2006-02-03,28.409,28.813,28.409,28.813,19563
2006-02-06,28.652,30.011,28.652,29.606,42942
2006-02-07,29.929,31.209,29.687,30.891,76709
2006-02-08,31.054,31.288,30.406,31.135,132555
2006-02-09,31.209,33.294,30.811,32.249,392755
2006-02-10,32.007,33.529,32.007,32.889,43657
2006-02-13,32.493,33.212,32.007,32.09,19515
2006-02-14,32.09,33.212,32.007,32.971,82343
2006-02-15,32.971,32.971,32.17,32.808,32143
2006-02-16,32.493,32.808,32.493,32.727,173625
2006-02-17,32.412,33.933,32.412,33.609,86922
2006-02-20,33.609,34.491,33.447,33.772,44100
2006-02-21,34.094,35.209,33.375,33.375,52504
2006-02-22,33.212,33.852,33.051,33.609,160889
2006-02-23,33.609,34.41,32.331,32.808,120635
2006-02-24,33.13,33.609,32.574,33.609,74340
2006-02-27,33.294,35.047,33.294,34.011,211647
2006-02-28,33.609,34.011,32.654,32.727,92536
2006-03-01,33.13,34.011,33.051,33.609,66449
2006-03-02,33.609,34.733,32.574,34.247,180796
2006-03-03,34.571,34.814,33.852,34.41,85067
2006-03-06,34.094,35.047,34.094,34.814,56078
2006-03-07,34.41,35.047,34.41,34.653,42137
2006-03-08,34.491,35.209,34.41,34.814,12578
2006-03-09,35.209,36.011,35.209,35.534,24115
2006-03-10,35.93,36.414,35.209,35.696,64394
2006-03-13,36.011,38.017,35.696,36.73,71861
2006-03-14,36.811,37.612,36.73,36.811,32333
2006-03-15,36.811,37.135,35.292,35.93,20003
2006-03-16,35.849,36.091,35.209,35.93,16261
2006-03-17,35.696,35.849,34.814,35.453,62309
2006-03-20,35.453,35.453,34.094,34.247,44043
2006-03-21,33.609,34.011,32.808,33.051,165919
2006-03-22,32.727,33.13,32.412,32.727,30238
2006-03-23,32.808,34.41,32.808,34.011,149989
2006-03-24,34.41,35.614,34.329,34.41,183449
2006-03-27,34.571,35.453,34.247,34.894,8901
2006-03-28,34.491,34.894,33.69,33.69,37092
2006-03-29,33.933,34.491,33.212,34.491,16145
2006-03-30,34.733,35.371,33.772,35.371,21494
2006-03-31,35.047,35.453,34.975,35.371,6980
2006-04-03,35.371,36.414,35.292,36.414,28839
2006-04-04,36.414,36.414,34.975,35.849,90434
2006-04-05,35.768,35.768,34.571,35.371,26864
2006-04-06,35.768,35.768,34.571,35.614,59780
2006-04-07,35.614,35.614,35.209,35.209,56542
2006-04-10,34.894,36.011,34.491,35.047,43788
2006-04-11,34.653,35.614,34.571,35.292,40736
2006-04-12,34.894,35.292,34.894,35.209,3250
2006-04-13,35.209,35.371,34.41,35.371,8596
