Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,45.917,46.306,45.441,45.917,2378
2005-01-04,45.441,46.306,45.441,46.015,16948
2005-01-05,45.538,46.112,45.441,45.82,4326
2005-01-06,45.343,45.626,45.052,45.626,242
2005-01-07,45.441,46.209,45.441,46.209,11210
2005-01-10,46.404,46.89,44.76,44.76,1184
2005-01-11,45.723,46.793,45.441,46.306,1411
2005-01-12,46.404,46.793,45.917,46.793,14083
2005-01-13,46.987,46.987,45.343,45.441,17573
2005-01-14,46.209,46.404,45.538,45.626,984
2005-01-17,45.917,45.917,44.663,45.82,436
2005-01-18,45.246,46.306,45.246,46.306,872
2005-01-19,46.015,46.404,46.015,46.306,5008
2005-01-20,46.306,46.404,46.015,46.404,11497
2005-01-21,46.695,46.695,46.501,46.501,492
2005-01-24,46.501,46.501,46.306,46.404,12461
2005-01-25,46.404,46.501,45.441,45.626,1646082
2005-01-26,46.695,46.695,46.209,46.501,1968
2005-01-27,46.695,46.793,46.404,46.793,5631
2005-01-28,46.987,51.627,46.987,51.237,35809
2005-01-31,53.076,54.136,51.432,53.076,57512
2005-02-01,53.27,53.465,52.103,52.492,6795
2005-02-02,52.2,52.2,50.459,50.946,12943
2005-02-03,50.177,52.016,50.08,51.821,3959
2005-02-04,51.627,52.589,51.335,52.492,10619
2005-02-07,51.335,52.2,51.335,52.103,2220
2005-02-08,51.335,52.103,51.335,52.103,1639
2005-02-09,52.589,52.687,52.2,52.687,27907
2005-02-10,52.687,52.687,51.724,52.589,1109
2005-02-11,51.821,52.589,51.821,52.2,362
2005-02-14,51.529,53.368,51.529,53.076,684
2005-02-15,53.173,54.622,53.173,54.622,91017
2005-02-16,54.525,54.525,53.562,54.136,4707
2005-02-17,54.136,55.293,53.368,53.368,55520
2005-02-18,53.368,55.206,53.368,54.817,12058
2005-02-21,55.391,55.391,54.136,55.109,50326
2005-02-22,54.622,54.622,53.941,54.33,283
2005-02-23,53.65,54.136,53.465,54.136,818
2005-02-24,53.747,54.136,52.881,53.173,2374
2005-02-25,52.395,54.136,52.298,54.136,7833
2005-02-28,53.844,55.293,53.173,55.293,12365
2005-03-01,55.206,55.877,54.525,55.293,753
2005-03-02,54.525,55.206,53.173,54.914,3873
2005-03-03,54.525,54.622,53.173,53.173,1519
2005-03-04,53.173,54.914,52.687,53.65,35366
2005-03-07,54.136,54.136,53.173,53.941,11074
2005-03-08,53.65,54.33,52.978,53.173,625
2005-03-09,53.844,54.039,52.784,53.27,1048
2005-03-10,53.076,53.173,51.724,51.918,1244
2005-03-11,51.918,52.589,50.177,52.2,3066
2005-03-14,51.335,52.103,51.335,52.103,142
2005-03-15,51.529,52.2,51.432,52.2,1723
2005-03-16,52.2,52.2,50.08,51.237,4480
2005-03-17,50.08,51.529,50.08,50.946,291
2005-03-18,50.751,52.2,50.08,51.237,6302
2005-03-21,52.103,52.103,49.01,49.01,1259
2005-03-22,48.631,49.01,47.367,48.534,3729
2005-03-23,49.497,49.983,47.464,49.983,553
2005-03-24,50.275,51.529,50.275,51.529,98
2005-03-29,50.08,51.14,49.983,51.14,279
2005-03-31,51.14,51.627,51.14,51.529,3070
2005-04-01,51.043,51.14,50.751,51.14,124
2005-04-04,51.529,51.529,51.529,51.529,3
2005-04-05,51.529,51.627,50.177,50.751,387
2005-04-07,50.557,51.627,48.913,50.459,1148
2005-04-11,51.335,51.335,50.275,50.275,5
2005-04-12,49.205,50.177,48.913,50.177,204
2005-04-13,49.302,50.177,49.302,50.177,21
2005-04-14,49.108,49.497,48.631,49.302,6472
2005-04-15,50.275,51.432,49.788,51.432,1139
2005-04-18,51.237,51.237,49.983,51.14,1204
2005-04-19,50.275,51.237,49.399,50.751,6305
2005-04-20,50.557,50.557,49.205,49.983,313
2005-04-21,48.534,49.108,48.047,48.339,6107
2005-04-22,49.302,49.497,49.302,49.497,101
2005-04-25,49.497,49.497,49.497,49.497,98
2005-04-26,49.302,49.302,47.561,48.825,5700
2005-04-27,48.339,48.339,47.853,48.339,2472
2005-04-28,47.756,49.205,47.367,49.205,1669
2005-04-29,49.302,49.788,49.302,49.691,3886
2005-05-02,49.302,50.275,48.825,50.275,231
2005-05-04,49.302,49.302,48.339,48.339,45395
2005-05-05,48.242,49.205,48.242,48.242,774
2005-05-06,48.242,48.825,47.658,48.242,7284
2005-05-09,48.145,50.751,47.853,50.751,1446
2005-05-10,50.459,50.459,50.459,50.459,620
2005-05-11,49.302,50.557,49.302,50.557,620
2005-05-12,48.825,49.302,48.631,49.302,2064
2005-05-13,49.205,49.399,48.631,49.302,3151
2005-05-16,48.825,49.302,48.436,49.302,1437
2005-05-17,49.108,49.302,48.825,49.302,11788
2005-05-18,49.302,49.886,48.825,49.788,11478
2005-05-19,48.913,49.788,48.339,49.788,14460
2005-05-20,48.913,49.691,48.825,49.302,2728
2005-05-23,50.177,50.177,48.534,49.302,3680
2005-05-24,49.108,49.108,47.95,49.01,6254
2005-05-25,48.339,48.825,48.339,48.825,6445
2005-05-27,48.728,48.728,48.339,48.339,5644
2005-05-30,48.825,48.825,47.95,48.825,82
2005-05-31,47.95,49.302,47.95,49.108,590
2005-06-01,48.631,48.631,48.631,48.631,5
2005-06-02,49.108,49.108,48.534,49.108,212
2005-06-03,48.145,49.108,47.853,48.825,679
2005-06-06,49.108,49.108,47.95,48.825,1188
2005-06-07,48.728,48.825,47.756,48.436,919
2005-06-08,47.853,48.339,47.367,48.145,601
2005-06-09,47.561,49.788,47.464,49.205,4458
2005-06-10,49.691,49.691,48.339,49.691,73
2005-06-13,48.436,49.302,48.047,49.302,931
2005-06-14,49.205,49.205,48.339,48.825,1336
2005-06-15,48.242,49.108,48.145,49.01,35143
2005-06-16,49.205,50.275,48.913,50.275,10756
2005-06-17,50.557,50.557,50.177,50.459,1935
2005-06-20,50.372,51.627,50.08,51.627,4148
2005-06-21,50.848,52.2,50.848,52.2,2705
2005-06-22,52.103,52.978,51.724,52.784,13113
2005-06-23,52.687,52.978,52.2,52.978,56285
2005-06-24,53.076,53.173,52.687,53.173,5609
2005-06-27,52.687,54.039,52.298,53.844,4143
2005-06-28,53.562,54.525,53.173,54.136,53059
2005-06-29,54.233,54.233,53.65,53.65,302
2005-06-30,54.136,54.136,52.784,53.65,463
2005-07-01,53.941,53.941,53.65,53.65,3066
2005-07-04,53.65,54.136,53.65,54.136,8388
2005-07-05,54.136,54.622,54.136,54.428,630
2005-07-06,54.914,54.914,53.27,54.817,5484
2005-07-07,53.747,54.428,53.562,54.428,5462
2005-07-08,54.136,54.914,54.136,54.914,11283
2005-07-11,54.914,54.914,54.136,54.914,270
2005-07-12,54.622,54.914,53.562,54.914,244
2005-07-13,54.136,54.622,54.136,54.622,13804
2005-07-14,53.747,54.622,53.65,54.622,543
2005-07-15,53.747,54.525,53.368,53.368,505
2005-07-18,53.173,54.428,53.173,54.428,10851
2005-07-19,53.747,54.136,53.65,54.136,11744
2005-07-20,53.941,55.109,53.941,55.109,11702
2005-07-21,55.109,55.488,55.109,55.488,1188
2005-07-22,54.719,55.109,54.525,55.109,6248
2005-07-25,55.488,55.585,54.817,55.585,2235
2005-07-26,55.293,56.071,55.293,56.071,1102
2005-07-27,55.974,55.974,55.293,55.974,136
2005-07-28,56.071,57.229,56.071,57.132,8289
2005-07-29,57.229,58.484,57.229,58.484,2379
2005-08-01,58.581,58.97,58.581,58.97,519
2005-08-02,59.067,60.808,59.067,60.808,1818
2005-08-03,61.586,61.868,60.127,61.392,12154
2005-08-04,61.392,63.415,61.392,62.744,8458
2005-08-05,62.744,63.901,62.063,63.901,4337
2005-08-08,63.804,63.804,61.868,63.512,592
2005-08-09,63.609,63.609,63.415,63.609,2120
2005-08-10,63.706,63.804,63.609,63.804,4409
2005-08-11,63.706,63.706,63.706,63.706,622
2005-08-12,63.609,64.776,63.609,64.776,1103
2005-08-16,64.776,66.226,64.776,66.226,3735
2005-08-17,66.226,69.513,66.226,67.675,3975
2005-08-18,68.249,68.832,66.226,67.675,7430
2005-08-19,67.383,67.383,66.031,67.091,2709
2005-08-22,65.837,65.837,61.965,61.965,114148
2005-08-23,63.317,63.317,62.354,62.354,2430
2005-08-24,63.804,63.804,60.905,62.16,847
2005-08-25,61.868,62.354,61.1,62.354,25913
2005-08-26,61.868,62.354,60.905,62.063,10964
2005-08-29,61.003,62.646,60.905,62.452,1653
2005-08-30,62.063,62.841,61.868,62.841,85184
2005-08-31,63.035,63.804,62.841,62.841,58092
2005-09-01,63.804,64.864,63.035,63.804,1947
2005-09-02,64.679,64.776,63.035,64.29,520
2005-09-05,64.485,64.485,62.841,64.485,73
2005-09-06,64.485,64.485,63.23,63.804,5314
2005-09-07,64.193,64.193,62.841,62.841,479
2005-09-08,62.841,62.841,61.868,62.841,149
2005-09-09,61.868,62.063,61.771,61.771,23152
2005-09-12,61.868,62.646,61.003,62.646,89
2005-09-13,61.392,62.841,61.1,62.452,8539
2005-09-14,62.354,62.354,61.674,62.354,30519
2005-09-15,61.868,62.354,61.674,62.354,120226
2005-09-16,62.354,62.354,61.868,61.868,1694
2005-09-19,62.354,62.354,61.771,61.868,645
2005-09-20,61.868,62.063,61.868,62.063,7469
2005-09-21,62.257,62.841,62.16,62.744,1389
2005-09-22,64.29,64.29,62.16,63.317,76
2005-09-23,63.706,63.706,62.452,62.452,16327
2005-09-26,62.841,62.841,62.063,62.841,207
2005-09-27,62.063,62.354,61.868,62.354,1065
2005-09-28,62.063,62.16,61.294,61.868,22304
2005-09-29,62.063,62.744,61.868,62.744,206
2005-09-30,62.16,62.646,62.16,62.646,699
2005-10-03,62.646,63.317,62.646,63.317,2892
2005-10-04,64.582,64.679,64.193,64.679,1127
2005-10-05,64.679,64.679,63.901,64.29,382
2005-10-06,63.804,64.096,62.452,62.549,1470
2005-10-07,61.965,62.354,61.586,62.354,2781
2005-10-10,61.868,62.841,61.489,62.841,210
2005-10-11,61.868,61.868,60.04,60.224,1523
2005-10-12,59.942,62.549,59.553,60.516,1408
2005-10-13,61.392,61.392,60.224,60.322,797
2005-10-14,60.322,60.905,59.553,59.553,3214
2005-10-17,59.553,61.586,59.553,61.586,686
2005-10-18,61.294,61.868,59.942,61.868,518
2005-10-19,60.419,60.711,60.224,60.711,2321
2005-10-20,59.748,60.905,59.748,60.905,3474
2005-10-21,59.748,60.905,59.748,60.905,362
2005-10-24,60.808,60.905,60.808,60.905,259
2005-10-25,60.905,60.905,60.419,60.905,168
2005-10-26,59.845,60.905,59.748,60.905,775
2005-10-27,59.845,60.905,59.845,60.905,142
2005-10-28,60.516,60.905,60.127,60.905,6479
2005-10-31,60.127,61.1,60.127,61.1,156
