Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-07-14,8.9892,9.2016,8.9892,9.0685,2471045
2005-07-15,9.0685,9.0685,8.8572,8.9892,435752
2005-07-18,8.8572,8.9015,8.4787,8.4787,136448
2005-07-19,8.4346,8.4346,8.1353,8.2233,206567
2005-07-20,8.2674,8.3113,7.924,8.012,222598
2005-07-21,8.056,8.056,7.6685,7.924,140122
2005-07-22,8.012,8.1793,8.012,8.0913,132942
2005-07-25,8.1793,8.3113,8.1793,8.2674,34940
2005-07-26,8.3465,8.558,8.3113,8.4346,41780
2005-07-27,8.4787,8.5227,8.4346,8.4787,31707
2005-07-28,8.558,8.6461,8.4787,8.6461,45011
2005-07-29,8.6461,8.6461,8.4346,8.558,39551
2005-08-01,8.4787,8.4787,8.3113,8.4787,11873
2005-08-02,8.3905,8.6461,8.3905,8.6461,90841
2005-08-03,8.558,8.558,8.3465,8.4787,25957
2005-08-04,8.3905,8.4787,8.2233,8.4787,41964
2005-08-05,8.4787,8.4787,8.4346,8.4346,5150
2005-08-08,8.4346,8.4346,8.3113,8.3905,12963
2005-08-09,8.3905,8.3905,8.1793,8.3113,13208
2005-08-10,8.3113,8.3113,8.1353,8.2233,24185
2005-08-11,8.056,8.1353,8.012,8.1353,24623
2005-08-12,8.056,8.1353,8.056,8.0913,14533
2005-08-16,8.056,8.0913,7.8447,7.8801,46373
2005-08-17,7.8801,7.8801,7.7127,7.7127,212596
2005-08-18,7.7127,7.7127,7.4573,7.4573,117803
2005-08-19,7.3781,7.5454,7.29,7.5013,31645
2005-08-22,7.5013,7.8447,7.5013,7.8008,36344
2005-08-23,7.8447,7.8447,7.6246,7.6246,12408
2005-08-24,7.6246,7.6246,7.5454,7.5894,24416
2005-08-25,7.6685,7.6685,7.4573,7.5454,14705
2005-08-26,7.5013,7.5013,7.246,7.4573,77255
2005-08-29,7.3781,7.6246,7.29,7.5894,34285
2005-08-30,7.5013,7.6246,7.5013,7.6246,72093
2005-08-31,7.5454,7.8008,7.5454,7.8008,42472
2005-09-01,7.7127,7.8008,7.5454,7.5894,21369
2005-09-02,7.5894,7.6685,7.5894,7.6685,33324
2005-09-05,7.6685,7.7127,7.5454,7.5894,5013
2005-09-06,7.6685,8.1793,7.6246,8.056,59027
2005-09-07,8.1353,8.2233,7.924,8.056,32042
2005-09-08,7.924,7.968,7.8447,7.8801,18921
2005-09-09,7.8447,7.924,7.8008,7.8447,39490
2005-09-12,7.8801,8.056,7.8801,8.012,51333
2005-09-13,8.056,8.056,7.924,7.968,23600
2005-09-14,7.968,7.968,7.8801,7.968,73450
2005-09-15,7.968,7.968,7.924,7.968,46634
2005-09-16,8.012,8.012,7.924,7.968,28865
2005-09-19,8.012,8.056,7.924,7.924,46437
2005-09-20,7.968,8.012,7.924,7.968,70580
2005-09-21,7.924,7.924,7.7568,7.8008,77641
2005-09-22,7.8447,7.8447,7.5894,7.6246,65089
2005-09-23,7.5894,7.8801,7.5894,7.7127,306808
2005-09-26,7.8008,7.968,7.7127,7.968,61060
2005-09-27,7.968,8.056,7.8447,7.8801,101524
2005-09-28,7.8801,7.8801,7.7127,7.7127,71665
2005-09-29,7.8008,7.8008,7.6246,7.6246,149401
2005-09-30,7.7568,7.7568,7.6246,7.6246,56735
