Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-10-05,18.05,18.05,18.05,18.05,532
2005-10-06,22.61,24.89,22.61,24.89,991
2005-10-07,28.12,30.97,28.12,30.97,40
2005-10-10,54.53,178.6,39.52,169.1,2188
2005-10-11,202.92,817.57,202.92,751.83,1496
2005-10-14,39.71,56.43,33.25,37.43,167997
2005-10-17,39.52,50.73,38.38,50.73,85880
2005-10-18,55.67,67.07,52.63,67.07,174265
2005-10-19,71.25,107.16,69.73,107.16,129172
2005-10-20,139.08,139.08,67.64,78.85,165712
2005-10-21,78.85,78.85,48.45,57.38,170394
2005-10-24,56.43,69.54,52.63,67.45,102620
2005-10-25,71.06,73.34,63.84,64.79,45965
2005-10-26,65.74,65.74,56.81,57.95,27238
2005-10-27,57.95,57.95,50.73,51.11,34327
2005-10-28,50.73,62.89,46.17,58.9,82072
2005-10-31,61.94,68.02,50.35,53.01,192708
2005-11-02,54.53,58.33,48.64,49.78,122269
2005-11-03,49.97,51.49,45.41,48.26,69821
2005-11-04,48.64,50.35,46.93,48.45,17371
2005-11-07,47.69,47.88,45.03,45.98,16689
2005-11-08,44.08,44.08,40.09,40.66,57060
2005-11-09,39.52,39.9,34.01,35.53,90911
2005-11-10,34.77,45.41,32.87,45.41,104797
2005-11-14,46.93,51.68,42.37,43.13,83442
2005-11-15,42.37,43.32,39.9,41.61,31875
2005-11-16,41.61,46.74,40.28,44.08,23049
2005-11-17,44.65,44.65,41.99,42.37,14726
2005-11-18,42.37,43.13,41.42,41.99,8143
2005-11-21,41.42,42.94,40.66,41.61,7368
2005-11-22,41.61,41.8,40.28,40.47,7425
2005-11-23,40.09,41.04,38.95,39.33,13440
2005-11-24,39.71,41.23,37.62,39.71,20229
2005-11-25,39.71,44.65,38.57,40.47,41982
2005-11-28,41.42,42.18,39.52,40.47,12657
2005-11-29,39.9,40.47,38.95,39.33,12692
2005-11-30,39.52,40.09,38.76,38.95,11023
2005-12-01,38.76,39.52,38.19,38.57,3987
2005-12-02,38.57,40.66,38.38,38.95,15871
2005-12-05,38.76,39.71,38,38.57,15926
2005-12-06,38.38,38.38,36.29,36.67,13092
2005-12-07,36.86,37.62,36.29,37.05,12974
2005-12-08,36.29,36.67,35.53,35.53,14619
2005-12-09,35.53,38.38,34.01,36.67,29161
2005-12-12,36.67,37.05,34.96,35.34,10689
2005-12-13,36.1,36.67,35.34,35.53,12951
2005-12-14,36.29,36.29,35.15,35.15,6473
2005-12-15,35.53,37.43,34.96,36.1,22937
