Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,77.172,79.96,77.172,79.126,277370
2005-01-04,78.007,78.849,77.727,78.562,117267
2005-01-05,77.727,78.292,75.774,75.774,316391
2005-01-06,75.495,77.172,74.932,74.932,277682
2005-01-07,74.932,76.33,74.653,74.932,201120
2005-01-10,74.374,75.774,74.374,75.216,292126
2005-01-11,75.216,76.33,74.096,74.374,241112
2005-01-12,74.374,76.052,74.096,74.932,57659
2005-01-13,76.052,76.33,74.653,74.932,239217
2005-01-14,74.932,76.052,74.932,76.052,79437
2005-01-17,76.609,76.609,75.495,76.052,113308
2005-01-18,75.495,75.495,72.975,73.811,182538
2005-01-19,72.975,73.811,71.296,72.14,432402
2005-01-20,71.019,74.096,71.019,72.975,183406
2005-01-21,72.699,72.699,71.58,72.416,31288
2005-01-24,71.296,71.855,71.019,71.855,424428
2005-01-25,71.855,73.261,71.58,72.699,481441
2005-01-26,72.699,73.261,71.58,71.855,159222
2005-01-27,72.14,73.261,71.296,71.58,464400
2005-01-28,71.855,73.532,71.58,73.532,237261
2005-01-31,73.811,74.932,72.699,74.653,270121
2005-02-01,74.653,76.052,74.374,76.052,329955
2005-02-02,75.495,75.774,74.932,74.932,178491
2005-02-03,74.932,76.609,74.932,75.495,230665
2005-02-04,75.774,76.609,74.932,76.33,303840
2005-02-07,76.885,78.292,75.495,78.292,283756
2005-02-08,78.292,78.292,77.449,78.007,169313
2005-02-09,76.609,77.727,76.33,76.609,64315
2005-02-10,75.495,78.292,75.495,78.292,344422
2005-02-11,78.007,78.007,76.885,76.885,283823
2005-02-14,76.609,78.292,76.052,76.33,134506
2005-02-15,75.774,77.727,75.495,77.727,224299
2005-02-16,77.449,82.209,77.172,79.683,1054123
2005-02-17,80.246,82.486,79.96,81.644,902389
2005-02-18,80.525,84.441,80.525,80.525,492048
2005-02-21,79.683,83.598,79.683,82.764,339885
2005-02-22,82.764,82.764,80.525,80.803,524662
2005-02-23,78.849,79.683,78.562,79.683,282918
2005-02-24,80.803,81.081,79.96,80.803,549341
2005-02-25,82.764,83.598,80.525,83.598,645979
2005-02-28,83.885,83.885,81.081,82.209,195794
2005-03-01,81.644,81.922,79.683,81.644,345519
2005-03-02,79.96,81.081,79.404,79.404,187779
2005-03-03,78.007,80.803,78.007,80.246,148361
2005-03-04,81.081,81.644,80.525,81.081,265740
2005-03-07,81.644,81.922,80.246,81.644,551515
2005-03-08,81.644,82.209,80.246,81.081,164356
2005-03-09,80.525,81.922,79.96,80.525,546791
2005-03-10,80.246,80.246,79.126,79.96,332408
2005-03-11,79.404,79.404,76.885,76.885,204754
2005-03-14,78.007,78.562,76.33,77.172,491721
2005-03-15,77.172,78.007,76.33,76.885,191975
2005-03-16,76.052,76.609,73.811,75.495,525024
2005-03-17,75.216,76.609,74.653,75.495,969092
2005-03-18,76.609,77.727,76.609,76.609,397237
2005-03-21,76.885,77.727,73.261,73.261,515950
2005-03-22,73.811,75.774,73.811,75.495,416389
2005-03-23,73.811,76.33,73.261,76.33,312076
2005-03-24,76.33,76.609,74.653,74.653,245109
2005-03-29,74.932,74.932,73.532,74.374,342276
2005-03-30,74.096,75.774,73.811,74.653,284152
2005-03-31,75.495,79.126,75.495,78.007,1046004
2005-04-01,78.292,79.683,76.33,76.609,233554
2005-04-04,76.885,77.172,75.774,76.609,239201
2005-04-05,76.609,78.007,76.052,78.007,353687
2005-04-06,77.449,78.007,76.885,77.727,191629
2005-04-07,77.727,77.727,75.774,76.052,167352
2005-04-11,76.052,77.172,75.774,77.172,407730
2005-04-12,77.449,77.727,76.609,76.609,121204
2005-04-13,77.449,77.449,76.33,76.885,189208
2005-04-14,76.609,77.727,76.052,76.609,180526
2005-04-15,76.052,76.052,75.495,76.052,175164
2005-04-18,74.932,75.216,74.374,74.653,128281
2005-04-19,74.653,76.052,74.374,75.495,328114
2005-04-20,76.052,76.052,73.811,74.653,273985
2005-04-21,74.653,76.052,74.653,76.052,209546
2005-04-22,76.33,76.885,76.052,76.33,244575
2005-04-25,75.495,77.449,75.495,76.885,185410
2005-04-26,75.495,76.33,74.374,74.932,295059
2005-04-27,74.932,74.932,73.261,73.532,149488
2005-04-28,74.096,74.653,71.855,72.699,195428
2005-04-29,73.261,74.374,72.699,72.699,373985
2005-05-02,72.699,73.811,72.416,72.699,151466
2005-05-04,73.811,74.932,73.532,74.374,583255
2005-05-05,74.932,76.052,73.532,74.096,157421
2005-05-06,74.374,74.653,72.975,73.811,221845
2005-05-09,74.653,75.495,74.374,74.653,248132
2005-05-10,74.932,75.216,72.416,73.261,668358
2005-05-11,69.622,70.743,69.34,69.34,210615
2005-05-12,69.899,70.743,69.899,70.459,159584
2005-05-13,70.459,70.743,69.34,69.34,324912
2005-05-16,69.622,70.182,69.063,69.34,60520
2005-05-17,69.899,71.296,69.34,71.296,239315
2005-05-18,71.296,73.811,71.019,73.532,454932
2005-05-19,73.811,74.096,72.975,73.811,73452
2005-05-20,73.811,75.216,73.532,73.811,302293
2005-05-23,73.532,73.532,71.855,72.975,433427
2005-05-24,73.261,73.261,71.296,72.699,371921
2005-05-25,72.699,73.261,72.416,72.699,194377
2005-05-27,73.261,76.609,73.261,76.609,1035503
2005-05-30,76.885,76.885,75.774,76.052,220797
2005-05-31,76.052,76.609,76.052,76.609,544954
2005-06-01,76.052,76.33,75.216,75.774,507332
2005-06-02,76.052,77.727,75.774,75.774,406928
2005-06-03,75.774,78.849,75.774,77.727,432934
2005-06-06,78.007,81.644,77.727,81.644,577004
2005-06-07,81.644,82.486,79.126,82.209,1182575
2005-06-08,81.081,82.764,81.081,82.209,792022
2005-06-09,81.922,83.885,81.922,83.328,560871
2005-06-10,83.328,83.598,81.644,81.922,836938
2005-06-13,81.081,83.328,80.246,81.644,280098
2005-06-14,81.922,82.209,80.525,80.803,126756
2005-06-15,81.081,83.042,80.803,82.764,147908
2005-06-16,83.042,83.042,79.96,79.96,343940
2005-06-17,79.96,82.486,79.96,82.486,887528
2005-06-20,81.644,82.764,81.644,82.209,429982
2005-06-21,81.922,82.209,81.644,82.209,365766
2005-06-22,81.922,84.996,81.922,83.328,958269
2005-06-23,83.885,83.885,81.922,82.486,239152
2005-06-24,81.644,81.922,80.246,81.644,297460
2005-06-27,81.366,81.644,79.683,80.803,230820
2005-06-28,80.803,81.366,79.404,80.525,300332
2005-06-29,81.081,81.081,79.404,80.246,340501
2005-06-30,79.404,80.525,78.849,80.525,407408
2005-07-01,80.246,81.644,79.683,81.644,429800
2005-07-04,81.644,82.209,80.525,81.081,391106
2005-07-05,80.525,81.081,79.96,80.525,850200
2005-07-06,79.96,82.486,79.96,79.96,561973
2005-07-07,80.525,80.525,76.885,78.292,462993
2005-07-08,78.562,79.683,78.562,79.683,107391
2005-07-11,80.246,80.246,79.404,79.404,113242
2005-07-12,79.683,81.366,78.562,81.366,191270
2005-07-13,80.525,82.764,80.525,80.525,425994
2005-07-14,81.081,81.644,80.525,80.525,112100
2005-07-15,79.96,80.525,79.683,79.96,162778
2005-07-18,79.96,81.081,78.849,79.404,429415
2005-07-19,79.126,79.96,78.562,79.96,556305
2005-07-20,79.96,80.803,78.849,79.96,335291
2005-07-21,80.246,80.525,78.849,78.849,374004
2005-07-22,78.849,79.126,77.449,77.449,437019
2005-07-25,77.727,78.849,77.172,78.562,127862
2005-07-26,79.126,79.404,78.562,78.849,255257
2005-07-27,78.849,81.366,78.292,81.081,450964
2005-07-28,81.644,82.764,80.525,82.486,255671
2005-07-29,82.764,85.282,82.486,84.996,793855
2005-08-01,84.162,85.553,83.598,84.441,391189
2005-08-02,84.719,88.075,84.719,87.519,340921
2005-08-03,86.676,86.963,85.282,85.553,517007
2005-08-04,84.441,86.676,84.441,86.117,219103
2005-08-05,86.676,89.195,86.676,87.797,406020
2005-08-08,87.797,91.149,87.797,90.863,165202
2005-08-09,91.149,92.822,91.149,92.822,657870
2005-08-10,93.38,96.74,91.983,92.822,921775
