Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-05-13,6.5384,6.9059,6.5384,6.7221,49371
2005-05-16,6.6254,6.8092,6.6254,6.7221,15642
2005-05-17,6.7221,6.8092,6.6738,6.8092,20373
2005-05-18,6.9059,6.9059,6.6738,6.7705,15921
2005-05-19,6.6738,6.7705,6.6738,6.7705,8618
2005-05-20,6.7221,6.7705,6.6738,6.7221,3143
2005-05-23,6.7705,6.7705,6.6254,6.6254,17421
2005-05-24,6.6254,6.7221,6.6254,6.7221,19393
2005-05-25,6.6254,6.6738,6.577,6.6738,12321
2005-05-27,6.6738,6.6738,6.6254,6.6738,546
2005-05-30,6.577,6.7221,6.577,6.6738,22399
2005-05-31,6.7221,6.7221,6.7221,6.7221,5
2005-06-01,6.6738,6.6738,6.6254,6.6254,4939
2005-06-02,6.7221,6.7221,6.6254,6.6738,7393
2005-06-03,6.6738,6.7221,6.6738,6.7221,13689
2005-06-06,6.6738,6.7705,6.6254,6.7705,18001
2005-06-07,6.7705,6.8092,6.7221,6.8092,25047
2005-06-08,6.7705,7.0026,6.7705,7.0026,6048
2005-06-09,6.9059,7.0026,6.8092,7.0026,1415
2005-06-10,7.0026,7.138,7.0026,7.138,18144
2005-06-13,7.1864,7.1864,6.9059,7.138,9229
2005-06-14,7.1864,7.1864,7.0897,7.1864,19949
2005-06-15,7.0897,7.1864,6.9059,7.1864,6369
2005-06-16,7.1864,7.2348,7.1864,7.1864,13423
2005-06-17,7.2348,7.3315,7.2348,7.2831,23353
2005-06-20,7.2831,7.2831,7.2831,7.2831,11455
2005-06-21,7.1864,7.2831,7.1864,7.2831,9107
2005-06-22,7.051,7.2348,7.051,7.2348,2685
2005-06-23,6.8575,7.1864,6.8575,7.0026,3500
2005-06-24,6.9059,7.051,6.9059,7.051,428
2005-06-27,7.0897,7.0897,6.9059,7.051,905
2005-06-28,7.0026,7.051,7.0026,7.0026,23319
2005-06-29,7.0026,7.051,7.0026,7.051,140
2005-06-30,6.9543,7.051,6.9543,7.051,965
2005-07-01,6.9543,7.051,6.9543,7.051,750
2005-07-04,7.0026,7.0026,6.9543,7.0026,1211
2005-07-05,7.0026,7.0026,7.0026,7.0026,5391
2005-07-07,6.9543,6.9543,6.6254,6.8092,4087
2005-07-08,6.8092,6.8092,6.6254,6.7221,1918
2005-07-11,6.7221,6.9059,6.6254,6.8092,4425
2005-07-12,6.8092,6.8092,6.7221,6.8092,1928
2005-07-13,6.8092,6.9059,6.8092,6.9059,552
2005-07-14,6.9059,6.9059,6.7221,6.8575,8789
2005-07-15,6.6254,6.9543,6.6254,6.9543,1821
2005-07-18,6.9059,6.9543,6.6254,6.9543,2244
2005-07-19,6.7705,6.9543,6.6254,6.8575,6522
2005-07-20,6.7221,6.7221,6.6738,6.6738,1793
2005-07-21,6.49,6.6254,6.4416,6.6254,627
2005-07-22,6.5384,6.6254,6.3449,6.6254,6205
2005-07-25,6.49,6.6738,6.4416,6.4416,1086
2005-07-26,6.5384,6.6254,6.5384,6.6254,3072
2005-07-27,6.6738,6.7221,6.5384,6.577,3654
2005-07-28,6.6254,6.6254,6.6254,6.6254,5
2005-07-29,6.6738,6.7221,6.5384,6.7221,14506
2005-08-01,6.577,6.6738,6.5384,6.6738,1823
2005-08-02,6.7221,6.7221,6.5384,6.6738,2489
2005-08-03,6.6738,6.7221,6.5384,6.6738,471
2005-08-04,6.5384,6.7221,6.3933,6.7221,4768
2005-08-05,6.5384,6.7221,6.5384,6.7221,2005
2005-08-08,6.5384,6.7221,6.5384,6.7221,323
2005-08-09,6.5384,6.6738,6.5384,6.6738,888
2005-08-10,6.5384,6.7221,6.5384,6.7221,1763
2005-08-11,6.5384,6.7221,6.5384,6.7221,12300
2005-08-12,6.6254,6.6254,6.5384,6.5384,4049
2005-08-16,6.6254,6.6254,6.6254,6.6254,862
2005-08-17,6.577,6.577,6.4416,6.577,2711
2005-08-18,6.5384,6.5384,6.4416,6.5384,4017
2005-08-19,6.5384,6.577,6.5384,6.577,15053
2005-08-22,6.3933,6.577,6.3933,6.577,17273
2005-08-23,6.49,6.577,6.3933,6.577,1833
2005-08-24,6.577,6.577,6.0161,6.5384,6381
2005-08-25,6.3449,6.5384,6.2579,6.5384,4645
2005-08-26,6.3449,6.5384,6.3449,6.5384,12207
2005-08-29,6.3449,6.5384,6.2579,6.5384,12541
2005-08-30,6.3933,6.4416,6.3449,6.4416,11414
2005-08-31,6.3449,6.4416,6.1128,6.3933,24358
2005-09-01,6.3449,6.3449,6.2095,6.2579,2758
2005-09-02,6.1611,6.2095,6.1128,6.2095,7977
2005-09-05,6.1611,6.1611,6.0644,6.1128,1171
2005-09-06,6.1128,6.2095,6.1128,6.2095,11748
2005-09-07,6.0644,6.4416,6.0644,6.2966,11268
2005-09-08,6.2579,6.3449,6.2579,6.3449,1011
2005-09-09,6.3449,6.3449,6.3449,6.3449,536
2005-09-12,6.2579,6.3449,6.2579,6.3449,536
2005-09-13,6.2579,6.4416,6.1611,6.4416,1119
2005-09-14,6.3933,6.3933,6.3449,6.3933,1162
2005-09-15,6.2095,6.3933,6.0644,6.2095,3862
2005-09-16,6.2095,6.2579,6.1611,6.2579,587
2005-09-19,6.1611,6.1611,6.0644,6.1128,958
2005-09-20,6.1128,6.2095,6.0644,6.2095,1611
2005-09-21,6.2095,6.2095,6.0161,6.1128,3381
2005-09-22,5.929,5.9774,5.929,5.9774,3241
2005-09-23,5.8807,5.9774,5.7356,5.929,8011
