Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,22.6,22.6,22.6,22.6,94
2005-01-04,22.1,22.6,22.1,22.6,203
2005-01-05,22.6,22.6,22.6,22.6,247
2005-01-06,20.4,20.4,20.4,20.4,177
2005-01-07,22.5,22.5,22.5,22.5,422
2005-01-10,21.6,21.6,21.6,21.6,168
2005-01-12,21.1,21.1,21.1,21.1,134
2005-01-13,20.6,21.1,20.6,21.1,442
2005-01-14,21.9,21.9,21.9,21.9,923
2005-01-18,22.6,22.6,22.6,22.6,114
2005-01-19,22.5,22.5,22.5,22.5,130
2005-01-21,23.2,23.2,23.2,23.2,1233
2005-01-24,23.1,23.1,23.1,23.1,728
2005-01-25,22.7,22.7,22.7,22.7,208
2005-01-26,23.1,23.1,23.1,23.1,472
2005-01-27,23.5,23.5,23.1,23.1,116
2005-01-28,23.5,23.5,23.1,23.1,359
2005-01-31,24.2,25.6,24.2,25.6,852
2005-02-02,35.6,39.1,35.6,39.1,1640
2005-02-03,50.5,50.5,43.2,43.2,3771
2005-02-04,35.6,35.6,35.6,35.6,1272
2005-02-07,37,37,36.5,36.5,558
2005-02-08,33.7,33.7,30.8,30.8,323
2005-02-09,28.1,32.7,28.1,32.7,364
2005-02-10,28.8,28.8,28.5,28.5,688
2005-02-11,29.3,30.8,29.3,30.8,1062
2005-02-14,32.7,34.1,32.7,34.1,1915
2005-02-15,39.9,39.9,38.4,38.4,1939
2005-02-16,38.9,39.9,38.9,39.9,571
2005-02-17,40.3,40.3,38.7,38.7,19
2005-02-18,37.5,37.5,37.5,37.5,155
2005-02-21,37,37,37,37,62
2005-02-22,35.6,36.5,35.6,36.5,299
2005-02-23,37.2,37.2,35.1,35.1,255
2005-02-24,31.6,31.6,24.9,24.9,1415
2005-02-25,25.9,26.7,25.9,26.7,695
2005-02-28,27.6,27.6,26.9,26.9,524
2005-03-01,27.8,27.8,26.9,26.9,406
2005-03-02,26.9,26.9,26.8,26.8,105
2005-03-03,26,26.3,26,26.3,417
2005-03-04,27.7,28.8,27.7,28.8,420
2005-03-07,30.3,30.4,30.3,30.4,321
2005-03-08,30.7,31.7,30.7,31.7,657
2005-03-09,33.4,33.6,33.4,33.6,624
2005-03-10,33.5,33.5,33.3,33.3,8
2005-03-11,31.7,31.7,31.7,31.7,6
2005-03-14,28.8,28.8,28.8,28.8,21
2005-03-15,28.4,28.4,28.4,28.4,19
2005-03-16,27.1,27.1,26.8,26.8,209
2005-03-17,26.4,28.1,26.4,28.1
2005-03-18,27.8,27.8,27.6,27.6,584
2005-03-21,27.4,27.4,27.4,27.4,73
2005-03-22,27.6,27.6,27.6,27.6,85
2005-03-23,27.5,27.5,27.5,27.5,103
2005-03-24,27.8,27.8,27.8,27.8
2005-03-29,27.8,27.8,27.8,27.8,238
2005-03-30,23.2,24.1,23.2,24.1,265
2005-03-31,24.4,26.8,24.4,26.8,416
2005-04-01,27.7,27.7,26.9,26.9,24
2005-04-04,27.3,27.3,27.3,27.3
2005-04-05,23.3,23.3,23.3,23.3,198
2005-04-06,24.3,24.3,24.2,24.2,74
2005-04-07,23.5,23.5,23.5,23.5,110
2005-04-11,25.5,25.5,25.5,25.5,223
2005-04-12,24,24,24,24,187
2005-04-13,24,24,24,24,447
2005-04-14,23.8,23.8,23.1,23.1,119
2005-04-15,24.2,25.7,24.2,25.7,1538
2005-04-18,25.5,25.5,24.1,24.1,320
2005-04-19,24.2,24.2,24.2,24.2,421
2005-04-20,23.1,24.1,23.1,24.1,259
2005-04-21,24.9,24.9,24.5,24.5,470
2005-04-22,25.5,25.6,25.5,25.6,1066
2005-04-25,25.8,27.6,25.8,27.6,1073
2005-04-26,28.4,28.4,27.8,27.8,435
2005-04-27,25.9,25.9,25.9,25.9,34
2005-04-28,27,27.3,27,27.3,298
2005-04-29,27.5,27.6,27.5,27.6,853
2005-05-02,28.8,30.7,28.8,30.7,1961
2005-05-04,30.3,30.3,29.8,29.8,790
2005-05-05,30.2,30.2,29.5,29.5,180
2005-05-06,28.7,28.7,25.6,25.6,122
2005-05-09,27.3,27.3,25.9,25.9,303
2005-05-10,25,25,23.4,23.4,1212
2005-05-11,24.2,24.2,23.5,23.5,100
2005-05-12,25.6,25.6,24.6,24.6,379
2005-05-13,25,25.9,25,25.9,661
2005-05-16,29.3,36.1,29.3,36.1,1124
2005-05-17,57.2,57.2,46.6,53.8,17522
2005-05-18,49.5,53.8,38.9,42.2,9767
2005-05-19,43.6,48,40.4,43.3,11566
2005-05-20,49,53.8,47.6,49,37751
2005-05-23,48.5,49,45.6,47.6,9446
2005-05-24,47.6,47.6,45.2,45.3,8193
2005-05-25,45.6,50.9,45.6,47.7,9549
2005-05-27,49,50,47,47.6,2461
2005-05-30,47.8,50,46.1,48,5841
2005-05-31,46.7,48.5,46.7,47,2273
2005-06-01,46.8,48.5,46.7,47.8,1356
2005-06-02,47.8,49,47.5,47.8,2863
2005-06-03,51.9,54.8,50,50.5,11515
2005-06-06,50,52.4,49,49.5,4929
2005-06-07,50,50,47.7,48.5,10419
2005-06-08,47.8,48,47.3,47.9,2490
2005-06-09,47.6,48.5,46.7,48.5,2321
2005-06-10,48.5,48.5,46.6,48,3601
2005-06-13,47.1,47.9,45.6,46,2378
2005-06-14,46.1,46.9,43.2,43.3,8308
2005-06-15,43.7,46.2,43.7,45.6,2640
2005-06-16,45.7,47.3,45.6,46.9,2322
2005-06-17,47.4,51.4,46.2,46.2,18519
2005-06-20,47.6,48.5,46.6,46.9,5464
2005-06-21,46.3,47.1,45.9,47.1,2955
2005-06-22,46.1,46.6,45.6,46.1,1174
2005-06-23,46.1,48.1,45.6,47.6,4179
2005-06-24,46.6,47.1,46.1,47.1,1655
2005-06-27,47.4,47.4,46.1,47.1,2409
2005-06-28,47.3,47.3,45.8,46.1,599
2005-06-29,45.8,49.5,45.8,47.5,4166
2005-06-30,46.7,46.7,46.1,46.1,1711
2005-07-01,46.8,46.8,45.6,46.1,1482
2005-07-04,45.2,45.7,44.9,45.6,1266
2005-07-05,44.7,45.6,44.2,45.6,947
2005-07-06,44.7,45.5,44.3,44.5,360
2005-07-07,44.8,45.5,41.6,45,3549
2005-07-08,45.3,45.3,43.4,45.2,2149
2005-07-11,46.1,46.9,44.5,45.2,4363
2005-07-12,44.9,45.2,43.7,44.9,721
2005-07-13,43.9,45,43.6,43.8,1479
2005-07-14,43.6,43.7,43.1,43.5,2205
2005-07-15,43.7,43.7,43.2,43.2,1102
2005-07-18,43.3,43.3,42.5,42.8,502
2005-07-19,42.3,42.3,40.7,40.7,1416
2005-07-20,40.8,40.8,36.5,38.5,6965
2005-07-21,37.5,38,34.7,36,5004
2005-07-22,35.1,36,33.6,33.7,1216
2005-07-25,33.6,36.9,33.6,36.5,5341
2005-07-26,37.4,37.4,35.5,35.9,1925
2005-07-27,35.6,36.9,35.5,36.2,708
2005-07-28,35.6,36.1,35.2,36.1,2421
2005-07-29,35.2,36.1,34.7,35.3,2388
2005-08-01,35.8,35.8,33.6,34,1950
2005-08-02,33.3,33.9,33.1,33.1,1871
2005-08-03,32.8,33.6,30.8,33,1871
2005-08-04,33.8,33.8,30.8,31.2,2281
2005-08-05,31.2,31.7,30.8,31.2,1190
2005-08-08,31.2,31.2,30.8,31.2,548
2005-08-09,30.8,31.6,30.8,30.8,390
2005-08-10,30.8,30.8,30.6,30.8,222
2005-08-11,30.3,30.3,29.4,30.3,594
2005-08-12,30.3,31.3,29.3,31.3,406
2005-08-16,30.6,30.6,30,30.3,242
2005-08-17,31.1,31.1,29,30.7,106
2005-08-18,30.6,30.6,28.9,29.8,185
2005-08-19,29,29.8,29,29.8,688
2005-08-22,29,29.8,28.4,29.3,232
2005-08-23,29.2,29.5,28.4,29.1,734
2005-08-24,28.8,30.8,28.4,29.8,2629
2005-08-25,29.3,32.1,28.8,31.6,2765
2005-08-26,31.6,33.6,31.6,32.7,5590
2005-08-29,33.2,33.2,30.3,31.7,286
2005-08-30,32.7,32.7,30.3,32.1,375
2005-08-31,31.9,32,31.9,32,31
2005-09-01,30,32.1,30,30.7,569
2005-09-02,30.5,30.5,29.8,29.8,512
2005-09-05,29.5,29.5,27.4,27.4,3188
2005-09-06,28.5,28.5,26.9,28.1,502
2005-09-07,28.3,28.3,27.5,28.2,923
2005-09-08,27.5,28.1,26.1,26.4,1376
2005-09-09,26.4,26.9,25.3,25.8,641
2005-09-12,26.6,27.4,26.1,26.4,2033
2005-09-13,26.2,26.2,25.9,25.9,142
2005-09-14,25.9,25.9,24.5,24.6,534
2005-09-15,24.2,25.2,22.9,23.2,1398
2005-09-16,23.2,23.7,23.1,23.7,253
2005-09-19,23.2,24.9,23.2,24.9,543
2005-09-20,25.3,25.3,23.6,24.8,5035
2005-09-21,23.7,24.5,23.1,24.4,2710
2005-09-22,24.4,24.4,23.8,24,1912
2005-09-23,23.4,24.3,23.3,24.3,52
2005-09-26,23.3,23.9,23.3,23.4,235
2005-09-27,23.7,28.4,23.7,27.8,9078
2005-09-28,28.7,31.2,27.9,29.5,14580
2005-09-29,29.8,30.5,29.3,29.6,2173
2005-09-30,28.4,28.4,27.5,27.9,2604
2005-10-03,28.2,28.5,26,26.4,1427
2005-10-04,26.4,26.4,24.2,25.8,2958
2005-10-05,26.2,34.1,26.2,34.1,20732
2005-10-06,34.1,41.3,34.1,38.6,42813
2005-10-07,38.3,42.2,34.6,36.1,19931
2005-10-10,34.4,37.6,32,37,20145
2005-10-11,37.5,37.5,34.1,34.9,4648
2005-10-12,34.9,36,34.1,34.7,2664
2005-10-13,34.7,34.7,33.3,33.6,1107
2005-10-14,33.2,33.7,31,33.4,2398
2005-10-17,32.2,36.4,31.8,35.2,7759
2005-10-18,36.7,42,33.6,41.1,25599
2005-10-19,41.2,45.6,38.4,41.8,38462
2005-10-20,42.3,43.5,38.3,38.9,16535
2005-10-21,38.9,40.2,38.4,39.2,7364
2005-10-24,39.1,41.2,35.8,37,8590
2005-10-25,36.2,40.3,35.6,39,16412
2005-10-26,39.3,39.3,37.2,38.2,5902
2005-10-27,38.2,38.2,36.5,37.2,2108
2005-10-28,36.5,38.9,36,36.5,3190
2005-10-31,36.1,38.2,36.1,36.9,1645
2005-11-02,37.5,37.9,36.9,37.9,2337
2005-11-03,38,42.5,37.9,41.4,22062
2005-11-04,43.4,43.9,39.3,39.4,15818
2005-11-07,38,39.3,37.4,37.7,5560
2005-11-08,37.5,37.5,36,37,3021
2005-11-09,36.1,38.1,36.1,36.8,2804
2005-11-10,37.1,37.8,36.5,36.5,1716
2005-11-14,36.5,36.9,35.8,35.8,1699
2005-11-15,35.6,35.6,34.1,35,2923
2005-11-16,34.9,36.5,33.8,36.1,2547
2005-11-17,36.1,37.5,35.5,37.5,3127
2005-11-18,38,38,35.2,35.5,1620
2005-11-21,35.5,35.8,33.9,34.6,3328
2005-11-22,34.6,35,34,34.2,1631
2005-11-23,35.1,35.1,33.2,33.3,7269
2005-11-24,33.4,33.9,31.7,32.4,5657
2005-11-25,33.2,33.4,31.9,32,2833
2005-11-28,31.7,31.7,30.4,30.5,7798
2005-11-29,30.8,30.8,29.3,29.8,2571
2005-11-30,29,29.8,28.8,29,1420
2005-12-01,29,33.5,29,33.2,10070
2005-12-02,33.1,33.4,30.6,31.2,8652
2005-12-05,30.8,31.1,29.9,30.3,2168
2005-12-06,30.8,31.4,29.8,31,4034
2005-12-07,30.1,31.3,30.1,31,3034
2005-12-08,30.3,30.6,29.8,29.8,2624
2005-12-09,29.9,30.3,29.3,29.5,2598
2005-12-12,29.4,30.4,29.4,29.5,1574
2005-12-13,29.6,31.1,29.5,30.1,6552
2005-12-14,30.1,30.6,29.8,30.6,1752
2005-12-15,30.1,31,29.8,30.5,2670
2005-12-16,30.5,30.5,29.8,30.1,781
2005-12-19,29.8,30.4,29.7,30.3,557
2005-12-20,30.3,32.1,30.3,31.2,5668
2005-12-21,31.3,31.7,29.6,30,2789
2005-12-22,30,30.8,30,30.3,1932
2005-12-23,31.3,31.3,29.9,30.3,299
2005-12-27,30.3,30.3,29.5,29.7,4417
2005-12-28,29.8,30.3,29.7,30.2,1392
2005-12-29,30,30.2,29.4,29.8,2534
2005-12-30,29.8,30.1,29.3,29.8,2160
2006-01-02,29.8,30,29.1,29.6,750
2006-01-03,29.3,30.3,29.1,29.5,3005
2006-01-04,29.7,29.9,29.5,29.9,1041
2006-01-05,30.3,30.3,29.6,30.1,886
2006-01-06,29.7,31.7,29.7,31.2,8636
2006-01-09,31.4,31.5,30.3,30.3,4456
2006-01-10,30.3,31,30.3,30.4,1220
2006-01-11,30.8,31.2,30.4,31.1,1814
2006-01-12,31.2,35.8,30.4,32.8,29702
2006-01-13,32.7,33.4,31.7,32.4,6147
2006-01-16,31.7,35.3,31.2,34.6,9050
2006-01-17,35.3,35.3,33.4,33.6,5422
2006-01-18,32.8,33.4,31.7,33.3,3283
2006-01-19,33.2,35.1,33.2,33.6,3411
2006-01-20,33.7,33.9,31.2,33.6,2360
2006-01-23,32.7,33.5,32,32,1721
2006-01-24,32.2,34,32.2,32.5,2679
2006-01-25,32.7,33.4,32.5,32.5,1735
2006-01-26,32.8,34.3,32.2,32.4,6842
2006-01-27,32.2,33.5,32.2,32.2,1809
2006-01-30,32.7,33,30.9,31.2,3879
2006-01-31,31.7,32.7,31.2,32.2,2794
2006-02-01,32,32.2,30.8,30.9,1552
2006-02-02,31,32.2,30.8,30.8,3545
2006-02-03,30.8,32.6,30.6,31.3,3365
2006-02-06,31.2,31.2,28.4,29.6,4788
2006-02-07,29.8,30.8,29.6,30.2,2071
2006-02-08,30,30.4,29.3,30,1702
2006-02-09,30.3,30.3,30.2,30.2,886
2006-02-10,30.3,31.1,29.6,30.6,1180
2006-02-13,30.6,30.6,29.8,30.2,424
2006-02-14,30.3,30.3,29.6,30,1934
2006-02-15,29.9,30.5,29.8,30.5,1071
2006-02-16,30.5,30.5,29.7,30.3,996
2006-02-17,29.8,30.3,29.8,30.3,510
2006-02-20,29.8,30.3,29.8,30.3,915
2006-02-21,29.9,30.6,29.8,30.3,1944
2006-02-22,30.3,30.3,29.8,29.8,300
2006-02-23,29.8,30.6,29.7,30.3,1045
2006-02-24,30.5,30.6,30,30,1319
2006-02-27,30.3,30.3,29.8,30.3,837
2006-02-28,30.3,30.3,29.9,30.2,1406
2006-03-01,29.9,29.9,28.7,29.3,1705
2006-03-02,29.3,30,28.8,28.9,1751
2006-03-03,28.9,29.9,28.8,29.7,1302
2006-03-06,29.7,29.9,29.1,29.1,709
2006-03-07,29.2,29.3,28.8,29.1,1050
2006-03-08,29.3,29.3,27.4,28.4,521
2006-03-09,28.2,28.2,26.6,27.1,2153
2006-03-10,26.9,27.6,26.9,27.4,335
2006-03-13,27.4,28.2,27.4,27.6,325
2006-03-14,27.6,27.6,27.1,27.1,327
2006-03-15,27.1,28.2,27.1,28.2,893
2006-03-16,28.1,30.1,28.1,29.6,4689
2006-03-17,29.2,29.8,28.3,29.7,2007
2006-03-20,29,29.4,28.8,28.8,206
2006-03-21,28.8,29.5,28.8,29.5,180
2006-03-22,28.8,29.5,28.4,29.3,1027
2006-03-23,29.4,29.4,28.8,29.1,603
2006-03-24,29.7,29.8,29.6,29.8,1269
2006-03-27,30,30,29.4,29.4,906
2006-03-28,29.6,29.6,28.8,29.6,710
2006-03-29,29,32.8,29,32.8,17621
2006-03-30,32.9,46.1,32.9,46.1,43114
2006-03-31,44.1,57.7,38.4,48.5,99025
2006-04-03,50,51.9,45.2,45.2,29880
2006-04-04,44,44.2,40.4,42.2,18338
2006-04-05,42.1,42.1,38.4,40.8,9939
2006-04-06,41,41,39,40.1,4699
2006-04-07,40.3,47.6,39.6,44.2,30805
2006-04-10,44.2,44.7,40.8,43.2,7420
2006-04-11,42.3,42.5,39.4,39.4,5140
2006-04-12,39.3,41.8,38.8,41.5,1846
2006-04-13,41.3,42.8,40,42.3,3289
2006-04-18,44.2,44.2,41.4,42.8,1164
2006-04-19,43.7,44.2,41.9,42.7,1148
2006-04-20,42.7,42.7,40.6,40.7,3710
2006-04-21,40.4,41.8,39.7,41.3,1682
2006-04-24,41.2,42.7,40.7,41.8,5970
2006-04-25,41.3,42.1,38.8,39.4,3184
2006-04-26,39.4,40.4,39.4,39.4,1438
2006-04-27,38.7,39.3,38.1,38.9,2858
2006-04-28,37.8,38.9,37.5,37.5,1059
2006-05-02,38.7,39.3,38.2,39.3,1180
2006-05-04,39.4,42.3,38.9,42,6634
2006-05-05,41.8,41.8,39.7,40.7,2359
2006-05-08,39.9,40.4,38.6,39.7,5218
2006-05-09,39.1,39.1,35.3,38.1,4304
2006-05-10,38.1,38.4,36.9,37.5,1181
2006-05-11,37.1,38.1,36.9,38.1,383
2006-05-12,37.5,37.5,37.1,37.5,525
2006-05-15,36.5,37.4,35.6,36,1005
2006-05-16,36,36,33.8,34.6,2051
2006-05-17,33.8,35.8,33.8,35.8,1212
2006-05-18,34.6,35.5,33.6,35.5,969
2006-05-19,35.8,35.8,33.7,34.6,584
2006-05-22,33.8,34.6,31.4,33.4,1495
2006-05-23,33.2,33.2,27,31.1,7970
2006-05-24,30.7,30.7,28.4,28.4,3130
2006-05-25,28.8,28.8,25.9,27.2,4007
2006-05-26,27.9,28.6,27,28.1,6385
2006-05-29,28.3,28.3,27.7,28.1,2867
2006-05-30,27.7,27.7,26.4,26.6,6534
2006-05-31,28.8,39.9,27.9,39.9,325039
2006-06-01,43.1,43.2,33.3,34.2,229595
2006-06-02,35.8,36.9,32.8,33.6,109965
2006-06-05,34.1,35.6,32.2,34.1,59503
2006-06-06,33.2,33.6,31.4,31.4,44296
2006-06-07,31.6,32.3,30.7,31.5,40364
2006-06-08,30.9,30.9,29.3,30.5,26849
2006-06-09,31.3,37.5,31.3,34.6,216063
