Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,5.8927,6.2024,5.8927,5.9295,28613
2005-01-04,5.9664,5.9959,5.9664,5.9959,50140
2005-01-05,5.8927,5.9959,5.8632,5.9959,1487
2005-01-06,5.9959,5.9959,5.7525,5.7894,5190
2005-01-07,5.8263,5.9664,5.6493,5.723,10023
2005-01-10,5.8632,5.9664,5.723,5.8927,48605
2005-01-11,5.9664,5.9664,5.723,5.723,55551
2005-01-12,5.8263,5.8263,5.583,5.7525,12144
2005-01-13,5.7525,5.7894,5.723,5.7894,107123
2005-01-14,5.8632,5.8632,5.7894,5.8263,1594
2005-01-17,5.8927,5.8927,5.723,5.723,4526
2005-01-18,5.686,5.686,5.546,5.546,16964
2005-01-19,5.723,5.7525,5.31,5.723,11223
2005-01-20,5.583,5.9664,5.583,5.9664,10932
2005-01-21,6.2024,6.3056,5.9295,5.9295,35562
2005-01-24,5.9295,5.9295,5.686,5.723,5449
2005-01-25,5.9295,6.0327,5.8263,5.9295,76364
2005-01-26,6.0992,6.1728,5.9664,5.9664,30266
2005-01-27,5.9295,6.136,5.9295,5.9959,16690
2005-01-28,5.9959,6.0327,5.8632,6.0327,3945
2005-01-31,5.9664,6.3056,5.6493,6.2024,24813
2005-02-01,6.2761,6.2761,6.0992,6.2393,7861
2005-02-02,6.0992,6.2024,6.0327,6.1728,5258
2005-02-03,6.0327,6.136,6.0327,6.136,571
2005-02-04,6.136,6.3056,5.8632,6.136,17977
2005-02-07,6.2761,6.2761,6.136,6.2393,19405
2005-02-08,6.2393,6.2393,6.0992,6.0992,3962
2005-02-09,5.9959,6.0992,5.9664,5.9959,942
2005-02-10,5.9295,6.0697,5.9295,6.0697,2454
2005-02-11,6.0697,6.0697,5.8632,5.8632,5562
2005-02-14,5.8632,6.4827,5.7525,6.3793,87093
2005-02-15,6.2024,6.2393,6.0327,6.2024,25542
2005-02-16,6.2761,6.2761,6.0327,6.0327,2133
2005-02-17,6.0327,6.0992,5.9295,6.0697,8583
2005-02-18,5.9295,6.136,5.9295,6.0992,6393
2005-02-21,6.0992,6.0992,5.9664,6.0992,1877
2005-02-22,6.136,6.136,5.9664,6.0697,2844
2005-02-23,6.136,6.136,5.8927,5.9959,4298
2005-02-24,5.8927,5.9959,5.8927,5.9959,5980
2005-02-25,5.9295,6.0327,5.9295,5.9959,6727
2005-02-28,6.0327,6.0327,5.8263,5.8263,2142
2005-03-01,5.7894,5.7894,5.686,5.686,5023
2005-03-02,5.686,5.686,5.6197,5.6493,2655
2005-03-03,5.6493,5.723,5.583,5.723,1595
2005-03-04,5.8263,5.8263,5.7894,5.7894,3023
2005-03-07,5.723,5.723,5.6197,5.723,2503
2005-03-08,5.7525,5.8263,5.686,5.723,2144
2005-03-09,5.7894,5.8263,5.723,5.7894,1422
2005-03-10,5.723,5.7894,5.686,5.7894,1185
2005-03-11,5.7894,5.7894,5.6197,5.7525,1113
2005-03-14,5.6197,5.7525,5.6197,5.7525,355
2005-03-15,5.6197,5.6197,5.5166,5.5166,16898
2005-03-16,5.5166,5.546,5.3764,5.3764,3710
2005-03-17,5.2363,5.4132,5.2363,5.4132,6427
