Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,28.884,29.186,28.346,28.574,797857
2005-01-04,28.424,28.504,27.894,28.274,1281636
2005-01-05,27.965,27.965,27.513,27.513,998716
2005-01-06,27.434,27.434,26.441,26.593,2584408
2005-01-07,26.593,26.593,25.761,26.292,2901218
2005-01-10,26.522,26.593,25.681,26.212,2489371
2005-01-11,26.673,26.974,26.522,26.744,2253134
2005-01-12,26.901,27.283,26.822,27.052,1952189
2005-01-13,27.355,27.664,27.204,27.434,2400395
2005-01-14,27.513,27.894,27.434,27.815,2158509
2005-01-17,27.815,27.894,27.355,27.815,985567
2005-01-18,27.513,27.815,27.204,27.434,1810316
2005-01-19,27.434,27.815,27.283,27.736,1872096
2005-01-20,27.513,27.736,27.434,27.584,1384528
2005-01-21,26.901,27.434,26.901,27.204,1261453
2005-01-24,27.204,27.434,27.132,27.434,336706
2005-01-25,27.513,27.815,27.434,27.664,1289406
2005-01-26,27.584,27.815,27.513,27.815,1525225
2005-01-27,27.815,28.424,27.815,28.195,2257599
2005-01-28,28.274,29.337,28.195,28.884,2222980
2005-01-31,28.726,29.186,28.504,28.954,1061605
2005-02-01,29.106,29.796,28.954,29.567,1891998
2005-02-02,29.494,29.567,29.266,29.567,975211
2005-02-03,29.567,30.098,29.266,29.567,2016274
2005-02-04,29.567,30.256,29.567,30.256,1254412
2005-02-07,30.328,31.398,30.328,31.087,2503552
2005-02-08,31.087,31.318,30.708,31.168,1890921
2005-02-09,31.017,31.017,30.558,30.788,808465
2005-02-10,30.788,32.008,30.788,31.247,2731833
2005-02-11,31.318,32.238,31.318,32.159,1241060
2005-02-14,32.08,33,31.849,32.389,726219
2005-02-15,32.308,33.151,32.308,33.151,1447876
2005-02-16,33.381,34.822,33.221,34.822,2866603
2005-02-17,34.981,35.966,34.372,34.372,3845919
2005-02-18,34.062,35.282,33.832,34.062,1388686
2005-02-21,33.991,35.203,33.911,35.053,1787243
2005-02-22,35.053,35.362,34.372,35.053,2667614
2005-02-23,34.522,35.282,34.292,34.981,1807955
2005-02-24,35.132,35.663,34.902,35.434,1652747
2005-02-25,35.895,37.186,35.895,36.885,3147530
2005-02-28,37.186,37.186,35.203,35.434,1922869
2005-03-01,35.282,35.434,34.594,35.434,1552822
2005-03-02,34.213,35.132,34.213,34.292,1397714
2005-03-03,34.372,34.751,34.213,34.292,1537947
2005-03-04,34.522,35.132,34.372,35.132,1676521
2005-03-07,35.434,38.106,34.902,35.895,2575167
2005-03-08,35.585,36.575,35.513,35.663,1344565
2005-03-09,35.663,36.885,35.663,36.734,3007551
2005-03-10,36.575,36.654,35.966,36.123,1378782
2005-03-11,36.045,36.194,34.822,35.053,2144278
