Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,18.292,18.745,18.228,18.552,2163700
2005-01-04,18.422,18.552,18.228,18.422,1516518
2005-01-05,18.292,18.422,17.897,17.897,2109388
2005-01-06,17.832,18.292,17.508,18.164,2012028
2005-01-07,18.099,18.486,18.026,18.486,2086444
2005-01-10,18.292,18.357,18.026,18.099,1556819
2005-01-11,18.164,18.228,17.767,18.164,1494765
2005-01-12,17.961,18.164,17.832,18.164,828231
2005-01-13,18.164,18.292,18.026,18.228,2322915
2005-01-14,18.099,18.164,17.832,17.832,1153932
2005-01-17,17.897,18.026,17.638,17.897,1687110
2005-01-18,17.314,17.767,17.113,17.249,2215820
2005-01-19,17.047,17.638,16.854,17.638,3882677
2005-01-20,17.444,17.832,17.249,17.379,4467771
2005-01-21,17.249,17.379,16.983,17.113,1540993
2005-01-24,16.983,17.314,16.983,17.314,1271518
2005-01-25,17.314,17.703,17.249,17.638,1902452
2005-01-26,17.638,17.897,17.508,17.897,1215150
2005-01-27,17.767,17.897,17.573,17.573,1706530
2005-01-28,17.573,17.573,17.379,17.379,1647101
2005-01-31,17.444,17.444,17.249,17.314,1066565
2005-02-01,17.314,17.638,17.249,17.508,1206128
2005-02-02,17.508,17.508,17.113,17.178,1140388
2005-02-03,17.178,17.314,17.047,17.113,1365526
2005-02-04,17.178,17.638,17.178,17.573,2057585
2005-02-07,17.703,17.767,17.508,17.767,1368660
2005-02-08,17.767,17.767,17.638,17.703,1070277
2005-02-09,17.638,17.638,17.379,17.444,858000
2005-02-10,17.379,17.444,17.113,17.249,2937326
2005-02-11,17.314,17.573,17.314,17.379,1355410
2005-02-14,17.444,17.573,17.379,17.444,965526
2005-02-15,17.444,17.508,17.249,17.249,1908009
2005-02-16,17.379,17.638,17.249,17.444,2849992
2005-02-17,17.573,17.767,17.508,17.767,2877330
2005-02-18,17.638,18.164,17.573,18.026,5596669
2005-02-21,17.832,18.422,17.832,18.292,4269583
2005-02-22,18.357,18.422,18.026,18.292,3280784
2005-02-23,17.961,18.292,17.961,18.292,1810398
2005-02-24,18.228,18.486,18.164,18.292,2272614
2005-02-25,18.422,18.745,18.422,18.486,5868123
2005-02-28,18.617,18.745,18.026,18.292,1658931
2005-03-01,18.099,18.552,17.897,18.357,2359287
2005-03-02,18.099,18.228,17.638,17.703,1380138
2005-03-03,17.703,18.099,17.638,17.961,4604324
2005-03-04,17.897,18.292,17.897,18.292,2573346
2005-03-07,18.228,18.68,18.228,18.486,2855057
2005-03-08,18.292,18.552,18.164,18.357,1704533
2005-03-09,18.292,18.68,18.292,18.486,4119247
2005-03-10,18.292,18.422,18.228,18.292,1897087
2005-03-11,18.292,18.357,18.164,18.228,1729436
2005-03-14,18.099,18.292,17.961,17.961,837043
2005-03-15,18.026,18.228,17.961,17.961,1719529
2005-03-16,17.897,17.961,17.379,17.379,2070884
2005-03-17,17.444,17.703,17.379,17.638,3311456
2005-03-18,17.638,17.767,17.508,17.573,2893810
2005-03-21,17.703,17.832,17.314,17.314,1569076
2005-03-22,17.379,17.638,17.379,17.638,744517
2005-03-23,17.508,17.638,17.379,17.573,1167797
2005-03-24,17.573,17.638,17.379,17.379,1502923
2005-03-29,17.444,17.508,17.113,17.178,1250995
2005-03-30,17.444,17.767,17.444,17.767,2120606
2005-03-31,17.703,18.164,17.703,18.164,2035627
2005-04-01,17.961,18.099,17.638,17.638,779436
2005-04-04,17.832,17.832,17.508,17.703,1162260
2005-04-05,17.573,17.767,17.379,17.767,1090042
2005-04-06,17.638,17.832,17.573,17.832,1017922
2005-04-07,17.832,17.897,17.573,17.703,783530
2005-04-11,17.508,17.897,17.314,17.832,1173416
2005-04-12,17.703,17.767,17.573,17.767,457702
2005-04-13,17.703,17.832,17.638,17.767,860111
2005-04-14,17.573,17.832,17.573,17.638,576367
2005-04-15,17.508,17.573,17.379,17.444,820971
2005-04-18,17.314,17.314,17.113,17.178,1169509
2005-04-19,17.113,17.314,17.113,17.249,709765
2005-04-20,17.249,17.314,16.725,16.918,1742890
2005-04-21,16.983,17.249,16.918,17.178,1083925
2005-04-22,17.178,17.508,17.178,17.314,1029933
2005-04-25,17.314,17.379,16.983,16.983,497176
2005-04-26,16.983,17.178,16.854,16.918,1116472
2005-04-27,16.918,16.918,16.393,16.529,1879237
2005-04-28,16.529,16.66,16.393,16.393,1421540
2005-04-29,16.466,16.66,16.466,16.466,1638237
2005-05-02,16.594,16.725,16.594,16.594,565376
2005-05-04,16.789,17.047,16.725,16.854,1762334
2005-05-05,16.918,17.249,16.918,17.178,1913204
2005-05-06,17.178,17.314,17.047,17.113,1066198
2005-05-09,17.113,17.249,16.983,17.178,359651
2005-05-10,17.249,17.249,16.725,16.854,1116738
2005-05-11,16.725,17.113,16.66,16.983,413476
2005-05-12,16.983,17.379,16.983,17.379,848897
2005-05-13,17.314,17.508,17.249,17.314,1367539
2005-05-16,16.983,17.314,16.983,17.314,363824
2005-05-17,17.113,17.444,17.113,17.444,1788035
2005-05-18,17.379,17.638,17.314,17.638,1821714
2005-05-19,17.573,17.638,17.379,17.444,649666
2005-05-20,17.249,17.508,17.178,17.508,1516867
2005-05-23,17.379,17.508,17.379,17.508,749061
2005-05-24,17.508,17.573,17.379,17.444,1217462
2005-05-25,17.444,17.573,17.379,17.444,1792006
2005-05-27,17.638,17.638,17.314,17.444,1970143
2005-05-30,17.444,17.444,17.314,17.314,455494
2005-05-31,17.249,17.767,17.178,17.314,2887503
2005-06-01,17.379,17.379,17.113,17.249,1339385
2005-06-02,17.314,17.444,17.249,17.379,1606159
2005-06-03,17.379,17.444,17.314,17.379,841184
2005-06-06,17.314,17.508,17.314,17.444,988561
2005-06-07,17.444,17.573,17.379,17.508,1898503
2005-06-08,17.379,17.638,17.379,17.638,2449059
2005-06-09,17.508,17.703,17.444,17.703,684842
2005-06-10,17.638,17.897,17.573,17.638,799561
2005-06-13,17.638,18.164,17.573,18.026,1746004
2005-06-14,17.961,18.164,17.703,17.767,1009276
2005-06-15,17.767,17.897,17.703,17.832,2854706
2005-06-16,17.767,17.961,17.703,17.897,2092198
2005-06-17,17.767,18.026,17.767,18.026,737389
2005-06-20,17.897,18.164,17.767,17.897,550756
2005-06-21,17.961,17.961,17.832,17.832,724039
2005-06-22,17.832,18.164,17.832,18.026,2028912
2005-06-23,18.026,18.099,17.767,17.961,848394
2005-06-24,17.767,17.767,17.444,17.508,1852381
2005-06-27,17.508,17.638,17.249,17.314,1177438
2005-06-28,17.444,17.767,17.379,17.638,893322
2005-06-29,17.638,17.703,17.573,17.638,783058
2005-06-30,17.508,17.832,17.444,17.703,3320158
2005-07-01,17.638,17.767,17.638,17.767,838952
2005-07-04,17.832,17.961,17.703,17.961,810032
2005-07-05,17.897,18.026,17.638,17.832,1848115
2005-07-06,17.703,17.897,17.703,17.832,442037
2005-07-07,17.703,17.832,17.178,17.703,2101739
2005-07-08,17.638,17.832,17.638,17.767,797464
2005-07-11,17.767,17.832,17.703,17.767,328594
2005-07-12,17.703,17.832,17.703,17.767,479510
2005-07-13,17.767,18.164,17.703,18.164,2155246
2005-07-14,18.099,18.422,18.026,18.292,3263175
2005-07-15,18.292,18.486,18.228,18.292,3080613
2005-07-18,18.164,18.292,17.897,17.961,793443
