Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.1374,1.1463,1.123,1.1463,65560
2005-01-04,1.1651,1.1651,1.1329,1.1508,16154
2005-01-05,1.1508,1.1508,1.123,1.1508,13968
2005-01-06,1.1554,1.1554,1.1185,1.1554,12451
2005-01-07,1.1605,1.2019,1.1554,1.2019,115224
2005-01-10,1.2064,1.2944,1.2064,1.2711,201237
2005-01-11,1.2711,1.2899,1.2711,1.2711,52651
2005-01-12,1.2711,1.2755,1.2531,1.2755,11888
2005-01-13,1.2899,1.299,1.2711,1.299,25714
2005-01-14,1.3034,1.3034,1.2711,1.2854,19963
2005-01-17,1.2477,1.2477,1.1928,1.1928,20006
2005-01-18,1.2019,1.2109,1.1554,1.2109,81009
2005-01-19,1.1605,1.2477,1.1605,1.2477,53840
2005-01-20,1.2019,1.2944,1.2019,1.2711,86419
2005-01-21,1.2711,1.2711,1.2576,1.2666,13037
2005-01-24,1.2477,1.2477,1.2477,1.2477,6134
2005-01-25,1.2477,1.2477,1.2252,1.2477,13232
2005-01-26,1.2666,1.2666,1.2477,1.2477,2023
2005-01-27,1.2576,1.2576,1.2298,1.2576,17123
2005-01-28,1.2531,1.2531,1.2388,1.2477,33182
2005-01-31,1.2298,1.2576,1.2019,1.2576,64156
2005-02-01,1.2477,1.2531,1.2477,1.2531,278
2005-02-02,1.2477,1.2477,1.2019,1.2019,8189
2005-02-03,1.2064,1.2252,1.2064,1.2252,17493
2005-02-04,1.2207,1.2252,1.2207,1.2252,12753
2005-02-07,1.2252,1.2576,1.2252,1.2576,39878
2005-02-08,1.2621,1.2621,1.2252,1.2252,15140
2005-02-10,1.2252,1.2252,1.1741,1.1974,42088
2005-02-11,1.2019,1.2666,1.1463,1.2666,40103
2005-02-14,1.2432,1.2432,1.1928,1.2207,20420
2005-02-15,1.2207,1.2432,1.2207,1.2432,4325
2005-02-16,1.2207,1.2432,1.2207,1.2388,15140
2005-02-17,1.2477,1.2621,1.2252,1.2621,38959
2005-02-18,1.2388,1.2388,1.2388,1.2388,2005
2005-02-21,1.2298,1.2298,1.2298,1.2298,5269
2005-02-22,1.2477,1.2477,1.2252,1.2252,11654
2005-02-23,1.2252,1.2252,1.2109,1.2252,8754
2005-02-24,1.2252,1.2252,1.2252,1.2252,3362
2005-02-25,1.2252,1.2252,1.2109,1.2109,1473
2005-02-28,1.2432,1.2432,1.2252,1.2252,6297
2005-03-01,1.2432,1.2432,1.2109,1.2252,24979
2005-03-02,1.2388,1.2388,1.2252,1.2252,21519
2005-03-03,1.2109,1.2109,1.2109,1.2109,215
2005-03-04,1.2252,1.2252,1.2154,1.2154,36090
2005-03-08,1.2154,1.2154,1.2109,1.2109,2075
2005-03-09,1.2109,1.2109,1.2064,1.2064,1105
2005-03-10,1.1974,1.1974,1.1974,1.1974,2165
2005-03-14,1.1741,1.1785,1.1741,1.1785,18597
2005-03-15,1.3034,1.3868,1.2711,1.3634,536581
2005-03-16,1.3634,1.3634,1.2944,1.3545,182723
2005-03-17,1.3545,1.3545,1.2944,1.3311,52238
2005-03-18,1.3177,1.3177,1.2477,1.2477,22081
2005-03-21,1.2854,1.2854,1.2711,1.2854,233443
