Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-06-20,10.797,12.11,10.797,11.77,1153437
2006-06-21,12.11,12.5,11.673,12.013,224388
2006-06-22,11.965,12.013,11.673,11.673,45534
2006-06-23,11.478,11.673,11.478,11.673,20036
2006-06-26,11.673,11.916,11.478,11.916,4590
2006-06-27,11.235,12.159,11.235,12.159,13797
2006-06-28,11.186,11.965,11.186,11.965,2185
2006-06-29,11.575,12.159,11.575,11.965,75914
2006-06-30,12.354,12.354,11.916,12.305,8228
2006-07-03,12.305,12.354,11.965,12.354,11708
2006-07-04,12.354,12.645,12.208,12.305,5443
2006-07-05,12.159,12.84,12.159,12.694,191531
2006-07-06,12.645,12.743,12.451,12.743,8068
2006-07-07,12.548,12.743,12.548,12.743,150
2006-07-10,12.645,12.743,12.645,12.743,20214
2006-07-11,12.645,12.743,12.645,12.694,1483
2006-07-12,12.645,12.694,12.645,12.694,10533
2006-07-13,12.645,12.645,12.645,12.645,9938
2006-07-14,12.645,12.743,12.645,12.645,1766
2006-07-18,12.548,12.694,12.548,12.645,923
2006-07-19,12.548,12.548,12.548,12.548,31
2006-07-20,12.694,12.694,12.645,12.645,5833
2006-07-21,12.548,12.548,12.5,12.5,514
2006-07-24,12.5,12.694,11.965,12.694,6507
2006-07-25,12.84,13.618,12.84,13.326,9553
2006-07-26,13.326,14.98,13.326,14.785,48370
2006-07-27,14.494,14.591,13.424,14.396,23313
2006-07-28,14.785,14.785,14.007,14.494,7752
2006-07-31,14.007,14.591,13.959,14.591,781
2006-08-01,14.105,14.105,13.618,13.618,7958
2006-08-02,13.715,13.715,13.18,13.618,6812
2006-08-03,13.91,13.91,12.84,13.132,5477
2006-08-04,12.84,13.132,12.743,13.132,4064
2006-08-07,13.715,13.715,13.229,13.229,3523
2006-08-08,14.299,14.299,13.278,13.57,2797
2006-08-09,13.278,13.521,12.986,13.521,5312
2006-08-10,13.521,13.521,13.229,13.472,1490
2006-08-11,13.18,13.618,13.18,13.618,1063
2006-08-14,13.375,13.375,13.132,13.375,3002
2006-08-16,13.57,13.618,13.375,13.424,7524
2006-08-17,13.715,13.959,13.424,13.424,49363
2006-08-18,13.132,13.424,13.132,13.132,104304
2006-08-21,13.132,13.57,13.132,13.57,61506
2006-08-22,13.57,13.57,13.521,13.521,602
2006-08-23,13.521,13.57,13.521,13.57,45388
2006-08-24,13.326,13.326,13.326,13.326,144
2006-08-25,13.326,13.521,13.326,13.424,3940
2006-08-28,13.326,13.326,13.326,13.326,1966
2006-08-29,13.326,13.424,13.326,13.424,2708
2006-08-30,13.424,13.424,13.424,13.424,2111
2006-08-31,13.472,13.667,13.472,13.521,11025
2006-09-01,13.521,13.521,13.278,13.521,240
2006-09-04,13.521,13.618,13.521,13.618,8420
2006-09-05,13.424,13.618,13.375,13.521,12948
2006-09-06,13.521,13.618,13.521,13.618,54436
2006-09-07,13.618,13.764,13.618,13.715,2767
