Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,5.4217,5.4217,5.2904,5.4217,2285
2005-01-04,5.3374,5.4967,5.3374,5.4967,1881
2005-01-05,5.3374,5.4217,5.3374,5.4217,1893
2005-01-06,5.3374,5.4405,5.3374,5.4405,3578
2005-01-07,5.3374,5.7219,5.3374,5.6468,8068
2005-01-10,5.5155,5.7219,5.3936,5.4967,94790
2005-01-11,5.4405,5.5436,5.4217,5.4967,1647
2005-01-12,5.4967,6.0502,5.4967,5.8532,66592
2005-01-13,6.0033,6.0314,5.7219,5.8532,31471
2005-01-14,6.0314,6.0314,5.9001,6.0033,15127
2005-01-17,6.1533,6.538,6.1533,6.538,54233
2005-01-18,6.5661,6.6599,6.2097,6.3597,22158
2005-01-19,6.2565,6.2565,5.9001,5.9283,50453
2005-01-20,5.9001,5.9752,5.7969,5.9752,9625
2005-01-21,6.463,6.6131,6.2097,6.2565,93194
2005-01-24,6.1064,6.538,5.9752,6.2847,41993
2005-01-25,6.4066,6.4817,6.2565,6.463,18097
2005-01-26,6.6131,6.9413,6.5849,6.7162,77761
2005-01-27,6.5098,6.6599,6.3034,6.4066,23028
2005-01-28,6.4066,6.8381,6.3316,6.7162,48093
2005-01-31,6.8663,6.8944,6.5661,6.7162,33508
2005-02-01,6.6599,6.8194,6.5661,6.7912,10385
2005-02-02,6.763,6.7912,6.538,6.5849,11198
2005-02-03,6.6131,6.6131,6.3879,6.463,16114
2005-02-04,6.463,6.463,6.1064,6.2847,34275
2005-02-07,6.1533,6.4066,6.0502,6.3034,28687
2005-02-08,6.463,6.463,6.1533,6.3034,9577
2005-02-09,6.1533,6.2565,6.1253,6.1253,8538
2005-02-10,6.2097,6.2565,6.0314,6.2565,10369
2005-02-11,6.1815,6.2097,6.1064,6.1533,3676
2005-02-14,6.2097,6.3316,6.1064,6.2284,5546
2005-02-15,6.2097,6.3879,6.2097,6.3879,7369
2005-02-16,6.3597,6.3879,6.1815,6.2565,15981
2005-02-17,6.3034,6.3034,6.1815,6.2565,3465
2005-02-18,6.2284,6.2284,6.1064,6.2097,13946
2005-02-21,6.1064,6.2284,6.0033,6.2284,5231
2005-02-22,6.1815,6.2284,6.1533,6.1533,5309
2005-02-23,6.1253,6.2284,6.0502,6.2097,3073
2005-02-24,6.0783,6.2097,6.0783,6.2097,2756
2005-02-25,6.2284,6.2284,6.1064,6.1815,10514
2005-02-28,6.2097,6.4348,6.1533,6.3316,17487
2005-03-01,6.2847,6.3597,6.2284,6.3597,1509
2005-03-02,6.2097,6.3316,5.8532,5.8532,14796
2005-03-03,5.75,5.947,5.4967,5.947,14631
2005-03-04,5.8532,5.8532,5.7219,5.75,2935
2005-03-07,5.7219,5.7219,5.4686,5.675,7313
2005-03-08,5.5906,5.5906,5.3654,5.3654,15147
2005-03-09,5.2623,5.3374,5.1403,5.3374,14925
2005-03-10,5.2904,5.2904,5.1872,5.2904,13650
2005-03-11,5.2435,5.2904,5.1872,5.2904,1491
2005-03-14,5.2904,5.2904,5.2435,5.2904,3561
2005-03-15,5.3374,5.3936,5.2435,5.3654,6344
2005-03-16,5.2904,5.3374,5.2435,5.3374,3002
2005-03-17,5.2904,5.2904,5.2435,5.2904,690
2005-03-18,5.3374,5.3374,5.2153,5.2904,2263
2005-03-21,5.3654,5.3936,5.3374,5.3936,2432
2005-03-22,5.3936,5.7969,5.3936,5.6937,17006
2005-03-23,5.5906,5.6937,5.4967,5.6937,3827
2005-03-24,5.4967,5.5906,5.4686,5.5906,2488
2005-03-29,5.5155,5.5906,5.5155,5.5906,199
2005-03-30,5.5155,5.5155,5.3374,5.3936,3225
2005-03-31,5.3374,5.6468,5.3374,5.5906,6791
2005-04-01,5.5436,5.5906,5.3936,5.5906,1234
2005-04-04,5.3654,5.4405,5.3186,5.3374,3077
2005-04-05,5.3654,5.3936,5.3374,5.3936,7493
2005-04-06,5.2904,5.4405,5.2904,5.3936,452
2005-04-07,5.3936,5.3936,5.3936,5.3936,2241
2005-04-12,5.2904,5.3936,5.2904,5.3374,440
2005-04-13,5.3936,5.5436,5.2623,5.3936,7543
2005-04-14,5.5155,5.5155,5.3936,5.4217,627
2005-04-15,5.3374,5.3374,5.2904,5.3186,4707
2005-04-18,5.2435,5.3186,5.1403,5.2623,11520
2005-04-19,5.1872,5.1872,5.009,5.1403,4768
2005-04-20,5.0652,5.1121,4.962,5.0652,19054
2005-04-21,4.9809,5.009,4.934,5.009,3604
2005-04-22,5.0371,5.0371,4.9059,4.9809,5187
2005-04-25,5.0371,5.0371,5.0371,5.0371,2
2005-04-26,4.9059,4.962,4.7088,4.887,3326
2005-04-27,4.9809,4.9809,4.887,4.887,4
2005-04-28,4.8308,4.887,4.8027,4.8589,3169
2005-04-29,4.7839,5.0652,4.7839,4.7839,29742
2005-05-02,4.934,4.934,4.8308,4.8308,870
2005-05-04,4.9809,4.9809,4.7088,4.7276,2714
2005-05-05,4.7839,5.0371,4.7276,4.934,3060
2005-05-06,5.0371,5.0371,4.6057,4.6808,4926
2005-05-09,4.7558,4.887,4.7088,4.7276,6855
2005-05-10,4.7276,4.7839,4.6244,4.7839,2361
2005-05-11,4.6244,4.6244,4.4274,4.4462,6289
2005-05-12,4.4743,4.5775,4.4462,4.5775,494
2005-05-13,4.4743,4.6808,4.4743,4.6808,1570
2005-05-16,4.6808,4.6808,4.5307,4.5775,16381
2005-05-17,4.4743,4.5307,4.4743,4.4743,9398
2005-05-18,4.5307,4.5775,4.4743,4.5775,21714
2005-05-19,4.8027,4.8589,4.5775,4.6244,30308
2005-05-20,4.7558,4.887,4.6808,4.7839,108096
2005-05-23,4.962,5.1121,4.8027,4.8308,97375
2005-05-24,4.8308,4.8308,4.5494,4.6057,97115
2005-05-25,4.6808,4.6808,4.3993,4.3993,91373
2005-05-27,4.3993,4.5025,4.3712,4.3712,75374
2005-05-30,4.4743,4.6057,4.3712,4.4743,82710
2005-05-31,4.4743,4.7088,4.4743,4.6808,79667
2005-06-01,4.6808,4.6808,4.5025,4.5775,46025
2005-06-02,4.5307,4.6526,4.4743,4.6526,26745
2005-06-03,4.6808,4.7839,4.6244,4.6526,40747
2005-06-06,4.6526,4.962,4.6526,4.962,55537
2005-06-07,4.962,5.0371,4.887,5.009,42018
2005-06-08,4.962,4.9809,4.8589,4.934,30954
2005-06-09,4.934,4.9809,4.8027,4.9809,45433
2005-06-10,4.934,5.2153,4.934,5.1872,87366
2005-06-13,5.2623,5.3936,5.2435,5.3374,65621
2005-06-14,5.4405,5.6937,5.3936,5.3936,110330
2005-06-15,5.3374,5.4967,5.2435,5.3186,36276
2005-06-16,5.2153,5.2153,4.934,5.0652,48899
2005-06-17,5.1121,5.2904,5.1121,5.1121,16186
2005-06-20,5.1591,5.1591,5.009,5.0371,20144
2005-06-21,5.009,5.0841,4.9809,5.0652,13221
2005-06-22,5.009,5.1872,5.009,5.0371,14584
2005-06-23,5.0652,5.2153,4.8308,4.9809,9558
2005-06-24,4.934,4.934,4.8589,4.887,5518
2005-06-27,4.887,4.934,4.887,4.934,1334
2005-06-28,5.0371,5.0371,4.8308,4.962,12848
2005-06-29,4.962,4.962,4.7276,4.7276,5393
2005-06-30,4.7276,4.8027,4.6244,4.7276,20940
2005-07-01,4.8308,4.9059,4.6808,4.8589,8513
2005-07-04,4.934,4.934,4.7276,4.8308,21925
2005-07-05,4.934,4.934,4.8027,4.8027,5158
2005-07-06,4.8308,4.9059,4.8027,4.9059,3401
2005-07-07,4.9059,4.9059,4.7276,4.887,6028
2005-07-08,4.9809,5.1591,4.8027,4.8027,38159
2005-07-11,4.962,4.962,4.8308,4.887,3344
2005-07-12,4.887,4.934,4.8308,4.8589,21213
2005-07-13,4.934,4.934,4.7839,4.887,11269
2005-07-14,4.934,4.934,4.8027,4.8308,174880
2005-07-15,4.9059,4.934,4.8308,4.887,18218
2005-07-18,4.9809,5.3374,4.887,5.1591,90675
2005-07-19,5.1591,5.1591,4.962,5.0371,21195
2005-07-20,5.0841,5.2153,4.9809,5.1403,17053
2005-07-21,5.1403,5.1591,5.009,5.0371,22503
2005-07-22,5.0371,5.0652,5.009,5.0652,4106
2005-07-25,4.9809,5.0652,4.934,5.0652,9122
2005-07-26,4.934,5.0652,4.9059,4.9059,15246
2005-07-27,4.962,5.0652,4.8589,5.0652,22643
2005-07-28,5.1403,5.2904,5.1121,5.1121,53150
2005-07-29,5.1591,5.2153,4.962,5.0841,72302
2005-08-01,5.1403,5.1403,5.009,5.0652,7246
2005-08-02,5.0371,5.1403,4.962,5.0841,15609
2005-08-03,5.1591,5.1591,4.9809,5.0841,8355
2005-08-04,5.0652,5.0652,4.8308,4.934,16152
2005-08-05,4.8589,4.9059,4.8027,4.9059,7455
