Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,0.44,0.47,0.44,0.47,15063
2005-01-04,0.45,0.47,0.45,0.47,4090
2005-01-05,0.47,0.47,0.45,0.45,19852
2005-01-06,0.43,0.45,0.43,0.45,20850
2005-01-07,0.44,0.45,0.43,0.45,3890
2005-01-10,0.44,0.45,0.43,0.45,82502
2005-01-11,0.44,0.45,0.43,0.45,9676
2005-01-12,0.44,0.45,0.43,0.45,4688
2005-01-13,0.44,0.46,0.44,0.46,14166
2005-01-14,0.46,0.46,0.43,0.45,23144
2005-01-17,0.46,0.46,0.42,0.46,14764
2005-01-18,0.43,0.45,0.43,0.44,38108
2005-01-19,0.45,0.45,0.44,0.44,4588
2005-01-20,0.42,0.44,0.41,0.41,63348
2005-01-21,0.4,0.42,0.4,0.41,130187
2005-01-24,0.4,0.41,0.38,0.38,80307
2005-01-25,0.38,0.38,0.37,0.37,119513
2005-01-26,0.38,0.38,0.38,0.38,274441
2005-01-27,0.38,0.39,0.38,0.38,573823
2005-01-28,0.39,0.39,0.38,0.39,651238
2005-01-31,0.39,0.41,0.39,0.41,29529
2005-02-01,0.42,0.42,0.38,0.42,1106945
2005-02-02,0.41,0.41,0.4,0.4,112629
2005-02-03,0.4,0.41,0.4,0.4,39904
2005-02-04,0.4,0.4,0.39,0.4,111632
2005-02-07,0.4,0.41,0.4,0.41,14964
2005-02-08,0.4,0.41,0.4,0.4,11572
2005-02-09,0.41,0.41,0.41,0.41,24840
2005-02-10,0.4,0.41,0.4,0.41,110834
2005-02-11,0.41,0.42,0.4,0.41,83200
2005-02-14,0.41,0.42,0.4,0.42,52873
2005-02-15,0.41,0.41,0.41,0.41,19952
2005-02-16,0.41,0.41,0.41,0.41,6983
2005-02-17,0.41,0.41,0.41,0.41,7980
2005-02-18,0.41,0.42,0.41,0.41,8180
2005-02-21,0.42,0.42,0.42,0.42,15063
2005-02-22,0.41,0.41,0.41,0.41,13467
2005-02-23,0.41,0.41,0.4,0.41,11173
2005-02-24,0.4,0.41,0.4,0.41,64046
2005-02-25,0.4,0.41,0.4,0.41,34118
2005-02-28,0.4,0.41,0.39,0.41,112929
2005-03-01,0.4,0.41,0.39,0.41,50379
2005-03-02,0.41,0.41,0.4,0.41,12968
2005-03-03,0.39,0.41,0.39,0.4,34317
2005-03-04,0.41,0.41,0.41,0.41,20051
2005-03-07,0.41,0.41,0.4,0.41,30526
2005-03-08,0.41,0.41,0.41,0.41,199
2005-03-09,0.4,0.41,0.4,0.4,36911
2005-03-10,0.4,0.41,0.39,0.41,5985
2005-03-11,0.41,0.41,0.41,0.41,11971
2005-03-14,0.39,0.41,0.39,0.41,22944
2005-03-15,0.41,0.41,0.39,0.41,20251
2005-03-16,0.4,0.4,0.39,0.4,10973
2005-03-17,0.41,0.41,0.41,0.41,299
2005-03-18,0.39,0.4,0.39,0.4,1097
2005-03-21,0.39,0.4,0.37,0.4,49880
2005-03-22,0.4,0.4,0.4,0.4,2094
2005-03-23,0.38,0.4,0.38,0.4,58360
2005-03-24,0.39,0.4,0.39,0.4,15462
2005-03-29,0.39,0.39,0.39,0.39,24940
2005-03-30,0.4,0.4,0.38,0.39,79708
2005-03-31,0.37,0.38,0.37,0.38,29628
2005-04-01,0.38,0.4,0.37,0.39,75219
2005-04-04,0.38,0.39,0.38,0.39,8379
2005-04-05,0.4,0.4,0.38,0.38,15063
2005-04-06,0.39,0.39,0.39,0.39,199
2005-04-07,0.38,0.39,0.38,0.39,32621
2005-04-12,0.38,0.39,0.38,0.39,1097
2005-04-13,0.39,0.4,0.39,0.4,58459
2005-04-14,0.39,0.4,0.39,0.4,199
2005-04-15,0.39,0.4,0.39,0.4,47585
2005-04-18,0.4,0.4,0.37,0.39,7182
2005-04-19,0.38,0.4,0.38,0.4,6185
2005-04-20,0.38,0.4,0.38,0.4,25139
2005-04-21,0.38,0.4,0.38,0.39,104848
2005-04-22,0.39,0.4,0.39,0.39,22047
2005-04-25,0.37,0.39,0.37,0.39,4389
2005-04-26,0.37,0.37,0.37,0.37,48683
2005-04-27,0.36,0.36,0.36,0.36,14465
2005-04-28,0.36,0.36,0.35,0.36,8579
2005-04-29,0.37,0.38,0.33,0.36,9078
2005-05-02,0.38,0.38,0.38,0.38,24940
