Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,16.692,17.581,16.692,16.939,2235
2005-01-04,16.777,17.341,16.453,16.453,12827
2005-01-05,16.453,16.614,16.29,16.453,36137
2005-01-06,16.367,16.854,16.367,16.692,20946
2005-01-07,16.29,16.939,16.29,16.939,14702
2005-01-10,16.777,17.179,16.777,17.016,2317
2005-01-11,16.939,17.179,16.939,16.939,1902
2005-01-12,16.453,16.939,16.453,16.939,1042
2005-01-13,16.367,16.854,16.367,16.367,1585
2005-01-14,16.614,16.777,16.53,16.53,2469
2005-01-17,16.367,16.53,16.367,16.53,989
2005-01-18,16.53,16.53,15.965,15.965,3330
2005-01-19,15.163,15.77,15.163,15.77,7149
2005-01-20,15.163,15.65,15.163,15.65,3533
2005-01-21,15.727,15.804,15.684,15.804,1228
2005-01-24,15.163,15.402,15.163,15.326,2299
2005-01-25,15.402,15.65,15.326,15.565,1764
2005-01-26,15.359,15.522,15.326,15.522,2284
2005-01-27,15.402,15.522,15.402,15.522,444
2005-01-28,15.326,15.607,15.326,15.607,1990
2005-01-31,15.727,17.093,15.727,17.016,13749
2005-02-01,17.341,17.341,16.614,17.179,3502
2005-02-02,16.777,17.743,16.777,17.743,5022
2005-02-03,17.743,18.794,17.581,18.067,15506
2005-02-04,17.819,18.144,17.666,18.144,1242
2005-02-07,18.307,18.307,17.666,18.067,3152
2005-02-08,17.503,17.905,17.341,17.666,3644
2005-02-09,17.418,18.144,17.179,18.067,5858
2005-02-10,17.503,18.383,17.503,18.144,49869
2005-02-11,18.23,19.194,18.23,19.032,10316
2005-02-14,19.032,19.11,18.545,18.794,2276
2005-02-15,18.632,18.708,18.23,18.23,3301
2005-02-16,17.819,18.87,17.743,18.632,7784
2005-02-17,18.307,18.87,18.307,18.632,4196
2005-02-18,18.632,18.794,18.469,18.469,3194
2005-02-21,18.144,18.794,18.144,18.469,2549
2005-02-22,18.469,18.469,17.819,18.383,4048
2005-02-23,18.144,18.307,18.067,18.067,2976
2005-02-24,17.982,18.23,17.743,18.23,3053
2005-02-25,18.383,18.383,18.307,18.383,4395
2005-02-28,18.632,19.194,18.307,19.032,8658
2005-03-01,19.194,19.921,18.956,19.836,20059
2005-03-02,19.357,19.836,18.956,19.272,16982
2005-03-03,18.87,19.272,18.794,19.272,3798
2005-03-04,18.956,19.032,18.956,19.032,1903
2005-03-07,18.956,19.032,18.23,18.632,11270
2005-03-08,18.545,18.632,18.545,18.545,4933
2005-03-09,18.87,18.956,18.545,18.87,5263
2005-03-10,18.545,18.545,18.545,18.545,2691
2005-03-11,18.708,19.921,18.708,19.52,34548
2005-03-14,19.272,19.836,19.194,19.682,8659
2005-03-15,19.434,20.083,19.434,19.682,11000
2005-03-16,19.52,19.52,18.956,19.357,4637
2005-03-17,18.87,19.357,18.545,19.194,129010
2005-03-18,18.794,19.194,18.794,19.032,4445
2005-03-21,19.032,19.194,18.545,19.194,6800
2005-03-22,18.632,19.032,18.632,18.956,868
2005-03-23,18.708,18.956,18.632,18.794,463
2005-03-24,18.794,19.759,18.794,19.52,18597
2005-03-29,19.357,19.357,18.956,18.956,1065
2005-03-30,19.357,19.52,18.545,19.52,8835
2005-03-31,19.52,19.682,19.357,19.682,4404
2005-04-01,19.434,21.288,19.11,21.288,25937
2005-04-04,20.648,21.288,20.561,21.211,7518
2005-04-05,21.211,22.177,21.049,21.45,23373
2005-04-06,21.374,21.937,21.211,21.852,3167
2005-04-07,21.775,21.775,21.536,21.612,4042
2005-04-11,21.775,21.775,21.211,21.612,3832
2005-04-12,21.288,21.288,20.083,20.648,23196
2005-04-13,20.972,21.45,20.648,21.374,6327
2005-04-14,20.972,21.211,20.972,21.211,3175
2005-04-15,20.972,21.775,20.972,21.775,5731
2005-04-18,20.972,21.374,20.887,21.374,39590
2005-04-19,21.612,21.612,20.887,21.45,1008
2005-04-20,21.126,21.374,20.809,20.887,9295
2005-04-21,20.485,21.45,20.485,21.45,7046
2005-04-22,21.126,21.536,21.126,21.374,2976
2005-04-25,21.288,21.536,20.972,21.536,589
2005-04-26,21.288,21.698,20.972,21.374,6938
2005-04-27,21.049,21.288,20.972,21.288,5471
2005-04-28,21.288,21.612,20.972,21.536,495
2005-04-29,21.211,21.612,20.972,21.536,2118
2005-05-02,21.211,21.536,21.126,21.126,593
2005-05-04,21.374,21.698,21.211,21.536,804
2005-05-05,21.698,22.338,21.374,22.338,6945
2005-05-06,22.987,23.629,22.987,23.227,24016
2005-05-09,23.227,23.389,23.065,23.142,1487
2005-05-10,22.987,22.987,22.578,22.987,2386
2005-05-11,22.903,23.142,22.578,23.142,1881
2005-05-12,22.578,22.903,22.262,22.663,4993
2005-05-13,22.177,22.578,22.014,22.501,2314
2005-05-16,22.578,22.74,22.501,22.663,5738
2005-05-17,23.142,24.192,23.142,23.629,23887
2005-05-18,23.791,23.791,22.987,23.389,4967
2005-05-19,23.389,23.389,22.501,22.987,20660
2005-05-20,22.903,22.987,22.425,22.903,4831
2005-05-23,23.065,23.065,22.74,22.903,738
2005-05-24,22.903,22.903,22.663,22.826,1271
2005-05-25,22.578,22.578,22.099,22.425,8743
2005-05-27,22.501,22.578,22.177,22.501,2582
2005-05-30,22.578,22.74,21.775,22.177,20311
2005-05-31,21.937,22.338,21.852,22.099,1838
2005-06-01,22.014,22.338,22.014,22.014,1487
2005-06-02,22.177,22.262,21.775,22.262,3758
2005-06-03,22.262,23.065,22.262,23.065,2301
2005-06-06,23.389,24.03,23.305,23.954,5166
2005-06-07,23.954,23.954,23.305,23.791,5430
2005-06-08,24.192,24.44,23.791,24.278,40080
2005-06-09,23.629,24.192,23.552,24.192,2737
2005-06-10,23.629,23.791,23.552,23.791,795
2005-06-13,23.629,23.629,23.065,23.305,28824
2005-06-14,22.987,23.227,22.987,23.227,3218
2005-06-15,23.065,23.227,22.987,23.065,2376
2005-06-16,23.142,23.714,22.987,23.714,1722
2005-06-17,23.714,23.791,23.714,23.791,702
2005-06-20,23.714,23.791,23.305,23.714,1394
2005-06-21,23.791,23.867,23.466,23.466,4002
2005-06-22,23.466,23.714,22.987,23.389,2693
2005-06-23,22.987,22.987,22.663,22.987,14324
2005-06-24,23.227,23.227,23.227,23.227,30
2005-06-27,23.466,23.466,22.74,23.466,934
2005-06-28,23.227,23.552,23.227,23.552,553
2005-06-29,23.389,23.389,22.903,22.903,19378
2005-06-30,22.74,23.389,22.099,23.389,5263
2005-07-01,22.987,23.552,22.903,22.903,1356
2005-07-04,22.903,22.903,22.338,22.74,2981
2005-07-05,22.826,23.065,22.578,23.065,4930
2005-07-06,22.903,22.987,22.578,22.663,1697
2005-07-07,22.578,22.663,22.177,22.663,1955
2005-07-08,22.826,23.065,22.578,23.065,1465
2005-07-11,23.142,23.142,22.425,22.425,19448
2005-07-12,22.262,22.501,22.099,22.501,15268
2005-07-13,22.425,22.74,22.425,22.74,1026
2005-07-14,22.826,22.826,22.578,22.663,563
2005-07-15,22.74,22.903,22.74,22.903,1515
2005-07-18,22.501,22.987,22.177,22.425,1736
