Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,44.2,44.2,43.359,44.2,64
2005-01-04,43.022,45.042,42.937,43.274,434
2005-01-05,44.453,44.453,44.453,44.453,3
2005-01-06,43.779,44.621,43.779,44.621,146
2005-01-07,45.042,45.042,42.096,42.937,2017
2005-01-10,42.096,44.2,42.096,44.117,90
2005-01-12,42.18,42.18,42.096,42.18,166
2005-01-13,44.117,44.621,44.117,44.621,364
2005-01-14,44.2,45.464,44.2,45.042,244
2005-01-17,44.621,44.621,42.096,43.779,1263
2005-01-18,42.517,42.517,42.096,42.096,457
2005-01-19,42.096,44.621,42.096,44.2,1023
2005-01-20,44.2,44.621,44.2,44.621,951
2005-01-21,44.538,44.621,44.538,44.621,237
2005-01-24,44.2,44.2,44.2,44.2,13
2005-01-25,44.2,44.2,43.779,43.779,156
2005-01-26,44.284,44.284,44.284,44.284,59
2005-01-27,43.022,43.022,42.937,42.937,1206
2005-01-28,43.359,43.359,43.359,43.359,6
2005-01-31,42.18,42.937,42.18,42.937,256
2005-02-01,42.096,43.107,42.096,43.107,529
2005-02-02,43.359,45.379,42.937,44.117,221
2005-02-03,43.779,43.779,43.779,43.779,93
2005-02-04,44.117,45.464,43.779,45.042,2953
2005-02-07,45.884,46.221,43.864,45.548,1588
2005-02-08,43.779,43.779,43.779,43.779,91
2005-02-09,43.359,43.359,43.359,43.359,117
2005-02-11,43.359,43.359,43.359,43.359,126
2005-02-15,43.359,43.779,42.937,43.695,333
2005-02-16,42.517,42.517,42.517,42.517,27
2005-02-17,42.096,42.096,42.096,42.096,213
2005-02-18,42.096,42.096,41.254,41.338,419
2005-02-21,41.254,41.338,41.254,41.254,753
2005-02-22,40.412,41.254,37.887,40.412,1101
2005-02-23,40.244,40.244,39.57,39.57,283
2005-02-24,39.57,41.338,39.57,39.57,1233
2005-02-25,40.329,41.001,39.318,39.318,1074
2005-02-28,39.149,39.149,38.728,38.728,1525
2005-03-01,38.728,38.728,37.887,38.644,331
2005-03-02,39.57,39.57,39.149,39.149,73
2005-03-03,38.728,38.728,38.728,38.728,59
2005-03-04,39.738,39.738,39.233,39.402,181
2005-03-08,39.402,40.412,39.402,39.99,138
2005-03-09,39.99,39.99,39.99,39.99,136
2005-03-10,39.57,40.412,39.57,40.412,276
2005-03-11,40.412,40.412,40.412,40.412,253
2005-03-14,39.402,39.402,37.549,37.549,1407
2005-03-15,37.382,37.382,37.382,37.382,1
2005-03-16,37.382,37.465,37.382,37.465,56
2005-03-18,37.887,37.887,37.887,37.887,117
2005-03-21,37.717,37.717,37.717,37.717,119
2005-03-22,37.717,37.717,36.203,36.203,356
2005-03-23,36.203,36.203,36.203,36.203,237
2005-03-24,36.203,36.371,36.203,36.371,141
2005-03-30,37.044,37.044,36.624,37.044,976
2005-04-04,37.549,37.549,37.549,37.549,34
2005-04-05,37.97,38.055,37.044,38.055,416
2005-04-07,37.97,38.055,37.465,38.055,1505
2005-04-11,37.465,38.728,37.465,38.728,1219
2005-04-12,37.887,38.644,37.887,38.644,608
2005-04-14,38.728,38.728,37.549,37.549,106
2005-04-15,38.728,38.728,38.728,38.728,119
2005-04-18,37.549,38.139,37.549,38.139,459
2005-04-19,37.887,38.728,37.887,38.728,536
2005-04-20,38.728,38.728,38.728,38.728,1945
2005-04-22,38.307,39.149,38.307,39.149,413
2005-04-25,39.149,39.149,39.149,39.149,171
2005-04-26,39.149,39.149,39.149,39.149,236
2005-04-27,38.307,39.318,38.307,39.318,297
2005-04-28,38.728,38.897,38.728,38.897,284
2005-05-04,37.549,37.549,37.465,37.465,10
2005-05-05,38.307,38.307,38.307,38.307,237
2005-05-06,37.887,37.887,36.203,36.203,491
2005-05-09,34.517,34.517,33.677,34.435,641
2005-05-10,33.677,34.435,33.677,34.435,119
2005-05-11,32.835,32.835,31.235,31.235,749
2005-05-12,31.319,31.909,31.319,31.909,159
2005-05-13,31.909,33.677,31.909,32.835,683
2005-05-16,32.666,32.835,32.666,32.835,166
2005-05-18,31.994,31.994,31.994,31.994,237
2005-05-19,31.151,31.994,31.151,31.994,283
2005-05-20,31.235,31.235,30.73,30.73,406
2005-05-23,31.824,31.824,31.824,31.824,2
2005-05-24,31.994,32.835,31.994,32.835,45
2005-05-25,32.246,32.246,32.246,32.246,1
2005-05-27,31.235,32.246,31.235,32.246,189
2005-05-30,31.572,31.572,30.308,30.308,711
2005-05-31,30.308,30.308,29.215,29.467,153
2005-06-01,29.13,29.13,28.962,28.962,156
2005-06-02,29.13,30.73,28.794,30.308,583
2005-06-03,30.308,30.73,30.225,30.225,19
2005-06-06,30.225,32.077,30.225,31.151,548
2005-06-07,31.74,31.74,30.73,31.404,557
2005-06-08,31.74,31.74,30.478,31.572,499
2005-06-09,31.909,34.517,31.151,34.517,2877
2005-06-10,35.36,35.36,34.097,34.435,890
2005-06-13,33.677,34.435,32.92,32.92,391
2005-06-14,32.835,32.835,32.835,32.835,347
