Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,62.725,63.18,60.895,60.895,1818
2005-01-04,61.35,61.81,59.975,60.44,2947
2005-01-05,60.44,60.44,59.52,59.975,19046
2005-01-06,59.06,60.895,58.605,58.605,3501
2005-01-07,57.235,59.975,57.235,59.52,2958
2005-01-10,58.15,59.52,58.15,58.15,3733
2005-01-11,58.15,58.15,57.235,57.69,23150
2005-01-12,56.77,57.69,54.49,54.49,9298
2005-01-13,53.11,54.49,52.195,52.65,62686
2005-01-14,52.195,52.65,51.28,52.65,2600
2005-01-17,51.74,52.65,51.74,52.195,2903
2005-01-18,52.195,52.195,50.82,52.195,32877
2005-01-19,51.28,55.4,51.28,54.03,50057
2005-01-20,53.565,53.565,52.65,53.11,4684
2005-01-21,52.195,53.11,52.195,53.11,434
2005-01-24,52.65,52.65,50.82,50.82,5881
2005-01-25,50.82,51.74,49.905,50.82,10059
2005-01-26,50.365,52.195,50.365,51.28,8208
2005-01-27,51.28,51.28,51.28,51.28,2203
2005-01-28,50.82,51.74,50.82,51.28,6516
2005-01-31,51.28,52.195,50.365,51.28,2519
2005-02-01,50.82,54.49,50.82,54.49,13675
2005-02-02,54.49,54.94,53.565,54.49,12591
2005-02-03,54.49,54.49,53.11,53.11,7400
2005-02-04,54.03,54.03,53.11,54.03,1293
2005-02-07,54.03,54.03,52.195,53.11,6620
2005-02-08,53.11,53.565,53.11,53.11,1895
2005-02-09,52.65,52.65,51.28,51.74,13456
2005-02-10,51.74,51.74,50.82,50.82,4109
2005-02-11,51.28,51.74,50.365,50.365,6834
2005-02-14,49.905,49.905,48.99,48.99,8850
2005-02-15,48.99,48.99,47.615,48.075,7851
2005-02-16,48.075,48.075,47.615,48.075,9135
2005-02-17,48.075,50.82,47.16,48.99,23346
2005-02-18,48.535,48.99,48.075,48.535,21606
2005-02-21,48.99,49.45,48.535,48.99,13264
2005-02-22,48.99,48.99,48.075,48.075,9984
2005-02-23,48.535,48.535,46.245,47.16,7386
2005-02-24,47.16,47.16,46.245,46.695,4630
2005-02-25,46.695,47.615,46.695,47.16,16842
2005-02-28,48.075,50.82,47.615,49.45,98710
2005-03-01,50.82,51.74,49.45,49.45,31798
2005-03-02,50.365,50.365,47.16,48.075,17909
2005-03-03,48.075,48.99,47.615,47.615,7432
2005-03-04,47.615,48.075,47.16,47.16,5628
2005-03-07,47.16,47.16,46.695,47.16,3170
2005-03-08,46.695,48.075,46.245,46.695,21059
2005-03-09,47.16,47.615,46.245,46.695,9805
2005-03-10,46.245,47.16,46.245,47.16,42203
2005-03-11,47.16,47.16,46.695,47.16,3501
2005-03-14,47.16,47.16,45.325,46.245,13306
2005-03-15,45.785,46.245,45.325,45.785,5209
2005-03-16,45.325,45.785,43.955,45.325,16446
2005-03-17,45.325,45.325,44.865,45.325,18633
2005-03-18,44.865,45.325,44.865,45.325,42432
2005-03-21,45.325,45.785,45.325,45.785,53865
2005-03-22,45.785,47.16,45.785,47.16,22383
2005-03-23,47.16,48.535,47.16,48.075,6221
2005-03-24,47.16,49.45,47.16,48.99,119830
2005-03-29,48.535,49.45,48.075,48.99,7002
2005-03-30,48.99,49.45,48.99,49.45,7178
2005-03-31,49.905,49.905,49.45,49.905,6194
