Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-08-16,13.483,14.832,12.598,13.688,81638
2007-08-17,13.98,14.907,13.15,14.3,40655
2007-08-20,15.323,15.526,14.349,14.642,11549
2007-08-21,14.846,14.846,13.62,14.3,21113
2007-08-22,13.974,15.663,13.974,15.663,14111
2007-08-23,15.526,15.526,15.057,15.526,10089
2007-08-24,15.323,15.52,14.642,15.52,4377
2007-08-27,15.221,15.663,15.221,15.391,10428
2007-08-28,14.982,15.391,14.675,15.282,801
2007-08-29,14.342,15.241,14.342,14.982,1005
2007-08-30,14.982,15.274,14.506,14.948,4811
2007-08-31,14.642,14.982,14.506,14.846,3244
2007-09-03,14.458,14.982,14.369,14.512,2592
2007-09-04,14.975,14.982,14.649,14.812,2314
2007-09-05,14.743,14.982,14.506,14.982,2188
2007-09-06,14.969,14.969,14.914,14.914,1229
2007-09-07,14.642,14.709,13.96,14.3,3808
2007-09-10,14.3,14.3,13.987,14.001,847
2007-09-11,13.995,14.928,13.96,13.98,1538
2007-09-12,13.96,14.627,13.96,14.627,472
2007-09-13,14.3,14.56,13.974,14.3,893
2007-09-14,13.967,14.614,13.967,14.069,1005
2007-09-17,13.831,14.3,13.824,14.294,1148
2007-09-18,13.824,14.3,13.824,14.294,2600
2007-09-19,14.43,14.506,14.172,14.3,5998
2007-09-20,14.3,14.3,14.035,14.233,2002
2007-09-21,14.097,14.233,14.063,14.063,1001
2007-09-24,14.097,14.103,12.953,13.96,3838
2007-09-25,13.626,13.96,13.62,13.96,686
2007-09-26,14.3,14.3,13.695,13.96,1058
2007-09-27,13.701,13.954,13.695,13.954,735
2007-09-28,13.62,13.886,13.552,13.886,2070
2007-10-01,13.314,13.879,13.314,13.354,2945
2007-10-02,13.388,13.593,13.211,13.546,2165
2007-10-03,13.28,13.28,12.735,12.754,2020
2007-10-04,12.674,13.34,12.674,13.34,5811
2007-10-05,12.741,12.938,12.741,12.938,522
2007-10-08,12.938,12.938,12.938,12.938,937
2007-10-09,12.938,13.007,12.837,13.007,1388
2007-10-10,12.938,13.892,12.938,13.572,1340
2007-10-11,13.28,13.517,13.28,13.28,410
2007-10-12,12.905,13.45,12.905,13.347,1035
2007-10-15,13.02,13.524,13.02,13.524,334
2007-10-16,13.014,13.334,13.014,13.334,2
2007-10-17,13.007,13.273,13.007,13.014,444
2007-10-18,13.014,13.273,13.014,13.041,1125
2007-10-19,13.041,13.246,13.041,13.246,1802
2007-10-22,13.178,13.178,13.074,13.178,1187
2007-10-23,12.953,13.041,12.938,13.041,793
2007-10-24,12.938,13.041,12.938,12.938,2211
2007-10-25,12.938,12.938,12.864,12.938,868
2007-10-26,12.864,12.938,12.803,12.817,306
2007-10-29,12.938,12.938,12.803,12.803,1013
2007-10-30,12.666,12.735,12.666,12.7,416
2007-10-31,12.7,12.938,12.598,12.932,3089
2007-11-02,12.858,12.932,12.598,12.674,2224
2007-11-05,12.938,13.163,12.938,13.068,2683
2007-11-06,12.361,13.17,12.361,13.163,3595
2007-11-07,13.15,13.783,13.15,13.783,11295
2007-11-08,13.552,14.029,13.28,13.62,7928
2007-11-09,13.62,13.722,13.62,13.62,5753
2007-11-12,13.722,13.756,13.483,13.62,847
2007-11-13,13.62,13.892,13.62,13.892,2173
2007-11-14,13.62,13.824,13.62,13.824,169
2007-11-15,13.552,13.722,13.552,13.62,7839
2007-11-16,13.314,13.688,12.748,13.483,2468
2007-11-19,13.483,13.824,13.483,13.818,800
2007-11-20,13.818,13.818,12.775,13.81,4487
2007-11-21,13.688,13.688,13.28,13.45,3127
2007-11-22,12.946,13.688,12.837,13.688,7327
2007-11-23,13.62,13.688,13.62,13.688,825
2007-11-26,13.954,13.954,12.946,13.858,1231
2007-11-27,13.62,13.824,13.62,13.824,32
2007-11-28,13.074,13.858,13.074,13.756,720
2007-11-29,13.946,13.946,13.626,13.634,446
2007-11-30,13.865,13.865,13.62,13.858,330
2007-12-03,13.818,13.892,13.28,13.845,1896
2007-12-04,13.62,13.892,13.62,13.886,5697
2007-12-05,13.858,13.892,13.858,13.892,279
2007-12-06,13.892,13.892,12.938,13.688,1455
2007-12-07,13.538,13.94,13.538,13.94,230
2007-12-10,13.845,13.845,13.211,13.62,1940
2007-12-11,13.62,13.62,13.62,13.62,160
2007-12-12,13.286,13.626,13.286,13.626,1054
2007-12-13,13.62,13.62,13.314,13.347,343
2007-12-14,13.321,13.321,13.314,13.314,779
2007-12-17,13.144,13.62,13.144,13.62,8895
2007-12-18,13.546,13.546,13.144,13.483,1500
2007-12-19,13.286,13.443,12.871,13.443,2126
2007-12-20,12.666,13.273,12.666,13.074,4496
2007-12-21,13.074,13.28,12.938,13.28,4951
2007-12-27,13.28,13.824,13.28,13.824,749
2007-12-28,13.02,13.96,13.02,13.892,1966
2008-01-02,13.62,13.851,13.62,13.851,90
2008-01-03,13.286,13.62,13.286,13.613,453
2008-01-04,13.286,13.45,13.28,13.45,561
2008-01-07,12.946,13.273,12.946,13.252,503
2008-01-08,13.252,13.252,13.007,13.252,1500
2008-01-09,13.014,13.246,13.014,13.074,1661
2008-01-10,13.178,13.34,12.871,13.34,1108
2008-01-11,12.598,13.197,12.598,13.197,57
2008-01-14,12.598,13.068,12.265,13.068,2583
2008-01-15,12.462,13.034,12.428,12.938,312
2008-01-16,10.903,12.796,10.903,12.735,17440
2008-01-17,12.769,12.769,12.088,12.728,382
2008-01-22,11.577,12.53,11.577,12.53,887
2008-01-23,11.584,12.517,11.584,12.517,1580
2008-01-24,12.497,12.728,12.497,12.728,41
2008-01-25,12.728,12.728,12.666,12.666,667
2008-01-30,11.721,12.721,11.721,12.721,226
2008-01-31,11.747,12.592,11.747,12.592,148
2008-02-01,12.257,12.577,12.257,12.577,73
2008-02-04,12.714,13.068,12.714,13.068,421
2008-02-06,12.938,12.938,11.842,11.842,1558
2008-02-07,13.184,13.184,12.006,13.096,52
2008-02-11,12.932,13.144,12.517,13.144,588
2008-02-12,13.074,13.137,13.074,13.137,773
2008-02-13,13.074,13.074,13.074,13.074,14
2008-02-14,12.272,12.837,12.272,12.837,184
2008-02-15,12.265,12.796,12.265,12.265,164
2008-02-18,12.265,12.796,12.265,12.796,8
2008-02-19,12.265,12.598,12.265,12.598,935
2008-02-20,12.265,12.592,12.265,12.592,81
2008-02-21,12.251,12.571,11.591,12.571,290
2008-02-22,11.937,12.558,11.918,12.558,523
2008-02-25,11.918,12.114,11.781,12.114,4069
2008-02-26,11.713,11.992,11.713,11.986,38853
2008-02-27,11.986,12.278,11.986,12.278,147
2008-02-29,11.788,12.381,11.788,12.381,3
2008-03-03,12.257,12.257,11.788,12.257,77
2008-03-04,12.251,12.251,11.918,12.114,170
2008-03-07,11.577,11.781,11.005,11.781,713
2008-03-10,10.903,11.761,10.903,11.761,472
2008-03-12,11.577,11.577,11.236,11.236,601
2008-03-13,11.236,11.577,10.964,11.577,396
2008-03-14,10.964,11.57,10.896,11.57,374
2008-03-17,11.236,11.236,9.943,10.882,605
2008-03-18,10.385,10.882,10.385,10.555,580
2008-03-19,10.385,11.032,10.385,11.032,244
2008-03-20,10.215,10.215,10.215,10.215,14
2008-03-25,9.534,11.025,9.534,11.025,269
2008-03-26,10.896,10.896,9.929,9.929,52
2008-03-27,10.821,10.882,10.692,10.882,376
2008-03-28,10.889,10.889,10.889,10.889,537
2008-03-31,9.807,11.101,9.807,11.101,8
2008-04-01,10.658,10.896,10.658,10.896,74
2008-04-02,11.094,11.101,10.828,11.101,923
2008-04-07,10.896,10.896,10.896,10.896,1245
2008-04-08,10.222,10.896,10.222,10.896,1184
2008-04-09,11.025,11.025,10.352,11.005,1537
2008-04-10,10.555,10.896,10.555,10.896,773
2008-04-11,10.487,10.896,10.487,10.896,426
2008-04-15,10.589,10.589,10.589,10.589,573
2008-04-16,10.453,10.726,10.215,10.726,1420
2008-04-17,10.352,10.896,10.215,10.896,702
2008-04-18,10.419,10.555,10.419,10.555,907
2008-04-21,10.283,10.555,10.283,10.555,1446
2008-04-22,10.352,10.869,10.283,10.869,749
2008-04-23,10.222,10.222,10.215,10.215,768
2008-04-24,9.909,10.195,9.875,10.195,1108
2008-04-25,9.576,10.099,9.576,10.099,42
2008-04-28,10.073,10.079,10.073,10.079,997
2008-04-29,10.188,10.195,10.146,10.146,118
2008-05-05,9.909,10.146,9.909,10.146,244
2008-05-06,9.602,9.969,9.3436,9.969,2245
2008-05-07,9.2612,9.4932,8.9962,9.4932,1253
2008-05-08,9.4932,9.4932,9.4932,9.4932,440
2008-05-09,9.2139,9.3294,8.9208,9.3294,221
2008-05-12,8.4104,9.3294,8.4104,9.3294,288
2008-05-13,8.5195,9.3161,8.5195,9.3161,93
2008-05-14,8.5602,9.1865,8.5602,9.1865,88
2008-05-15,8.5128,9.0236,8.5128,9.0236,944
2008-05-16,8.3147,8.3147,8.3147,8.3147,32
2008-05-19,8.5128,8.5128,8.5128,8.5128,1211
2008-05-20,8.8531,8.8531,8.8192,8.8192,496
2008-05-26,8.826,8.826,8.1716,8.5128,795
2008-05-27,8.5128,8.8124,8.5128,8.8124,510
2008-05-28,8.5195,8.6491,8.5195,8.6491,58
2008-05-29,8.6491,8.6491,8.3765,8.3765,3156
2008-05-30,8.5805,8.5805,8.5805,8.5805,288
2008-06-02,8.3765,9.1931,8.3765,9.1931,2739
2008-06-03,8.8531,9.1931,8.5805,9.1931,271
2008-06-04,9.0236,9.1931,9.0236,9.1931,59
2008-06-05,8.9208,8.9208,8.9208,8.9208,213
2008-06-06,8.8531,9.1599,8.8531,9.1599,2117
2008-06-09,8.771,9.1117,8.771,9.1117,305
2008-06-10,9.1117,9.1117,8.8531,9.0568,2945
2008-06-11,8.6144,9.1599,8.6144,9.1599,408
2008-06-12,8.7845,9.1524,8.7845,9.1524,188
2008-06-16,8.5128,9.1259,8.5128,9.1259,190
2008-06-17,8.7507,9.1259,8.7507,9.1259,67
2008-06-18,8.7168,9.1259,8.7168,9.1259,23
2008-06-20,8.7507,9.0568,8.7168,9.0568,79
2008-06-23,8.7168,9.0568,8.7168,9.0568,34
2008-06-24,8.9826,8.9826,8.7168,8.9208,222
2008-06-27,8.5128,8.9758,8.1716,8.9758,608
2008-07-01,8.5128,8.8463,8.5128,8.8463,154
2008-07-02,8.1716,8.8463,8.1716,8.8463,222
2008-07-03,8.5128,8.8463,8.4443,8.5128,801
2008-07-08,8.0971,8.4443,8.0971,8.4443,49
2008-07-09,8.0971,8.4443,8.0971,8.4443,112
2008-07-10,8.1716,8.3079,8.1716,8.3079,61
2008-07-11,7.5659,8.4443,7.5659,8.3011,240
2008-07-14,8.4375,8.4375,7.5114,8.4239,124
2008-07-15,7.6887,7.6887,7.4842,7.491,463
2008-07-16,8.3011,8.3011,6.8099,6.8099,2070
2008-07-17,8.0565,8.0565,6.844,7.9947,399
2008-07-18,6.844,7.8313,6.844,7.8313,199
2008-07-21,7.8313,7.8313,6.844,7.8313,3
2008-07-22,7.2253,7.8313,7.2253,7.8313,1519
2008-07-23,7.491,7.7636,7.491,7.7636,161
2008-07-25,7.7636,7.8313,7.7636,7.8313,61
2008-07-28,7.2185,8.4443,7.2185,8.4443,221
