Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-02,3.8377,3.8377,3.8377,3.8377,159
2005-02-03,3.9229,3.9229,3.9229,3.9229,117
2005-02-04,4.6905,4.6905,4.6905,4.6905,159
2005-02-14,4.0935,4.0935,4.0935,4.0935,159
2005-02-16,4.2641,4.2641,4.2641,4.2641,146
2005-02-21,4.4345,4.4345,4.4345,4.4345,159
2005-02-23,4.4345,4.4345,4.4345,4.4345,117
2005-02-25,4.4345,4.6905,4.4345,4.6905,347
2005-03-04,4.3068,4.3068,4.3068,4.3068,159
2005-03-09,4.6905,4.6905,4.6905,4.6905,117
2005-03-11,4.6905,4.6905,4.6905,4.6905,117
2005-03-15,4.3068,4.3068,4.3068,4.3068,223
2005-04-05,4.3068,4.3068,4.3068,4.3068,88
2005-04-07,4.2641,4.3068,4.2641,4.3068,304
2005-05-06,4.6905,4.6905,4.6905,4.6905,117
2005-06-03,2.9933,2.9933,2.9933,2.9933,117
2005-06-07,4.1618,4.1788,4.1618,4.1788,352
2005-08-04,3.6672,3.6672,3.6672,3.6672,159
2005-08-11,5.0317,5.0317,5.0317,5.0317,15
2005-08-12,5.0317,5.0317,5.0317,5.0317,159
2005-08-22,6.6521,6.6521,6.6521,6.6521,352
2005-09-01,6.6521,6.6521,4.3068,4.3068,276
2005-09-02,5.5435,5.5435,5.5435,5.5435,75
2005-09-23,4.3068,4.3068,4.3068,4.3068,276
2005-10-10,4.3493,4.3493,4.3493,4.3493,159
2005-10-18,4.3493,4.3493,4.3493,4.3493,159
2005-11-03,4.3493,4.3493,4.3493,4.3493,153
2005-11-04,3.1213,3.1213,2.6694,2.6694,159
2005-11-14,2.9507,2.9507,2.9507,2.9507,43
2005-12-15,3.0957,3.0957,3.0957,3.0957,42
2005-12-30,4.2215,4.2215,4.2215,4.2215,117
2006-01-02,4.2215,4.2215,4.2215,4.2215,91
2006-01-06,4.2215,4.2215,4.2215,4.2215,20
2006-01-26,5.9271,5.9271,5.9271,5.9271,469
2006-02-13,3.4282,3.4282,3.4282,3.4282,159
2006-02-14,3.4282,3.4282,3.4282,3.4282,236
2006-03-10,4.7333,4.7759,4.7333,4.7759,774
2006-03-17,4.7759,4.7759,4.7759,4.7759,117
2006-03-21,5.117,5.117,5.117,5.117,20
2006-03-22,5.117,5.117,5.117,5.117,703
2006-03-30,5.9698,5.9698,5.9698,5.9698,687
2006-03-31,5.9698,5.9698,5.9698,5.9698,316
2006-04-04,5.9698,5.9698,5.9698,5.9698,352
2006-04-24,5.117,5.117,5.117,5.117,587
2006-05-08,6.8225,6.8225,6.78,6.8225,1888
2006-05-09,7.249,7.249,7.249,7.249,235
2006-05-11,9.0391,9.0391,9.0391,9.0391,117
2006-05-12,9.0391,9.0391,8.5282,8.5282,1291
2006-05-17,10.575,10.575,10.575,10.575,117
2006-05-19,10.575,10.575,10.575,10.575,587
2006-05-22,10.575,10.575,10.575,10.575,116
2006-05-24,10.575,10.575,10.575,10.575,1056
2006-05-29,8.5282,8.5282,8.5282,8.5282,159
2006-06-05,10.575,10.575,10.575,10.575,1
2006-06-07,10.575,10.575,9.3811,9.3811,312
2006-06-08,9.3811,9.3811,9.3811,9.3811,921
2006-06-09,9.3811,9.3811,9.3811,9.3811,175
2006-06-19,9.3811,9.3811,9.3811,9.3811,290
2006-06-22,9.3811,9.3811,9.3811,9.3811,881
2006-06-27,9.3811,9.3811,9.3811,9.3811,1173
2006-06-30,9.3811,9.3811,9.3811,9.3811,1173
2006-07-04,9.3811,9.3811,9.3811,9.3811,235
2006-07-10,8.5282,8.5282,8.5282,8.5282,276
2006-07-13,8.5282,8.5282,8.5282,8.5282,75
2006-07-14,8.5282,8.5282,7.6754,7.6754,239
2006-07-17,7.6754,7.6754,7.6754,7.6754,140
2006-07-24,8.5282,9.3811,8.5282,9.3811,7037
2006-07-25,6.5669,6.5669,6.5669,6.5669,117
2006-08-03,6.8652,6.8652,6.8652,6.8652,1
2006-08-09,7.4622,7.4622,7.4622,7.4622,117
2006-08-11,8.4855,8.4855,8.4855,8.4855,117
2006-08-18,10.191,10.191,10.191,10.191,4
2006-09-12,6.8652,6.8652,6.8652,6.8652,159
2006-09-21,8.9543,8.9543,8.9543,8.9543,1
2006-09-29,8.9543,8.9543,8.9543,8.9543,473
2006-10-04,6.8225,6.8225,6.8225,6.8225,77
2006-10-05,8.5282,8.5282,8.5282,8.5282,316
2006-10-09,8.7841,8.7841,8.5282,8.5282,2345
2006-10-16,10.191,10.191,10.191,10.191,57
2006-10-17,6.2684,6.2684,6.2684,6.2684,117
2006-10-19,6.908,6.908,6.908,6.908,42
2006-10-26,8.5282,8.5282,8.5282,8.5282,159
2006-10-27,9.3811,9.3811,9.3811,9.3811,159
2006-11-06,7.249,7.249,7.249,7.249,276
2006-11-09,10.191,10.575,10.191,10.575,33958
2006-11-10,10.575,11.683,10.575,11.683,8334
2006-11-13,11.683,11.939,10.66,11.854,1308
2006-11-14,10.66,10.66,10.234,10.276,1573
2006-11-15,11.854,16.97,11.854,16.97,1628
2006-11-16,16.885,16.885,10.234,10.234,160
2006-11-17,10.66,10.66,10.234,10.234,2931
2006-11-20,8.9543,8.9543,8.9543,8.9543,3520
2006-11-22,12.708,12.792,12.708,12.792,587
2006-11-23,12.792,12.792,11.087,11.087,14056
2006-11-24,12.708,12.792,12.708,12.792,539
2006-11-28,11.428,11.428,11.087,11.087,350
2006-11-29,11.428,11.428,11.428,11.428,45
2006-11-30,11.47,11.939,11.47,11.939,293
2006-12-01,12.578,16.97,11.513,16.97,1740
2006-12-04,14.07,14.157,13.217,14.029,2651
2006-12-05,14.029,14.157,14.029,14.029,1051
2006-12-06,15.307,16.97,14.329,16.97,1878
2006-12-07,16.97,16.97,15.35,16.63,862
2006-12-08,16.63,16.63,16.545,16.63,4353
2006-12-11,16.63,21.321,16.545,17.227,1548
2006-12-12,18.421,18.762,18.421,18.421,1244
2006-12-14,18.762,18.762,18.762,18.762,469
2006-12-15,17.909,17.909,13.262,13.262,3108
2006-12-19,15.35,15.35,14.541,15.35,236
2006-12-20,15.35,15.35,15.35,15.35,1170
2006-12-21,15.393,16.63,10.66,13.604,23143
2006-12-22,13.604,15.265,12.963,12.963,303
2006-12-27,14.07,17.909,13.049,17.909,6184
2006-12-28,13.217,16.97,13.133,16.97,275
2006-12-29,14.497,15.35,11.939,15.35,6560
2007-01-02,15.307,16.203,12.792,13.645,4251
2007-01-03,14.07,15.265,13.645,14.497,2463
2007-01-04,15.265,15.265,14.456,14.925,687
2007-01-05,14.243,18.762,14.243,16.97,11846
2007-01-08,17.824,17.824,15.35,17.142,8251
2007-01-09,17.483,19.615,17.483,19.53,5938
2007-01-10,19.615,20.468,19.53,20.382,4690
2007-01-11,20.382,20.382,19.53,19.53,2345
2007-01-12,19.615,19.615,19.615,19.615,1506
2007-01-15,19.53,19.615,19.53,19.53,1710
2007-01-16,19.53,19.53,19.19,19.53,1944
2007-01-17,19.444,19.444,18.762,19.444,455
2007-01-18,19.53,19.53,19.444,19.53,2849
2007-01-19,19.53,19.615,18.762,19.53,6840
2007-01-22,23.452,34.112,20.382,29.849,18512
2007-01-23,29.849,29.849,23.964,29.763,1994
2007-01-24,31.043,37.439,28.911,35.819,9034
2007-01-25,35.819,36.672,34.369,35.819,5225
2007-01-26,35.819,35.819,34.026,34.026,4333
2007-01-29,33.26,33.26,32.407,32.407,1870
2007-01-30,32.92,32.92,29.763,30.872,2601
2007-01-31,32.407,32.407,30.702,30.787,1859
2007-02-01,31.128,31.128,30.021,30.787,570
2007-02-02,30.787,31.555,29.763,31.47,1118
2007-02-05,31.128,34.112,31.128,34.112,1332
2007-02-06,35.394,35.394,31.555,33.174,2056
2007-02-07,33.26,33.26,30.702,33.26,1636
2007-02-08,31.725,33.26,31.555,33.26,670
2007-02-09,31.128,33.858,30.702,30.872,706
2007-02-12,30.787,32.407,29.763,30.702,3017
2007-02-13,32.407,32.407,29.933,32.407,2248
2007-02-14,31.64,33.858,30.021,33.858,1928
2007-02-15,34.112,36.586,33.43,35.819,1477
2007-02-16,35.819,35.819,34.112,35.819,970
2007-02-19,34.54,34.54,32.407,34.54,2704
2007-02-20,34.112,34.112,30.702,30.702,3401
2007-02-21,31.555,36.927,30.531,34.54,3950
2007-02-22,32.578,35.819,32.492,34.454,1625
2007-02-23,34.112,34.112,31.981,33.943,969
2007-02-26,33.943,35.394,33.943,35.394,804
2007-02-27,35.394,35.394,29.081,29.081,8153
2007-02-28,28.143,33.26,26.439,32.407,3600
2007-03-01,32.237,38.377,31.298,31.298,16272
2007-03-02,33.26,34.112,30.872,30.872,1694
2007-03-05,31.555,33.174,31.555,33.174,405
2007-03-06,33.26,33.26,31.64,31.64,462
2007-03-07,31.64,32.407,30.872,30.872,645
2007-03-08,32.407,32.407,32.066,32.066,136
2007-03-09,31.128,31.128,29.933,29.933,640
2007-03-12,31.555,34.369,31.128,32.407,2276
2007-03-13,32.407,34.112,31.555,34.112,1647
2007-03-14,32.407,33.772,31.725,32.407,950
2007-03-15,32.833,34.112,31.981,34.112,3044
2007-03-16,34.112,35.394,33.26,33.26,3737
2007-03-19,34.54,34.54,33.26,33.687,2022
2007-03-20,34.112,34.112,32.833,34.026,4933
2007-03-21,33.26,34.112,32.407,32.407,2812
2007-03-22,33.26,34.112,33.26,34.112,6911
2007-03-23,34.112,35.819,34.112,35.819,7970
2007-03-26,36.586,36.586,34.966,36.586,2224
2007-03-27,42.641,49.464,40.083,44.345,14279
2007-03-28,45.2,45.2,40.936,40.936,2907
2007-03-29,42.641,42.641,40.936,41.789,1176
2007-03-30,42.641,42.641,40.936,40.936,398
2007-04-02,41.362,41.362,34.112,35.819,5681
2007-04-03,36.245,42.214,35.819,42.129,7870
2007-04-04,42.214,48.526,40.936,44.176,12499
2007-04-05,42.811,46.905,42.641,42.641,1966
2007-04-10,40.083,42.641,40.083,40.083,4062
