Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-10-09,7.7329,7.75,6.9181,7.3256,59030
2007-10-10,7.5973,7.6482,7.2321,7.453,28992
2007-10-11,7.453,7.6736,7.436,7.6397,14701
2007-10-12,7.6313,7.6313,7.3,7.4276,9013
2007-10-15,7.1983,7.5038,7.1983,7.4105,10028
2007-10-16,7.3851,7.4105,7.2408,7.4105,12998
2007-10-17,7.4276,7.6907,7.419,7.6397,35361
2007-10-18,7.6567,7.6736,7.5123,7.5123,2977
2007-10-19,7.3936,7.5887,7.368,7.4869,4827
2007-10-22,7.2237,7.419,7.0455,7.419,19535
2007-10-23,7.3,7.3851,7.3,7.3086,5142
2007-10-24,7.1813,7.2152,7.1813,7.2068,2937
2007-10-25,7.1389,7.2578,7.1389,7.1983,9736
2007-10-26,7.1899,7.2831,7.0455,7.1304,2358
2007-10-29,7.0202,7.1728,7.0202,7.0625,5650
2007-10-30,7.1048,7.1304,7.0286,7.1304,4416
2007-10-31,7.1304,7.2152,7.1304,7.2152,6380
2007-11-02,7.1983,7.5378,7.1983,7.3851,6431
2007-11-05,7.5464,7.5464,7.2152,7.3425,5492
2007-11-06,7.3425,7.5038,7.2663,7.2663,2922
2007-11-07,7.1304,7.351,6.8417,7.1219,8210
2007-11-08,6.1966,6.8672,6.1966,6.6296,5672
2007-11-09,6.5872,6.7908,6.3664,6.4003,6674
2007-11-12,6.4003,6.7059,6.3664,6.3834,3694
2007-11-13,6.1966,6.6211,6.1966,6.358,3883
2007-11-14,6.7314,6.7314,6.3749,6.3834,2350
2007-11-15,6.3834,6.3834,5.5601,5.5601,5819
2007-11-16,6.2391,6.2391,5.6024,5.9844,9096
2007-11-19,6.3154,6.3154,5.7127,6.0863,1398
2007-11-20,5.942,6.0693,5.8571,5.925,11902
2007-11-21,5.6874,5.8486,5.5176,5.5176,8275
2007-11-22,5.5601,5.9334,5.1781,5.9334,14041
2007-11-23,5.942,5.9674,5.8571,5.942,17849
2007-11-26,5.9334,5.959,5.8146,5.942,7530
2007-11-27,5.8995,5.942,5.7807,5.942,4774
2007-11-28,5.942,6.1966,5.8062,6.1966,21430
2007-11-29,6.3664,6.3664,5.9505,6.3408,8154
2007-11-30,6.2985,6.2985,6.0609,6.2815,1669
2007-12-03,6.3664,6.3664,6.1542,6.358,2259
2007-12-04,6.3664,6.3664,6.2815,6.2815,1396
2007-12-05,6.2136,6.3495,6.1966,6.3408,4133
2007-12-06,6.3495,6.4513,6.1966,6.3664,2801
2007-12-07,6.1966,6.3664,6.1966,6.3664,3774
2007-12-10,6.358,6.3664,6.324,6.3664,3316
2007-12-11,6.3664,6.5277,6.324,6.4851,11701
2007-12-12,6.4851,6.5956,6.1202,6.5956,4707
2007-12-13,6.5956,6.6211,6.3664,6.6126,8347
2007-12-14,6.6211,6.6381,6.4259,6.6211,7833
2007-12-17,6.6211,6.6211,6.3834,6.5361,3166
2007-12-18,6.5872,6.7059,6.3664,6.5361,54926
2007-12-19,6.5531,6.604,6.3408,6.3664,12125
2007-12-20,6.3749,6.4851,6.0523,6.1966,15583
2007-12-21,6.3495,6.3495,5.9674,6.0947,6891
2007-12-27,6.1797,6.1966,6.1542,6.1966,5538
2007-12-28,6.1117,6.5956,6.1031,6.5956,8072
2008-01-02,6.5702,6.5702,6.3664,6.5193,2563
2008-01-03,6.3324,6.4429,6.2136,6.358,17645
2008-01-04,6.3495,6.5956,6.3495,6.5872,22429
2008-01-07,6.5787,6.5872,6.3664,6.5872,5912
2008-01-08,6.4937,6.5787,6.4937,6.5022,34267
2008-01-09,6.5022,6.5022,6.1966,6.4088,6542
2008-01-10,6.2221,6.4429,6.2221,6.2476,6144
2008-01-11,6.2136,6.4851,6.2136,6.4851,2939
2008-01-14,6.324,6.4429,6.1966,6.3664,15255
2008-01-15,6.2052,6.4429,6.2052,6.3664,594
2008-01-16,5.5176,6.0185,5.5176,5.7723,7710
2008-01-17,5.6874,6.2644,5.543,6.2644,27051
2008-01-18,6.1966,6.2561,5.959,6.2561,16477
2008-01-21,6.2561,6.2561,5.8146,5.942,487
2008-01-22,5.5345,5.9334,5.5345,5.8571,3297
2008-01-23,5.942,6.3664,5.942,6.0014,6212
