Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-05-10,6.8827,7.3341,6.5127,6.5496,4367000
2007-05-11,6.6237,7.1788,6.0687,6.9198,772918
2007-05-14,7.3193,8.0446,7.1417,7.8449,664170
2007-05-15,7.9189,9.4355,7.7708,8.8809,783917
2007-05-16,8.9549,9.1765,8.4294,8.585,333503
2007-05-17,8.8069,8.8069,8.2959,8.4879,237297
2007-05-18,8.511,8.7178,8.3332,8.585,111743
2007-05-21,8.9549,10.065,8.9549,9.658,542900
2007-05-22,9.991,10.14,9.2878,9.3317,268303
2007-05-23,9.946,9.954,9.3616,9.687,218828
2007-05-24,9.622,9.622,9.2504,9.3616,181555
2007-05-25,9.2812,9.3616,8.9549,9.0437,149533
2007-05-28,9.184,9.3177,8.511,8.7552,205390
2007-05-29,8.7178,9.1035,8.4736,9.0371,156762
2007-05-30,8.8809,9.0437,8.7329,8.8595,58149
2007-05-31,8.9913,9.1765,8.8443,8.9474,69005
2007-06-01,9.0147,9.1035,8.7329,8.8809,71396
2007-06-04,8.8809,8.9549,8.667,8.7401,91630
2007-06-05,8.667,8.6732,8.4736,8.4959,96242
2007-06-06,8.5476,8.585,8.1039,8.4371,96749
2007-06-08,8.0372,8.3999,8.0372,8.3409,80931
2007-06-11,8.511,8.8069,8.4069,8.7258,115862
2007-06-12,8.7695,8.7695,8.3999,8.3999,66664
2007-06-13,8.5699,8.5699,8.2889,8.3773,55480
2007-06-14,8.3773,8.6296,8.3773,8.511,40923
2007-06-15,8.511,8.511,8.2959,8.3929,35680
2007-06-18,8.3852,8.4069,8.237,8.2889,106754
2007-06-19,8.2889,8.2889,8.0446,8.0891,91100
2007-06-20,8.2223,8.3999,8.1483,8.2889,258323
2007-06-21,8.3184,9.4729,8.3184,9.2504,538417
2007-06-22,9.3981,9.622,8.9549,9.2962,235963
2007-06-25,9.2288,9.591,9.0661,9.584,179316
2007-06-26,9.54,10.324,9.524,10.065,277813
2007-06-27,10.065,10.286,9.843,10.065,191220
2007-06-28,10.102,10.14,9.925,9.991,63668
2007-06-29,9.998,9.998,9.71,9.806,89184
2007-07-02,9.768,9.768,9.1765,9.3252,77652
2007-07-03,9.51,9.658,9.3252,9.3841,46378
2007-07-04,9.3841,9.4355,9.2588,9.3252,76324
2007-07-05,9.3252,9.4355,8.9913,9.4355,54594
2007-07-06,9.414,9.724,9.2504,9.651,52732
2007-07-09,9.806,9.843,9.577,9.613,60295
2007-07-10,9.4729,9.622,9.2653,9.577,56056
2007-07-11,9.51,9.547,9.3317,9.4654,33792
2007-07-12,9.2588,9.51,9.184,9.2214,48931
2007-07-13,9.843,9.843,9.3027,9.3981,40550
2007-07-16,9.2812,9.2878,8.895,8.9549,72615
2007-07-17,8.9249,9.0736,8.8069,9.0661,55084
2007-07-18,9.1765,9.2438,9.0661,9.0886,15171
2007-07-19,9.1035,9.2504,9.1035,9.2504,23854
2007-07-20,9.2504,9.3981,9.1475,9.3177,14990
2007-07-23,9.2653,9.3616,9.184,9.2588,8065
2007-07-24,9.3252,9.3981,9.2438,9.3317,81518
2007-07-25,9.2288,9.4654,9.0371,9.4654,114591
2007-07-26,9.4729,9.532,9.2588,9.3616,72701
2007-07-27,9.1699,9.3102,8.9249,9.1765,53483
2007-07-30,9.1765,9.2504,9.1035,9.1335,21851
2007-07-31,9.125,9.3102,9.125,9.3027,19706
2007-08-01,9.1765,9.768,8.9913,9.622,141619
2007-08-02,9.637,10.065,9.637,9.925,71954
2007-08-03,9.94,10.065,9.622,9.622,150071
2007-08-06,9.2354,9.3916,8.8809,9.1765,164743
2007-08-07,9.1765,9.4654,9.1765,9.3317,29018
2007-08-08,9.4355,9.607,9.4355,9.584,76824
2007-08-09,9.591,9.695,9.414,9.414,105019
2007-08-10,9.1035,9.1035,8.7401,9.0437,126435
2007-08-13,9.1699,9.3252,9.1699,9.3252,64960
2007-08-14,9.2878,9.91,9.2878,9.843,101252
2007-08-16,9.4514,9.4729,9.0437,9.1035,216485
2007-08-17,8.8809,9.2139,7.9929,8.8443,586047
2007-08-20,9.1035,9.1035,8.5476,8.8809,161689
2007-08-21,8.8069,9.2438,8.5699,8.6145,15551
2007-08-22,8.659,8.8657,8.659,8.8657,26949
2007-08-23,8.9913,9.1035,8.6732,8.7329,21641
2007-08-24,8.7258,8.9184,8.511,8.8809,28770
2007-08-27,8.8809,9.1035,8.7329,8.7329,17532
2007-08-28,8.585,8.8737,8.5476,8.7258,13553
2007-08-29,8.511,8.659,8.0668,8.659,32593
2007-08-30,8.6964,8.8809,8.4371,8.585,48442
2007-08-31,8.3704,8.9249,8.3704,8.8809,31393
2007-09-03,8.814,8.91,8.7401,8.895,34586
2007-09-04,8.9249,8.9249,8.6964,8.8657,59664
2007-09-05,8.8737,8.9184,8.7329,8.8657,29433
2007-09-06,8.7989,8.91,8.7989,8.8809,37566
2007-09-07,8.8069,8.9184,8.6002,8.7258,33210
2007-09-10,8.3254,8.511,8.1556,8.4371,13638
2007-09-11,8.6509,8.7926,8.4518,8.7632,19742
2007-09-12,8.7632,8.7695,8.7107,8.7695,15931
2007-09-13,8.7775,8.8363,8.7401,8.7847,8628
