Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,12.1,12.1,12,12,2988
2005-01-04,12,12,11.75,12,28211
2005-01-05,11.9,11.9,11.7,11.9,10607
2005-01-06,12,12,11.7,11.9,48824
2005-01-07,11.9,12,11.75,11.9,23801
2005-01-10,11.95,11.95,11.7,11.7,9114
2005-01-11,11.75,11.9,11.7,11.9,22904
2005-01-12,11.85,11.95,11.7,11.8,10624
2005-01-13,11.85,12.15,11.8,11.9,52126
2005-01-14,11.9,11.9,11.8,11.9,11891
2005-01-17,11.85,11.9,11.75,11.85,5279
2005-01-18,11.75,11.8,11.65,11.7,20535
2005-01-19,11.7,11.7,11,11.3,16026
2005-01-20,11.1,11.3,11.1,11.2,2417
2005-01-21,11.1,11.15,10.95,11.15,4788
2005-01-24,10.95,11,10.45,10.9,9951
2005-01-25,10.75,11.05,10.75,11.05,11027
2005-01-26,11.1,11.1,10.85,10.95,6735
2005-01-27,10.95,11.05,10.8,11.05,24338
2005-01-28,11.05,11.05,10.95,11,744
2005-01-31,11,11.3,10.95,11.3,23357
2005-02-01,11.3,11.35,11.2,11.35,13689
2005-02-02,11.4,11.4,11,11.2,3713
2005-02-03,11.05,11.2,10.9,11.1,14694
2005-02-04,11,11.3,10.95,11.1,57380
2005-02-07,11.4,11.8,11.3,11.65,44133
2005-02-08,11.95,12,11.5,11.5,28387
2005-02-09,11.5,11.6,11.35,11.5,10280
2005-02-10,11.4,11.5,11.2,11.5,4725
2005-02-11,11.5,11.75,11.5,11.5,8588
2005-02-14,11.35,11.55,11.35,11.5,9628
2005-02-15,11.45,11.5,11.35,11.5,2701
2005-02-16,11.6,11.6,11.3,11.35,4671
2005-02-17,11.4,11.4,11,11.2,8295
2005-02-18,11.3,11.45,11.1,11.45,5708
2005-02-21,11.45,11.5,11.25,11.5,2193
2005-02-22,11.5,11.5,11.25,11.4,21268
2005-02-23,11.3,11.4,11.2,11.25,4080
2005-02-24,11.25,11.55,11.25,11.55,8694
2005-02-25,11.55,11.65,11.4,11.5,59595
2005-02-28,11.5,11.55,11.2,11.35,22062
2005-03-01,11.2,11.35,11,11.35,10897
2005-03-02,11.25,11.25,10.9,10.9,6227
2005-03-03,10.9,10.9,10.6,10.8,14613
2005-03-04,10.75,10.75,10,10.5,15195
2005-03-07,10.2,10.2,10,10.05,20778
2005-03-08,10.15,10.2,10,10,8523
2005-03-09,10,10,9.8,9.9,12071
2005-03-10,9.8,9.8,9.1,9.4,29207
2005-03-11,9.5,9.55,9.15,9.2,20060
2005-03-14,9.15,9.35,9.05,9.25,8190
2005-03-15,9.3,9.3,9.05,9.2,4098
2005-03-16,9.1,9.1,8.75,9,19440
2005-03-17,8.95,8.95,8.5,8.5,11775
2005-03-18,8.3,8.35,8.15,8.3,41212
2005-03-21,8.3,8.55,8.3,8.4,26402
2005-03-22,8.3,8.4,8.15,8.3,20862
2005-03-23,8.3,8.3,8,8.05,13110
2005-03-24,8.05,8.35,8,8.3,27506
2005-03-29,8.25,8.25,8,8.1,31312
2005-03-30,8.1,8.3,8.05,8.25,21664
2005-03-31,8.4,8.85,8.4,8.7,43093
2005-04-01,8.8,9.45,8.8,9.45,52993
2005-04-04,9.55,9.6,8.9,9,40648
2005-04-05,9,9,8.9,9,4966
2005-04-06,9.1,9.2,8.9,9.05,4556
2005-04-07,9.1,9.1,8.95,9,9847
