Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-05,0.7465,0.7465,0.7465,0.7465,3
2005-01-14,0.6719,0.6842,0.6719,0.6842,4605
2005-01-18,0.6719,0.6842,0.6719,0.6842,1968
2005-01-19,0.6345,0.6345,0.6345,0.6345,986
2005-01-21,0.622,0.622,0.622,0.622,1021
2005-01-24,0.7091,0.7091,0.7091,0.7091,995
2005-01-26,0.6345,0.6345,0.6345,0.6345,1021
2005-01-27,0.6842,0.6842,0.6842,0.6842,1408
2005-01-28,0.6345,0.6345,0.6345,0.6345,1648
2005-01-31,0.6345,0.6345,0.622,0.622,1034
2005-02-14,0.8709,0.8709,0.8709,0.8709,803
2005-02-21,0.6968,0.6968,0.6968,0.6968,477
2005-03-02,0.6096,0.6096,0.6096,0.6096,342
2005-03-04,0.5972,0.5972,0.5972,0.5972,1667
2005-03-07,0.5723,0.5723,0.5723,0.5723,403
2005-03-14,0.5723,0.5723,0.5723,0.5723,346
2005-03-16,0.5723,0.5723,0.5002,0.5002,390
2005-03-21,0.46035,0.46035,0.46035,0.46035,42
2005-04-14,0.4479,0.4479,0.4479,0.4479,19
2005-04-26,0.4504,0.4504,0.4504,0.4504,461
2005-06-07,0.5002,0.622,0.49765,0.49765,43405
2005-06-08,0.6345,0.6345,0.525,0.525,21702
2005-06-20,0.6594,0.6594,0.6594,0.6594,6592
2005-06-21,0.6594,0.6594,0.6594,0.6594,13485
2005-06-24,0.7216,0.7216,0.6719,0.6719,6563
2005-06-28,0.846,0.846,0.622,0.6719,1411
2005-06-29,0.6719,0.7216,0.6719,0.7216,2464
2005-07-01,0.6719,0.6719,0.6719,0.6719,1408
2005-07-05,0.7465,0.7465,0.6968,0.6968,11917
2005-07-06,0.7465,0.7465,0.6742,0.6842,33597
2005-07-07,0.7465,0.7962,0.6719,0.6719,38701
2005-07-11,0.7465,0.7465,0.7465,0.7465,6912
2005-07-28,0.6992,0.6992,0.6992,0.6992,4019
2005-08-01,0.7465,0.7465,0.7465,0.7465,5226
2005-08-12,0.8834,0.8958,0.8834,0.8958,1728
2005-08-16,0.8958,0.8958,0.8958,0.8958,282
2005-08-17,0.7962,0.7962,0.749,0.749,4227
2005-08-25,0.846,0.846,0.846,0.846,4019
2005-09-07,0.754,0.754,0.754,0.754,848
2005-09-08,0.6968,0.6968,0.6968,0.6968,266
2005-09-09,0.8958,0.8958,0.8958,0.8958,1878
2005-09-26,0.7962,0.9455,0.7962,0.9455,1290
2005-09-27,0.9455,0.9455,0.9455,0.9455,202
2005-09-29,0.5723,0.8958,0.2488,0.8958,11430
2005-10-10,0.8709,0.8709,0.8709,0.8709,9866
2005-10-14,0.7739,0.7739,0.7739,0.7739,10
2005-10-25,0.8211,0.8211,0.8211,0.8211,358
2005-10-27,0.8211,0.8211,0.8211,0.8211,2826
2005-11-07,0.9455,0.9455,0.9455,0.9455,6630
2005-11-17,0.846,0.846,0.846,0.846,461
2005-11-30,0.846,0.846,0.7465,0.7465,12371
2005-12-06,0.8261,0.8336,0.8261,0.8336,13008
2005-12-09,0.8261,0.8261,0.8261,0.8261,381
2005-12-12,0.8261,0.8261,0.8261,0.8261,253
2005-12-15,0.846,0.9206,0.846,0.9206,14067
2005-12-16,0.8709,0.8709,0.8709,0.8709,758
2005-12-28,0.8261,0.8261,0.8261,0.8261,3
2006-02-08,0.9952,0.9952,0.9952,0.9952,1408
2006-02-09,1.1944,1.1944,1.1944,1.1944,2611
2006-02-10,1.2441,1.2441,1.2441,1.2441,403
2006-02-13,1.3063,1.3063,1.3063,1.3063,1206
2006-02-15,1.2938,1.2938,1.2441,1.2938,12058
2006-02-20,1.2815,1.2815,1.2815,1.2815,1850
2006-02-22,1.2815,1.2815,1.2815,1.2815,8038
2006-02-23,1.2815,1.2815,1.2815,1.2815,1606
2006-02-24,1.2938,1.3063,1.2938,1.3063,6893
2006-02-27,1.2815,1.3063,1.2815,1.3063,10589
2006-03-02,1.3063,1.3063,1.3063,1.3063,5165
2006-03-07,1.3063,1.3063,1.3063,1.3063,1898
2006-03-08,1.3063,1.3063,1.2441,1.2441,522
2006-03-10,1.4059,1.4059,1.4059,1.4059,1408
2006-03-27,1.6174,1.6174,1.6174,1.6174,963
2006-03-29,1.6174,1.6174,1.6174,1.6174,2854
2006-03-31,1.6796,1.7418,1.6796,1.7418,16477
2006-04-03,1.7418,1.7418,1.7418,1.7418,4822
2006-04-27,1.7418,1.7418,1.7418,1.7418,6429
2006-05-18,1.7418,1.7418,1.7418,1.7418,624
2006-05-25,1.7418,1.7418,1.7418,1.7418,9222
2006-06-01,1.3686,1.3686,1.3686,1.3686,42
2006-06-08,1.3686,1.3686,1.3686,1.3686,13283
2006-06-12,1.3686,1.3686,1.3686,1.3686,4822
2006-06-13,1.4182,1.4182,1.4182,1.4182,4019
2006-06-19,1.6174,1.8289,1.6174,1.8289,1008
2006-06-20,1.8289,1.9781,1.8289,1.9781,6422
