Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,3.2568,3.3527,3.2568,3.3351,136649
2005-01-04,3.3004,3.3004,3.2393,3.2829,104782
2005-01-05,3.2568,3.2568,3.2219,3.2393,27996
2005-01-06,3.2393,3.2393,3.1522,3.2219,149123
2005-01-07,3.2219,3.2393,3.1871,3.2393,105616
2005-01-10,3.2219,3.2219,3.1348,3.1522,62423
2005-01-11,3.1522,3.1522,3.0826,3.0826,61367
2005-01-12,3.0565,3.1609,3.0565,3.1522,92610
2005-01-13,3.2829,3.309,3.2393,3.248,401927
2005-01-14,3.2393,3.2393,3.1609,3.2219,107543
2005-01-17,3.2132,3.2219,3.1871,3.1958,29555
2005-01-18,3.1609,3.1609,3.1088,3.1088,41247
2005-01-19,3.1348,3.1348,3.074,3.1262,38568
2005-01-20,3.074,3.1348,3.074,3.1088,58449
2005-01-21,3.074,3.074,3.0479,3.0565,87554
2005-01-24,3.013,3.0565,2.9868,3.0479,86095
2005-01-25,3.013,3.1001,3.013,3.0479,61240
2005-01-26,3.0565,3.1697,3.0565,3.0826,247501
2005-01-27,3.1262,3.1262,3.074,3.1088,105137
2005-01-28,3.1262,3.1871,3.1001,3.1871,103810
2005-01-31,3.1871,3.2568,3.1609,3.2568,192237
2005-02-01,3.4657,3.5093,3.3613,3.3874,1225705
2005-02-02,3.4135,3.4483,3.3874,3.4135,857262
2005-02-03,3.3874,3.4135,3.3351,3.396,223116
2005-02-04,3.3874,3.4222,3.3527,3.4135,230759
2005-02-07,3.4396,3.4396,3.3613,3.3874,139900
2005-02-08,3.3874,3.3874,3.3527,3.3874,104738
2005-02-09,3.37,3.4483,3.37,3.3874,527150
2005-02-10,3.4135,3.4135,3.37,3.37,118537
2005-02-11,3.2132,3.2568,3.1088,3.1522,373416
2005-02-14,3.1088,3.1348,3.0479,3.074,197954
2005-02-15,3.1001,3.1001,3.013,3.0826,122076
2005-02-16,3.0826,3.1871,3.0826,3.1522,100912
2005-02-17,3.1522,3.1522,3.0826,3.1001,88789
2005-02-18,3.1001,3.1001,3.0565,3.074,33011
2005-02-21,3.0479,3.0565,3.0391,3.0565,86859
2005-02-22,3.0479,3.0479,3.013,3.0216,152268
2005-02-23,3.0216,3.0216,2.8998,2.9345,166452
2005-02-24,2.9606,3.1088,2.8476,3.0565,979734
2005-02-25,3.074,3.1088,3.013,3.0216,473190
2005-02-28,3.0216,3.0391,2.9345,2.9432,335453
2005-03-01,2.9432,3.013,2.9432,3.013,55367
2005-03-02,2.9693,2.9955,2.9606,2.9955,45021
