Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,6.5956,7.043,6.5451,6.6605,7849
2005-01-04,6.6245,6.6605,6.4945,6.6461,7235
2005-01-05,6.3792,6.6605,6.206,6.206,23869
2005-01-06,6.2132,6.3792,6.1986,6.3792,23267
2005-01-07,6.4153,6.4153,6.2347,6.4153,25072
2005-01-10,6.3285,6.3285,6.242,6.242,1757
2005-01-11,6.2276,6.307,6.1699,6.1699,16419
2005-01-12,6.1048,6.307,6.04,6.307,7102
2005-01-13,6.1554,6.307,6.1483,6.2565,6559
2005-01-14,6.2997,6.2997,6.1267,6.2781,291083
2005-01-17,6.141,6.2781,6.1338,6.2781,1542
2005-01-18,6.3431,6.4945,6.2636,6.3431,33556
2005-01-19,6.3431,6.3863,6.1699,6.2636,28804
2005-01-20,6.2636,6.3358,6.1483,6.3358,5500
2005-01-21,6.3431,6.3431,6.1986,6.3358,180
2005-01-25,6.3142,6.3142,6.1338,6.2854,13337
2005-01-26,6.3358,6.3358,6.141,6.141,12843
2005-01-27,6.2276,6.2276,6.141,6.2132,6597
2005-01-28,6.0905,6.3285,6.0905,6.3285,8113
2005-01-31,6.1843,6.3285,6.1843,6.2781,2780
2005-02-01,6.3142,6.3142,6.2781,6.307,5704
2005-02-02,6.307,6.307,6.307,6.307,2108
2005-02-03,6.3214,6.3431,6.2636,6.3358,7716
2005-02-04,6.3431,6.3431,6.1986,6.2636,7728
2005-02-07,6.2636,6.2636,6.206,6.2636,2661
2005-02-08,6.2854,6.2854,6.1986,6.2493,903
2005-02-09,6.2854,6.2854,6.1986,6.2636,649
2005-02-10,6.2854,6.2854,6.2493,6.2493,1784
2005-02-11,6.2636,6.2636,6.1048,6.1267,9918
2005-02-14,6.1193,6.1193,5.672,5.6791,61905
2005-02-15,5.7947,5.9461,5.5999,5.9461,23988
2005-02-16,5.9967,5.9967,5.8234,5.8523,8113
2005-02-17,5.8957,5.8957,5.6071,5.773,7260
2005-02-18,5.7513,5.7513,5.5564,5.6358,11265
2005-02-21,5.5782,5.7152,5.5638,5.5638,12471
2005-02-22,5.5638,5.6142,5.5278,5.6142,19826
2005-02-23,5.701,5.701,5.3473,5.4915,15444
2005-02-24,5.4771,5.5564,5.2462,5.3761,16166
