Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,9.3229,9.4627,9.1831,9.1831,1979
2005-01-04,9.1831,9.3229,9.1365,9.1365,3596
2005-01-05,9.1365,9.1365,9.1365,9.1365,429
2005-01-06,9.0432,9.1365,8.9966,9.1365,8482
2005-01-07,9.1365,9.4627,9.1365,9.3229,6057
2005-01-10,9.3229,9.3229,8.9966,9.1365,4348
2005-01-11,9.0898,9.1365,8.9034,9.0898,5488
2005-01-12,8.9034,8.9034,8.7636,8.7636,5098
2005-01-13,8.6703,8.8567,8.6236,8.8567,8456
2005-01-14,8.7636,8.8102,8.6703,8.8102,908
2005-01-17,8.6703,8.6703,8.5305,8.6236,2595
2005-01-18,8.5771,8.5771,8.2507,8.5305,7724
2005-01-19,8.5305,8.5305,8.1576,8.3907,9835
2005-01-20,8.2974,8.2974,8.1109,8.2974,2763
2005-01-21,8.344,8.3907,8.1109,8.3907,5647
2005-01-24,8.3907,8.4838,8.3907,8.4838,885
2005-01-25,8.2974,8.4838,8.2974,8.4372,3184
2005-01-26,8.2974,8.4372,8.2974,8.4372,2242
2005-01-27,8.4838,8.4838,8.4372,8.4372,3148
2005-01-28,8.3907,8.5771,8.2974,8.5305,3760
2005-01-31,8.9966,9.882,8.9966,9.882,55245
2005-02-01,10.162,10.255,9.2297,9.696,38656
2005-02-02,9.649,9.649,9.3229,9.509,13753
2005-02-03,9.3695,9.509,9.3695,9.509,4139
2005-02-04,9.649,9.696,9.3695,9.603,8548
2005-02-07,9.696,9.789,9.649,9.696,14233
2005-02-08,9.696,9.742,9.509,9.742,15660
2005-02-09,9.789,9.789,9.509,9.696,2302
2005-02-10,9.882,10.255,9.696,9.696,20459
2005-02-11,9.742,9.789,9.649,9.789,11619
2005-02-14,9.789,10.162,9.789,9.976,15548
2005-02-15,10.115,10.115,9.976,10.069,8841
2005-02-16,10.069,10.069,9.976,10.022,13505
2005-02-17,10.115,10.302,9.976,10.255,49883
2005-02-18,10.209,10.255,9.976,10.209,7282
2005-02-21,10.162,10.162,9.929,10.069,3864
2005-02-22,10.115,10.115,9.649,9.976,23052
2005-02-23,9.789,10.022,9.742,9.882,3351
2005-02-24,9.789,10.022,9.789,10.022,1835
2005-02-25,9.836,9.976,9.836,9.976,83
2005-02-28,9.836,9.836,9.789,9.789,1368
2005-03-01,9.696,10.022,9.603,10.022,2516
2005-03-02,9.696,9.789,9.696,9.789,785
2005-03-03,9.649,9.789,9.603,9.789,3379
2005-03-04,9.696,9.696,9.603,9.649,2979
2005-03-07,9.556,9.556,9.3695,9.509,4146
2005-03-08,9.1365,9.3229,8.7636,8.8567,16153
2005-03-09,8.95,8.95,8.7636,8.95,7363
2005-03-10,9.0432,9.0432,8.7169,8.7169,3276
2005-03-11,8.6703,8.6703,8.6703,8.6703,2252
2005-03-14,8.6703,8.6703,8.4838,8.4838,4264
2005-03-15,8.6236,8.6236,8.3907,8.4372,5984
2005-03-16,8.3907,8.6703,8.3907,8.3907,6333
2005-03-17,8.5305,8.5771,8.3907,8.5305,2854
2005-03-18,8.5771,8.5771,8.5771,8.5771,1356
2005-03-21,8.5771,8.5771,8.3907,8.4838,2703
2005-03-22,8.2041,8.4838,8.2041,8.4838,4258
2005-03-23,8.6703,8.6703,8.5771,8.6236,1992
2005-03-24,8.4838,8.8567,8.3907,8.3907,4670
2005-03-29,8.6236,8.6236,8.5771,8.6236,453
2005-03-30,8.6236,8.6236,8.3907,8.5771,5505
2005-03-31,8.4838,8.8567,8.4838,8.4838,5452
2005-04-01,8.5305,8.7636,8.4838,8.7636,680
2005-04-04,8.7636,8.95,8.6703,8.95,12322
2005-04-05,8.9034,8.9034,8.6703,8.8567,3386
2005-04-06,8.8102,8.8102,8.7169,8.7169,787
2005-04-07,8.8102,8.9034,8.7169,8.9034,3727
2005-04-11,8.8567,8.9034,8.7169,8.9034,153
2005-04-12,8.8102,8.8567,8.7169,8.8567,183
2005-04-13,8.6236,8.8102,8.6236,8.8102,392
2005-04-14,8.6703,8.6703,8.6236,8.6236,816
2005-04-15,8.6236,8.6236,8.2041,8.4838,7367
2005-04-18,8.1576,8.344,7.9711,8.2974,7985
2005-04-19,8.3907,8.3907,8.1109,8.2974,5054
2005-04-20,8.2974,8.4372,7.8312,7.8312,10880
2005-04-21,7.6914,7.7846,7.3185,7.3651,12497
2005-04-22,7.4117,7.6914,7.4117,7.6448,7044
2005-04-25,7.6448,7.8779,7.6448,7.8779,3270
2005-04-26,7.9245,7.9245,7.738,7.8779,174
2005-04-27,7.738,8.2041,7.505,8.2041,15490
2005-04-28,8.2507,8.5771,8.1576,8.5771,18471
2005-04-29,8.5771,8.5771,8.3907,8.4372,916
2005-05-02,8.5771,8.5771,8.3907,8.5771,651
2005-05-04,8.5771,8.7169,8.3907,8.6703,5617
2005-05-05,8.6703,8.8567,8.6703,8.8567,6603
2005-05-06,8.8567,8.8567,8.7169,8.8102,2091
2005-05-09,8.7636,8.8567,8.0177,8.8567,20295
2005-05-10,8.8102,8.95,8.7169,8.9034,5842
2005-05-11,8.7169,8.8567,8.5305,8.8567,1805
2005-05-12,8.8102,8.9034,8.8102,8.9034,3374
2005-05-13,8.8567,8.95,8.8567,8.95,4881
2005-05-16,8.9966,9.0898,8.95,8.95,6963
2005-05-17,8.8567,8.9966,8.8567,8.9966,592
2005-05-18,9.0432,9.603,9.0432,9.603,10272
2005-05-19,9.696,9.696,9.1831,9.556,7825
2005-05-20,9.3229,9.3229,9.2297,9.3229,573
2005-05-23,9.2763,9.3229,9.2763,9.3229,1583
2005-05-24,9.3229,9.3695,9.3229,9.3695,1650
2005-05-25,9.4162,10.069,9.4162,10.022,8575
2005-05-27,9.882,9.882,9.696,9.696,1897
2005-05-30,9.649,9.649,9.556,9.556,359
2005-05-31,9.556,9.649,9.2297,9.649,5955
2005-06-01,9.3229,9.556,9.2763,9.4627,614
2005-06-02,9.4627,9.836,9.4627,9.789,2845
2005-06-03,9.556,9.556,9.556,9.556,322
2005-06-06,9.4627,9.603,9.4627,9.603,3070
2005-06-07,9.509,9.603,9.509,9.603,1438
2005-06-08,9.4627,9.509,9.4627,9.4627,528
2005-06-09,9.556,9.556,9.4627,9.4627,927
2005-06-10,9.556,9.556,9.4627,9.4627,2027
2005-06-13,9.4627,9.509,9.4627,9.4627,3625
2005-06-14,9.4627,9.509,9.3229,9.4627,1857
2005-06-15,9.3229,9.4627,9.2297,9.4627,605
2005-06-16,9.4627,9.4627,9.4627,9.4627,53
2005-06-17,9.3229,9.3695,9.1831,9.3695,8519
2005-06-20,9.2763,9.556,9.2297,9.556,1577
2005-06-21,9.556,9.556,9.556,9.556,105
2005-06-22,9.3229,9.509,9.2297,9.509,2667
2005-06-23,9.509,9.649,9.3229,9.556,6932
2005-06-24,9.4627,9.696,9.3695,9.556,2336
2005-06-27,9.556,9.649,9.4627,9.556,3234
2005-06-28,9.4627,9.556,9.4162,9.4162,1777
2005-06-29,9.4162,9.509,9.4162,9.509,72
2005-06-30,9.4162,9.556,9.3695,9.556,1946
2005-07-01,9.556,9.603,9.556,9.603,1342
2005-07-04,9.696,9.696,9.3229,9.3229,1040
2005-07-05,9.2297,9.3229,9.0898,9.3229,2879
2005-07-06,9.3229,9.4162,9.2297,9.4162,2038
2005-07-08,9.2297,9.4162,9.2297,9.4162,293
2005-07-11,9.2297,9.4162,9.2297,9.4162,593
2005-07-12,9.4162,9.789,9.4162,9.789,8665
2005-07-13,10.255,10.395,10.115,10.209,89260
2005-07-14,10.255,10.395,10.255,10.348,28093
2005-07-15,10.255,10.348,10.255,10.302,14896
2005-07-18,10.395,10.395,10.255,10.302,4730
2005-07-19,10.162,10.348,9.836,10.255,26054
2005-07-20,10.395,10.442,10.302,10.348,4232
2005-07-21,10.348,10.535,10.348,10.488,14441
2005-07-22,10.442,10.721,10.348,10.721,9124
2005-07-25,10.721,11.001,10.721,10.954,33591
2005-07-26,10.861,10.861,10.628,10.768,5876
2005-07-27,10.861,10.861,10.628,10.628,6454
2005-07-28,10.582,10.954,10.582,10.908,5217
2005-07-29,10.815,11.001,10.815,11.001,13828
2005-08-01,10.908,10.908,10.628,10.675,4185
2005-08-02,10.675,10.768,10.675,10.768,2415
2005-08-03,10.582,10.582,10.162,10.488,10015
