Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-05,4.0755,4.0895,3.6928,4.04,1324669
2007-11-06,4.0329,4.0755,3.9692,4.0755,1878668
2007-11-07,4.0755,4.0755,3.9692,3.9692,740039
2007-11-08,3.9692,3.9692,3.8982,3.9336,60014
2007-11-09,3.9336,4.04,3.9336,3.9336,17150
2007-11-12,3.9336,4.0329,3.9336,3.9336,431586
2007-11-13,3.9692,4.0046,3.8982,4.0046,716563
2007-11-14,4.0046,4.0046,3.9692,3.9692,8117
2007-11-15,3.9692,3.9692,3.8982,3.8982,434570
2007-11-16,3.8982,3.8982,3.7565,3.7565,5857
2007-11-19,3.721,3.721,3.5439,3.6857,421220
2007-11-20,3.6147,3.6147,3.5439,3.5794,442166
2007-11-21,3.5794,3.5794,3.5084,3.5439,1698934
2007-11-22,3.5439,3.6501,3.4729,3.6501,1123459
2007-11-23,3.6857,3.6857,3.5439,3.5439,1067460
2007-11-26,3.5439,3.5439,3.4375,3.4375,28540
2007-11-27,3.5084,3.5084,3.4375,3.4375,396840
2007-11-28,3.4375,3.4729,3.402,3.4375,365987
2007-11-29,3.4729,3.5084,3.4729,3.5084,217737
2007-11-30,3.4729,3.5155,3.4375,3.5084,318440
2007-12-03,3.4729,3.4729,3.4729,3.4729,1552
2007-12-04,3.4729,3.5012,3.4729,3.5012,573251
2007-12-05,3.5084,3.721,3.5084,3.721,1743309
2007-12-06,3.721,3.721,3.721,3.721,1802
2007-12-07,3.7493,3.7493,3.6857,3.6857,569401
2007-12-10,3.6147,3.6501,3.4446,3.4446,65195
2007-12-11,3.4729,3.5084,3.4659,3.5084,195409
2007-12-12,3.6147,3.6147,3.6077,3.6147,205087
2007-12-13,3.6857,3.721,3.6147,3.6147,18145
2007-12-14,3.6857,3.6857,3.5509,3.5509,1262
2007-12-17,3.5084,3.5509,3.4729,3.5012,361514
2007-12-18,3.5439,3.5439,3.4729,3.4729,25820
