Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,13.392,13.657,13.316,13.657,23365
2005-01-04,13.621,13.621,13.276,13.392,31464
2005-01-05,13.316,13.316,13.082,13.16,25720
2005-01-06,13.043,13.392,12.887,13.237,30045
2005-01-07,13.199,13.199,13.043,13.122,22294
2005-01-10,13.16,13.237,12.926,13.003,16632
2005-01-11,13.043,13.082,13.043,13.043,7944
2005-01-12,13.003,13.082,13.003,13.043,7934
2005-01-13,13.082,13.122,12.926,13.003,10701
2005-01-14,13.003,13.003,12.849,12.966,8962
2005-01-17,12.926,13.043,12.849,13.003,11796
2005-01-18,12.966,13.003,12.887,12.926,4309
2005-01-19,12.849,13.16,12.849,13.122,36193
2005-01-20,13.16,13.16,12.849,12.966,4293
2005-01-21,12.966,13.003,12.156,12.662,21703
2005-01-24,12.662,12.926,12.662,12.887,7384
2005-01-25,12.849,12.966,12.7,12.966,13186
2005-01-26,12.778,13.043,12.778,13.003,11275
2005-01-27,12.887,13.043,12.887,13.043,5857
2005-01-28,12.966,12.966,12.926,12.966,3263
2005-01-31,12.966,13.003,12.849,13.003,5997
2005-02-01,13.16,13.16,12.926,13.082,9980
2005-02-02,13.16,13.199,13.003,13.003,4147
2005-02-03,12.966,13.122,12.966,13.043,4093
2005-02-04,13.082,13.199,12.966,12.966,18628
2005-02-07,12.966,13.082,12.926,13.003,7831
2005-02-08,13.082,13.082,12.966,13.003,3784
2005-02-09,13.043,13.082,12.849,12.926,20363
2005-02-10,12.926,12.966,12.887,12.966,4021
2005-02-11,13.316,13.541,12.966,13.276,141636
2005-02-14,13.541,13.813,13.51,13.621,142586
2005-02-15,13.697,13.697,13.472,13.58,39676
2005-02-16,13.541,13.621,13.51,13.541,35819
2005-02-17,13.58,13.621,13.472,13.541,17437
2005-02-18,13.58,13.58,13.355,13.541,14511
2005-02-21,13.541,13.541,13.316,13.541,19639
2005-02-22,13.472,13.51,13.316,13.472,28011
2005-02-23,13.276,13.541,13.276,13.541,17440
2005-02-24,13.392,13.51,13.355,13.51,13938
2005-02-25,13.58,13.621,13.392,13.541,17597
2005-02-28,13.541,13.541,13.392,13.51,11349
2005-03-01,13.433,13.433,13.082,13.237,21474
2005-03-02,13.003,13.16,12.811,13.122,54217
2005-03-03,12.887,13.199,12.849,13.16,26960
2005-03-04,13.082,13.082,12.926,13.003,20911
2005-03-07,13.003,13.082,12.926,13.082,3285
2005-03-08,13.043,13.043,12.849,12.849,4954
2005-03-09,12.926,13.082,12.778,12.849,28819
2005-03-10,12.778,12.778,12.39,12.467,23266
2005-03-11,12.467,12.662,12.312,12.662,24641
2005-03-14,12.467,12.545,12.312,12.506,17316
2005-03-15,12.39,13.003,12.39,12.966,59040
2005-03-16,12.7,12.778,12.467,12.623,33342
2005-03-17,12.585,12.887,12.39,12.7,35482
2005-03-18,12.662,12.887,12.662,12.811,12442
2005-03-21,12.7,12.74,12.351,12.74,17534
2005-03-22,12.39,12.7,12.39,12.623,13681
2005-03-23,12.662,12.662,12.467,12.545,11549
2005-03-24,12.467,12.623,12.351,12.585,13123
2005-03-29,12.585,12.585,12.274,12.312,57294
2005-03-30,12.351,12.467,12.312,12.39,24261
2005-03-31,12.506,12.506,12.428,12.467,8368
2005-04-01,12.467,12.545,12.428,12.545,20101
2005-04-04,12.467,12.545,12.428,12.428,4208
2005-04-05,12.428,12.506,12.194,12.506,12511
2005-04-06,12.545,12.545,12.312,12.545,13380
2005-04-07,12.623,12.926,12.623,12.926,45004
2005-04-11,12.966,12.966,12.778,12.926,7307
2005-04-12,12.926,13.16,12.926,13.082,134441
2005-04-13,13.16,13.16,13.043,13.122,16910
2005-04-14,13.082,13.16,13.082,13.122,22903
2005-04-15,13.16,13.237,13.122,13.237,10737
2005-04-18,13.16,13.276,13.16,13.276,61426
2005-04-19,13.237,13.316,13.16,13.199,36653
2005-04-20,13.237,13.472,13.237,13.237,91003
2005-04-21,13.276,13.316,13.237,13.316,13255
2005-04-22,13.276,13.316,13.237,13.316,16402
2005-04-25,13.237,13.276,13.237,13.276,10364
2005-04-26,13.276,13.276,12.887,13.237,49357
2005-04-27,13.122,13.237,13.122,13.199,19584
2005-04-28,13.16,13.276,13.16,13.276,14529
2005-04-29,13.316,13.541,13.199,13.472,33823
2005-05-02,13.433,13.433,13.355,13.433,2429
2005-05-04,13.316,13.355,13.237,13.355,10552
2005-05-05,13.276,13.276,13.276,13.276,11810
2005-05-06,13.316,13.316,13.276,13.316,10949
2005-05-09,13.316,13.472,13.276,13.392,22142
2005-05-10,13.472,13.541,13.355,13.392,14626
2005-05-11,13.392,13.392,13.276,13.316,22179
2005-05-12,13.355,13.355,13.237,13.316,61106
2005-05-13,13.392,13.51,13.355,13.433,12224
2005-05-16,13.433,13.433,13.16,13.199,22579
2005-05-17,13.16,13.237,13.16,13.237,30200
2005-05-18,13.16,13.237,13.16,13.237,2466
2005-05-19,13.199,13.316,13.16,13.276,22427
2005-05-20,13.199,13.237,13.16,13.199,3723
2005-05-23,13.199,13.237,13.199,13.237,8964
2005-05-24,13.199,13.237,13.122,13.237,12108
2005-05-25,13.199,13.237,13.16,13.237,1653
2005-05-27,13.237,13.237,13.16,13.237,4770
2005-05-30,13.199,13.237,13.199,13.237,1561
2005-05-31,13.237,13.237,13.16,13.199,10720
2005-06-01,13.237,13.237,13.16,13.16,2954
2005-06-02,13.16,13.237,13.16,13.237,5148
2005-06-03,13.16,14.234,13.16,14.234,84076
2005-06-06,14.349,14.78,14.085,14.234,37548
2005-06-07,14.234,14.234,13.697,14.164,112379
2005-06-08,13.891,14.125,13.775,13.891,26581
2005-06-09,13.891,14.01,13.697,13.853,6962
2005-06-10,13.813,13.813,13.697,13.813,5037
2005-06-13,13.736,13.853,13.316,13.697,20309
2005-06-14,13.621,13.657,13.433,13.58,5507
2005-06-15,13.58,13.697,13.58,13.697,2819
2005-06-16,13.697,13.775,13.621,13.736,6404
2005-06-17,13.541,14.164,13.51,13.969,20189
2005-06-20,13.813,13.813,13.697,13.775,14963
2005-06-21,13.621,13.813,13.621,13.813,3577
2005-06-22,13.775,14.01,13.775,13.969,5729
2005-06-23,14.01,14.234,13.969,14.125,37085
2005-06-24,14.125,14.623,14.125,14.623,33453
2005-06-27,14.623,14.7,14.429,14.506,11875
2005-06-28,14.429,14.78,14.429,14.739,30881
2005-06-29,14.739,14.856,14.506,14.623,47305
2005-06-30,14.468,14.623,14.349,14.468,27234
2005-07-01,14.273,14.349,14.085,14.312,11152
2005-07-04,14.468,14.468,14.234,14.429,12366
2005-07-05,14.349,14.583,14.312,14.312,26417
2005-07-06,14.312,14.312,14.202,14.234,5297
2005-07-07,14.202,14.312,14.01,14.273,51477
2005-07-08,14.164,14.468,14.164,14.468,15390
2005-07-11,14.506,14.506,14.202,14.388,7593
2005-07-12,14.429,14.429,14.234,14.312,3135
2005-07-13,14.202,14.234,14.125,14.164,40901
2005-07-14,14.234,14.234,14.125,14.234,16821
2005-07-15,14.312,14.312,14.047,14.273,2956
2005-07-18,14.273,14.273,14.125,14.125,5973
2005-07-19,14.164,14.202,14.047,14.164,33797
2005-07-20,14.164,14.164,14.047,14.085,35689
2005-07-21,14.085,14.085,13.891,14.085,30118
2005-07-22,14.085,14.085,13.969,14.01,4770
2005-07-25,14.01,14.273,14.01,14.273,40481
2005-07-26,14.349,14.623,14.234,14.388,45184
2005-07-27,14.349,15.082,14.349,15.082,59462
2005-07-28,15.121,15.548,15.121,15.393,97627
2005-07-29,15.471,15.931,15.393,15.774,74404
2005-08-01,16.007,16.311,15.931,16.086,45692
2005-08-02,16.086,16.164,15.852,16.007,16487
2005-08-03,16.007,16.007,15.696,15.852,15398
2005-08-04,15.852,15.852,15.774,15.852,6977
2005-08-05,15.774,15.774,15.471,15.696,6432
2005-08-08,15.393,15.619,15.393,15.471,8504
2005-08-09,15.774,16.007,15.696,15.774,27568
2005-08-10,15.619,15.774,15.619,15.619,13088
2005-08-11,15.774,15.852,15.619,15.852,4344
2005-08-12,15.774,15.774,15.548,15.548,8029
2005-08-16,15.471,15.696,15.471,15.696,43526
2005-08-17,15.696,15.696,15.277,15.277,44240
2005-08-18,15.355,15.471,15.277,15.471,34457
2005-08-19,15.471,15.548,15.355,15.548,18985
2005-08-22,15.619,15.619,15.355,15.393,2518
2005-08-23,15.471,15.471,15.121,15.393,22033
2005-08-24,15.16,15.237,15.044,15.237,5869
2005-08-25,15.237,15.471,15.082,15.471,9790
2005-08-26,15.471,16.468,15.471,16.311,120676
2005-08-29,16.311,16.468,15.931,15.931,52573
2005-08-30,16.007,16.164,15.619,15.931,7995
2005-08-31,16.007,16.007,15.619,15.774,3670
2005-09-01,15.619,16.007,15.619,16.007,26873
2005-09-02,15.774,16.007,15.548,15.548,12365
2005-09-05,15.548,15.619,15.316,15.355,20056
2005-09-06,15.16,15.393,15.16,15.237,9595
2005-09-07,15.316,15.696,15.316,15.316,4344
2005-09-08,15.316,15.393,15.316,15.355,3198
2005-09-09,15.393,15.619,15.237,15.237,13022
2005-09-12,15.316,15.548,15.316,15.548,12935
2005-09-13,15.852,15.852,15.393,15.548,15097
2005-09-14,15.548,15.548,15.355,15.471,5018
2005-09-15,15.471,15.548,15.277,15.316,14442
2005-09-16,15.16,15.316,15.16,15.316,4630
2005-09-19,15.316,15.316,15.199,15.277,5977
2005-09-20,15.316,15.355,14.78,15.277,24972
2005-09-21,15.355,15.355,15.005,15.316,28282
2005-09-22,15.393,15.696,15.393,15.548,36482
2005-09-23,15.393,15.852,15.393,15.852,13363
2005-09-26,15.774,15.852,15.619,15.852,5405
2005-09-27,15.852,15.931,15.393,15.774,10400
2005-09-28,15.852,15.852,15.619,15.619,16697
2005-09-29,15.696,15.696,15.316,15.619,9737
2005-09-30,15.696,15.696,15.393,15.619,8172
2005-10-03,15.548,16.241,15.316,16.086,102801
2005-10-04,16.007,16.468,15.931,16.391,42174
2005-10-05,16.391,16.391,16.241,16.311,9737
2005-10-06,16.241,16.779,15.774,16.544,71652
2005-10-07,16.544,16.544,16.086,16.391,111696
2005-10-10,16.468,16.468,16.164,16.164,3143
2005-10-11,16.164,16.391,16.164,16.311,4256
2005-10-12,16.311,16.701,16.241,16.701,26923
2005-10-13,16.701,16.701,16.241,16.544,24751
2005-10-14,16.391,16.544,16.391,16.544,3309
2005-10-17,16.701,16.701,16.391,16.391,10247
2005-10-18,16.468,16.544,16.391,16.544,38674
2005-10-19,16.544,16.701,16.164,16.391,16149
2005-10-20,16.391,16.624,16.391,16.624,4932
2005-10-21,16.468,16.624,16.468,16.624,10264
2005-10-24,16.701,16.701,16.391,16.544,1939
2005-10-25,16.391,16.544,16.391,16.468,6318
2005-10-26,16.311,16.391,16.241,16.391,14697
2005-10-27,16.164,16.164,16.086,16.164,18569
2005-10-28,16.086,16.164,16.086,16.164,6312
2005-10-31,16.164,16.164,15.852,16.164,3227
2005-11-02,16.086,16.164,16.086,16.164,4560
2005-11-03,16.241,16.241,16.086,16.164,3569
2005-11-04,16.311,16.311,16.164,16.311,1635
2005-11-07,16.007,16.164,16.007,16.164,2021
2005-11-08,16.164,16.164,15.931,16.086,6639
2005-11-09,16.086,16.164,15.931,16.164,2357
2005-11-10,16.007,16.086,15.774,16.086,13414
2005-11-14,15.852,15.852,15.774,15.852,4990
