Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-03-15,11.226,11.276,10.583,10.86,332480
2007-03-16,11.124,11.363,11.021,11.124,125557
2007-03-19,11.35,11.379,11.168,11.24,19087
2007-03-20,11.24,11.24,10.875,11.093,22055
2007-03-21,11.24,11.24,11.057,11.093,12770
2007-03-22,10.985,11.159,10.985,11.093,18279
2007-03-23,11.093,11.109,10.948,11.065,23291
2007-03-26,11.065,11.065,10.941,11,41155
2007-03-27,10.948,10.948,10.824,10.875,28749
2007-03-28,10.839,10.948,10.671,10.912,11519
2007-03-29,10.948,10.948,10.655,10.897,9617
2007-03-30,10.948,10.985,10.803,10.948,11350
2007-04-02,10.941,10.941,10.729,10.839,11177
2007-04-03,10.809,10.809,10.655,10.729,21961
2007-04-04,10.729,10.729,10.509,10.729,36254
2007-04-05,10.736,10.803,10.583,10.774,25209
2007-04-10,10.941,11.093,10.839,10.948,34102
2007-04-11,11.086,11.168,10.985,11.159,36918
2007-04-12,11.159,11.357,11.109,11.306,56818
2007-04-13,11.313,11.606,11.306,11.606,44345
2007-04-16,11.606,12.071,11.568,12.042,137836
2007-04-17,12.166,12.188,11.896,12.093,33383
2007-04-18,12.115,12.115,11.533,11.678,42249
2007-04-19,11.276,11.678,11.093,11.386,20942
2007-04-20,11.678,11.678,11.313,11.386,6408
2007-04-23,11.313,11.386,10.948,10.948,19648
2007-04-24,10.948,11.093,10.948,11.093,8081
2007-04-25,11.276,11.313,10.985,11.276,10468
2007-04-26,11.276,11.276,11.204,11.204,4419
2007-04-27,11.276,11.276,11.145,11.168,3661
2007-04-30,11.093,11.109,10.941,11.08,3714
2007-05-02,11.093,11.093,10.955,10.978,7525
2007-05-04,11.021,11.021,10.889,10.948,12014
2007-05-07,11.437,11.495,11.233,11.335,28893
2007-05-08,11.372,11.606,11.247,11.247,24545
2007-05-09,11.24,11.24,10.948,11.093,7497
2007-05-10,11.093,11.13,10.817,11.13,5034
2007-05-11,10.809,11.014,10.809,10.882,5943
2007-05-14,11.014,11.021,10.955,11,5961
2007-05-15,11.021,11.051,10.955,10.955,4637
2007-05-16,10.955,10.955,10.809,10.809,8630
2007-05-17,10.948,10.948,10.583,10.788,4754
2007-05-18,10.788,10.788,10.634,10.655,4851
2007-05-21,10.86,10.86,10.655,10.846,6213
2007-05-22,10.875,10.875,10.803,10.853,3316
2007-05-23,10.932,10.932,10.729,10.729,7075
2007-05-24,10.912,10.912,10.774,10.903,6451
2007-05-25,10.788,10.912,10.693,10.912,9896
2007-05-28,10.903,11.226,10.736,11.057,35166
2007-05-29,11.217,11.459,11.093,11.422,43219
2007-05-30,11.313,11.474,11.138,11.386,28892
2007-05-31,11.211,11.495,11.211,11.415,21974
2007-06-01,11.313,11.386,11.233,11.386,25226
2007-06-04,11.379,11.386,11.247,11.386,21571
2007-06-05,11.247,11.408,11.021,11.386,16207
2007-06-06,11.028,11.028,11.021,11.021,4875
2007-06-08,11.204,11.313,10.948,11.021,9534
2007-06-11,11.313,11.379,11.028,11.379,13221
2007-06-12,11.313,11.313,11.093,11.24,11226
2007-06-13,11.093,11.313,11.057,11.313,6691
2007-06-14,10.948,11.298,10.948,11.298,1776
2007-06-15,11.276,11.459,11.269,11.422,30017
2007-06-18,11.451,12.042,11.386,11.772,83476
2007-06-19,11.824,12.042,11.678,11.751,80067
2007-06-20,11.751,11.751,11.606,11.606,19769
2007-06-21,11.606,12.042,11.606,11.97,127688
2007-06-22,12.042,12.115,11.766,11.817,63332
2007-06-25,11.751,11.817,11.422,11.606,38132
2007-06-26,11.386,11.539,11.114,11.539,90361
2007-06-27,11.539,11.539,11.13,11.495,89948
2007-06-28,11.568,11.568,11.13,11.313,48961
2007-06-29,11.109,11.291,11.093,11.24,12681
2007-07-02,11.291,11.291,10.948,11.233,23432
2007-07-03,10.839,11.233,10.839,11.197,23005
2007-07-04,10.948,11.138,10.889,11.138,9768
2007-07-05,10.912,11.13,10.912,11.13,1558
2007-07-06,11.093,11.678,11.093,11.313,47045
2007-07-09,11.495,11.568,11.313,11.568,9386
2007-07-10,11.598,11.97,11.598,11.904,58724
2007-07-11,11.896,11.896,11.67,11.678,18686
2007-07-12,11.656,11.824,11.24,11.533,14368
2007-07-13,11.554,11.67,11.32,11.641,2023
2007-07-16,11.67,11.853,11.35,11.35,32910
2007-07-17,11.327,11.67,11.24,11.67,7519
2007-07-18,11.422,11.67,11.422,11.67,828
2007-07-19,11.445,11.824,11.437,11.758,30344
2007-07-20,11.86,12.626,11.86,12.626,231644
2007-07-23,12.925,13.72,12.925,13.422,196918
2007-07-24,13.422,14.416,12.75,13.72,157920
2007-07-25,13.504,13.86,13.159,13.715,70737
2007-07-26,13.867,14.233,13.283,13.283,40424
2007-07-27,12.766,13.232,12.591,12.919,35316
2007-07-30,13.123,13.123,12.48,12.911,30281
2007-07-31,13.138,13.504,13.13,13.45,29200
2007-08-01,12.773,13.86,12.773,13.72,23908
2007-08-02,13.794,13.794,13.504,13.715,22499
2007-08-03,13.504,13.706,13.283,13.663,5226
2007-08-06,12.779,13.138,12.664,12.911,18320
2007-08-07,13.095,13.095,12.153,12.153,29410
2007-08-08,12.042,12.48,12.042,12.48,10235
2007-08-09,12.48,12.48,12.058,12.4,4111
2007-08-10,11.685,12.29,11.678,12.29,5742
2007-08-13,12.4,12.444,12.4,12.444,835
2007-08-14,11.904,12.444,11.824,12.393,7165
2007-08-16,11.685,12.036,11.495,12.036,20368
2007-08-17,11.606,12.036,11.386,11.824,11794
2007-08-20,11.824,11.97,11.641,11.934,10684
2007-08-21,12.021,12.021,11.509,11.939,11055
2007-08-22,12.042,12.371,11.487,12.371,7536
2007-08-23,12.371,12.583,12.365,12.583,4837
2007-08-24,12.042,12.773,12.042,12.773,53670
2007-08-27,12.553,12.758,12.115,12.408,3618
2007-08-28,12.393,12.393,12.071,12.365,3731
2007-08-29,12.371,12.408,12.006,12.408,20062
2007-08-30,12.408,12.408,12.093,12.408,3396
2007-08-31,12.408,12.701,11.685,12.626,14719
2007-09-04,12.335,12.62,12.115,12.62,4883
2007-09-05,12.408,12.474,12.05,12.408,2149
2007-09-06,11.97,12.327,11.889,12.327,1866
2007-09-07,12.298,12.97,12.042,12.597,7660
2007-09-10,11.722,12.591,11.722,12.474,1241
2007-09-11,12.042,12.48,12.042,12.48,2260
2007-09-12,12.547,12.547,12.124,12.539,10430
2007-09-14,12.612,12.612,12.042,12.474,1023
2007-09-17,12.539,12.591,12.444,12.539,1658
2007-09-18,12.159,12.591,12.159,12.547,1189
2007-09-19,12.547,13.408,12.539,13.211,52748
2007-09-20,13.343,13.393,13.065,13.393,7934
2007-09-21,13.422,13.867,13.393,13.649,15913
2007-09-24,13.634,13.685,13.634,13.685,13702
2007-09-25,13.283,13.524,13.283,13.524,4261
2007-09-26,13.138,13.415,13.13,13.415,3503
2007-09-27,13.48,13.656,13.473,13.613,14757
2007-10-01,12.357,13.459,12.357,13.356,7022
2007-10-02,12.845,13.729,12.845,13.283,6753
2007-10-03,12.773,13.445,12.773,13.349,363
2007-10-04,13.335,13.467,12.992,12.992,10398
2007-10-05,12.626,13.43,12.408,13.393,3934
2007-10-08,13.386,13.467,12.89,13.123,20426
2007-10-09,13.349,13.349,13.349,13.349,1
